date,USDMXN,USDTRY,USDILS,USDCNH,USDCNY,USDSGD,USDHKD,USDBRL,USDTWD,USDZAR,USDPLN,USDHUF,USDCZK,USDRUB,USDEUR,USDGBP,USDTRL,USDMAD,USDSOS,USDCHF,USDCAD,USDCOP,USDPEN,USDARS,USDNOK,USDDKK,USDNZD,USDAUD,USDKRW,USDCLP,ARSUSD,ARSCNY,ARSBRL,ARSRUB,ARSEUR,ARSGBP,ARSCHF,ARSCAD,ARSAUD,AUDUSD,AUDTRY,AUDILS,AUDCNY,AUDSGD,AUDHKD,AUDKRW,AUDBRL,AUDTWD,AUDZAR,AUDPLN,AUDHUF,AUDCZK,AUDRUB,AUDEUR,AUDGBP,AUDCHF,AUDCAD,AUDARS,AUDNOK,AUDDKK,AUDNZD,BRLUSD,BRLCNY,BRLKRW,BRLRUB,BRLGBP,BRLCHF,BRLCAD,BRLCLP,BRLEUR,BRLARS,CADMXN,CADUSD,CADTRY,CADILS,CADCNY,CADSGD,CADHKD,CADKRW,CADBRL,CADTWD,CADZAR,CADPLN,CADHUF,CADCZK,CADRUB,CADEUR,CADGBP,CADMAD,CADCHF,CADCOP,CADARS,CADNOK,CADDKK,CADNZD,CADAUD,CHFMXN,CHFUSD,CHFTRY,CHFILS,CHFCNY,CHFSGD,CHFHKD,CHFKRW,CHFBRL,CHFZAR,CHFPLN,CHFHUF,CHFCZK,CHFRUB,CHFEUR,CHFGBP,CHFCAD,CHFNOK,CHFDKK,CHFNZD,CHFAUD,CLPUSD,CNHUSD,CNHHKD,CNYUSD,CNYCNH,CNYSGD,CNYHKD,CNYKRW,CNYTWD,CNYRUB,CNYEUR,CNYGBP,CNYCHF,CNYCAD,CNYNZD,CNYAUD
2013-05-26,4,4,79,7,12,35,17,11,19,8,18,57,27,1,19,4,0,0,0,12,22,23,22,0,21,22,32,33,18,18,0,0,0,0,0,0,44,0,0,74,15,0,33,55,46,61,0,18,45,0,36,0,0,38,12,26,41,45,43,0,37,46,0,82,0,0,43,48,0,0,0,0,22,0,33,0,30,25,0,0,0,0,0,0,0,33,10,46,0,53,0,36,0,0,0,47,75,8,0,0,0,74,0,0,0,0,20,25,0,47,7,49,0,25,0,0,0,0,32,0,28,0,0,19,27,0,0,41,38,0,0,0,0
2013-06-02,3,8,57,12,8,31,23,22,15,10,19,0,37,1,18,10,0,28,0,9,13,29,37,0,12,37,24,47,20,21,0,0,0,0,0,0,0,0,0,88,27,0,50,100,51,46,0,17,39,0,0,0,0,55,14,39,27,0,0,48,25,0,0,0,0,0,0,24,0,41,0,0,15,0,0,0,30,41,0,45,0,87,0,0,0,0,23,30,0,35,0,38,0,0,0,0,100,6,0,0,0,37,0,0,0,64,12,0,0,0,4,33,0,25,0,0,0,43,31,0,0,0,57,21,0,0,0,0,0,0,0,0,0
2013-06-09,2,8,56,4,11,33,19,19,19,12,15,30,27,0,34,7,0,0,0,16,16,17,49,44,12,30,36,50,40,18,0,0,0,0,0,0,50,0,0,84,15,49,39,99,50,0,0,0,34,0,0,0,0,42,21,52,30,0,0,0,22,27,0,0,0,0,0,41,0,41,0,0,19,0,0,30,30,0,0,80,0,0,0,0,0,0,0,0,0,39,0,24,64,0,0,0,0,11,0,0,0,0,0,0,0,96,14,25,0,0,8,28,0,0,0,0,0,0,0,60,12,0,57,15,0,0,0,0,0,0,0,0,65
2013-06-16,4,8,50,4,9,31,17,22,17,7,36,33,19,2,25,6,75,0,0,15,20,23,19,0,23,33,21,24,60,19,0,0,0,0,0,0,59,0,0,76,14,0,66,63,63,61,0,0,0,0,0,0,0,69,10,53,100,0,0,0,44,30,0,0,0,0,0,61,0,0,85,0,12,61,0,0,30,35,0,0,41,0,0,0,0,0,35,0,0,27,0,52,0,0,0,0,0,8,0,0,0,0,0,0,39,56,7,25,0,0,7,25,31,0,0,0,29,0,0,0,0,0,0,16,0,0,0,42,38,0,0,0,50
2013-06-23,4,8,79,4,13,49,12,13,11,12,36,66,19,1,27,5,0,0,0,12,27,19,19,35,38,0,29,30,71,19,50,0,0,0,73,0,0,0,0,82,0,100,34,43,63,0,38,0,35,0,0,0,0,60,22,46,24,45,43,0,30,47,0,0,0,0,0,24,0,0,0,0,18,0,0,30,30,23,0,0,0,0,0,0,0,0,14,23,0,27,0,73,0,33,0,0,0,7,43,0,43,50,0,0,0,0,21,0,0,0,5,38,0,25,75,0,0,0,0,0,0,0,67,19,0,0,0,0,0,0,0,0,0
2013-06-30,3,4,52,16,9,36,24,21,11,11,11,25,19,1,16,8,0,29,0,9,23,20,26,0,27,18,44,46,56,57,0,0,0,0,0,0,62,0,0,82,14,0,60,87,43,64,0,70,47,0,0,0,0,36,16,68,19,0,44,50,36,28,78,0,0,0,0,45,0,47,0,0,22,0,0,36,31,24,51,0,0,45,0,0,0,0,0,24,0,27,0,55,0,0,0,0,0,8,0,0,0,0,0,0,40,0,10,26,0,0,3,25,86,36,0,0,30,0,0,0,13,0,0,0,0,32,0,0,39,0,0,0,0
2013-07-07,3,8,35,4,9,43,9,23,8,7,9,29,0,1,28,7,0,29,0,10,22,20,0,0,20,47,29,31,59,32,45,0,0,0,75,0,0,0,0,91,19,0,27,43,41,47,39,17,46,0,0,0,0,22,15,32,17,0,50,0,32,47,0,0,0,0,0,42,0,0,0,0,27,0,26,31,31,34,68,0,0,0,0,42,0,0,21,0,0,0,0,25,0,0,0,0,0,13,0,37,0,44,0,0,0,0,0,13,0,0,5,25,32,26,0,0,0,0,0,0,22,0,0,25,0,32,0,0,0,0,0,0,0
2013-07-14,2,4,74,7,9,39,17,13,14,6,20,29,29,1,15,7,0,0,0,10,22,18,39,0,12,23,22,30,28,22,45,0,0,0,75,0,0,0,0,77,16,0,36,57,32,48,0,23,0,33,38,0,0,53,7,75,19,0,0,0,26,32,0,0,0,0,0,63,0,44,0,0,17,0,26,31,0,24,52,0,0,0,0,0,0,0,12,48,0,27,0,37,0,34,76,0,0,9,38,0,0,0,50,0,0,0,12,0,0,0,5,26,0,26,0,88,30,0,0,0,25,0,0,21,0,33,0,0,0,0,0,0,0
2013-07-21,3,5,29,0,5,30,6,9,8,7,18,38,51,1,17,5,0,0,0,12,18,26,19,36,13,17,22,21,48,19,0,0,0,0,0,0,45,0,96,60,0,0,35,48,21,64,0,34,0,0,0,0,0,44,7,37,21,46,44,50,45,28,0,0,0,0,0,36,0,49,0,0,15,0,0,0,0,0,0,0,0,0,45,0,0,0,14,23,0,0,0,28,0,0,0,56,0,13,38,0,0,0,0,0,0,0,0,17,0,0,6,25,0,26,0,0,30,0,0,23,23,0,0,0,0,43,0,0,39,0,0,0,51
2013-07-28,1,5,23,0,7,36,12,26,16,7,17,38,0,1,22,4,76,28,0,9,15,52,0,53,12,17,44,39,27,32,0,0,0,0,0,0,0,0,0,76,28,0,47,51,35,62,0,19,35,0,49,0,0,57,27,28,14,0,0,57,54,27,0,0,0,0,0,49,0,49,0,0,12,0,25,31,0,23,0,0,0,0,44,0,0,0,11,71,0,27,0,33,0,0,74,0,0,6,0,0,0,33,0,0,0,0,8,0,0,0,3,25,0,26,0,0,0,0,0,0,25,0,59,15,0,0,0,0,0,0,0,0,0
