date,USDMXN,USDTRY,USDILS
2014-08-24,2,9,61
2014-08-31,2,8,53
2014-09-07,2,13,60
2014-09-14,2,11,26
2014-09-21,3,11,46
2014-09-28,2,20,26
2014-10-05,3,22,53
2014-10-12,3,12,65
2014-10-19,3,19,39
2014-10-26,3,11,71
2014-11-02,3,8,50
2014-11-09,3,9,44
2014-11-16,2,8,30
2014-11-23,2,7,57
2014-11-30,4,6,87
2014-12-07,7,15,89
2014-12-14,5,28,53
2014-12-21,3,11,20
2014-12-28,2,9,38
2015-01-04,5,9,50
2015-01-11,5,10,60
2015-01-18,4,10,72
2015-01-25,5,17,53
2015-02-01,4,16,36
2015-02-08,5,19,30
2015-02-15,3,8,36
2015-02-22,4,14,41
2015-03-01,3,27,47
2015-03-08,6,21,47
2015-03-15,3,23,83
2015-03-22,3,16,32
2015-03-29,3,17,59
2015-04-05,4,19,38
2015-04-12,3,21,41
2015-04-19,5,16,36
2015-04-26,3,19,42
2015-05-03,3,20,24
2015-05-10,3,16,0
2015-05-17,2,17,28
2015-05-24,3,13,16
2015-05-31,4,19,56
2015-06-07,3,39,24
2015-06-14,4,19,47
2015-06-21,2,18,59
2015-06-28,5,16,42
2015-07-05,5,15,54
2015-07-12,4,18,49
2015-07-19,7,23,57
2015-07-26,5,22,47
2015-08-02,6,20,60
2015-08-09,5,24,57
2015-08-16,9,43,53
2015-08-23,10,25,58
2015-08-30,9,21,29
2015-09-06,4,26,40
2015-09-13,5,29,28
2015-09-20,7,17,34
2015-09-27,7,21,44
2015-10-04,4,29,44
2015-10-11,4,30,35
2015-10-18,4,16,27
2015-10-25,4,21,39
2015-11-01,5,44,60
2015-11-08,4,26,26
2015-11-15,5,21,60
2015-11-22,3,29,33
2015-11-29,3,27,59
2015-12-06,6,25,26
2015-12-13,8,28,45
2015-12-20,4,25,43
2015-12-27,4,16,68
2016-01-03,7,34,65
2016-01-10,10,28,34
2016-01-17,12,18,29
2016-01-24,7,26,52
2016-01-31,5,25,40
2016-02-07,8,26,23
2016-02-14,10,27,31
2016-02-21,8,20,45
2016-02-28,7,28,61
2016-03-06,6,26,45
2016-03-13,6,32,57
2016-03-20,5,31,18
2016-03-27,6,25,75
2016-04-03,6,26,40
2016-04-10,7,20,63
2016-04-17,5,18,57
2016-04-24,5,20,51
2016-05-01,4,31,52
2016-05-08,6,23,69
2016-05-15,7,23,45
2016-05-22,7,26,37
2016-05-29,7,23,18
2016-06-05,9,22,35
2016-06-12,6,22,48
2016-06-19,14,27,59
2016-06-26,11,25,53
2016-07-03,8,14,56
2016-07-10,4,48,36
2016-07-17,5,96,56
2016-07-24,7,26,49
2016-07-31,5,27,43
2016-08-07,6,25,35
2016-08-14,7,21,20
2016-08-21,6,17,25
2016-08-28,7,19,66
2016-09-04,6,18,67
2016-09-11,13,13,48
2016-09-18,13,17,71
2016-09-25,19,25,35
2016-10-02,8,21,52
2016-10-09,17,26,27
2016-10-16,14,23,23
2016-10-23,11,18,32
2016-10-30,22,27,48
2016-11-06,100,47,45
2016-11-13,26,51,46
2016-11-20,12,43,51
2016-11-27,12,56,39
2016-12-04,11,74,76
2016-12-11,11,59,44
2016-12-18,9,36,41
2016-12-25,6,25,24
2017-01-01,21,41,46
2017-01-08,23,100,42
2017-01-15,21,56,38
2017-01-22,30,60,27
2017-01-29,18,58,58
2017-02-05,17,44,44
2017-02-12,14,32,47
2017-02-19,17,33,42
2017-02-26,14,41,73
2017-03-05,13,30,63
2017-03-12,14,38,52
2017-03-19,12,30,26
2017-03-26,12,31,53
2017-04-02,12,30,37
2017-04-09,9,38,44
2017-04-16,10,56,44
2017-04-23,17,40,42
2017-04-30,8,36,27
2017-05-07,11,30,48
2017-05-14,9,36,34
2017-05-21,11,34,68
2017-05-28,9,30,34
2017-06-04,12,36,39
2017-06-11,13,33,39
2017-06-18,11,28,77
2017-06-25,12,16,57
2017-07-02,8,36,52
2017-07-09,10,21,46
2017-07-16,10,26,40
2017-07-23,11,26,68
2017-07-30,7,21,89
2017-08-06,9,22,71
2017-08-13,8,14,56
2017-08-20,10,22,69
2017-08-27,7,19,50
2017-09-03,6,23,60
2017-09-10,6,29,38
2017-09-17,8,28,51
2017-09-24,9,32,54
2017-10-01,8,24,21
2017-10-08,12,62,43
2017-10-15,15,26,75
2017-10-22,12,50,69
2017-10-29,12,41,36
2017-11-05,7,38,35
2017-11-12,8,36,32
2017-11-19,7,57,50
2017-11-26,12,48,97
2017-12-03,10,42,78
2017-12-10,11,43,62
2017-12-17,14,34,86
2017-12-24,17,35,64
2017-12-31,9,12,79
