date,USDMXN,USDTRY,USDILS,USDCNH,USDCNY,USDSGD,USDHKD,USDBRL,USDTWD,USDZAR,USDPLN,USDHUF,USDCZK,USDRUB,USDEUR,USDGBP,USDTRL,USDMAD,USDSOS,USDCHF,USDCAD,USDCOP,USDPEN
2013-11-10,4,5,47,5,9,36,10,17,7,7,9,50,26,0,26,5,0,0,0,11,11,40,18
2013-11-17,3,6,45,6,11,31,13,12,14,8,21,26,17,1,17,5,0,0,0,14,13,21,23
2013-11-24,1,5,33,5,5,23,13,15,7,7,14,61,19,1,24,9,0,0,0,10,18,16,23
2013-12-01,2,3,18,4,8,18,14,11,13,11,24,27,0,1,24,7,0,0,0,10,25,21,17
2013-12-08,2,6,54,14,7,27,11,10,10,10,12,45,0,1,19,8,0,0,0,15,18,31,17
2013-12-15,2,9,41,8,8,22,5,26,11,7,22,68,0,1,24,10,71,26,0,13,17,16,24
2013-12-22,3,16,37,6,6,19,8,9,14,8,0,29,0,2,21,5,0,0,0,10,13,0,0
2013-12-29,2,12,39,4,9,15,11,7,9,10,26,48,0,1,14,5,0,28,0,8,15,23,0
2014-01-05,2,7,35,5,8,25,10,16,15,11,16,30,0,1,21,9,0,0,0,10,32,21,23
2014-01-12,3,11,17,7,11,28,12,16,20,15,12,21,33,2,24,5,67,25,0,11,32,15,17
2014-01-19,4,18,31,13,7,23,9,17,15,15,20,21,16,3,20,6,0,0,0,15,39,34,25
2014-01-26,4,47,25,12,9,25,18,26,7,18,17,58,28,4,21,7,65,0,0,13,38,30,0
2014-02-02,4,19,33,6,7,34,18,18,8,9,21,60,19,3,15,4,0,0,0,17,32,37,17
2014-02-09,3,10,18,3,9,30,11,15,0,10,14,46,0,2,19,9,0,0,0,14,20,25,16
2014-02-16,3,12,30,15,13,29,22,18,10,8,20,47,56,3,23,7,0,0,0,13,30,37,22
2014-02-23,2,14,43,37,42,32,15,16,0,9,15,31,18,4,26,6,64,0,100,16,21,17,0
2014-03-02,2,14,38,25,21,29,35,15,17,11,23,31,16,10,33,8,0,0,0,13,25,24,22
2014-03-09,1,8,20,18,19,25,12,9,10,9,16,31,19,5,24,11,0,0,0,17,19,15,16
2014-03-16,3,10,39,22,41,29,21,16,8,9,23,52,0,5,24,6,0,25,0,12,31,15,0
2014-03-23,1,12,37,23,26,25,16,16,11,5,8,33,16,3,31,8,0,0,0,9,31,39,0
2014-03-30,2,14,25,20,20,27,15,27,15,6,26,16,22,2,30,12,0,0,0,12,23,15,0
2014-04-06,2,8,39,11,16,34,18,17,20,7,20,74,0,2,20,3,0,0,0,10,22,33,0
2014-04-13,1,5,21,14,10,20,11,8,11,5,16,30,45,3,14,10,0,0,0,9,17,31,0
2014-04-20,2,10,18,14,17,28,15,12,15,8,16,34,0,2,20,6,0,0,0,11,18,22,0
2014-04-27,1,5,51,8,19,21,18,13,18,4,24,26,33,3,27,6,0,25,0,10,18,25,25
2014-05-04,4,7,51,18,18,27,11,14,7,5,28,26,0,1,32,9,0,0,0,9,20,32,22
2014-05-11,1,8,25,9,13,16,19,14,0,5,20,43,16,2,27,8,0,0,0,12,19,15,16
2014-05-18,1,6,33,9,10,22,16,12,12,6,17,33,26,2,16,8,0,0,0,7,12,21,0
2014-05-25,2,10,19,13,14,13,10,14,9,5,9,37,18,2,16,8,0,0,0,11,12,19,0
2014-06-01,3,6,49,17,7,20,16,14,0,8,25,37,18,1,22,12,0,0,0,12,19,0,0
2014-06-08,2,7,35,13,11,16,12,13,0,13,22,29,21,2,17,4,0,28,0,9,14,19,0
2014-06-15,2,11,26,4,8,17,15,23,15,8,18,84,21,1,28,6,0,27,0,10,17,18,19
2014-06-22,1,7,58,11,9,17,11,13,8,8,32,29,54,1,14,7,0,0,0,7,17,17,0
2014-06-29,3,6,36,7,6,21,28,13,8,9,10,18,21,1,28,3,0,0,0,9,21,17,19
2014-07-06,3,5,39,11,7,23,20,15,20,4,9,37,18,1,21,7,74,32,0,5,17,29,19
2014-07-13,1,7,20,8,5,29,13,9,19,6,26,22,18,2,30,10,0,37,0,8,21,29,0
2014-07-20,1,7,21,9,6,23,25,10,11,7,10,18,25,4,16,9,0,0,0,8,17,34,0
2014-07-27,2,12,23,11,7,24,12,16,8,9,18,42,19,4,17,8,0,0,0,9,21,23,19
2014-08-03,1,15,20,20,9,26,17,15,12,8,28,49,29,3,16,9,0,0,0,8,22,20,19
2014-08-10,3,11,42,17,5,37,12,8,9,6,22,37,20,2,29,8,0,0,0,7,13,31,0
2014-08-17,2,13,38,14,4,24,9,14,14,6,22,32,33,2,22,7,73,0,0,10,19,28,0
2014-08-24,2,9,61,8,7,18,17,8,7,3,30,28,17,3,29,8,0,27,0,10,21,24,18
2014-08-31,2,8,53,10,6,30,11,14,18,3,31,26,20,5,38,10,0,0,0,12,19,27,18
2014-09-07,2,13,60,10,10,30,16,17,14,9,17,38,0,3,35,15,0,26,0,14,22,21,18
2014-09-14,2,11,26,10,9,52,14,17,25,9,27,30,34,4,34,15,0,0,0,11,20,27,50
2014-09-21,3,11,46,7,9,36,11,20,10,7,15,16,0,5,35,9,0,0,0,15,23,78,0
2014-09-28,2,20,26,14,7,55,31,24,19,8,19,30,23,5,39,4,0,0,0,13,17,32,0
2014-10-05,3,22,53,10,8,43,24,17,8,9,21,44,19,5,49,11,0,26,0,12,24,31,17
2014-10-12,3,12,65,7,7,28,21,17,12,10,21,30,17,6,35,9,0,0,0,15,24,21,0
2014-10-19,3,19,39,6,4,28,9,17,14,6,15,15,19,6,29,10,0,44,0,9,15,34,17
2014-10-26,3,11,71,7,7,31,15,41,18,7,20,22,18,14,19,7,0,29,0,8,18,23,0
2014-11-02,3,8,50,12,10,43,11,15,22,7,15,43,65,18,37,7,0,33,0,11,34,33,0
2014-11-09,3,9,44,8,9,25,13,25,14,4,27,16,16,15,32,9,0,0,0,10,24,28,17
2014-11-16,2,8,30,16,11,43,15,15,22,5,23,16,16,9,30,10,0,100,0,10,24,39,22
2014-11-23,2,7,57,17,10,29,12,15,12,6,26,29,16,10,26,7,0,0,0,8,22,44,22
2014-11-30,4,6,87,9,7,34,26,16,19,6,28,25,28,23,19,9,0,0,0,15,29,40,16
2014-12-07,7,15,89,12,18,41,26,16,14,11,20,29,28,17,38,9,0,0,0,10,21,44,0
2014-12-14,5,28,53,4,14,46,11,31,10,11,24,71,25,100,30,9,0,0,0,16,34,99,0
2014-12-21,3,11,20,8,7,22,11,9,14,4,19,89,18,26,22,6,100,0,0,11,24,54,22
2014-12-28,2,9,38,9,8,30,11,11,7,5,32,64,0,21,35,7,0,0,0,10,24,30,19
2015-01-04,5,9,50,10,10,37,12,22,14,6,46,67,47,21,61,11,0,41,0,20,29,53,16
2015-01-11,5,10,60,11,11,42,22,17,14,5,47,76,40,22,70,10,0,24,0,100,38,47,24
2015-01-18,4,10,72,18,16,41,24,23,26,5,79,100,35,12,91,10,0,23,0,48,62,34,0
2015-01-25,5,17,53,15,17,58,22,17,9,7,49,65,33,20,72,12,0,0,0,29,57,38,54
2015-02-01,4,16,36,26,18,44,13,17,9,9,32,79,28,14,53,12,0,0,0,21,66,53,18
2015-02-08,5,19,30,7,11,31,9,26,10,12,22,80,21,11,44,9,0,23,0,12,33,46,0
2015-02-15,3,8,36,7,8,15,10,15,8,6,14,46,27,7,34,11,0,0,0,16,39,42,22
2015-02-22,4,14,41,11,18,41,11,26,7,6,24,78,23,8,39,9,0,0,0,16,38,64,16
2015-03-01,3,27,47,13,19,45,18,43,14,7,35,74,17,6,46,11,68,35,0,15,31,26,27
2015-03-08,6,21,47,16,14,63,24,51,23,9,73,54,50,7,95,16,0,0,0,21,41,71,21
2015-03-15,3,23,83,13,13,69,25,42,16,12,46,64,35,7,81,11,0,46,0,22,47,60,15
2015-03-22,3,16,32,19,9,57,14,46,12,11,44,59,30,5,58,10,0,25,0,11,30,28,25
2015-03-29,3,17,59,5,11,37,9,33,19,8,36,57,32,4,47,10,0,24,0,11,26,21,19
2015-04-05,4,19,38,10,10,70,21,32,9,6,25,41,36,7,33,9,0,35,0,10,31,50,0
2015-04-12,3,21,41,7,11,62,25,31,25,7,35,50,15,10,52,11,0,31,0,11,49,62,31
2015-04-19,5,16,36,9,8,44,19,27,16,8,25,14,46,4,34,6,62,31,0,12,40,36,0
2015-04-26,3,19,42,11,8,73,15,32,19,8,33,35,21,4,46,10,0,24,0,14,28,22,16
2015-05-03,3,20,24,6,10,52,27,28,9,5,25,45,15,5,30,15,0,27,0,18,29,33,16
2015-05-10,3,16,0,5,7,50,24,23,14,8,38,55,38,4,34,8,0,23,0,15,34,30,16
2015-05-17,2,17,28,6,7,40,15,27,9,12,24,64,28,5,43,11,0,23,0,14,31,38,21
2015-05-24,3,13,16,6,7,53,15,24,21,6,43,68,31,4,37,10,0,47,0,11,40,42,0
2015-05-31,4,19,56,6,8,35,21,25,16,8,25,16,18,5,62,13,0,31,0,14,36,41,24
2015-06-07,3,39,24,10,5,41,17,20,19,8,16,75,31,5,32,10,62,31,0,11,32,24,16
2015-06-14,4,19,47,10,7,40,14,22,17,6,30,40,39,4,48,8,0,27,0,9,30,38,16
2015-06-21,2,18,59,7,6,35,14,19,23,9,33,55,46,3,37,13,0,24,0,13,29,21,21
2015-06-28,5,16,42,7,5,57,16,12,16,11,52,40,62,3,82,8,0,41,0,15,41,32,16
2015-07-05,5,15,54,12,14,41,12,21,12,7,63,55,28,5,85,7,62,27,0,13,45,38,16
2015-07-12,4,18,49,9,7,41,14,17,9,7,44,51,16,3,49,8,0,48,0,13,64,39,24
2015-07-19,7,23,57,11,10,47,14,32,26,10,19,61,27,3,28,7,0,48,0,13,44,58,0
2015-07-26,5,22,47,14,10,44,15,46,16,9,22,35,15,7,34,10,0,0,96,18,50,52,0
2015-08-02,6,20,60,9,5,40,8,43,19,6,25,81,39,10,32,8,0,23,0,16,50,42,16
2015-08-09,5,24,57,84,100,89,29,31,23,9,19,75,0,8,37,12,63,23,0,16,51,49,18
2015-08-16,9,43,53,37,37,72,20,49,25,11,27,41,30,9,50,11,61,0,70,15,51,61,40
2015-08-23,10,25,58,53,38,90,16,51,34,18,53,73,37,16,62,11,61,31,0,20,46,100,15
2015-08-30,9,21,29,23,25,52,19,48,29,13,16,84,22,8,37,10,0,0,0,13,47,81,53
2015-09-06,4,26,40,49,16,55,18,58,22,14,12,38,22,6,31,11,0,0,0,12,36,76,61
2015-09-13,5,29,28,28,16,61,11,47,20,13,31,47,29,4,37,10,0,0,0,12,33,68,22
2015-09-20,7,17,34,31,13,47,15,100,20,11,37,71,39,4,33,8,0,22,0,9,37,94,15
2015-09-27,7,21,44,22,9,56,13,61,21,13,15,37,14,3,34,11,0,0,0,12,33,63,17
2015-10-04,4,29,44,14,10,63,13,68,17,8,28,28,33,4,31,8,0,0,0,11,43,49,17
2015-10-11,4,30,35,16,11,90,14,48,34,5,21,42,26,4,35,8,0,29,0,14,38,78,17
2015-10-18,4,16,27,13,9,67,7,35,9,13,35,21,16,3,34,10,0,0,0,12,46,72,49
2015-10-25,4,21,39,17,17,57,16,30,15,13,43,41,36,2,28,3,0,25,0,15,37,48,14
2015-11-01,5,44,60,20,15,49,13,33,22,16,35,69,31,2,32,12,0,29,0,16,31,53,14
2015-11-08,4,26,26,21,14,49,11,34,12,15,35,60,21,3,33,9,0,22,0,14,32,62,25
2015-11-15,5,21,60,19,15,45,18,25,6,17,57,41,40,3,27,12,0,21,0,18,33,21,29
2015-11-22,3,29,33,23,12,47,9,33,19,15,42,25,21,4,31,9,0,0,0,20,32,49,22
2015-11-29,3,27,59,21,21,38,14,31,15,12,20,68,35,4,50,11,0,24,0,19,43,45,38
2015-12-06,6,25,26,41,26,33,11,36,17,43,35,41,36,8,44,9,0,0,0,19,61,84,16
2015-12-13,8,28,45,55,28,53,13,40,31,43,26,80,0,7,42,11,0,22,0,17,77,89,37
2015-12-20,4,25,43,28,11,28,11,49,17,18,20,43,16,6,24,9,0,24,0,15,58,55,16
2015-12-27,4,16,68,37,18,24,11,22,13,16,25,31,16,8,25,9,0,0,0,12,44,67,28
2016-01-03,7,34,65,100,59,51,10,54,37,26,30,54,26,9,34,13,61,31,0,17,65,61,18
2016-01-10,10,28,34,92,45,42,34,29,42,51,47,33,15,13,34,16,0,0,0,14,88,69,17
2016-01-17,12,18,29,48,24,31,100,41,28,29,47,30,27,20,30,13,81,0,0,14,100,62,17
2016-01-24,7,26,52,36,20,35,43,34,16,26,34,43,0,12,31,11,0,30,0,13,72,51,17
2016-01-31,5,25,40,45,26,49,38,25,21,30,29,40,17,6,36,14,0,0,0,15,69,25,23
2016-02-07,8,26,23,20,16,50,25,28,7,32,37,53,22,8,27,7,0,0,0,17,53,59,26
2016-02-14,10,27,31,31,25,38,21,19,7,26,36,52,21,6,30,12,0,0,0,15,49,59,43
2016-02-21,8,20,45,25,14,32,18,18,18,30,23,19,0,5,27,19,0,25,0,14,59,64,25
2016-02-28,7,28,61,16,19,43,12,45,11,29,28,28,14,4,24,11,0,63,91,12,53,54,51
2016-03-06,6,26,45,17,14,51,25,45,18,19,41,33,27,4,31,10,0,38,0,12,59,65,43
2016-03-13,6,32,57,12,16,45,11,59,21,30,31,38,29,6,30,7,0,44,0,12,54,41,43
2016-03-20,5,31,18,9,15,43,14,31,18,23,33,49,27,6,31,6,0,0,0,9,50,63,39
2016-03-27,6,25,75,21,14,41,14,44,13,26,37,38,30,3,21,10,61,0,0,13,51,29,33
2016-04-03,6,26,40,10,9,50,14,37,9,26,39,82,22,4,28,12,0,0,0,14,45,36,45
2016-04-10,7,20,63,12,9,56,27,45,29,29,31,53,44,3,35,7,0,0,0,18,59,51,33
2016-04-17,5,18,57,9,11,58,27,45,18,24,39,62,0,6,30,8,0,0,0,13,60,40,15
2016-04-24,5,20,51,10,13,43,7,28,9,14,52,38,50,4,18,9,0,0,0,10,46,47,40
2016-05-01,4,31,52,16,12,50,12,31,9,20,21,67,17,4,24,12,0,0,0,14,62,55,28
2016-05-08,6,23,69,13,11,43,13,52,25,25,32,48,15,2,21,5,0,0,0,13,46,30,44
2016-05-15,7,23,45,15,13,42,27,19,20,33,55,26,29,3,29,7,0,0,0,12,43,25,55
2016-05-22,7,26,37,21,13,51,10,18,11,24,34,53,15,3,29,10,0,0,0,15,41,40,31
2016-05-29,7,23,18,17,24,58,13,29,21,31,43,34,15,3,28,8,0,0,0,16,41,34,31
2016-06-05,9,22,35,15,10,34,17,38,16,32,27,63,17,2,29,9,0,33,0,19,42,37,53
2016-06-12,6,22,48,14,19,30,9,26,23,20,25,48,15,2,29,18,0,23,0,14,51,55,23
2016-06-19,14,27,59,16,25,68,9,36,16,40,65,69,20,5,76,100,0,23,0,17,59,64,39
2016-06-26,11,25,53,40,33,46,22,35,23,31,51,40,45,4,58,58,0,40,0,17,56,60,51
2016-07-03,8,14,56,27,22,53,25,25,10,25,26,36,22,2,43,36,0,33,0,12,41,27,36
2016-07-10,4,48,36,13,17,36,21,22,14,30,31,40,36,3,32,19,0,24,0,11,38,73,41
2016-07-17,5,96,56,16,14,29,19,25,15,26,34,52,0,1,28,16,0,24,0,10,50,43,33
2016-07-24,7,26,49,10,11,35,25,27,7,31,31,26,21,2,17,11,0,32,0,10,49,58,35
2016-07-31,5,27,43,8,14,47,15,32,24,41,17,36,35,2,29,13,0,24,0,12,44,39,17
2016-08-07,6,25,35,8,11,30,11,23,22,39,29,37,18,2,19,6,0,0,0,10,40,44,48
2016-08-14,7,21,20,19,8,25,15,22,23,26,36,23,17,3,20,13,69,0,0,13,37,46,31
2016-08-21,6,17,25,15,10,31,9,30,29,44,23,42,22,2,29,8,0,0,0,15,45,48,84
2016-08-28,7,19,66,11,17,46,20,31,28,42,41,30,15,3,21,9,0,63,0,12,46,61,40
2016-09-04,6,18,67,12,13,35,12,16,26,36,25,40,15,3,22,6,0,48,0,12,43,61,35
2016-09-11,13,13,48,7,12,36,15,23,16,27,38,35,15,2,18,10,0,0,0,9,51,76,80
2016-09-18,13,17,71,10,11,41,19,9,25,29,27,54,15,1,23,7,0,23,0,9,51,64,23
2016-09-25,19,25,35,11,7,36,13,13,14,23,40,29,15,2,23,8,0,23,0,12,52,67,79
2016-10-02,8,21,52,16,10,41,21,22,0,20,37,44,17,2,31,34,0,23,0,11,37,88,28
2016-10-09,17,26,27,28,20,53,17,20,21,33,40,59,28,2,20,20,62,0,0,13,44,30,39
2016-10-16,14,23,23,29,22,44,12,35,27,27,42,30,15,2,30,16,0,23,0,13,46,33,17
2016-10-23,11,18,32,38,22,31,15,30,11,23,29,19,26,2,28,13,0,0,0,19,54,37,50
2016-10-30,22,27,48,22,22,24,9,34,11,36,34,31,17,2,24,16,0,0,0,18,43,48,45
2016-11-06,100,47,45,38,33,100,16,65,20,46,59,71,29,4,87,32,68,22,0,20,89,86,81
2016-11-13,26,51,46,47,43,44,18,37,29,26,100,63,25,5,49,13,81,0,0,20,51,55,61
2016-11-20,12,43,51,29,38,50,18,19,13,33,65,52,33,2,43,9,80,0,0,16,43,40,49
2016-11-27,12,56,39,12,28,44,15,28,24,33,60,74,38,3,35,10,58,25,0,16,50,92,53
2016-12-04,11,74,76,43,94,36,10,32,8,33,49,54,38,3,49,13,0,39,0,15,44,52,68
2016-12-11,11,59,44,19,41,53,26,28,30,25,78,46,22,3,56,9,0,22,0,18,56,46,70
2016-12-18,9,36,41,27,30,44,22,22,18,17,54,34,15,4,46,7,0,23,0,13,39,28,80
2016-12-25,6,25,24,25,34,33,18,15,21,22,30,56,21,2,28,9,0,24,0,12,43,46,99
2017-01-01,21,41,46,51,31,51,14,19,22,23,42,53,15,2,32,10,0,30,0,11,43,41,66
2017-01-08,23,100,42,37,24,37,8,29,43,25,59,32,19,3,34,15,76,21,0,12,45,52,52
2017-01-15,21,56,38,14,21,45,17,29,25,22,34,22,19,2,30,22,0,0,0,12,50,48,88
2017-01-22,30,60,27,12,15,53,13,17,26,23,24,36,20,2,26,12,56,21,0,15,53,38,52
2017-01-29,18,58,58,8,12,41,18,18,21,28,43,26,24,2,36,17,74,24,0,14,45,25,87
2017-02-05,17,44,44,17,11,43,20,12,23,23,41,31,14,3,29,9,55,41,0,14,44,67,92
2017-02-12,14,32,47,12,8,34,28,27,26,43,52,31,15,3,26,11,0,20,0,11,39,33,45
2017-02-19,17,33,42,15,10,29,21,28,23,34,29,36,27,2,22,10,0,0,0,14,39,32,51
2017-02-26,14,41,73,12,11,38,19,18,30,28,20,35,13,2,26,12,0,0,0,14,68,33,65
2017-03-05,13,30,63,9,10,30,12,28,24,29,35,26,20,2,27,9,72,0,0,11,58,59,84
2017-03-12,14,38,52,15,15,44,15,28,18,29,47,24,0,2,34,10,0,0,0,10,46,30,69
2017-03-19,12,30,26,11,11,41,15,22,19,34,38,26,14,4,21,10,0,28,0,13,43,46,71
2017-03-26,12,31,53,12,13,44,19,26,19,100,41,49,39,2,32,13,0,24,0,15,38,44,51
2017-04-02,12,30,37,8,12,43,14,29,12,93,39,21,65,3,24,11,0,21,0,17,42,34,77
2017-04-09,9,38,44,10,9,37,10,23,17,49,25,23,41,2,23,8,0,43,0,13,38,31,47
2017-04-16,10,56,44,6,8,34,19,22,15,38,17,31,37,2,28,11,0,28,0,12,44,44,51
2017-04-23,17,40,42,9,8,47,20,23,29,31,55,44,14,2,42,9,55,0,0,11,74,50,51
2017-04-30,8,36,27,4,9,34,22,18,19,29,22,32,16,2,36,9,0,0,0,12,68,33,62
2017-05-07,11,30,48,8,9,38,30,19,20,22,41,44,27,2,25,8,0,0,0,10,53,42,81
2017-05-14,9,36,34,7,8,39,22,95,28,24,51,66,25,3,37,9,79,22,0,19,57,36,87
2017-05-21,11,34,68,7,11,39,22,42,24,38,60,62,17,1,35,9,0,22,0,20,40,47,82
2017-05-28,9,30,34,21,13,26,18,28,24,41,21,33,27,2,34,8,0,0,70,18,40,32,60
2017-06-04,12,36,39,13,10,18,21,32,17,28,33,28,29,2,36,19,0,0,0,16,37,39,64
2017-06-11,13,33,39,5,10,40,25,31,22,37,34,65,15,2,25,11,0,0,0,13,69,40,49
2017-06-18,11,28,77,7,11,31,22,28,13,33,25,37,28,3,25,9,0,0,0,12,39,49,25
2017-06-25,12,16,57,12,10,35,26,31,22,28,34,43,27,2,43,9,0,30,0,13,58,48,22
2017-07-02,8,36,52,5,12,38,14,29,25,26,53,24,15,2,32,9,0,46,0,11,52,30,61
2017-07-09,10,21,46,5,9,40,27,31,18,31,29,53,44,3,21,10,0,60,0,14,65,40,52
2017-07-16,10,26,40,4,11,40,21,24,29,31,53,92,42,3,25,10,0,34,0,13,56,44,56
2017-07-23,11,26,68,6,13,44,22,27,31,23,44,80,21,4,43,9,68,22,0,23,78,40,81
2017-07-30,7,21,89,5,11,30,25,33,28,34,48,97,47,2,34,8,58,0,0,18,65,48,75
2017-08-06,9,22,71,16,14,24,30,25,15,52,40,55,16,1,40,5,0,0,0,16,45,35,68
2017-08-13,8,14,56,9,8,34,24,23,9,25,32,29,26,1,36,8,0,0,0,14,42,19,54
2017-08-20,10,22,69,11,10,25,14,32,13,22,28,32,28,2,18,10,58,0,0,12,48,32,42
2017-08-27,7,19,50,14,12,28,25,25,19,29,38,42,28,1,43,12,0,21,0,16,51,31,33
2017-09-03,6,23,60,10,20,41,25,17,17,23,32,59,28,2,40,8,0,64,0,16,82,38,58
2017-09-10,6,29,38,9,19,26,16,23,17,25,37,59,15,3,34,13,0,24,0,12,50,24,57
2017-09-17,8,28,51,12,12,36,27,19,11,30,32,54,24,2,27,15,0,28,0,15,49,47,42
2017-09-24,9,32,54,6,14,37,23,29,12,26,57,63,0,2,38,15,57,0,0,13,55,38,41
2017-10-01,8,24,21,7,8,25,20,13,15,28,42,28,19,2,32,10,0,24,0,15,45,28,77
2017-10-08,12,62,43,11,9,33,29,12,16,28,30,37,27,1,20,10,56,21,0,15,38,48,41
2017-10-15,15,26,75,6,8,27,25,17,12,29,27,40,21,2,32,9,0,0,0,12,40,34,46
2017-10-22,12,50,69,8,10,36,20,32,11,40,31,53,30,2,34,9,0,21,0,18,49,64,61
2017-10-29,12,41,36,5,6,23,11,19,21,37,34,27,23,3,31,8,0,0,0,15,58,40,30
2017-11-05,7,38,35,9,8,28,19,19,8,31,59,52,23,2,34,7,0,0,0,17,47,33,60
2017-11-12,8,36,32,7,7,22,18,14,16,39,47,22,0,3,32,10,0,20,0,13,43,29,30
2017-11-19,7,57,50,6,9,30,18,9,16,40,38,39,15,2,29,7,55,0,0,16,37,36,45
2017-11-26,12,48,97,5,20,35,28,36,58,48,51,77,48,4,70,11,0,34,0,15,63,26,39
2017-12-03,10,42,78,5,17,36,28,37,100,42,36,70,15,4,100,20,0,30,0,13,67,43,32
2017-12-10,11,43,62,8,18,30,19,30,26,45,54,61,34,3,92,14,0,23,0,10,48,43,100
