date,USDMXN,USDTRY
2016-01-10,10,28
2016-01-17,12,18
2016-01-24,7,26
2016-01-31,5,25
2016-02-07,8,26
2016-02-14,10,27
2016-02-21,8,20
2016-02-28,7,28
2016-03-06,6,26
2016-03-13,6,32
2016-03-20,5,31
2016-03-27,6,25
2016-04-03,6,26
2016-04-10,7,20
2016-04-17,5,18
2016-04-24,5,20
2016-05-01,4,31
2016-05-08,6,23
2016-05-15,7,23
2016-05-22,7,26
2016-05-29,7,23
2016-06-05,9,22
2016-06-12,6,22
2016-06-19,14,27
2016-06-26,11,25
2016-07-03,8,14
2016-07-10,4,48
2016-07-17,5,96
2016-07-24,7,26
2016-07-31,5,27
2016-08-07,6,25
2016-08-14,7,21
2016-08-21,6,17
2016-08-28,7,19
2016-09-04,6,18
2016-09-11,13,13
2016-09-18,13,17
2016-09-25,19,25
2016-10-02,8,21
2016-10-09,17,26
2016-10-16,14,23
2016-10-23,11,18
2016-10-30,22,27
2016-11-06,100,47
2016-11-13,26,51
2016-11-20,12,43
2016-11-27,12,56
2016-12-04,11,74
2016-12-11,11,59
2016-12-18,9,36
2016-12-25,6,25
2017-01-01,21,41
2017-01-08,23,100
2017-01-15,21,56
2017-01-22,30,60
2017-01-29,18,58
2017-02-05,17,44
2017-02-12,14,32
2017-02-19,17,33
2017-02-26,14,41
2017-03-05,13,30
2017-03-12,14,38
2017-03-19,12,30
2017-03-26,12,31
2017-04-02,12,30
2017-04-09,9,38
2017-04-16,10,56
2017-04-23,17,40
2017-04-30,8,36
2017-05-07,11,30
2017-05-14,9,36
2017-05-21,11,34
2017-05-28,9,30
2017-06-04,12,36
2017-06-11,13,33
2017-06-18,11,28
2017-06-25,12,16
2017-07-02,8,36
2017-07-09,10,21
2017-07-16,10,26
2017-07-23,11,26
2017-07-30,7,21
2017-08-06,9,22
2017-08-13,8,14
2017-08-20,10,22
2017-08-27,7,19
2017-09-03,6,23
2017-09-10,6,29
2017-09-17,8,28
2017-09-24,9,32
2017-10-01,8,24
2017-10-08,12,62
2017-10-15,15,26
2017-10-22,12,50
2017-10-29,12,41
2017-11-05,7,38
2017-11-12,8,36
2017-11-19,7,57
2017-11-26,12,48
2017-12-03,10,42
2017-12-10,11,43
2017-12-17,14,34
2017-12-24,17,35
2017-12-31,9,12
