date,USDMXN,USDTRY,USDILS,USDCNH,USDCNY,USDSGD,USDHKD,USDBRL,USDTWD,USDZAR,USDPLN,USDHUF,USDCZK,USDRUB,USDEUR,USDGBP,USDTRL,USDMAD,USDSOS,USDCHF,USDCAD,USDCOP,USDPEN,USDARS,USDNOK,USDDKK,USDNZD,USDAUD,USDKRW,USDCLP,ARSUSD,ARSCNY,ARSBRL,ARSRUB,ARSEUR,ARSGBP,ARSCHF
2013-06-23,4,8,79,4,13,49,12,13,11,12,36,66,19,1,27,5,0,0,0,12,27,19,19,35,38,0,29,30,71,19,50,0,0,0,73,0,0
2013-06-30,3,4,52,16,9,36,24,21,11,11,11,25,19,1,16,8,0,29,0,9,23,20,26,0,27,18,44,46,56,57,0,0,0,0,0,0,62
2013-07-07,3,8,35,4,9,43,9,23,8,7,9,29,0,1,28,7,0,29,0,10,22,20,0,0,20,47,29,31,59,32,45,0,0,0,75,0,0
2013-07-14,2,4,74,7,9,39,17,13,14,6,20,29,29,1,15,7,0,0,0,10,22,18,39,0,12,23,22,30,28,22,45,0,0,0,75,0,0
2013-07-21,3,5,29,0,5,30,6,9,8,7,18,38,51,1,17,5,0,0,0,12,18,26,19,36,13,17,22,21,48,19,0,0,0,0,0,0,45
2013-07-28,1,5,23,0,7,36,12,26,16,7,17,38,0,1,22,4,76,28,0,9,15,52,0,53,12,17,44,39,27,32,0,0,0,0,0,0,0
2013-08-04,2,8,35,7,6,26,14,17,14,5,30,17,26,2,25,7,0,0,0,11,16,20,19,0,17,16,25,18,11,22,0,0,0,0,0,0,46
2013-08-11,5,7,37,6,9,39,9,25,16,5,27,34,22,1,30,7,0,0,0,11,19,18,0,27,30,31,25,37,28,19,0,0,0,0,0,0,0
2013-08-18,5,12,21,4,8,38,15,52,14,9,45,44,18,1,22,5,0,28,0,12,20,31,19,26,17,33,49,33,41,32,0,0,0,0,0,0,0
2013-08-25,4,17,56,4,8,26,11,35,8,10,22,24,24,1,21,8,0,0,0,8,23,18,19,25,16,29,42,26,56,33,0,0,0,0,0,0,43
2013-09-01,3,11,49,0,5,34,8,11,16,8,16,22,0,1,22,5,0,0,0,10,16,36,18,0,25,17,21,20,20,24,0,0,0,0,95,0,43
2013-09-08,4,13,41,4,7,43,16,17,11,5,20,32,17,1,21,5,0,53,0,8,21,28,0,0,32,16,30,34,48,35,42,0,0,0,0,0,42
2013-09-15,4,15,88,0,7,35,13,14,10,11,15,47,20,2,29,6,0,31,0,10,14,16,18,25,24,31,100,40,51,25,0,0,0,0,0,0,0
2013-09-22,2,7,75,5,9,32,12,20,15,6,19,46,18,1,16,8,73,0,0,13,14,57,0,0,16,22,0,23,52,17,41,0,0,0,0,0,0
2013-09-29,3,6,40,3,3,41,14,22,12,7,21,35,0,2,35,7,71,0,0,18,13,21,0,24,32,14,29,20,26,35,0,0,0,0,0,0,42
2013-10-06,3,4,61,5,5,27,14,9,17,4,31,34,40,2,25,7,0,35,0,11,16,18,0,33,16,43,35,28,35,30,42,0,0,0,0,0,0
2013-10-13,3,6,41,5,12,35,9,9,22,6,31,68,24,0,25,5,0,0,0,17,13,0,18,0,20,14,29,15,25,17,0,0,0,0,0,0,41
2013-10-20,3,3,47,5,8,37,14,13,13,6,18,28,20,1,16,6,0,0,0,17,13,18,23,32,37,32,78,28,38,39,0,0,0,0,0,0,0
2013-10-27,2,5,27,4,7,32,8,12,11,4,15,90,30,1,33,6,0,26,0,15,15,48,0,25,22,26,20,20,47,23,41,0,0,0,68,0,76
2013-11-03,5,7,31,5,10,26,23,15,25,8,29,50,17,1,42,6,0,30,0,12,22,32,0,26,27,19,39,17,22,25,0,0,0,0,68,0,55
2013-11-10,4,5,47,5,9,36,10,17,7,7,9,50,26,0,26,5,0,0,0,11,11,40,18,0,16,14,20,25,37,0,41,0,0,0,0,0,0
2013-11-17,3,6,45,6,11,31,13,12,14,8,21,26,17,1,17,5,0,0,0,14,13,21,23,0,11,24,26,27,46,19,0,0,0,0,0,0,0
2013-11-24,1,5,33,5,5,23,13,15,7,7,14,61,19,1,24,9,0,0,0,10,18,16,23,0,51,24,53,17,29,17,0,0,0,0,0,0,0
2013-12-01,2,3,18,4,8,18,14,11,13,11,24,27,0,1,24,7,0,0,0,10,25,21,17,24,27,13,19,13,17,22,39,0,0,0,0,0,0
2013-12-08,2,6,54,14,7,27,11,10,10,10,12,45,0,1,19,8,0,0,0,15,18,31,17,24,19,0,20,25,37,17,0,0,0,0,0,0,0
2013-12-15,2,9,41,8,8,22,5,26,11,7,22,68,0,1,24,10,71,26,0,13,17,16,24,25,38,38,0,8,28,50,0,0,0,0,0,74,41
2013-12-22,3,16,37,6,6,19,8,9,14,8,0,29,0,2,21,5,0,0,0,10,13,0,0,54,18,0,0,21,49,0,0,0,0,0,0,0,0
2013-12-29,2,12,39,4,9,15,11,7,9,10,26,48,0,1,14,5,0,28,0,8,15,23,0,26,23,22,21,16,30,36,0,0,0,0,0,0,0
2014-01-05,2,7,35,5,8,25,10,16,15,11,16,30,0,1,21,9,0,0,0,10,32,21,23,41,31,27,35,24,42,16,45,0,83,0,0,0,40
2014-01-12,3,11,17,7,11,28,12,16,20,15,12,21,33,2,24,5,67,25,0,11,32,15,17,0,26,31,25,26,33,28,0,0,0,0,65,0,39
2014-01-19,4,18,31,13,7,23,9,17,15,15,20,21,16,3,20,6,0,0,0,15,39,34,25,83,10,14,27,21,26,18,65,0,0,0,0,0,0
2014-01-26,4,47,25,12,9,25,18,26,7,18,17,58,28,4,21,7,65,0,0,13,38,30,0,100,33,29,54,18,53,28,0,0,0,0,0,0,44
2014-02-02,4,19,33,6,7,34,18,18,8,9,21,60,19,3,15,4,0,0,0,17,32,37,17,35,18,41,19,19,18,17,80,0,0,0,0,0,0
2014-02-09,3,10,18,3,9,30,11,15,0,10,14,46,0,2,19,9,0,0,0,14,20,25,16,24,10,22,21,26,14,21,0,0,0,0,0,0,0
2014-02-16,3,12,30,15,13,29,22,18,10,8,20,47,56,3,23,7,0,0,0,13,30,37,22,39,15,18,37,21,16,24,0,0,0,0,0,0,0
2014-02-23,2,14,43,37,42,32,15,16,0,9,15,31,18,4,26,6,64,0,100,16,21,17,0,0,29,15,36,39,23,16,0,0,0,0,0,0,38
2014-03-02,2,14,38,25,21,29,35,15,17,11,23,31,16,10,33,8,0,0,0,13,25,24,22,0,33,20,19,16,18,32,38,0,0,0,0,0,0
2014-03-09,1,8,20,18,19,25,12,9,10,9,16,31,19,5,24,11,0,0,0,17,19,15,16,23,44,35,28,16,15,28,0,0,0,0,0,0,38
2014-03-16,3,10,39,22,41,29,21,16,8,9,23,52,0,5,24,6,0,25,0,12,31,15,0,68,35,0,47,23,15,35,0,0,0,0,0,0,77
2014-03-23,1,12,37,23,26,25,16,16,11,5,8,33,16,3,31,8,0,0,0,9,31,39,0,23,25,15,32,18,14,46,37,0,0,0,0,0,57
2014-03-30,2,14,25,20,20,27,15,27,15,6,26,16,22,2,30,12,0,0,0,12,23,15,0,23,15,20,21,23,20,27,0,0,0,0,0,0,0
2014-04-06,2,8,39,11,16,34,18,17,20,7,20,74,0,2,20,3,0,0,0,10,22,33,0,61,23,39,19,18,44,18,0,0,0,0,0,0,39
2014-04-13,1,5,21,14,10,20,11,8,11,5,16,30,45,3,14,10,0,0,0,9,17,31,0,0,21,16,22,19,21,19,44,0,0,0,0,0,0
2014-04-20,2,10,18,14,17,28,15,12,15,8,16,34,0,2,20,6,0,0,0,11,18,22,0,31,19,27,0,25,24,24,0,0,0,0,0,0,0
2014-04-27,1,5,51,8,19,21,18,13,18,4,24,26,33,3,27,6,0,25,0,10,18,25,25,23,10,23,19,13,39,24,0,0,0,0,0,0,0
2014-05-04,4,7,51,18,18,27,11,14,7,5,28,26,0,1,32,9,0,0,0,9,20,32,22,0,22,13,18,23,29,18,0,0,0,0,0,0,0
2014-05-11,1,8,25,9,13,16,19,14,0,5,20,43,16,2,27,8,0,0,0,12,19,15,16,0,10,15,32,21,41,18,0,0,0,0,0,0,0
2014-05-18,1,6,33,9,10,22,16,12,12,6,17,33,26,2,16,8,0,0,0,7,12,21,0,24,12,0,29,15,56,17,0,0,0,0,0,0,0
2014-05-25,2,10,19,13,14,13,10,14,9,5,9,37,18,2,16,8,0,0,0,11,12,19,0,51,11,15,24,17,46,0,0,0,0,0,0,0,0
2014-06-01,3,6,49,17,7,20,16,14,0,8,25,37,18,1,22,12,0,0,0,12,19,0,0,0,19,25,0,14,62,18,42,0,0,0,0,0,0
2014-06-08,2,7,35,13,11,16,12,13,0,13,22,29,21,2,17,4,0,28,0,9,14,19,0,34,17,17,21,18,49,18,0,0,0,0,0,0,50
2014-06-15,2,11,26,4,8,17,15,23,15,8,18,84,21,1,28,6,0,27,0,10,17,18,19,26,25,27,21,14,20,36,0,0,0,0,0,0,0
2014-06-22,1,7,58,11,9,17,11,13,8,8,32,29,54,1,14,7,0,0,0,7,17,17,0,26,25,17,42,21,45,18,0,0,0,0,0,0,44
2014-06-29,3,6,36,7,6,21,28,13,8,9,10,18,21,1,28,3,0,0,0,9,21,17,19,26,34,0,32,24,64,18,0,0,0,0,0,0,0
2014-07-06,3,5,39,11,7,23,20,15,20,4,9,37,18,1,21,7,74,32,0,5,17,29,19,26,34,0,0,20,49,18,0,0,0,0,0,0,50
2014-07-13,1,7,20,8,5,29,13,9,19,6,26,22,18,2,30,10,0,37,0,8,21,29,0,0,20,15,36,15,37,21,0,0,0,0,0,0,44
2014-07-20,1,7,21,9,6,23,25,10,11,7,10,18,25,4,16,9,0,0,0,8,17,34,0,35,34,15,21,16,27,0,0,0,0,0,0,0,43
2014-07-27,2,12,23,11,7,24,12,16,8,9,18,42,19,4,17,8,0,0,0,9,21,23,19,57,25,20,24,8,34,27,44,0,0,0,0,0,44
2014-08-03,1,15,20,20,9,26,17,15,12,8,28,49,29,3,16,9,0,0,0,8,22,20,19,27,22,16,22,0,24,19,0,0,0,0,0,0,0
2014-08-10,3,11,42,17,5,37,12,8,9,6,22,37,20,2,29,8,0,0,0,7,13,31,0,0,21,0,24,24,36,36,0,0,0,0,0,0,0
2014-08-17,2,13,38,14,4,24,9,14,14,6,22,32,33,2,22,7,73,0,0,10,19,28,0,0,37,17,21,14,13,18,0,0,0,0,0,0,49
2014-08-24,2,9,61,8,7,18,17,8,7,3,30,28,17,3,29,8,0,27,0,10,21,24,18,0,15,14,22,8,19,52,0,0,0,0,0,0,0
2014-08-31,2,8,53,10,6,30,11,14,18,3,31,26,20,5,38,10,0,0,0,12,19,27,18,0,35,14,43,23,25,17,0,0,0,0,0,0,41
2014-09-07,2,13,60,10,10,30,16,17,14,9,17,38,0,3,35,15,0,26,0,14,22,21,18,32,31,32,20,14,40,37,0,0,0,0,67,0,54
2014-09-14,2,11,26,10,9,52,14,17,25,9,27,30,34,4,34,15,0,0,0,11,20,27,50,24,35,14,36,15,22,51,53,0,0,0,0,0,41
2014-09-21,3,11,46,7,9,36,11,20,10,7,15,16,0,5,35,9,0,0,0,15,23,78,0,32,27,14,19,27,15,25,0,0,0,0,0,0,0
2014-09-28,2,20,26,14,7,55,31,24,19,8,19,30,23,5,39,4,0,0,0,13,17,32,0,42,39,32,45,19,22,31,47,0,0,0,0,0,0
2014-10-05,3,22,53,10,8,43,24,17,8,9,21,44,19,5,49,11,0,26,0,12,24,31,17,0,31,21,34,26,22,31,40,0,0,0,90,0,0
2014-10-12,3,12,65,7,7,28,21,17,12,10,21,30,17,6,35,9,0,0,0,15,24,21,0,0,31,16,19,30,29,19,0,0,0,0,0,0,0
2014-10-19,3,19,39,6,4,28,9,17,14,6,15,15,19,6,29,10,0,44,0,9,15,34,17,24,15,18,29,26,27,25,40,0,0,0,0,0,0
2014-10-26,3,11,71,7,7,31,15,41,18,7,20,22,18,14,19,7,0,29,0,8,18,23,0,24,24,27,33,13,15,16,0,0,0,0,66,0,40
2014-11-02,3,8,50,12,10,43,11,15,22,7,15,43,65,18,37,7,0,33,0,11,34,33,0,23,41,19,22,11,33,32,0,0,0,0,0,0,0
2014-11-09,3,9,44,8,9,25,13,25,14,4,27,16,16,15,32,9,0,0,0,10,24,28,17,39,33,15,19,25,32,37,0,0,0,0,0,0,39
2014-11-16,2,8,30,16,11,43,15,15,22,5,23,16,16,9,30,10,0,100,0,10,24,39,22,0,24,20,19,19,27,19,52,0,0,0,0,0,0
2014-11-23,2,7,57,17,10,29,12,15,12,6,26,29,16,10,26,7,0,0,0,8,22,44,22,0,26,18,19,8,24,24,0,0,0,0,0,0,39
2014-11-30,4,6,87,9,7,34,26,16,19,6,28,25,28,23,19,9,0,0,0,15,29,40,16,41,48,0,20,34,20,16,51,0,0,0,0,0,0
2014-12-07,7,15,89,12,18,41,26,16,14,11,20,29,28,17,38,9,0,0,0,10,21,44,0,0,41,34,22,25,24,16,0,0,0,0,0,0,0
2014-12-14,5,28,53,4,14,46,11,31,10,11,24,71,25,100,30,9,0,0,0,16,34,99,0,27,100,50,22,45,27,28,0,100,0,0,0,0,100
2014-12-21,3,11,20,8,7,22,11,9,14,4,19,89,18,26,22,6,100,0,0,11,24,54,22,0,33,34,21,15,17,20,58,0,0,0,0,0,44
2014-12-28,2,9,38,9,8,30,11,11,7,5,32,64,0,21,35,7,0,0,0,10,24,30,19,43,57,16,28,26,9,18,0,0,0,0,0,0,43
2015-01-04,5,9,50,10,10,37,12,22,14,6,46,67,47,21,61,11,0,41,0,20,29,53,16,0,58,26,31,23,20,46,37,0,0,0,0,0,0
2015-01-11,5,10,60,11,11,42,22,17,14,5,47,76,40,22,70,10,0,24,0,100,38,47,24,22,28,15,36,23,23,16,0,0,0,0,0,0,0
2015-01-18,4,10,72,18,16,41,24,23,26,5,79,100,35,12,91,10,0,23,0,48,62,34,0,29,32,46,24,25,14,45,49,0,0,0,61,0,0
2015-01-25,5,17,53,15,17,58,22,17,9,7,49,65,33,20,72,12,0,0,0,29,57,38,54,22,35,23,45,44,25,17,0,0,0,0,0,0,0
2015-02-01,4,16,36,26,18,44,13,17,9,9,32,79,28,14,53,12,0,0,0,21,66,53,18,37,38,23,0,47,25,40,0,0,0,0,0,0,0
2015-02-08,5,19,30,7,11,31,9,26,10,12,22,80,21,11,44,9,0,23,0,12,33,46,0,22,35,23,47,12,26,0,0,0,0,0,0,0,0
2015-02-15,3,8,36,7,8,15,10,15,8,6,14,46,27,7,34,11,0,0,0,16,39,42,22,22,43,28,0,23,14,23,37,0,0,0,0,0,75
2015-02-22,4,14,41,11,18,41,11,26,7,6,24,78,23,8,39,9,0,0,0,16,38,64,16,58,14,23,26,32,44,17,36,0,0,0,0,0,0
2015-03-01,3,27,47,13,19,45,18,43,14,7,35,74,17,6,46,11,68,35,0,15,31,26,27,64,63,25,19,35,28,30,0,0,0,0,60,0,0
2015-03-08,6,21,47,16,14,63,24,51,23,9,73,54,50,7,95,16,0,0,0,21,41,71,21,21,49,36,19,34,36,23,0,0,77,0,0,0,0
2015-03-15,3,23,83,13,13,69,25,42,16,12,46,64,35,7,81,11,0,46,0,22,47,60,15,21,76,43,40,27,33,27,0,0,0,0,0,0,0
2015-03-22,3,16,32,19,9,57,14,46,12,11,44,59,30,5,58,10,0,25,0,11,30,28,25,0,68,15,22,29,15,42,0,0,0,0,0,0,0
2015-03-29,3,17,59,5,11,37,9,33,19,8,36,57,32,4,47,10,0,24,0,11,26,21,19,0,47,24,37,32,32,17,0,0,0,0,0,0,0
2015-04-05,4,19,38,10,10,70,21,32,9,6,25,41,36,7,33,9,0,35,0,10,31,50,0,0,36,13,18,20,22,23,0,0,0,0,0,0,38
2015-04-12,3,21,41,7,11,62,25,31,25,7,35,50,15,10,52,11,0,31,0,11,49,62,31,22,35,35,35,27,19,23,0,0,0,0,0,0,0
2015-04-19,5,16,36,9,8,44,19,27,16,8,25,14,46,4,34,6,62,31,0,12,40,36,0,0,45,14,26,49,22,15,36,0,0,0,0,0,37
2015-04-26,3,19,42,11,8,73,15,32,19,8,33,35,21,4,46,10,0,24,0,14,28,22,16,59,46,18,24,28,20,28,37,0,0,0,0,0,37
2015-05-03,3,20,24,6,10,52,27,28,9,5,25,45,15,5,30,15,0,27,0,18,29,33,16,0,42,22,20,17,22,44,0,0,0,0,0,0,0
2015-05-10,3,16,0,5,7,50,24,23,14,8,38,55,38,4,34,8,0,23,0,15,34,30,16,22,31,36,35,20,31,44,0,0,0,0,60,0,0
2015-05-17,2,17,28,6,7,40,15,27,9,12,24,64,28,5,43,11,0,23,0,14,31,38,21,21,17,23,38,45,14,35,0,0,0,0,0,0,0
2015-05-24,3,13,16,6,7,53,15,24,21,6,43,68,31,4,37,10,0,47,0,11,40,42,0,0,56,19,18,32,25,26,36,0,0,0,0,0,0
2015-05-31,4,19,56,6,8,35,21,25,16,8,25,16,18,5,62,13,0,31,0,14,36,41,24,0,49,23,36,27,19,38,0,0,0,0,0,0,37
2015-06-07,3,39,24,10,5,41,17,20,19,8,16,75,31,5,32,10,62,31,0,11,32,24,16,0,28,17,35,20,25,52,0,0,79,0,0,0,36
2015-06-14,4,19,47,10,7,40,14,22,17,6,30,40,39,4,48,8,0,27,0,9,30,38,16,22,39,31,35,27,33,15,0,0,0,0,61,0,42
2015-06-21,2,18,59,7,6,35,14,19,23,9,33,55,46,3,37,13,0,24,0,13,29,21,21,25,24,17,30,15,17,17,37,0,0,0,0,0,0
2015-06-28,5,16,42,7,5,57,16,12,16,11,52,40,62,3,82,8,0,41,0,15,41,32,16,25,50,23,41,23,42,31,0,0,0,0,0,0,37
2015-07-05,5,15,54,12,14,41,12,21,12,7,63,55,28,5,85,7,62,27,0,13,45,38,16,22,42,27,19,30,36,33,42,0,0,0,0,0,0
2015-07-12,4,18,49,9,7,41,14,17,9,7,44,51,16,3,49,8,0,48,0,13,64,39,24,0,54,19,45,28,34,31,37,0,0,0,0,0,38
2015-07-19,7,23,57,11,10,47,14,32,26,10,19,61,27,3,28,7,0,48,0,13,44,58,0,0,18,28,18,33,28,34,0,0,0,100,0,0,50
2015-07-26,5,22,47,14,10,44,15,46,16,9,22,35,15,7,34,10,0,0,96,18,50,52,0,0,25,13,0,40,42,33,0,0,0,0,0,0,37
2015-08-02,6,20,60,9,5,40,8,43,19,6,25,81,39,10,32,8,0,23,0,16,50,42,16,0,32,32,24,35,31,39,0,0,0,0,0,0,0
2015-08-09,5,24,57,84,100,89,29,31,23,9,19,75,0,8,37,12,63,23,0,16,51,49,18,25,46,22,32,32,42,45,49,0,0,0,0,0,49
2015-08-16,9,43,53,37,37,72,20,49,25,11,27,41,30,9,50,11,61,0,70,15,51,61,40,21,59,31,17,37,44,33,0,0,0,0,0,0,36
2015-08-23,10,25,58,53,38,90,16,51,34,18,53,73,37,16,62,11,61,31,0,20,46,100,15,21,34,36,35,51,38,81,36,0,0,0,0,0,0
2015-08-30,9,21,29,23,25,52,19,48,29,13,16,84,22,8,37,10,0,0,0,13,47,81,53,24,24,14,37,34,32,52,0,0,76,0,59,0,0
2015-09-06,4,26,40,49,16,55,18,58,22,14,12,38,22,6,31,11,0,0,0,12,36,76,61,0,37,21,59,52,40,42,35,0,0,0,0,0,35
2015-09-13,5,29,28,28,16,61,11,47,20,13,31,47,29,4,37,10,0,0,0,12,33,68,22,20,26,20,48,37,39,42,34,0,0,0,0,0,47
2015-09-20,7,17,34,31,13,47,15,100,20,11,37,71,39,4,33,8,0,22,0,9,37,94,15,21,43,35,25,21,48,53,0,0,0,0,0,0,35
2015-09-27,7,21,44,22,9,56,13,61,21,13,15,37,14,3,34,11,0,0,0,12,33,63,17,0,43,30,25,30,31,33,0,0,74,0,0,0,35
2015-10-04,4,29,44,14,10,63,13,68,17,8,28,28,33,4,31,8,0,0,0,11,43,49,17,40,42,31,24,19,36,57,45,0,0,0,0,0,0
2015-10-11,4,30,35,16,11,90,14,48,34,5,21,42,26,4,35,8,0,29,0,14,38,78,17,20,46,13,33,36,18,31,0,0,0,0,0,0,34
2015-10-18,4,16,27,13,9,67,7,35,9,13,35,21,16,3,34,10,0,0,0,12,46,72,49,40,32,23,57,23,41,24,0,0,0,0,0,0,0
2015-10-25,4,21,39,17,17,57,16,30,15,13,43,41,36,2,28,3,0,25,0,15,37,48,14,27,36,21,30,16,31,28,34,0,0,0,0,0,0
2015-11-01,5,44,60,20,15,49,13,33,22,16,35,69,31,2,32,12,0,29,0,16,31,53,14,57,55,34,65,25,33,56,0,0,0,0,0,0,0
2015-11-08,4,26,26,21,14,49,11,34,12,15,35,60,21,3,33,9,0,22,0,14,32,62,25,57,26,25,0,23,36,41,34,0,72,0,0,0,34
2015-11-15,5,21,60,19,15,45,18,25,6,17,57,41,40,3,27,12,0,21,0,18,33,21,29,20,36,31,35,27,28,31,0,0,0,0,0,0,50
2015-11-22,3,29,33,23,12,47,9,33,19,15,42,25,21,4,31,9,0,0,0,20,32,49,22,20,26,12,16,18,33,57,34,0,73,0,0,0,0
2015-11-29,3,27,59,21,21,38,14,31,15,12,20,68,35,4,50,11,0,24,0,19,43,45,38,20,35,17,48,23,23,30,0,0,0,0,0,0,0
2015-12-06,6,25,26,41,26,33,11,36,17,43,35,41,36,8,44,9,0,0,0,19,61,84,16,40,29,23,24,27,33,26,0,0,0,0,0,0,34
2015-12-13,8,28,45,55,28,53,13,40,31,43,26,80,0,7,42,11,0,22,0,17,77,89,37,89,59,18,36,37,42,68,34,0,74,0,0,0,34
2015-12-20,4,25,43,28,11,28,11,49,17,18,20,43,16,6,24,9,0,24,0,15,58,55,16,58,40,13,27,23,38,24,38,0,0,0,0,0,0
2015-12-27,4,16,68,37,18,24,11,22,13,16,25,31,16,8,25,9,0,0,0,12,44,67,28,26,25,0,37,23,27,27,100,0,0,0,0,0,38
2016-01-03,7,34,65,100,59,51,10,54,37,26,30,54,26,9,34,13,61,31,0,17,65,61,18,32,59,62,40,32,49,44,48,0,0,0,0,0,49
2016-01-10,10,28,34,92,45,42,34,29,42,51,47,33,15,13,34,16,0,0,0,14,88,69,17,52,44,21,25,38,48,37,0,0,0,0,0,0,0
2016-01-17,12,18,29,48,24,31,100,41,28,29,47,30,27,20,30,13,81,0,0,14,100,62,17,23,47,22,26,17,27,30,0,0,75,0,0,0,35
2016-01-24,7,26,52,36,20,35,43,34,16,26,34,43,0,12,31,11,0,30,0,13,72,51,17,63,44,24,39,29,24,59,0,0,0,0,0,0,0
2016-01-31,5,25,40,45,26,49,38,25,21,30,29,40,17,6,36,14,0,0,0,15,69,25,23,42,54,30,51,36,59,29,35,0,100,0,0,0,0
2016-02-07,8,26,23,20,16,50,25,28,7,32,37,53,22,8,27,7,0,0,0,17,53,59,26,31,47,22,20,24,40,51,40,0,76,0,78,0,48
2016-02-14,10,27,31,31,25,38,21,19,7,26,36,52,21,6,30,12,0,0,0,15,49,59,43,47,27,36,19,42,82,32,35,0,99,0,0,0,0
2016-02-21,8,20,45,25,14,32,18,18,18,30,23,19,0,5,27,19,0,25,0,14,59,64,25,22,33,34,38,23,47,26,0,0,0,0,0,0,92
2016-02-28,7,28,61,16,19,43,12,45,11,29,28,28,14,4,24,11,0,63,91,12,53,54,51,23,33,43,33,22,24,21,34,0,0,0,0,61,34
2016-03-06,6,26,45,17,14,51,25,45,18,19,41,33,27,4,31,10,0,38,0,12,59,65,43,53,37,20,0,26,29,32,46,0,0,0,57,0,35
2016-03-13,6,32,57,12,16,45,11,59,21,30,31,38,29,6,30,7,0,44,0,12,54,41,43,31,16,17,38,35,40,37,0,0,0,0,0,0,35
