,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296
219,2017-03-12,14,38,52,15,15,44,15,28,18,29,47,24,0,2,34,10,0,0,0,10,46,30,69,19,31,24,15,15,29,27,0,0,0,0,0,0,0,63,0,57,0,0,33,33,45,0,0,16,36,0,0,0,31,31,14,29,37,0,31,0,27,26,0,0,0,0,0,23,0,30,0,0,23,65,18,50,43,60,0,0,0,36,0,0,0,33,7,30,0,36,0,44,0,0,0,32,94,10,0,26,36,27,30,0,0,35,6,0,0,45,6,27,44,0,73,92,0,0,0,0,15,0,0,18,0,0,0,0,0,0,45,0,0,0,23,47,16,36,22,0,0,0,15,0,0,32,0,0,0,0,0,0,29,45,39,44,0,18,18,25,37,41,21,40,29,24,15,2,18,0,0,0,5,51,33,44,0,21,19,59,72,25,24,16,12,39,18,13,19,48,43,0,26,23,18,42,8,15,30,21,26,0,0,0,15,32,13,23,18,24,0,19,0,31,0,35,0,0,0,0,0,0,0,33,0,51,0,31,46,0,18,0,0,0,0,0,0,0,0,0,0,28,31,31,0,11,57,0,27,0,0,5,0,0,0,13,0,47,87,22,29,21,0,0,0,0,0,41,0,0,39,0,70,41,19,0,17,81,0,59,21,33,63,32,33,0,0,17,0,0,44,0,23,35,0,59
220,2017-03-19,12,30,26,11,11,41,15,22,19,34,38,26,14,4,21,10,0,28,0,13,43,46,71,19,12,16,27,24,47,25,0,0,0,0,0,0,0,0,0,53,20,36,0,22,37,0,0,0,46,0,0,0,0,41,21,15,43,44,32,0,35,34,55,0,0,0,0,26,0,35,0,0,24,44,0,44,32,25,0,0,0,0,32,40,0,56,17,38,0,26,0,57,0,0,0,0,0,4,36,0,42,54,30,46,0,36,7,0,60,34,6,36,22,37,0,47,0,0,0,34,16,0,42,31,0,25,30,0,0,0,0,0,0,26,23,38,12,32,22,34,0,0,15,0,0,28,0,0,34,65,0,0,17,39,29,51,0,0,31,33,0,42,84,44,22,30,23,4,17,42,0,37,4,72,20,32,29,33,39,21,79,57,0,14,18,46,31,18,10,28,0,0,29,21,28,63,14,12,0,33,25,44,0,0,18,0,45,40,14,42,34,34,0,0,0,32,33,0,0,0,0,0,0,34,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,32,14,43,0,0,0,31,0,35,0,0,0,0,0,55,13,0,0,0,30,30,21,52,0,33,0,0,38,0,21,47,0,0,24,32,39,24,88,33,50,15,45,37,27,49,0,0,21,32,0,0,0,0,27,0,0
221,2017-03-26,12,31,53,12,13,44,19,26,19,100,41,49,39,2,32,13,0,24,0,15,38,44,51,33,28,16,42,26,40,20,0,0,0,0,0,0,0,0,0,45,10,37,17,47,25,39,0,12,34,23,27,0,0,35,5,34,46,0,0,0,33,57,0,0,54,0,0,18,0,31,0,0,19,0,32,52,22,19,73,0,0,35,0,35,0,30,9,37,0,39,0,59,49,0,0,30,0,10,37,0,0,24,27,0,38,39,9,0,0,68,5,42,0,38,0,54,0,32,0,34,18,0,0,36,0,35,0,31,0,0,0,0,0,23,46,39,21,41,0,86,0,0,15,0,0,56,0,71,29,50,0,0,12,45,16,49,0,29,44,41,41,27,21,64,34,19,37,3,20,0,0,33,4,62,0,46,0,43,23,60,68,51,0,19,18,70,20,21,15,0,22,28,77,39,23,27,8,22,0,29,24,39,0,0,11,26,21,36,14,50,17,17,0,37,34,0,0,0,0,0,0,0,0,35,40,0,0,0,0,0,31,0,0,0,0,0,39,0,0,0,0,14,28,32,36,16,47,0,28,0,0,16,0,0,0,35,0,0,0,44,0,22,0,0,0,0,0,34,0,42,39,0,0,25,25,31,18,84,0,54,59,52,44,35,73,28,46,14,0,35,0,0,23,0,0,0
222,2017-04-02,12,30,37,8,12,43,14,29,12,93,39,21,65,3,24,11,0,21,0,17,42,34,77,33,25,19,16,24,35,34,0,0,0,0,0,0,33,0,0,45,0,37,25,50,42,0,28,0,37,0,36,0,0,48,17,20,48,34,32,0,35,23,0,0,0,0,0,62,0,31,0,27,14,44,21,39,0,39,0,0,30,0,32,41,0,0,8,19,0,31,55,39,0,0,0,0,76,7,28,27,0,36,0,0,0,83,8,0,60,0,3,24,23,19,75,0,0,0,0,0,12,0,0,18,0,23,0,31,38,0,0,0,0,23,0,22,17,28,26,35,0,65,100,50,0,29,0,0,29,49,0,0,26,42,39,23,34,15,27,37,0,21,37,75,34,22,100,5,13,0,0,0,4,46,0,27,0,46,19,27,61,51,25,11,25,0,13,9,10,0,0,0,100,23,33,24,22,13,31,25,18,0,0,34,12,28,32,20,14,0,11,17,55,21,0,55,26,0,0,0,0,0,70,35,0,39,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,29,62,32,41,0,33,0,29,0,0,5,0,0,74,30,0,0,0,31,0,29,0,0,66,0,0,45,33,19,34,0,0,0,0,23,36,32,34,50,32,34,65,29,38,28,54,39,66,0,0,0,47,0,0,0
223,2017-04-09,9,38,44,10,9,37,10,23,17,49,25,23,41,2,23,8,0,43,0,13,38,31,47,35,26,17,32,20,59,20,38,0,0,0,0,0,0,0,0,46,11,75,32,29,24,0,0,14,65,24,0,0,44,50,11,25,42,0,33,0,34,24,0,0,0,0,0,19,0,43,0,47,14,0,22,47,25,20,38,31,41,45,0,36,0,23,16,18,0,0,0,39,0,0,0,54,57,4,0,0,0,33,0,0,30,38,12,0,0,0,5,19,0,26,0,0,33,0,0,50,19,0,0,20,0,24,0,32,0,0,0,0,0,0,36,27,12,28,0,0,0,0,18,0,0,0,0,0,0,0,0,0,12,41,21,27,0,24,28,27,29,26,0,33,25,60,61,4,13,0,0,45,3,57,19,32,30,32,21,21,40,26,0,10,28,0,21,13,11,26,0,59,41,17,13,25,9,11,64,16,12,0,0,0,22,38,19,16,13,34,35,0,29,19,0,56,30,0,0,0,0,0,0,0,36,0,0,33,0,43,45,0,0,0,0,0,53,0,0,0,0,0,56,0,0,14,27,0,22,0,0,12,0,0,0,16,0,0,0,43,0,34,0,0,34,36,34,31,0,0,37,0,0,34,17,0,21,0,0,51,17,55,30,27,26,39,42,17,37,0,0,0,24,32,0,0
224,2017-04-16,10,56,44,6,8,34,19,22,15,38,17,31,37,2,28,11,0,28,0,12,44,44,51,39,31,19,21,12,32,18,33,0,0,0,0,0,0,0,0,46,20,37,23,50,25,0,0,12,51,0,0,0,0,32,18,29,46,34,43,72,40,20,0,0,0,0,0,31,0,0,0,23,25,0,37,41,22,19,0,0,30,0,0,31,0,22,20,34,36,45,0,34,0,0,0,30,0,6,28,0,0,72,0,0,29,36,8,9,0,0,5,46,23,0,0,0,21,0,0,20,10,0,0,28,20,27,0,0,0,0,46,0,37,23,40,29,19,28,0,34,0,0,15,0,0,28,0,0,79,0,0,0,14,36,46,34,0,22,38,29,28,28,0,20,18,47,41,2,19,32,0,33,4,52,22,59,30,31,38,26,63,0,100,19,31,53,40,15,21,25,22,37,44,30,33,55,21,18,31,14,33,45,39,0,18,37,38,39,13,25,11,35,0,21,0,32,51,0,0,0,0,38,0,40,0,0,0,0,0,42,35,0,0,0,0,0,0,0,0,0,0,0,33,32,0,12,48,0,24,0,0,9,0,0,0,35,45,0,0,0,30,22,52,0,0,40,33,32,0,27,68,0,0,0,21,0,53,56,0,58,17,11,40,27,43,0,0,24,33,0,0,0,31,0,0,0
225,2017-04-23,17,40,42,9,8,47,20,23,29,31,55,44,14,2,42,9,55,0,0,11,74,50,51,28,40,20,34,24,66,15,0,0,0,0,0,0,0,0,0,55,15,0,31,25,29,34,28,18,25,31,0,0,0,47,17,48,45,33,62,36,37,43,0,0,0,34,0,17,42,31,0,23,42,45,0,44,38,55,37,29,0,64,32,0,0,0,16,17,36,28,0,28,0,0,0,45,0,7,54,0,0,0,0,0,0,35,11,9,0,0,4,0,23,19,0,0,21,32,0,29,36,0,43,24,0,23,0,31,0,0,46,0,0,34,26,19,12,28,22,0,50,0,17,0,0,28,83,0,39,49,0,0,12,60,21,65,25,22,31,26,28,34,0,37,38,46,28,2,18,0,0,0,6,100,38,19,0,33,25,40,70,25,0,13,18,25,38,9,9,0,22,32,26,48,33,24,0,17,0,22,42,0,0,0,18,26,37,34,13,25,11,17,0,0,0,0,0,0,0,0,0,0,26,34,0,0,0,0,0,54,26,0,37,0,0,0,0,0,0,0,0,14,25,0,36,12,42,0,32,0,0,7,0,0,0,15,0,0,66,15,30,23,39,0,33,0,0,40,0,0,44,0,0,32,15,52,51,69,0,59,27,53,73,31,28,0,40,24,66,36,0,0,26,0,0,0
226,2017-04-30,8,36,27,4,9,34,22,18,19,29,22,32,16,2,36,9,0,0,0,12,68,33,62,20,17,32,35,18,20,35,0,0,0,0,0,0,33,0,0,47,31,100,26,32,53,0,28,0,26,0,0,0,0,42,18,40,46,34,32,0,36,23,0,0,0,0,32,18,0,0,0,34,30,45,19,34,26,38,37,0,35,0,33,0,0,45,8,17,0,80,0,43,0,0,0,0,0,9,0,0,0,24,27,0,29,55,10,13,61,0,7,18,0,26,0,0,22,0,0,17,9,0,0,16,0,23,0,42,0,0,0,0,0,23,26,20,16,32,0,0,0,0,21,0,0,0,0,0,30,0,0,0,0,42,16,33,26,13,17,23,38,14,0,9,30,42,26,3,12,33,69,33,5,85,0,20,0,34,40,39,57,29,0,13,12,24,14,14,12,0,26,32,28,26,24,0,11,10,31,21,31,0,0,0,33,19,38,46,18,0,11,17,28,19,0,32,29,0,0,55,0,0,23,0,0,0,0,37,95,0,17,0,37,0,0,0,0,0,0,0,44,14,39,0,36,0,29,40,19,0,0,11,0,79,0,26,0,0,0,16,0,22,0,0,0,0,0,29,38,38,36,0,0,25,15,42,35,51,34,59,43,34,35,33,0,56,54,21,0,0,46,0,23,0,0,0
227,2017-05-07,11,30,48,8,9,38,30,19,20,22,41,44,27,2,25,8,0,0,0,10,53,42,81,33,13,20,23,29,49,39,0,0,0,0,0,0,33,0,0,55,20,0,25,53,22,0,37,12,100,0,31,71,32,57,12,54,36,0,0,49,35,0,0,46,0,35,0,71,0,31,0,0,26,44,100,33,30,43,37,0,0,0,0,0,61,22,22,39,36,45,0,38,36,0,0,30,0,8,0,27,31,24,0,0,29,62,8,14,0,0,7,18,0,37,0,0,21,0,23,20,16,0,49,18,0,23,0,0,0,0,0,0,0,31,34,26,20,75,0,69,0,0,21,43,73,0,0,0,40,66,0,0,26,53,29,26,0,51,24,56,28,13,21,34,18,30,26,3,16,0,0,0,7,61,32,32,0,21,26,56,54,42,0,12,37,23,17,11,18,0,33,0,16,26,23,0,9,15,0,18,32,79,0,0,11,33,29,33,18,0,23,17,0,55,0,32,34,0,0,0,0,0,0,0,0,39,0,0,0,42,49,0,0,0,0,0,0,0,0,0,0,16,20,0,0,13,58,29,33,0,0,9,0,0,0,15,0,0,0,0,30,22,0,0,0,0,0,52,0,19,47,26,0,0,17,50,35,61,34,60,29,34,58,37,50,0,0,31,37,0,0,0,23,0,0,0
228,2017-05-14,9,36,34,7,8,39,22,95,28,24,51,66,25,3,37,9,79,22,0,19,57,36,87,30,43,30,19,19,42,21,34,0,74,0,0,0,34,0,0,46,0,45,21,40,42,0,0,26,0,0,0,74,0,43,11,41,21,0,34,0,27,100,0,0,0,0,46,33,0,33,0,28,18,0,0,26,32,33,39,0,0,0,0,0,0,48,14,20,0,63,0,38,0,0,43,0,0,8,0,0,67,0,28,0,0,0,24,0,0,37,4,33,0,23,59,0,0,34,0,0,14,0,45,22,0,49,0,33,0,0,0,0,0,0,42,20,20,44,0,0,53,0,0,0,0,30,0,0,31,0,69,0,18,58,29,61,29,39,33,32,0,66,57,18,36,61,23,3,15,34,36,0,6,55,20,55,31,19,15,32,56,27,71,11,19,0,13,11,14,0,35,30,28,35,25,50,17,12,0,20,26,47,0,0,21,19,37,33,28,0,0,18,0,26,0,34,27,0,0,0,30,0,0,0,0,0,0,34,37,0,18,0,0,0,0,0,42,0,0,0,0,0,59,0,0,12,23,0,100,0,0,14,0,0,59,14,0,0,0,16,0,23,0,0,60,0,35,32,35,19,50,0,0,35,31,24,65,55,0,66,80,39,59,30,29,0,0,19,0,0,0,0,0,0,0,0
229,2017-05-21,11,34,68,7,11,39,22,42,24,38,60,62,17,1,35,9,0,22,0,20,40,47,82,21,23,20,26,24,37,29,0,0,0,0,0,0,0,0,0,45,0,0,33,37,30,37,30,17,55,0,29,0,0,44,13,58,35,0,34,0,40,47,0,0,0,0,0,38,0,33,0,0,16,0,0,35,31,52,0,0,33,35,0,37,0,36,22,18,39,36,43,32,0,0,0,0,0,6,0,0,34,0,29,0,31,78,6,0,0,0,4,20,32,0,0,0,0,0,0,18,14,0,0,26,0,28,0,0,0,0,0,62,0,33,50,24,23,60,0,0,54,0,0,0,0,0,0,0,42,0,0,0,14,46,25,53,0,20,29,52,46,51,23,18,32,44,14,4,14,0,0,0,4,46,20,49,32,46,21,32,44,0,35,12,14,33,41,4,18,35,44,39,35,30,14,26,18,13,33,22,23,43,0,0,17,34,29,29,24,27,18,21,39,20,0,34,31,0,0,0,0,0,43,37,0,43,0,0,0,0,19,0,0,0,0,0,43,51,0,75,0,0,36,0,70,13,29,32,36,0,0,7,0,0,0,0,0,0,72,0,32,27,0,0,0,38,35,41,72,20,64,0,0,27,0,37,22,79,48,57,24,25,42,42,41,30,0,39,61,0,0,0,25,38,0,0
