model,description,metric,metric_code,value,link
SSE-AD-4786607,370Z - 2015 Nissan 370Z Z34 Auto,age,age,3,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-4786607/?Cr=248
OAG-AD-15408137,370Z - 2016 Nissan 370Z Z34 Manual,price,price,39989,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-15408137/?Cr=191
OAG-AD-15408137,370Z - 2016 Nissan 370Z Z34 Manual,milage,milage,3503,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-15408137/?Cr=191
OAG-AD-15408137,370Z - 2016 Nissan 370Z Z34 Manual,age,age,2,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-15408137/?Cr=191
SSE-AD-5193092,350Z - 2008 Nissan 350Z Touring Z33 Manual,price,price,22400,https://www.carsales.com.au/private/details/Nissan-350Z-2008/SSE-AD-5193092/?Cr=107
SSE-AD-5193092,350Z - 2008 Nissan 350Z Touring Z33 Manual,milage,milage,44500,https://www.carsales.com.au/private/details/Nissan-350Z-2008/SSE-AD-5193092/?Cr=107
SSE-AD-5193092,350Z - 2008 Nissan 350Z Touring Z33 Manual,age,age,10,https://www.carsales.com.au/private/details/Nissan-350Z-2008/SSE-AD-5193092/?Cr=107
OAG-AD-14147578,370Z - 2016 Nissan 370Z Z34 Auto,price,price,39456,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-14147578/?Cr=110
OAG-AD-14147578,370Z - 2016 Nissan 370Z Z34 Auto,milage,milage,7517,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-14147578/?Cr=110
OAG-AD-14147578,370Z - 2016 Nissan 370Z Z34 Auto,age,age,2,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-14147578/?Cr=110
OAG-AD-13140317,370Z - 2014 Nissan 370Z Z34 Manual,price,price,33990,https://www.carsales.com.au/dealer/details/Nissan-370Z-2014/OAG-AD-13140317/?Cr=42
OAG-AD-13140317,370Z - 2014 Nissan 370Z Z34 Manual,milage,milage,22900,https://www.carsales.com.au/dealer/details/Nissan-370Z-2014/OAG-AD-13140317/?Cr=42
OAG-AD-13140317,370Z - 2014 Nissan 370Z Z34 Manual,age,age,4,https://www.carsales.com.au/dealer/details/Nissan-370Z-2014/OAG-AD-13140317/?Cr=42
OAG-AD-14905045,370Z - 2016 Nissan 370Z Z34 Auto,price,price,39888,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-14905045/?Cr=160
OAG-AD-14905045,370Z - 2016 Nissan 370Z Z34 Auto,milage,milage,6033,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-14905045/?Cr=160
OAG-AD-14905045,370Z - 2016 Nissan 370Z Z34 Auto,age,age,2,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-14905045/?Cr=160
SSE-AD-4383112,370Z - 2010 Nissan 370Z Z34 Auto,price,price,25000,https://www.carsales.com.au/private/details/Nissan-370Z-2010/SSE-AD-4383112/?Cr=402
SSE-AD-4383112,370Z - 2010 Nissan 370Z Z34 Auto,milage,milage,45000,https://www.carsales.com.au/private/details/Nissan-370Z-2010/SSE-AD-4383112/?Cr=402
SSE-AD-4383112,370Z - 2010 Nissan 370Z Z34 Auto,age,age,8,https://www.carsales.com.au/private/details/Nissan-370Z-2010/SSE-AD-4383112/?Cr=402
OAG-AD-15498007,370Z - 2017 Nissan 370Z Z34 Auto,price,price,41500,https://www.carsales.com.au/demo/details/Nissan-370Z-2017/OAG-AD-15498007/?Cr=143
OAG-AD-15498007,370Z - 2017 Nissan 370Z Z34 Auto,milage,milage,4247,https://www.carsales.com.au/demo/details/Nissan-370Z-2017/OAG-AD-15498007/?Cr=143
OAG-AD-15498007,370Z - 2017 Nissan 370Z Z34 Auto,age,age,1,https://www.carsales.com.au/demo/details/Nissan-370Z-2017/OAG-AD-15498007/?Cr=143
OAG-AD-14962192,370Z - 2015 Nissan 370Z Z34 Auto,price,price,37877,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-14962192/?Cr=11
OAG-AD-14962192,370Z - 2015 Nissan 370Z Z34 Auto,milage,milage,10800,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-14962192/?Cr=11
OAG-AD-14962192,370Z - 2015 Nissan 370Z Z34 Auto,age,age,3,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-14962192/?Cr=11
SSE-AD-5067921,370Z - 2015 Nissan 370Z Z34 Auto,price,price,33650,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-5067921/?Cr=235
SSE-AD-5067921,370Z - 2015 Nissan 370Z Z34 Auto,milage,milage,32000,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-5067921/?Cr=235
SSE-AD-5067921,370Z - 2015 Nissan 370Z Z34 Auto,age,age,3,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-5067921/?Cr=235
OAG-AD-15079068,370Z - 2015 Nissan 370Z Z34 Auto,price,price,36450,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15079068/?Cr=59
OAG-AD-15079068,370Z - 2015 Nissan 370Z Z34 Auto,milage,milage,18176,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15079068/?Cr=59
OAG-AD-15079068,370Z - 2015 Nissan 370Z Z34 Auto,age,age,3,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15079068/?Cr=59
OAG-AD-15079068,370Z - 2015 Nissan 370Z Z34 Auto,price,price,36450,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15079068/?Cr=52
OAG-AD-15079068,370Z - 2015 Nissan 370Z Z34 Auto,milage,milage,18176,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15079068/?Cr=52
OAG-AD-15079068,370Z - 2015 Nissan 370Z Z34 Auto,age,age,3,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15079068/?Cr=52
SSE-AD-5160987,370Z - 2011 Nissan 370Z Z34 Auto,price,price,30500,https://www.carsales.com.au/private/details/Nissan-370Z-2011/SSE-AD-5160987/?Cr=414
SSE-AD-5160987,370Z - 2011 Nissan 370Z Z34 Auto,milage,milage,25000,https://www.carsales.com.au/private/details/Nissan-370Z-2011/SSE-AD-5160987/?Cr=414
SSE-AD-5160987,370Z - 2011 Nissan 370Z Z34 Auto,age,age,7,https://www.carsales.com.au/private/details/Nissan-370Z-2011/SSE-AD-5160987/?Cr=414
OAG-AD-15091049,370Z - 2016 Nissan 370Z Z34 Auto,price,price,33990,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-15091049/?Cr=16
OAG-AD-15091049,370Z - 2016 Nissan 370Z Z34 Auto,milage,milage,37262,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-15091049/?Cr=16
OAG-AD-15091049,370Z - 2016 Nissan 370Z Z34 Auto,age,age,2,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-15091049/?Cr=16
SSE-AD-5198466,350Z - 2008 Nissan 350Z Track Z33 Manual,price,price,13500,https://www.carsales.com.au/private/details/Nissan-350Z-2008/SSE-AD-5198466/?Cr=33
SSE-AD-5198466,350Z - 2008 Nissan 350Z Track Z33 Manual,milage,milage,92500,https://www.carsales.com.au/private/details/Nissan-350Z-2008/SSE-AD-5198466/?Cr=33
SSE-AD-5198466,350Z - 2008 Nissan 350Z Track Z33 Manual,age,age,10,https://www.carsales.com.au/private/details/Nissan-350Z-2008/SSE-AD-5198466/?Cr=33
OAG-AD-15459150,370Z - 2015 Nissan 370Z Z34 Auto,price,price,36999,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15459150/?Cr=150
OAG-AD-15459150,370Z - 2015 Nissan 370Z Z34 Auto,milage,milage,17188,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15459150/?Cr=150
OAG-AD-15459150,370Z - 2015 Nissan 370Z Z34 Auto,age,age,3,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15459150/?Cr=150
SSE-AD-5087233,370Z - 2016 Nissan 370Z Z34 Auto,price,price,36500,https://www.carsales.com.au/private/details/Nissan-370Z-2016/SSE-AD-5087233/?Cr=94
SSE-AD-5087233,370Z - 2016 Nissan 370Z Z34 Auto,milage,milage,25500,https://www.carsales.com.au/private/details/Nissan-370Z-2016/SSE-AD-5087233/?Cr=94
SSE-AD-5087233,370Z - 2016 Nissan 370Z Z34 Auto,age,age,2,https://www.carsales.com.au/private/details/Nissan-370Z-2016/SSE-AD-5087233/?Cr=94
OAG-AD-15227007,370Z - 2014 Nissan 370Z Z34 Auto,price,price,35990,https://www.carsales.com.au/dealer/details/Nissan-370Z-2014/OAG-AD-15227007/?Cr=167
OAG-AD-15227007,370Z - 2014 Nissan 370Z Z34 Auto,milage,milage,16421,https://www.carsales.com.au/dealer/details/Nissan-370Z-2014/OAG-AD-15227007/?Cr=167
OAG-AD-15227007,370Z - 2014 Nissan 370Z Z34 Auto,age,age,4,https://www.carsales.com.au/dealer/details/Nissan-370Z-2014/OAG-AD-15227007/?Cr=167
OAG-AD-15431694,370Z - 2017 Nissan 370Z Z34 Manual,price,price,41814,https://www.carsales.com.au/dealer/details/Nissan-370Z-2017/OAG-AD-15431694/?gts=OAG-AD-15431694&gtssaleid=OAG-AD-15431694&rankingType=TopSpot
OAG-AD-15431694,370Z - 2017 Nissan 370Z Z34 Manual,milage,milage,5552,https://www.carsales.com.au/dealer/details/Nissan-370Z-2017/OAG-AD-15431694/?gts=OAG-AD-15431694&gtssaleid=OAG-AD-15431694&rankingType=TopSpot
OAG-AD-15431694,370Z - 2017 Nissan 370Z Z34 Manual,age,age,1,https://www.carsales.com.au/dealer/details/Nissan-370Z-2017/OAG-AD-15431694/?gts=OAG-AD-15431694&gtssaleid=OAG-AD-15431694&rankingType=TopSpot
OAG-AD-15431694,370Z - 2017 Nissan 370Z Z34 Manual,price,price,41814,https://www.carsales.com.au/dealer/details/Nissan-370Z-2017/OAG-AD-15431694/?Cr=0
OAG-AD-15431694,370Z - 2017 Nissan 370Z Z34 Manual,milage,milage,5552,https://www.carsales.com.au/dealer/details/Nissan-370Z-2017/OAG-AD-15431694/?Cr=0
OAG-AD-15431694,370Z - 2017 Nissan 370Z Z34 Manual,age,age,1,https://www.carsales.com.au/dealer/details/Nissan-370Z-2017/OAG-AD-15431694/?Cr=0
SSE-AD-4613876,350Z - 2007 Nissan 350Z Track Z33 Manual,price,price,19000,https://www.carsales.com.au/private/details/Nissan-350Z-2007/SSE-AD-4613876/?Cr=336
SSE-AD-4613876,350Z - 2007 Nissan 350Z Track Z33 Manual,milage,milage,61000,https://www.carsales.com.au/private/details/Nissan-350Z-2007/SSE-AD-4613876/?Cr=336
SSE-AD-4613876,350Z - 2007 Nissan 350Z Track Z33 Manual,age,age,11,https://www.carsales.com.au/private/details/Nissan-350Z-2007/SSE-AD-4613876/?Cr=336
SSE-AD-5201551,370Z - 2014 Nissan 370Z Z34 Auto,price,price,37390,https://www.carsales.com.au/private/details/Nissan-370Z-2014/SSE-AD-5201551/?Cr=79
SSE-AD-5201551,370Z - 2014 Nissan 370Z Z34 Auto,milage,milage,11200,https://www.carsales.com.au/private/details/Nissan-370Z-2014/SSE-AD-5201551/?Cr=79
SSE-AD-5201551,370Z - 2014 Nissan 370Z Z34 Auto,age,age,4,https://www.carsales.com.au/private/details/Nissan-370Z-2014/SSE-AD-5201551/?Cr=79
SSE-AD-4558190,370Z - 2015 Nissan 370Z Z34 Manual,price,price,38000,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-4558190/?Cr=396
SSE-AD-4558190,370Z - 2015 Nissan 370Z Z34 Manual,milage,milage,14000,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-4558190/?Cr=396
SSE-AD-4558190,370Z - 2015 Nissan 370Z Z34 Manual,age,age,3,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-4558190/?Cr=396
OAG-AD-15581404,370Z - 2015 Nissan 370Z Z34 Manual,price,price,37500,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15581404/?gts=OAG-AD-15581404&gtssaleid=OAG-AD-15581404&rankingType=Showcase
OAG-AD-15581404,370Z - 2015 Nissan 370Z Z34 Manual,milage,milage,16500,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15581404/?gts=OAG-AD-15581404&gtssaleid=OAG-AD-15581404&rankingType=Showcase
OAG-AD-15581404,370Z - 2015 Nissan 370Z Z34 Manual,age,age,3,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15581404/?gts=OAG-AD-15581404&gtssaleid=OAG-AD-15581404&rankingType=Showcase
OAG-AD-15581404,370Z - 2015 Nissan 370Z Z34 Manual,price,price,37500,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15581404/?gts=OAG-AD-15581404&gtssaleid=OAG-AD-15581404&rankingType=Showcase
OAG-AD-15581404,370Z - 2015 Nissan 370Z Z34 Manual,milage,milage,16500,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15581404/?gts=OAG-AD-15581404&gtssaleid=OAG-AD-15581404&rankingType=Showcase
OAG-AD-15581404,370Z - 2015 Nissan 370Z Z34 Manual,age,age,3,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15581404/?gts=OAG-AD-15581404&gtssaleid=OAG-AD-15581404&rankingType=Showcase
OAG-AD-15491696,370Z - 2015 Nissan 370Z Z34 Auto,price,price,37888,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15491696/?Cr=145
OAG-AD-15491696,370Z - 2015 Nissan 370Z Z34 Auto,milage,milage,14674,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15491696/?Cr=145
OAG-AD-15491696,370Z - 2015 Nissan 370Z Z34 Auto,age,age,3,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15491696/?Cr=145
SSE-AD-5182046,370Z - 2014 Nissan 370Z Z34 Manual,price,price,31000,https://www.carsales.com.au/private/details/Nissan-370Z-2014/SSE-AD-5182046/?Cr=298
SSE-AD-5182046,370Z - 2014 Nissan 370Z Z34 Manual,milage,milage,42900,https://www.carsales.com.au/private/details/Nissan-370Z-2014/SSE-AD-5182046/?Cr=298
SSE-AD-5182046,370Z - 2014 Nissan 370Z Z34 Manual,age,age,4,https://www.carsales.com.au/private/details/Nissan-370Z-2014/SSE-AD-5182046/?Cr=298
SSE-AD-5194461,370Z - 2015 Nissan 370Z Z34 Auto,price,price,39500,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-5194461/?Cr=106
SSE-AD-5194461,370Z - 2015 Nissan 370Z Z34 Auto,milage,milage,7274,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-5194461/?Cr=106
SSE-AD-5194461,370Z - 2015 Nissan 370Z Z34 Auto,age,age,3,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-5194461/?Cr=106
OAG-AD-15421606,370Z - 2017 Nissan 370Z Z34 Auto,price,price,41989,https://www.carsales.com.au/dealer/details/Nissan-370Z-2017/OAG-AD-15421606/?Cr=148
OAG-AD-15421606,370Z - 2017 Nissan 370Z Z34 Auto,milage,milage,7048,https://www.carsales.com.au/dealer/details/Nissan-370Z-2017/OAG-AD-15421606/?Cr=148
OAG-AD-15421606,370Z - 2017 Nissan 370Z Z34 Auto,age,age,1,https://www.carsales.com.au/dealer/details/Nissan-370Z-2017/OAG-AD-15421606/?Cr=148
OAG-AD-15500828,370Z - 2014 Nissan 370Z Z34 Auto,price,price,35750,https://www.carsales.com.au/dealer/details/Nissan-370Z-2014/OAG-AD-15500828/?Cr=48
OAG-AD-15500828,370Z - 2014 Nissan 370Z Z34 Auto,milage,milage,20710,https://www.carsales.com.au/dealer/details/Nissan-370Z-2014/OAG-AD-15500828/?Cr=48
OAG-AD-15500828,370Z - 2014 Nissan 370Z Z34 Auto,age,age,4,https://www.carsales.com.au/dealer/details/Nissan-370Z-2014/OAG-AD-15500828/?Cr=48
SSE-AD-5185475,370Z - 2017 Nissan 370Z Z34 Auto,price,price,43500,https://www.carsales.com.au/private/details/Nissan-370Z-2017/SSE-AD-5185475/?Cr=3
SSE-AD-5185475,370Z - 2017 Nissan 370Z Z34 Auto,milage,milage,19,https://www.carsales.com.au/private/details/Nissan-370Z-2017/SSE-AD-5185475/?Cr=3
SSE-AD-5185475,370Z - 2017 Nissan 370Z Z34 Auto,age,age,1,https://www.carsales.com.au/private/details/Nissan-370Z-2017/SSE-AD-5185475/?Cr=3
SSE-AD-5185475,370Z - 2017 Nissan 370Z Z34 Auto,price,price,43500,https://www.carsales.com.au/private/details/Nissan-370Z-2017/SSE-AD-5185475/?gts=SSE-AD-5185475&gtssaleid=SSE-AD-5185475&rankingType=Spotlight
SSE-AD-5185475,370Z - 2017 Nissan 370Z Z34 Auto,milage,milage,19,https://www.carsales.com.au/private/details/Nissan-370Z-2017/SSE-AD-5185475/?gts=SSE-AD-5185475&gtssaleid=SSE-AD-5185475&rankingType=Spotlight
