"year"	"occ"	"inc1"	"inc2"	"inc3"	"inc4"	"inc5"	"inc6"	"inc7"	"inc8"	"inc9"	"inc10"	"inc11"	"inc12"	"inc13"	"inc14"	"inc15"	"inc16"	"inc17"	"inc18"	"inc19"	"inc20"	"inc21"	"inc22"	"inc23"	"inc24"	"inc25"	"inc26"	"inc27"	"inc28"	"inc29"	"inc30"	"inc31"	"inc32"	"inc33"	"inc34"	"inc35"	"inc36"	"inc37"	"inc38"	"inc39"	"inc40"	"inc41"	"inc42"
1960	16	202903	223864	251429	201928	162288	146354	138384	79594	66329	24709	19520	9267	5678	4784	3085	1495	399	1596	0	1292	0	598	598	0	299	596	0	100	0	0	199	0	199	0	0	0	0	0	0	99	0	0
1960	5	9567	13655	22122	17728	19515	27516	49596	38657	66847	55190	114549	87460	83457	93144	86263	55272	18319	82669	0	47519	0	37549	21216	0	16727	12256	0	7076	0	5575	4081	0	2392	2992	0	2392	0	1995	1396	1096	0	0
1960	2	5982	6474	11136	14339	14041	21508	35354	31086	53591	41143	56979	35164	27298	25107	21215	11059	2885	19132	0	9768	0	8864	5872	0	4184	4184	0	3688	0	3187	2191	0	1795	1694	0	1296	0	1296	698	496	0	0
1960	8	38245	16037	28078	21118	19430	25808	41430	36656	37961	25387	25101	11658	9463	6571	5784	2791	1197	3288	0	2293	0	1595	499	0	698	599	0	597	0	200	300	0	0	0	0	0	0	0	100	199	0	0
1960	23	54300	72438	103224	109894	139926	211195	325507	269160	407354	256626	319463	172854	102814	73330	46140	18041	6170	19831	0	7371	0	6578	3083	0	2482	1894	0	997	0	896	796	0	599	598	0	298	0	200	199	200	0	0
1960	20	528277	395587	297993	166809	116992	89342	67753	34171	28901	13648	16133	6679	3891	3488	2591	1494	100	3091	0	1593	0	1395	397	0	599	199	0	0	0	498	299	0	198	0	0	198	0	0	100	99	0	0
1960	26	56278	146645	419198	187482	153032	182616	182076	94829	80584	41055	47726	23317	22917	21623	20123	14845	4185	21117	0	11254	0	10852	5686	0	3289	1294	0	1095	0	696	300	0	398	398	0	199	0	200	0	398	0	0
1960	9	2885	1795	3780	3983	2791	4580	5980	4689	8859	6176	12146	7780	6784	7970	9255	4684	2892	16831	0	8562	0	9368	5981	0	5183	8174	0	4881	0	3981	4079	0	2289	5581	0	3788	0	1793	2190	1191	0	0
1960	4	997	299	894	795	1198	1192	1693	1195	2891	2790	2790	2290	1197	1491	993	897	199	1595	0	797	0	299	100	0	100	399	0	0	0	0	0	0	299	99	0	200	0	199	100	100	0	0
1960	22	12053	19929	22815	23712	21628	27997	39751	34852	42740	28583	30590	13646	5777	4581	2891	1294	798	1891	0	698	0	400	299	0	398	99	0	100	0	0	0	0	99	0	0	0	0	0	0	100	0	0
1970	1	147700	199900	222200	312900	318800	284900	418400	366300	271300	419200	455500	343500	513000	209000	278000	342300	195400	188700	230200	135900	140400	111100	123000	79700	130800	73100	61300	57800	50300	38600	35900	75000	32500	29900	25600	18600	14500	50400	18000	18900	10700	301900
1970	3	12600	12900	15000	18400	22000	25000	35000	35400	31900	47300	52100	44900	57500	31800	39800	37600	26500	22300	19300	20300	14600	11300	10000	6600	8000	5200	5200	3300	3200	1600	2100	4000	1400	1800	2400	700	600	2500	800	900	400	10400
1970	10	168700	201600	199800	231200	183200	124500	161900	219300	260000	307500	276300	218300	229900	107100	135800	115700	72000	62900	49500	32200	28000	21300	19100	12100	12700	7900	8000	6400	5100	2500	4200	4100	2400	3000	1900	900	1200	2400	1400	1500	800	12500
1970	25	438200	538600	407300	470400	469800	420400	578100	509000	353300	519800	500400	356600	339800	110400	164200	133300	71300	50600	43100	22800	23600	15800	15000	8200	12600	6300	3900	5200	4100	2600	3000	3900	1700	1900	1800	1200	1600	3300	1200	1700	1100	18800
1970	24	563600	618200	573000	914500	1292700	1184100	1320800	1093000	755000	1124400	1106700	818000	823100	321300	409200	336800	190900	143500	109400	60900	55000	40400	35400	18000	21400	11200	8900	7800	5400	4600	4400	6000	2900	2900	2700	1200	600	2700	2300	1900	1100	17400
1970	12	65900	83200	88900	131300	157900	138700	178100	151100	103200	152200	125200	82000	80800	35200	38100	39300	21400	20300	23900	16800	13300	11800	12700	8200	16100	8800	5900	8200	5500	4900	3700	17700	5800	7200	7600	4400	4200	17700	3800	4700	2800	131600
1970	13	103500	124000	97200	144100	170200	124300	101700	56000	31400	23100	11100	6100	4400	900	1900	1200	700	400	300	200	100	200	200	100	200	100	100	300	100	0	100	0	200	0	0	0	0	0	0	0	0	500
1970	19	859400	907700	746400	964100	1154400	1280500	1692600	1286900	887100	885700	726900	451000	385600	174200	180700	137200	72200	64800	52300	36400	32700	22800	23000	14400	15400	10100	7500	8200	5800	4400	4700	6600	3900	2600	2400	1500	2000	3200	1100	1600	1200	23600
1970	11	43700	59400	42600	46400	44700	36600	47700	38700	32100	43500	46000	38100	47300	24000	30800	31400	20900	19000	18400	11900	8800	7500	8600	5400	7300	3600	2100	3800	3200	1900	2000	4000	1800	2000	800	1000	800	2100	1400	1300	700	13600
1970	18	717600	744000	513300	599800	571100	406600	416300	312100	223500	307800	297400	220400	289100	107400	143000	171400	92100	89800	101500	57700	57900	39900	46600	30800	46900	26400	22100	19200	17800	13000	12700	28700	12700	9700	7900	6300	5800	17600	5900	7300	3900	90600
1970	17	517600	362100	247400	261100	218600	162800	156600	112300	62800	71800	55200	33600	32100	11100	18400	14900	6300	6000	5800	3200	3300	1900	3100	1100	2200	1400	1400	600	1100	0	500	1200	200	300	400	500	200	500	200	300	0	3600
1970	6	6100	8500	12500	12200	13600	15600	21200	25700	25600	39600	44700	38100	46300	20500	24400	21800	14800	10000	7500	4800	5500	2200	2500	2400	2400	1200	700	600	800	300	200	1200	200	400	300	0	100	200	0	200	200	1100
1970	21	92700	140300	145400	192500	239500	241000	350500	312100	206400	355800	357700	271300	328100	116200	182400	167600	86400	74500	61100	27900	29400	22000	18100	11500	12000	6500	4000	4500	3400	2600	1500	4300	1600	1500	1200	400	400	1900	700	1000	400	8000
1970	7	66600	47300	44700	53600	54600	41900	61000	57800	53000	74100	72100	59800	77100	35200	49900	48000	34600	30100	29100	22100	25300	18100	17200	11500	13600	11000	8500	5800	5800	4300	4200	7000	1800	3300	2000	2200	1400	4200	1200	1400	900	17400
1970	15	550000	603300	441600	462100	330200	196100	170700	98500	50100	56500	43500	23000	24200	6300	9600	8400	4200	3400	2600	1600	1900	1200	400	900	1700	800	900	300	200	0	300	900	0	0	100	0	100	400	200	200	100	1700
1970	14	14900	23800	32700	34400	43600	44900	66000	72500	55400	89600	102800	80000	93800	36100	62200	43400	22100	16100	11300	5700	6700	3300	4000	2600	2100	1600	1600	700	500	500	600	200	0	100	300	300	100	500	100	200	0	1000
1970	16	387800	510500	404600	401000	338700	251200	251500	191700	127400	128700	90600	51900	42500	15300	16400	12900	7200	3800	5300	3400	2100	2200	2400	700	1300	400	500	300	200	400	600	400	100	200	200	0	100	300	0	100	200	2200
1970	5	7700	14400	18700	21100	22800	23000	36800	35600	35900	57000	74300	75000	130400	65300	105400	123700	87600	83900	83500	68500	57600	49100	51200	32200	31500	21300	18400	14900	13600	9700	8500	10600	5700	3800	4900	2900	2800	4600	2300	2600	1200	21400
1970	2	6500	7100	7600	12600	12900	18700	27700	28700	27300	41900	51500	41900	52300	27100	29500	30700	17800	15800	13600	10800	8700	6800	6400	4400	5800	3200	2300	1800	1800	1700	1300	2900	500	900	400	500	700	1500	1000	600	400	7300
1970	8	15700	26500	27800	33800	35800	31400	44400	45100	45600	52100	51000	35400	38900	16800	22700	19700	12600	13400	7900	6100	6100	3100	2600	2800	1500	1400	800	300	400	100	700	600	500	700	300	200	100	200	200	200	100	2100
1970	23	81000	101100	99800	127400	173300	173300	296000	300100	227500	382500	399400	303000	341700	134800	179000	145100	80500	61300	47000	25200	21200	13900	11900	7200	8800	3600	3300	3500	2300	1500	1300	2200	1200	700	800	700	600	700	600	400	300	8200
1970	20	241400	214500	142200	154500	125300	76200	81400	43000	22100	25000	18200	12100	12800	4500	4700	4800	2100	2800	3400	900	1000	700	900	300	800	300	200	400	300	100	200	300	0	500	300	100	100	0	0	400	0	1600
1970	26	96200	153800	284900	315900	243200	133700	168300	146000	87200	96500	68300	48300	44500	20800	24900	25700	15600	14400	14000	8900	11800	6800	6600	3900	3500	2900	3100	2100	1200	900	600	900	500	900	500	300	400	0	600	0	100	2300
1970	9	2500	2500	2900	4200	4100	2500	5400	4700	3500	6100	7500	5400	10300	5600	6600	12800	5500	8700	10600	8200	6700	7200	7600	6400	9800	6600	4600	3800	4500	2800	4600	8600	3300	4600	2700	2000	2100	7500	2600	2300	1600	55800
1970	4	3800	4300	5800	8800	6800	7100	11600	11100	12300	20600	26700	22000	39000	20200	29300	28300	19700	18700	14700	10200	10900	7500	6500	4300	4300	3100	2400	1800	1100	400	800	1200	700	600	400	200	400	800	300	500	300	1600
1970	22	4500	6800	7700	9200	11500	14700	22400	24200	12000	27700	30800	21600	16500	4200	5500	5100	1000	1200	1600	1100	1000	500	400	100	300	0	200	0	100	0	200	0	200	0	100	0	100	100	100	0	0	500
1980	1	200680	274360	317340	406340	370980	461360	591860	576040	394140	569640	458840	313160	510300	354300	391420	269220	267900	295260	201580	141300	178140	126080	111940	130880	93680	67940	78520	47180	51840	89420	44000	29100	39860	25080	16240	43920	26100	25420	15840	15040	20200	276500
1980	3	27660	37400	39980	53000	60280	93640	120580	123060	97720	119800	96300	65660	86000	60600	56800	38920	33940	33720	24320	17340	19480	13380	10740	11800	9240	6020	6600	4180	4220	7040	3380	2360	3120	2120	1500	3540	2180	2200	1240	1220	1300	21200
1980	10	222340	357280	342260	333440	222500	254460	397780	457180	351840	399920	323600	213980	252120	170340	128440	73960	61820	48860	32620	20940	21160	14520	10940	11240	7400	5620	5360	3940	2900	4080	2620	1420	2060	1520	840	1740	940	1200	560	560	940	6840
1980	25	542080	738560	675820	730600	630660	698440	699920	623280	403780	543020	462500	288580	398120	271940	225580	125160	114620	100380	60420	33780	37800	22160	17720	18040	10540	7700	9160	5140	5780	9780	4720	2980	4620	2480	2540	5600	3420	3700	1900	2260	3200	24620
1980	24	580380	771400	824480	1234640	1219960	1349760	1312720	1164940	771540	1006060	870660	564140	724120	491920	402100	230860	210760	172680	102400	63600	64300	39880	30060	27380	19160	12960	12560	6400	7420	10360	5040	2920	4080	2680	1740	4080	2740	2020	1360	1220	2580	22200
1980	12	94840	147580	166600	231340	224900	296720	328700	330680	233100	272260	190520	103080	117400	65820	57940	34480	29320	33620	21420	14100	21140	14980	14200	19560	13620	11100	15200	7880	11480	26340	11980	7620	12540	7260	5840	19540	9340	9060	6180	6220	10700	139760
1980	13	159280	227540	238960	309160	270740	230540	166460	98440	40800	29760	16600	7120	7280	4340	3320	2220	1620	1600	1020	740	700	480	540	500	520	240	300	120	280	600	140	220	280	120	100	460	80	80	120	220	220	1980
1980	19	956300	1300520	1325360	1642340	1828000	2279640	2088280	1492660	834600	832340	625060	427480	448680	268500	206100	123160	99380	80980	48740	32220	33240	21100	18180	16500	11240	8900	7860	5080	4500	7260	3960	2240	2920	2240	1520	3180	1740	1780	1020	960	1400	16540
1980	11	82360	118640	116500	116920	94180	107560	113720	101980	65400	81440	63020	42980	61220	39900	40200	24760	24060	24880	15360	10000	13480	8920	7680	8480	5940	3760	4760	3180	2500	5780	2260	1520	1920	1380	920	2640	1340	1300	900	1040	940	14220
1980	18	836020	1117180	988320	979080	731820	680800	668580	586700	368740	506820	381500	228620	360860	227700	236440	141460	133560	151800	94080	60000	82480	56420	48280	62920	40580	29420	35880	18800	22100	43780	20280	11940	17940	12480	7520	22160	12820	11640	7580	8020	10620	119380
1980	17	316200	348040	296300	282440	179320	143460	110600	71580	36260	40940	22980	12720	17820	10360	9640	5400	4520	4440	3280	2020	2680	1340	1260	1620	1020	600	980	440	560	800	280	180	520	220	280	460	340	280	260	60	280	2340
1980	6	8200	16620	14660	15700	14380	22540	28780	27640	22820	29520	25400	18520	24280	17400	15700	9640	8160	7300	4600	2960	3180	2300	1440	1580	1340	500	700	440	400	660	320	160	260	200	240	320	60	140	100	140	160	1120
1980	21	228880	320560	342820	427660	382900	485000	545880	499280	321880	457080	372280	241080	357860	240720	233120	135580	127360	114540	66560	39140	43000	27020	20220	22240	13040	8960	10340	5180	5940	11400	5020	2600	4900	2880	1380	5400	2320	2800	1720	1540	2340	26300
1980	7	27920	52900	54140	63120	52980	65400	84380	97360	76920	102380	91820	66100	90140	68940	62460	40920	38540	33960	24160	15540	17360	12760	10800	11040	7500	5840	6740	3760	4420	4840	2760	1820	2240	1640	1080	2380	1160	1200	760	460	820	9860
1980	15	843720	1081520	893000	737120	418180	294340	196880	118060	53420	55980	31560	14720	20360	11820	10480	5220	4240	4480	3080	1720	2160	1420	1340	1440	1000	1100	1020	520	540	940	540	300	540	180	240	440	260	360	260	220	260	2900
1980	14	50580	87000	73040	83120	85000	103000	119420	123120	88640	126040	117100	81760	114920	79380	64940	35600	29080	24680	14000	8620	8980	5760	3580	3380	2380	1360	1380	740	640	980	440	300	340	100	140	300	180	200	120	100	180	1340
1980	16	440760	536320	472340	482260	384640	359740	317540	237640	133460	134040	90700	50400	55300	33880	24140	13620	11980	10700	5540	4200	4220	2600	2200	2180	1760	1100	980	720	1020	1140	700	340	700	360	340	480	540	260	200	160	420	3820
1980	5	19240	31560	36240	42040	38140	51160	71360	77740	67720	105920	113900	98620	159900	131480	136760	98140	98700	99280	67860	51580	56960	38360	31620	29440	20040	15180	13300	7980	8540	9960	5580	3460	4380	2580	2200	4400	1820	1680	1140	1300	1660	14800
1980	2	21840	30320	35540	48160	55140	85000	109980	117420	85920	111280	89540	60160	81880	58220	54160	35680	33520	32260	21580	14480	16680	11040	9340	8900	6420	4280	4780	3060	3380	5060	2140	1440	2080	1620	860	2240	1120	1040	780	620	1160	12660
1980	8	39120	61540	64500	77420	73200	88620	108460	106820	76000	82900	65860	41580	46740	29000	24080	14380	11980	9100	5800	3820	3680	2680	1580	1800	1340	1080	980	500	840	880	520	420	280	240	200	440	160	200	140	100	100	1380
1980	23	93980	151300	144000	194200	196940	271360	342240	354040	243020	349080	313260	217200	310320	220080	188280	114880	99800	82600	46560	25600	25300	14860	10980	9720	6560	3780	3660	1760	2440	3040	1300	840	1240	760	540	980	940	580	420	380	620	6380
1980	20	188540	172480	156320	159480	116420	101880	83300	57980	28340	32040	23500	11940	15740	8580	8700	4780	4640	5080	2920	1800	2120	1820	1060	1660	1100	660	1020	400	500	1280	580	180	520	180	160	600	360	380	120	80	380	2840
1980	26	81940	96120	99980	291900	276860	197120	160700	114880	58320	56320	41800	26500	34940	26480	25600	16220	15220	13560	8800	5440	6740	4860	3160	3060	1840	1620	1160	780	820	1040	420	480	520	200	240	320	140	200	120	80	200	1000
1980	9	9320	15160	20120	21160	18780	24380	27760	24420	17640	26460	22580	16440	27540	18080	22680	15020	16780	20320	15380	11500	15220	11300	10160	14320	10060	7900	10040	5880	6920	13600	6060	3900	6200	3740	2480	7400	4700	4500	2440	2760	3680	56180
1980	4	8480	14680	14800	16320	15900	22700	30780	35840	36520	51900	52240	42440	55600	46040	43360	30220	28520	24260	16140	10860	10980	6960	5860	5060	3380	2820	2400	1400	1140	1580	940	600	500	440	320	520	220	380	300	200	180	1600
1980	22	8420	13100	11320	14300	13840	17140	20700	23580	16120	27840	27360	19520	31360	22240	21480	10640	11520	12320	6520	3960	4040	2820	2100	2240	1420	1100	1260	640	820	1020	440	260	580	200	100	480	240	220	100	40	260	2540
1990	1	239898	274477	317513	386065	549840	573182	465695	755055	574664	703771	469430	621391	454521	501565	302934	499315	351169	287375	367660	214517	233277	158008	243814	113030	153205	137187	100996	106541	79126	99631	63496	60672	45709	62195	43055	28726	70886	32476	33140	21143	29885	485482
1990	3	36801	47049	51795	61202	97789	128412	126066	203803	169229	195029	143199	163373	116908	113769	68289	97512	64396	49772	59530	32874	33341	21257	31659	15596	20706	16431	12462	11972	9742	11243	6432	6501	5513	7229	4312	3321	7302	4295	4485	2758	3756	60891
1990	10	311102	489895	430318	440322	400038	289597	222735	377577	394908	450547	327509	380679	304260	274910	175778	221210	142380	107286	98580	51179	49145	31192	34682	17911	19339	17669	11343	8961	7901	7778	5599	5144	3956	4539	3214	2312	4047	2043	2038	1506	1556	16088
1990	25	662576	767942	668861	728868	871428	785108	538360	739886	511187	537052	321765	407256	279013	263850	141781	204691	108809	74161	79829	37224	34934	21055	30602	12329	16083	13745	9111	7559	6549	9327	4680	4730	3457	4799	3240	2005	5356	2236	2284	1235	2093	39025
1990	24	558029	608286	685936	1000067	1307913	1243515	877843	1153322	814868	838265	514592	646246	466069	446611	244960	342800	199730	139833	146020	76572	65776	41228	52633	22735	23871	21338	12681	10449	7842	9279	4875	4493	3747	4840	2505	1875	4070	1623	1967	1111	1645	24665
1990	12	100716	135489	153284	198270	305559	324344	259589	394107	310714	377015	259847	330293	243432	232981	131280	174422	99681	71903	78485	39094	39468	26524	44848	15795	23920	24452	17667	18645	12663	23450	13254	13336	9928	15428	9029	7498	21389	9032	8377	4685	8777	290299
1990	13	177843	240083	266910	327208	347817	264679	157739	169951	89248	67574	32381	29983	17439	13657	6936	9742	5961	3441	4071	1655	1544	1195	1808	695	931	1072	552	799	351	744	360	205	252	546	218	242	457	520	265	138	158	5012
1990	19	990795	1346490	1251366	1454417	2037623	2207059	1735378	2080084	1339940	1185220	699354	781090	468545	384003	202418	238163	137716	95028	91955	50263	45165	31540	38270	17391	21491	18370	12750	10848	8330	9881	6394	5346	3837	4839	3045	2397	6100	3018	2237	1527	1623	31198
1990	11	118644	155767	131985	131719	153631	138713	105342	156371	109903	125848	82318	107785	70853	78106	43373	68754	42764	32916	41230	21039	21112	14576	24010	10113	12916	12589	8786	8779	4994	8119	4288	4167	3772	4893	3054	1933	5544	2532	2129	1328	2075	36013
1990	18	1134588	1503159	1200713	1100601	1139181	942019	644927	914985	613918	727492	419619	569889	355466	400351	204623	357402	222788	164877	239992	111091	126524	79603	152429	58418	85944	83666	55166	60153	39563	57085	32670	35120	23231	35980	21978	14380	46421	18516	18196	11514	15805	290996
1990	17	335756	404857	317487	297603	274948	185937	101466	118686	59315	61492	27989	34611	18107	18579	9676	13288	7645	5045	6107	2895	3483	1935	3150	912	1400	1538	841	974	514	976	570	687	372	421	323	136	526	181	161	49	109	2519
1990	6	9340	15280	13842	14479	19019	21748	19927	31974	25901	28972	20482	27460	21544	21626	12722	16269	9668	8074	9025	4649	4086	2627	2723	1398	1566	1315	912	903	498	1092	573	403	422	367	297	80	324	129	94	52	145	1546
1990	21	342293	363784	364938	443910	611188	585847	415413	656481	418813	496475	290786	412376	252854	273314	138449	234727	127778	84853	107582	48662	46720	26221	44991	16218	20917	19711	10133	11777	6460	10220	4932	4896	3557	4663	2956	1807	5506	1907	1808	1284	1659	34751
1990	7	37635	59101	54943	61502	90931	88759	81317	142004	120292	142666	104276	138379	109122	115283	71028	95483	62093	49019	50231	30694	30103	18740	27191	13653	16895	13769	9848	9290	7888	8788	5631	5146	3392	4659	3321	2200	4210	2490	2162	1521	1796	23953
1990	15	935377	1149895	911496	834787	694021	408314	200874	212128	97428	90506	40218	42534	20144	19712	8993	13117	7425	4506	6545	3083	2061	1944	3124	843	1574	1383	916	932	608	900	421	490	276	667	385	117	377	266	61	64	220	4614
1990	14	72848	107081	90050	102296	132837	132173	111298	162059	133556	152390	100970	135955	112447	106867	61617	93059	62510	43670	47463	24834	25231	15282	17205	6619	8958	6806	5024	3162	2623	2632	1476	1486	782	1523	792	484	1005	371	362	260	299	3015
1990	16	523837	558808	526362	569477	571212	436362	280371	323550	194603	168139	92131	92852	53698	48417	23359	33442	16502	11662	12956	6450	6206	3736	5813	2037	2490	2478	1401	1414	1070	1573	718	652	510	701	580	223	706	326	345	77	391	6570
1990	5	22503	23750	28004	31300	41996	45872	44406	76644	69679	102170	83322	138797	132348	158517	111957	171896	129854	109030	126640	76279	78313	50218	68571	33885	39706	32728	25028	20959	15842	16457	10403	10096	7277	9122	6204	3603	7001	4383	3817	2243	2775	30650
1990	2	41344	51391	59251	71827	111387	142203	141772	219096	178849	195701	128604	144573	100439	101250	58387	83646	52873	42785	45529	26307	25638	16270	23428	10951	13365	11687	8533	8658	6118	7426	4934	4862	3264	4377	2890	2201	4363	2609	2374	2089	1928	38461
1990	8	47034	63217	61970	76812	93813	105923	92876	138835	111279	114641	77607	88019	58373	56271	32159	40065	24648	16259	15642	8452	8185	5645	5955	2717	3292	2598	1477	1780	1804	1437	861	772	378	659	678	371	472	181	364	131	135	2910
1990	23	126104	134990	147460	191231	287915	307308	246001	397032	294092	359424	230669	325973	243375	243132	137252	201143	117791	82576	83810	43036	37583	22711	30707	11818	13996	11654	7203	4962	3778	3785	2568	2346	1504	1755	1622	949	1672	801	635	437	529	10112
1990	20	168558	142313	132973	150113	138330	99005	53054	59026	31911	28929	14601	17573	10017	9947	4896	8066	4075	2659	4499	1764	2077	1546	2017	813	1253	1416	948	823	635	702	479	268	296	486	371	195	824	277	142	221	209	4496
1990	26	48659	72523	75075	151762	272100	214464	139364	176527	112304	102955	53571	58120	38854	41122	19832	25968	18428	14818	13663	7280	8333	6267	7780	3658	4416	2955	2084	1602	1133	1115	664	476	502	306	358	227	289	188	46	99	89	1266
1990	9	13932	18201	20722	21733	32317	34188	29918	51504	39402	51726	31851	43779	30402	36167	20169	37350	26043	20707	32110	17331	22540	15183	28161	13410	20277	18747	14555	15924	11778	15823	10388	10746	7343	10607	6692	5296	11455	6016	5293	3741	5362	159514
1990	4	15810	22699	23324	22845	30926	35110	33916	62999	63089	90828	81412	111701	104992	114991	82229	106874	76304	61188	61785	40257	36018	23464	27252	15010	15257	12422	9196	7583	5487	6641	4388	3542	2400	3168	1984	1587	2537	1252	952	802	862	12221
1990	22	6694	6795	5982	8064	11967	12110	9109	16005	13171	16267	10357	15671	12975	13816	7996	13006	7525	5232	6523	2550	2756	1353	2994	881	1108	736	722	483	513	436	258	207	190	376	190	162	227	101	150	69	24	1608
2000	1	194303	202189	254495	352546	370525	342467	535438	614524	639045	534735	639355	573667	569744	404176	586019	412154	239338	497213	343840	321906	236506	294314	250689	213128	124217	205276	140997	86546	236552	107602	99970	63963	67444	94759	73735	40295	67060	46390	27141	54801	36583	846673
2000	3	42179	51898	61530	79907	93190	100111	168258	197942	215044	190782	210593	183855	166240	109357	140756	97343	53879	100518	65920	56182	40339	49178	39855	31217	18446	30678	19406	12242	33041	14087	12929	7981	9254	11744	10148	6053	8611	5844	3578	7487	4631	128893
2000	10	304064	466331	487949	556271	479834	321962	392667	447756	505768	494234	500017	408308	388194	274300	303563	220033	130140	176948	110475	84294	59537	55554	42753	36206	23510	26303	18708	12383	18264	10744	8788	6170	5724	6540	5425	3647	5827	4318	3340	5045	3994	54536
2000	25	532828	529742	559626	682168	737813	616025	786905	721767	619179	452839	484502	388517	321710	200757	243157	148435	74755	128005	71842	57757	37896	37652	33501	23945	14253	20277	14639	9349	20536	9524	8206	6116	6377	8595	6125	2922	5539	3874	2499	4223	3739	62079
2000	24	508660	473288	596930	855370	1052613	928538	1204972	1077423	916394	671704	668495	523209	447362	274855	343954	216642	112046	203480	116956	98805	60253	61678	48924	34747	20040	29065	17319	10702	21534	8986	7341	4570	4574	5865	4369	2342	3570	2377	1741	2955	2461	49601
2000	12	102955	128585	159014	219665	266483	257637	393891	413133	427851	381385	450345	388610	360587	241196	274435	184122	103798	176158	105726	90691	58142	63727	53716	38509	22596	39943	26181	16230	52014	19138	21208	12047	13507	28199	18751	9406	17514	12282	6350	15737	9705	388550
