date,GBPDKK,isPartial
2017-07-16,57,False
2017-07-23,45,False
2017-07-30,19,False
2017-08-06,43,False
2017-08-13,26,False
2017-08-20,38,False
2017-08-27,65,False
2017-09-03,43,False
2017-09-10,34,False
2017-09-17,47,False
2017-09-24,40,False
2017-10-01,63,False
2017-10-08,25,False
2017-10-15,38,False
2017-10-22,42,False
2017-10-29,53,False
2017-11-05,0,False
2017-11-12,54,False
2017-11-19,18,False
2017-11-26,18,False
2017-12-03,39,False
2017-12-10,52,False
2017-12-17,53,False
2017-12-24,34,False
2017-12-31,0,True
