date,GBPNZD,isPartial
2016-08-21,33,False
2016-08-28,45,False
2016-09-04,45,False
2016-09-11,28,False
2016-09-18,51,False
2016-09-25,44,False
2016-10-02,61,False
2016-10-09,34,False
2016-10-16,47,False
2016-10-23,19,False
2016-10-30,51,False
2016-11-06,53,False
2016-11-13,23,False
2016-11-20,43,False
2016-11-27,35,False
2016-12-04,28,False
2016-12-11,29,False
2016-12-18,48,False
2016-12-25,25,False
2017-01-01,27,False
2017-01-08,16,False
2017-01-15,31,False
2017-01-22,22,False
2017-01-29,37,False
2017-02-05,21,False
2017-02-12,27,False
2017-02-19,37,False
2017-02-26,30,False
2017-03-05,27,False
2017-03-12,27,False
2017-03-19,58,False
2017-03-26,18,False
2017-04-02,34,False
2017-04-09,32,False
2017-04-16,34,False
2017-04-23,34,False
2017-04-30,47,False
2017-05-07,53,False
2017-05-14,43,False
2017-05-21,40,False
2017-05-28,47,False
2017-06-04,62,False
2017-06-11,56,False
2017-06-18,35,False
2017-06-25,56,False
2017-07-02,37,False
2017-07-09,44,False
2017-07-16,37,False
2017-07-23,33,False
2017-07-30,52,False
2017-08-06,35,False
2017-08-13,33,False
2017-08-20,39,False
2017-08-27,29,False
2017-09-03,54,False
2017-09-10,50,False
2017-09-17,44,False
2017-09-24,53,False
2017-10-01,64,False
2017-10-08,59,False
2017-10-15,50,False
2017-10-22,61,False
2017-10-29,77,False
2017-11-05,63,False
2017-11-12,45,False
2017-11-19,61,False
2017-11-26,66,False
2017-12-03,49,False
2017-12-10,58,False
2017-12-17,41,False
2017-12-24,57,False
2017-12-31,69,True
