date,EURTRY,isPartial
2016-04-17,41,False
2016-04-24,19,False
2016-05-01,40,False
2016-05-08,33,False
2016-05-15,33,False
2016-05-22,31,False
2016-05-29,31,False
2016-06-05,18,False
2016-06-12,15,False
2016-06-19,27,False
2016-06-26,29,False
2016-07-03,26,False
2016-07-10,58,False
2016-07-17,84,False
2016-07-24,30,False
2016-07-31,30,False
2016-08-07,31,False
2016-08-14,24,False
2016-08-21,17,False
2016-08-28,11,False
2016-09-04,21,False
2016-09-11,16,False
2016-09-18,20,False
2016-09-25,29,False
2016-10-02,31,False
2016-10-09,33,False
2016-10-16,13,False
2016-10-23,11,False
2016-10-30,44,False
2016-11-06,47,False
2016-11-13,35,False
2016-11-20,28,False
2016-11-27,57,False
2016-12-04,54,False
2016-12-11,44,False
2016-12-18,38,False
2016-12-25,11,False
2017-01-01,35,False
2017-01-08,86,False
2017-01-15,57,False
2017-01-22,69,False
2017-01-29,50,False
2017-02-05,38,False
2017-02-12,35,False
2017-02-19,41,False
2017-02-26,43,False
2017-03-05,31,False
2017-03-12,45,False
2017-03-19,26,False
2017-03-26,14,False
2017-04-02,38,False
2017-04-09,21,False
2017-04-16,46,False
2017-04-23,20,False
2017-04-30,14,False
2017-05-07,30,False
2017-05-14,28,False
2017-05-21,24,False
2017-05-28,15,False
2017-06-04,19,False
2017-06-11,15,False
2017-06-18,15,False
2017-06-25,27,False
2017-07-02,35,False
2017-07-09,30,False
2017-07-16,32,False
2017-07-23,15,False
2017-07-30,38,False
2017-08-06,20,False
2017-08-13,23,False
2017-08-20,27,False
2017-08-27,23,False
2017-09-03,41,False
2017-09-10,16,False
2017-09-17,29,False
2017-09-24,29,False
2017-10-01,26,False
2017-10-08,63,False
2017-10-15,39,False
2017-10-22,44,False
2017-10-29,16,False
2017-11-05,37,False
2017-11-12,35,False
2017-11-19,49,False
2017-11-26,37,False
2017-12-03,41,False
2017-12-10,26,False
2017-12-17,27,False
2017-12-24,13,False
2017-12-31,21,True
