date,EURDKK,isPartial
2016-03-13,14,False
2016-03-20,15,False
2016-03-27,16,False
2016-04-03,29,False
2016-04-10,16,False
2016-04-17,22,False
2016-04-24,14,False
2016-05-01,21,False
2016-05-08,14,False
2016-05-15,14,False
2016-05-22,22,False
2016-05-29,21,False
2016-06-05,17,False
2016-06-12,15,False
2016-06-19,45,False
2016-06-26,20,False
2016-07-03,16,False
2016-07-10,28,False
2016-07-17,17,False
2016-07-24,16,False
2016-07-31,23,False
2016-08-07,24,False
2016-08-14,33,False
2016-08-21,16,False
2016-08-28,16,False
2016-09-04,34,False
2016-09-11,16,False
2016-09-18,15,False
2016-09-25,15,False
2016-10-02,27,False
2016-10-09,34,False
2016-10-16,15,False
2016-10-23,24,False
2016-10-30,15,False
2016-11-06,24,False
2016-11-13,14,False
2016-11-20,19,False
2016-11-27,35,False
2016-12-04,18,False
2016-12-11,15,False
2016-12-18,25,False
2016-12-25,22,False
2017-01-01,25,False
2017-01-08,15,False
2017-01-15,31,False
2017-01-22,22,False
2017-01-29,19,False
2017-02-05,34,False
2017-02-12,26,False
2017-02-19,24,False
2017-02-26,26,False
2017-03-05,14,False
2017-03-12,19,False
2017-03-19,39,False
2017-03-26,23,False
2017-04-02,19,False
2017-04-09,21,False
2017-04-16,38,False
2017-04-23,25,False
2017-04-30,40,False
2017-05-07,26,False
2017-05-14,15,False
2017-05-21,21,False
2017-05-28,31,False
2017-06-04,21,False
2017-06-11,15,False
2017-06-18,48,False
2017-06-25,29,False
2017-07-02,15,False
2017-07-09,23,False
2017-07-16,21,False
2017-07-23,28,False
2017-07-30,22,False
2017-08-06,20,False
2017-08-13,19,False
2017-08-20,28,False
2017-08-27,25,False
2017-09-03,20,False
2017-09-10,15,False
2017-09-17,38,False
2017-09-24,29,False
2017-10-01,39,False
2017-10-08,13,False
2017-10-15,0,False
2017-10-22,33,False
2017-10-29,26,False
2017-11-05,24,False
2017-11-12,22,False
2017-11-19,22,False
2017-11-26,34,False
2017-12-03,26,False
2017-12-10,17,False
2017-12-17,22,False
2017-12-24,32,False
2017-12-31,0,True
