date,PENZAR,isPartial
2017-03-05,40,False
2017-03-12,33,False
2017-03-19,45,False
2017-03-26,52,False
2017-04-02,34,False
2017-04-09,55,False
2017-04-16,11,False
2017-04-23,53,False
2017-04-30,34,False
2017-05-07,34,False
2017-05-14,39,False
2017-05-21,25,False
2017-05-28,21,False
2017-06-04,44,False
2017-06-11,24,False
2017-06-18,18,False
2017-06-25,37,False
2017-07-02,25,False
2017-07-09,45,False
2017-07-16,23,False
2017-07-23,36,False
2017-07-30,32,False
2017-08-06,27,False
2017-08-13,44,False
2017-08-20,48,False
2017-08-27,28,False
2017-09-03,31,False
2017-09-10,36,False
2017-09-17,23,False
2017-09-24,38,False
2017-10-01,42,False
2017-10-08,34,False
2017-10-15,42,False
2017-10-22,26,False
2017-10-29,30,False
2017-11-05,15,False
2017-11-12,29,False
2017-11-19,22,False
2017-11-26,29,False
2017-12-03,20,False
2017-12-10,26,False
2017-12-17,43,False
2017-12-24,21,False
2017-12-31,0,True
