date,EURSGD,isPartial
2016-06-19,89,False
2016-06-26,66,False
2016-07-03,47,False
2016-07-10,25,False
2016-07-17,39,False
2016-07-24,21,False
2016-07-31,34,False
2016-08-07,18,False
2016-08-14,25,False
2016-08-21,20,False
2016-08-28,26,False
2016-09-04,34,False
2016-09-11,21,False
2016-09-18,33,False
2016-09-25,38,False
2016-10-02,16,False
2016-10-09,24,False
2016-10-16,20,False
2016-10-23,24,False
2016-10-30,20,False
2016-11-06,20,False
2016-11-13,36,False
2016-11-20,19,False
2016-11-27,31,False
2016-12-04,34,False
2016-12-11,47,False
2016-12-18,37,False
2016-12-25,33,False
2017-01-01,44,False
2017-01-08,15,False
2017-01-15,47,False
2017-01-22,19,False
2017-01-29,41,False
2017-02-05,41,False
2017-02-12,14,False
2017-02-19,45,False
2017-02-26,33,False
2017-03-05,45,False
2017-03-12,20,False
2017-03-19,29,False
2017-03-26,48,False
2017-04-02,26,False
2017-04-09,27,False
2017-04-16,36,False
2017-04-23,37,False
2017-04-30,34,False
2017-05-07,41,False
2017-05-14,31,False
2017-05-21,28,False
2017-05-28,47,False
2017-06-04,48,False
2017-06-11,19,False
2017-06-18,23,False
2017-06-25,17,False
2017-07-02,16,False
2017-07-09,20,False
2017-07-16,24,False
2017-07-23,20,False
2017-07-30,48,False
2017-08-06,32,False
2017-08-13,36,False
2017-08-20,34,False
2017-08-27,36,False
2017-09-03,15,False
2017-09-10,23,False
2017-09-17,37,False
2017-09-24,41,False
2017-10-01,30,False
2017-10-08,26,False
2017-10-15,30,False
2017-10-22,40,False
2017-10-29,29,False
2017-11-05,29,False
2017-11-12,43,False
2017-11-19,23,False
2017-11-26,34,False
2017-12-03,22,False
2017-12-10,33,False
2017-12-17,22,False
2017-12-24,28,False
2017-12-31,33,True
