date,COPPEN,isPartial
2016-11-27,24,False
2016-12-04,24,False
2016-12-11,25,False
2016-12-18,16,False
2016-12-25,17,False
2017-01-01,25,False
2017-01-08,22,False
2017-01-15,23,False
2017-01-22,11,False
2017-01-29,17,False
2017-02-05,22,False
2017-02-12,21,False
2017-02-19,19,False
2017-02-26,20,False
2017-03-05,19,False
2017-03-12,16,False
2017-03-19,12,False
2017-03-26,21,False
2017-04-02,17,False
2017-04-09,12,False
2017-04-16,19,False
2017-04-23,12,False
2017-04-30,16,False
2017-05-07,20,False
2017-05-14,20,False
2017-05-21,23,False
2017-05-28,23,False
2017-06-04,22,False
2017-06-11,16,False
2017-06-18,22,False
2017-06-25,32,False
2017-07-02,35,False
2017-07-09,21,False
2017-07-16,22,False
2017-07-23,14,False
2017-07-30,23,False
2017-08-06,43,False
2017-08-13,54,False
2017-08-20,57,False
2017-08-27,27,False
2017-09-03,25,False
2017-09-10,25,False
2017-09-17,20,False
2017-09-24,34,False
2017-10-01,28,False
2017-10-08,22,False
2017-10-15,60,False
2017-10-22,27,False
2017-10-29,19,False
2017-11-05,45,False
2017-11-12,23,False
2017-11-19,23,False
2017-11-26,25,False
2017-12-03,25,False
2017-12-10,21,False
2017-12-17,30,False
2017-12-24,11,False
2017-12-31,100,True
