date,USDHKD,isPartial
2016-08-21,5,False
2016-08-28,18,False
2016-09-04,12,False
2016-09-11,18,False
2016-09-18,20,False
2016-09-25,11,False
2016-10-02,21,False
2016-10-09,13,False
2016-10-16,13,False
2016-10-23,16,False
2016-10-30,13,False
2016-11-06,17,False
2016-11-13,19,False
2016-11-20,14,False
2016-11-27,15,False
2016-12-04,8,False
2016-12-11,26,False
2016-12-18,16,False
2016-12-25,14,False
2017-01-01,13,False
2017-01-08,9,False
2017-01-15,16,False
2017-01-22,13,False
2017-01-29,20,False
2017-02-05,22,False
2017-02-12,24,False
2017-02-19,19,False
2017-02-26,16,False
2017-03-05,11,False
2017-03-12,14,False
2017-03-19,15,False
2017-03-26,19,False
2017-04-02,15,False
2017-04-09,10,False
2017-04-16,21,False
2017-04-23,20,False
2017-04-30,21,False
2017-05-07,22,False
2017-05-14,20,False
2017-05-21,20,False
2017-05-28,14,False
2017-06-04,24,False
2017-06-11,20,False
2017-06-18,23,False
2017-06-25,19,False
2017-07-02,13,False
2017-07-09,25,False
2017-07-16,19,False
2017-07-23,20,False
2017-07-30,28,False
2017-08-06,26,False
2017-08-13,25,False
2017-08-20,11,False
2017-08-27,21,False
2017-09-03,29,False
2017-09-10,16,False
2017-09-17,28,False
2017-09-24,19,False
2017-10-01,22,False
2017-10-08,25,False
2017-10-15,24,False
2017-10-22,17,False
2017-10-29,12,False
2017-11-05,11,False
2017-11-12,16,False
2017-11-19,9,False
2017-11-26,28,False
2017-12-03,30,False
2017-12-10,20,False
2017-12-17,13,False
2017-12-24,14,False
2017-12-31,0,True
