date,COPILS,isPartial
2017-07-16,0,False
2017-07-23,25,False
2017-07-30,48,False
2017-08-06,48,False
2017-08-13,56,False
2017-08-20,0,False
2017-08-27,32,False
2017-09-03,32,False
2017-09-10,47,False
2017-09-17,24,False
2017-09-24,27,False
2017-10-01,23,False
2017-10-08,34,False
2017-10-15,23,False
2017-10-22,33,False
2017-10-29,39,False
2017-11-05,33,False
2017-11-12,24,False
2017-11-19,41,False
2017-11-26,49,False
2017-12-03,25,False
2017-12-10,26,False
2017-12-17,24,False
2017-12-24,50,False
2017-12-31,0,True
