date,NZDHKD,isPartial
2016-04-03,0,False
2016-04-10,29,False
2016-04-17,26,False
2016-04-24,28,False
2016-05-01,34,False
2016-05-08,26,False
2016-05-15,34,False
2016-05-22,45,False
2016-05-29,79,False
2016-06-05,26,False
2016-06-12,41,False
2016-06-19,52,False
2016-06-26,61,False
2016-07-03,37,False
2016-07-10,27,False
2016-07-17,41,False
2016-07-24,54,False
2016-07-31,27,False
2016-08-07,60,False
2016-08-14,33,False
2016-08-21,30,False
2016-08-28,36,False
2016-09-04,27,False
2016-09-11,0,False
2016-09-18,26,False
2016-09-25,26,False
2016-10-02,38,False
2016-10-09,26,False
2016-10-16,26,False
2016-10-23,34,False
2016-10-30,78,False
2016-11-06,60,False
2016-11-13,34,False
2016-11-20,29,False
2016-11-27,33,False
2016-12-04,52,False
2016-12-11,49,False
2016-12-18,29,False
2016-12-25,27,False
2017-01-01,0,False
2017-01-08,32,False
2017-01-15,27,False
2017-01-22,36,False
2017-01-29,25,False
2017-02-05,63,False
2017-02-12,23,False
2017-02-19,32,False
2017-02-26,23,False
2017-03-05,45,False
2017-03-12,39,False
2017-03-19,47,False
2017-03-26,39,False
2017-04-02,34,False
2017-04-09,37,False
2017-04-16,68,False
2017-04-23,44,False
2017-04-30,36,False
2017-05-07,47,False
2017-05-14,50,False
2017-05-21,64,False
2017-05-28,46,False
2017-06-04,33,False
2017-06-11,50,False
2017-06-18,46,False
2017-06-25,61,False
2017-07-02,38,False
2017-07-09,46,False
2017-07-16,77,False
2017-07-23,47,False
2017-07-30,66,False
2017-08-06,53,False
2017-08-13,28,False
2017-08-20,42,False
2017-08-27,36,False
2017-09-03,48,False
2017-09-10,55,False
2017-09-17,35,False
2017-09-24,0,False
2017-10-01,32,False
2017-10-08,32,False
2017-10-15,32,False
2017-10-22,31,False
2017-10-29,43,False
2017-11-05,61,False
2017-11-12,37,False
2017-11-19,69,False
2017-11-26,61,False
2017-12-03,99,False
2017-12-10,67,False
2017-12-17,65,False
2017-12-24,51,False
2017-12-31,66,True
