date,CNYUSD,isPartial
2016-11-27,11,False
2016-12-04,44,False
2016-12-11,28,False
2016-12-18,15,False
2016-12-25,13,False
2017-01-01,19,False
2017-01-08,28,False
2017-01-15,17,False
2017-01-22,23,False
2017-01-29,11,False
2017-02-05,23,False
2017-02-12,11,False
2017-02-19,14,False
2017-02-26,23,False
2017-03-05,11,False
2017-03-12,13,False
2017-03-19,14,False
2017-03-26,12,False
2017-04-02,11,False
2017-04-09,12,False
2017-04-16,9,False
2017-04-23,8,False
2017-04-30,0,False
2017-05-07,11,False
2017-05-14,12,False
2017-05-21,14,False
2017-05-28,15,False
2017-06-04,14,False
2017-06-11,24,False
2017-06-18,22,False
2017-06-25,9,False
2017-07-02,25,False
2017-07-09,9,False
2017-07-16,9,False
2017-07-23,9,False
2017-07-30,15,False
2017-08-06,9,False
2017-08-13,8,False
2017-08-20,11,False
2017-08-27,25,False
2017-09-03,12,False
2017-09-10,20,False
2017-09-17,12,False
2017-09-24,23,False
2017-10-01,11,False
2017-10-08,17,False
2017-10-15,16,False
2017-10-22,11,False
2017-10-29,17,False
2017-11-05,13,False
2017-11-12,17,False
2017-11-19,8,False
2017-11-26,19,False
2017-12-03,28,False
2017-12-10,25,False
2017-12-17,20,False
2017-12-24,9,False
2017-12-31,26,True
