date,COPILS,isPartial
2017-07-16,91,False
2017-07-23,0,False
2017-07-30,59,False
2017-08-06,86,False
2017-08-13,50,False
2017-08-20,0,False
2017-08-27,50,False
2017-09-03,49,False
2017-09-10,28,False
2017-09-17,28,False
2017-09-24,31,False
2017-10-01,42,False
2017-10-08,41,False
2017-10-15,28,False
2017-10-22,40,False
2017-10-29,80,False
2017-11-05,49,False
2017-11-12,39,False
2017-11-19,50,False
2017-11-26,46,False
2017-12-03,40,False
2017-12-10,37,False
2017-12-17,43,False
2017-12-24,60,False
2017-12-31,0,True
