date,CHFGBP,isPartial
2015-10-18,43,False
2015-10-25,22,False
2015-11-01,38,False
2015-11-08,38,False
2015-11-15,19,False
2015-11-22,19,False
2015-11-29,48,False
2015-12-06,0,False
2015-12-13,19,False
2015-12-20,61,False
2015-12-27,0,False
2016-01-03,0,False
2016-01-10,39,False
2016-01-17,21,False
2016-01-24,39,False
2016-01-31,20,False
2016-02-07,40,False
2016-02-14,34,False
2016-02-21,48,False
2016-02-28,29,False
2016-03-06,43,False
2016-03-13,28,False
2016-03-20,40,False
2016-03-27,32,False
2016-04-03,59,False
2016-04-10,22,False
2016-04-17,20,False
2016-04-24,26,False
2016-05-01,23,False
2016-05-08,0,False
2016-05-15,20,False
2016-05-22,20,False
2016-05-29,41,False
2016-06-05,30,False
2016-06-12,26,False
2016-06-19,32,False
2016-06-26,65,False
2016-07-03,51,False
2016-07-10,39,False
2016-07-17,32,False
2016-07-24,60,False
2016-07-31,36,False
2016-08-07,44,False
2016-08-14,45,False
2016-08-21,25,False
2016-08-28,21,False
2016-09-04,24,False
2016-09-11,20,False
2016-09-18,0,False
2016-09-25,22,False
2016-10-02,42,False
2016-10-09,37,False
2016-10-16,23,False
2016-10-23,40,False
2016-10-30,34,False
2016-11-06,47,False
2016-11-13,30,False
2016-11-20,29,False
2016-11-27,26,False
2016-12-04,37,False
2016-12-11,22,False
2016-12-18,20,False
2016-12-25,0,False
2017-01-01,36,False
2017-01-08,46,False
2017-01-15,40,False
2017-01-22,39,False
2017-01-29,18,False
2017-02-05,27,False
2017-02-12,18,False
2017-02-19,0,False
2017-02-26,18,False
2017-03-05,35,False
2017-03-12,27,False
2017-03-19,36,False
2017-03-26,42,False
2017-04-02,24,False
2017-04-09,19,False
2017-04-16,46,False
2017-04-23,0,False
2017-04-30,18,False
2017-05-07,18,False
2017-05-14,33,False
2017-05-21,20,False
2017-05-28,49,False
2017-06-04,45,False
2017-06-11,20,False
2017-06-18,28,False
2017-06-25,20,False
2017-07-02,20,False
2017-07-09,20,False
2017-07-16,27,False
2017-07-23,48,False
2017-07-30,19,False
2017-08-06,38,False
2017-08-13,48,False
2017-08-20,40,False
2017-08-27,28,False
2017-09-03,25,False
2017-09-10,18,False
2017-09-17,18,False
2017-09-24,20,False
2017-10-01,18,False
2017-10-08,37,False
2017-10-15,18,False
2017-10-22,0,False
2017-10-29,21,False
2017-11-05,33,False
2017-11-12,26,False
2017-11-19,20,False
2017-11-26,18,False
2017-12-03,26,False
2017-12-10,44,False
2017-12-17,18,False
2017-12-24,22,False
2017-12-31,0,True
