date	open	high	low	close	volume	oi
"Mar 05, 2018"	"5,928.90"	"5,928.90"	"5,886.50"	"5,895.00"	506.50M	-0.57%
"Mar 02, 2018"	"5,973.30"	"5,973.30"	"5,902.20"	"5,928.90"	571.27M	-0.74%
"Mar 01, 2018"	"6,016.00"	"6,016.00"	"5,957.50"	"5,973.30"	594.82M	-0.71%
"Feb 28, 2018"	"6,056.90"	"6,056.90"	"6,012.60"	"6,016.00"	804.81M	-0.68%
"Feb 27, 2018"	"6,042.20"	"6,083.00"	"6,042.20"	"6,056.90"	718.33M	0.24%
"Feb 26, 2018"	"5,999.80"	"6,042.20"	"5,999.80"	"6,042.20"	600.21M	0.71%
"Feb 23, 2018"	"5,950.90"	"6,003.40"	"5,950.90"	"5,999.80"	721.72M	0.82%
"Feb 22, 2018"	"5,943.70"	"5,973.10"	"5,928.30"	"5,950.90"	728.83M	0.12%
"Feb 21, 2018"	"5,940.90"	"5,955.20"	"5,920.20"	"5,943.70"	592.33M	0.05%
"Feb 20, 2018"	"5,941.60"	"5,942.30"	"5,912.70"	"5,940.90"	524.93M	-0.01%
"Feb 19, 2018"	"5,904.40"	"5,949.60"	"5,890.20"	"5,941.60"	555.94M	0.64%
"Feb 16, 2018"	"5,909.00"	"5,938.10"	"5,902.30"	"5,904.00"	574.12M	-0.08%
"Feb 15, 2018"	"5,841.20"	"5,913.10"	"5,841.20"	"5,909.00"	641.86M	1.16%
"Feb 14, 2018"	"5,855.90"	"5,868.10"	"5,830.80"	"5,841.20"	546.16M	-0.25%
"Feb 13, 2018"	"5,820.70"	"5,860.20"	"5,814.90"	"5,855.90"	589.95M	0.60%
"Feb 12, 2018"	"5,838.00"	"5,840.50"	"5,791.30"	"5,820.70"	575.45M	-0.30%
"Feb 09, 2018"	"5,890.70"	"5,890.70"	"5,786.80"	"5,838.00"	650.87M	-0.89%
"Feb 08, 2018"	"5,876.80"	"5,893.60"	"5,838.10"	"5,890.70"	565.30M	0.24%
"Feb 07, 2018"	"5,833.30"	"5,938.60"	"5,833.30"	"5,876.80"	793.67M	0.75%
"Feb 06, 2018"	"6,026.20"	"6,026.20"	"5,795.90"	"5,833.30"	928.81M	-3.20%
"Feb 05, 2018"	"6,121.40"	"6,121.40"	"6,013.20"	"6,026.20"	608.89M	-1.56%
"Feb 02, 2018"	"6,090.10"	"6,121.40"	"6,077.80"	"6,121.40"	511.45M	0.51%
"Feb 01, 2018"	"6,037.70"	"6,093.60"	"6,037.70"	"6,090.10"	642.01M	0.87%
"Jan 31, 2018"	"6,022.80"	"6,043.70"	"5,993.60"	"6,037.70"	678.60M	0.25%
"Jan 30, 2018"	"6,075.40"	"6,075.40"	"6,016.50"	"6,022.80"	496.27M	-0.87%
"Jan 29, 2018"	"6,050.00"	"6,090.20"	"6,050.00"	"6,075.40"	487.77M	0.42%
"Jan 25, 2018"	"6,054.70"	"6,056.00"	"6,029.10"	"6,050.00"	499.66M	-0.08%
"Jan 24, 2018"	"6,037.00"	"6,066.30"	"6,036.20"	"6,054.70"	512.57M	0.29%
"Jan 23, 2018"	"5,991.90"	"6,041.00"	"5,991.90"	"6,037.00"	486.24M	0.75%
"Jan 22, 2018"	"6,005.80"	"6,017.80"	"5,991.90"	"5,991.90"	445.98M	-0.23%
"Jan 19, 2018"	"6,014.60"	"6,028.70"	"6,002.20"	"6,005.80"	527.24M	-0.15%
"Jan 18, 2018"	"6,015.80"	"6,035.60"	"6,014.60"	"6,014.60"	518.80M	-0.02%
"Jan 17, 2018"	"6,048.60"	"6,048.60"	"6,012.90"	"6,015.80"	513.86M	-0.54%
"Jan 16, 2018"	"6,077.10"	"6,077.80"	"6,042.00"	"6,048.60"	458.05M	-0.47%
"Jan 15, 2018"	"6,070.10"	"6,103.60"	"6,070.10"	"6,077.10"	433.66M	0.12%
"Jan 12, 2018"	"6,067.60"	"6,086.00"	"6,067.60"	"6,070.10"	465.47M	0.04%
"Jan 11, 2018"	"6,096.70"	"6,097.10"	"6,053.90"	"6,067.60"	475.22M	-0.48%
"Jan 10, 2018"	"6,135.80"	"6,150.00"	"6,096.50"	"6,096.70"	517.47M	-0.64%
"Jan 09, 2018"	"6,130.40"	"6,149.60"	"6,130.40"	"6,135.80"	510.21M	0.09%
"Jan 08, 2018"	"6,122.30"	"6,143.00"	"6,122.30"	"6,130.40"	346.27M	0.13%
"Jan 05, 2018"	"6,077.10"	"6,124.80"	"6,077.10"	"6,122.30"	388.94M	0.74%
"Jan 04, 2018"	"6,070.40"	"6,102.20"	"6,068.80"	"6,077.10"	412.19M	0.11%
"Jan 03, 2018"	"6,061.30"	"6,082.30"	"6,060.80"	"6,070.40"	335.32M	0.15%
"Jan 02, 2018"	"6,065.10"	"6,074.10"	"6,035.80"	"6,061.30"	245.84M	-0.06%
"Dec 29, 2017"	"6,088.10"	"6,091.60"	"6,051.60"	"6,065.10"	322.43M	-0.38%
"Dec 28, 2017"	"6,069.90"	"6,088.10"	"6,063.20"	"6,088.10"	269.77M	0.30%
"Dec 27, 2017"	"6,069.70"	"6,092.80"	"6,069.00"	"6,069.90"	256.84M	0.00%
"Dec 22, 2017"	"6,060.40"	"6,087.20"	"6,060.40"	"6,069.70"	506.89M	0.15%
"Dec 21, 2017"	"6,075.60"	"6,082.00"	"6,054.80"	"6,060.40"	830.40M	-0.25%
"Dec 20, 2017"	"6,071.80"	"6,083.30"	"6,057.00"	"6,075.60"	558.06M	0.06%
"Dec 19, 2017"	"6,038.90"	"6,080.60"	"6,038.90"	"6,071.80"	601.37M	0.54%
"Dec 18, 2017"	"5,997.00"	"6,040.90"	"5,997.00"	"6,038.90"	576.95M	0.70%
"Dec 15, 2017"	"6,011.30"	"6,011.30"	"5,989.80"	"5,997.00"	956.31M	-0.24%
"Dec 14, 2017"	"6,021.80"	"6,043.40"	"6,011.30"	"6,011.30"	666.54M	-0.17%
"Dec 13, 2017"	"6,013.20"	"6,027.20"	"6,003.10"	"6,021.80"	696.80M	0.14%
"Dec 12, 2017"	"5,998.30"	"6,015.80"	"5,998.30"	"6,013.20"	559.58M	0.25%
"Dec 11, 2017"	"5,994.40"	"6,015.00"	"5,990.00"	"5,998.30"	466.34M	0.07%
"Dec 08, 2017"	"5,977.70"	"6,012.00"	"5,977.70"	"5,994.40"	473.60M	0.28%
"Dec 07, 2017"	"5,945.70"	"5,987.20"	"5,944.30"	"5,977.70"	539.56M	0.54%
"Dec 06, 2017"	"5,971.80"	"5,971.80"	"5,938.70"	"5,945.70"	619.18M	-0.44%
"Dec 05, 2017"	"5,985.60"	"5,985.60"	"5,948.70"	"5,971.80"	599.26M	-0.23%
"Dec 04, 2017"	"5,989.80"	"6,000.50"	"5,979.00"	"5,985.60"	515.62M	-0.07%
"Dec 01, 2017"	"5,969.90"	"6,011.40"	"5,969.90"	"5,989.80"	410.74M	0.33%
"Nov 30, 2017"	"6,011.10"	"6,011.10"	"5,949.20"	"5,969.90"	868.51M	-0.69%
"Nov 29, 2017"	"5,984.30"	"6,031.40"	"5,984.30"	"6,011.10"	547.18M	0.45%
"Nov 28, 2017"	"5,988.80"	"6,004.30"	"5,976.30"	"5,984.30"	766.01M	-0.08%
"Nov 27, 2017"	"5,982.60"	"6,009.00"	"5,978.10"	"5,988.80"	435.68M	0.10%
"Nov 24, 2017"	"5,986.30"	"5,986.30"	"5,951.40"	"5,982.60"	435.93M	-0.06%
"Nov 23, 2017"	"5,986.40"	"5,991.10"	"5,971.00"	"5,986.20"	476.16M	0.00%
"Nov 22, 2017"	"5,963.50"	"5,998.10"	"5,963.50"	"5,986.40"	581.63M	0.38%
"Nov 21, 2017"	"5,945.70"	"5,969.10"	"5,945.20"	"5,963.50"	491.33M	0.30%
"Nov 20, 2017"	"5,957.30"	"5,957.30"	"5,922.60"	"5,945.70"	443.48M	-0.19%
"Nov 17, 2017"	"5,943.50"	"5,978.70"	"5,943.50"	"5,957.30"	446.20M	0.23%
"Nov 16, 2017"	"5,934.20"	"5,953.60"	"5,916.10"	"5,943.50"	596.44M	0.16%
"Nov 15, 2017"	"5,968.70"	"5,968.70"	"5,934.20"	"5,934.20"	628.02M	-0.58%
"Nov 14, 2017"	"6,021.80"	"6,021.80"	"5,957.10"	"5,968.70"	610.73M	-0.88%
"Nov 13, 2017"	"6,029.40"	"6,029.40"	"6,010.70"	"6,021.80"	419.29M	-0.13%
"Nov 10, 2017"	"6,049.40"	"6,049.40"	"6,020.70"	"6,029.40"	444.62M	-0.33%
"Nov 09, 2017"	"6,016.30"	"6,052.10"	"6,016.30"	"6,049.40"	584.19M	0.55%
"Nov 08, 2017"	"6,014.30"	"6,022.80"	"5,996.20"	"6,016.30"	494.16M	0.03%
"Nov 07, 2017"	"5,953.80"	"6,017.40"	"5,953.80"	"6,014.30"	461.25M	1.02%
"Nov 06, 2017"	"5,959.90"	"5,966.30"	"5,945.70"	"5,953.80"	453.61M	-0.10%
"Nov 03, 2017"	"5,931.70"	"5,968.20"	"5,931.70"	"5,959.90"	468.62M	0.48%
"Nov 02, 2017"	"5,937.80"	"5,961.50"	"5,929.10"	"5,931.70"	521.00M	-0.10%
"Nov 01, 2017"	"5,909.00"	"5,952.40"	"5,909.00"	"5,937.80"	608.30M	0.49%
"Oct 31, 2017"	"5,919.10"	"5,934.50"	"5,908.30"	"5,909.00"	536.77M	-0.17%
"Oct 30, 2017"	"5,903.60"	"5,927.70"	"5,903.60"	"5,919.10"	484.18M	0.27%
"Oct 27, 2017"	"5,916.30"	"5,938.10"	"5,859.20"	"5,903.20"	623.19M	-0.22%
"Oct 26, 2017"	"5,905.60"	"5,916.30"	"5,884.60"	"5,916.30"	546.43M	0.18%
"Oct 25, 2017"	"5,897.60"	"5,919.90"	"5,895.10"	"5,905.60"	562.70M	0.14%
"Oct 24, 2017"	"5,894.00"	"5,908.80"	"5,885.40"	"5,897.60"	502.23M	0.06%
"Oct 23, 2017"	"5,907.00"	"5,925.30"	"5,892.30"	"5,894.00"	428.25M	-0.22%
"Oct 20, 2017"	"5,896.10"	"5,924.90"	"5,868.60"	"5,907.00"	486.91M	0.18%
"Oct 19, 2017"	"5,890.50"	"5,910.20"	"5,884.90"	"5,896.10"	635.70M	0.10%
"Oct 18, 2017"	"5,889.60"	"5,906.10"	"5,886.70"	"5,890.50"	544.97M	0.02%
"Oct 17, 2017"	"5,846.80"	"5,896.30"	"5,846.80"	"5,889.60"	494.54M	0.73%
"Oct 16, 2017"	"5,814.20"	"5,856.30"	"5,814.20"	"5,846.80"	463.52M	0.56%
"Oct 13, 2017"	"5,794.50"	"5,825.20"	"5,792.70"	"5,814.20"	438.60M	0.34%
"Oct 12, 2017"	"5,772.10"	"5,794.50"	"5,763.70"	"5,794.50"	469.18M	0.39%
"Oct 11, 2017"	"5,738.10"	"5,778.10"	"5,738.10"	"5,772.10"	528.91M	0.59%
"Oct 10, 2017"	"5,739.30"	"5,750.30"	"5,720.40"	"5,738.10"	453.78M	-0.02%
"Oct 09, 2017"	"5,710.80"	"5,759.20"	"5,710.80"	"5,739.30"	433.02M	0.50%
"Oct 06, 2017"	"5,651.80"	"5,710.70"	"5,651.80"	"5,710.70"	455.85M	1.04%
"Oct 05, 2017"	"5,652.10"	"5,673.60"	"5,650.90"	"5,651.80"	475.64M	-0.01%
"Oct 04, 2017"	"5,701.40"	"5,702.80"	"5,651.10"	"5,652.10"	519.00M	-0.86%
"Oct 03, 2017"	"5,729.30"	"5,736.40"	"5,692.70"	"5,701.40"	487.11M	-0.49%
"Oct 02, 2017"	"5,681.60"	"5,751.00"	"5,681.60"	"5,729.30"	352.06M	0.84%
"Sep 29, 2017"	"5,670.40"	"5,688.50"	"5,651.90"	"5,681.60"	594.32M	0.20%
"Sep 28, 2017"	"5,664.30"	"5,685.90"	"5,664.30"	"5,670.40"	548.26M	0.11%
"Sep 27, 2017"	"5,671.00"	"5,672.60"	"5,649.10"	"5,664.30"	532.69M	-0.12%
"Sep 26, 2017"	"5,683.70"	"5,698.50"	"5,666.60"	"5,671.00"	513.29M	-0.22%
"Sep 25, 2017"	"5,682.10"	"5,710.40"	"5,679.20"	"5,683.70"	401.34M	0.03%
"Sep 22, 2017"	"5,655.40"	"5,688.20"	"5,655.40"	"5,682.10"	440.75M	0.47%
"Sep 21, 2017"	"5,709.10"	"5,709.10"	"5,639.40"	"5,655.40"	670.15M	-0.94%
"Sep 20, 2017"	"5,713.60"	"5,713.60"	"5,680.50"	"5,709.10"	515.90M	-0.08%
"Sep 19, 2017"	"5,720.60"	"5,742.20"	"5,713.60"	"5,713.60"	552.90M	-0.12%
"Sep 18, 2017"	"5,695.00"	"5,731.50"	"5,695.00"	"5,720.60"	454.11M	0.45%
"Sep 15, 2017"	"5,738.70"	"5,738.70"	"5,686.40"	"5,695.00"	772.65M	-0.76%
"Sep 14, 2017"	"5,744.30"	"5,749.00"	"5,726.30"	"5,738.70"	479.31M	-0.10%
"Sep 13, 2017"	"5,746.40"	"5,777.70"	"5,744.30"	"5,744.30"	510.91M	-0.04%
"Sep 12, 2017"	"5,713.10"	"5,764.60"	"5,713.10"	"5,746.40"	556.71M	0.58%
"Sep 11, 2017"	"5,672.80"	"5,723.00"	"5,669.80"	"5,713.10"	451.48M	0.71%
"Sep 08, 2017"	"5,689.90"	"5,694.20"	"5,661.40"	"5,672.60"	480.91M	-0.30%
"Sep 07, 2017"	"5,689.70"	"5,718.10"	"5,679.30"	"5,689.90"	613.85M	0.00%
"Sep 06, 2017"	"5,706.20"	"5,706.20"	"5,662.70"	"5,689.70"	589.37M	-0.29%
"Sep 05, 2017"	"5,702.00"	"5,706.20"	"5,666.20"	"5,706.20"	451.89M	0.07%
"Sep 04, 2017"	"5,724.60"	"5,724.60"	"5,690.00"	"5,702.00"	394.54M	-0.39%
"Sep 01, 2017"	"5,714.50"	"5,734.90"	"5,700.80"	"5,724.60"	543.16M	0.18%
"Aug 31, 2017"	"5,669.70"	"5,714.50"	"5,669.70"	"5,714.50"	848.64M	0.79%
"Aug 30, 2017"	"5,669.00"	"5,691.30"	"5,654.90"	"5,669.70"	638.86M	0.01%
"Aug 29, 2017"	"5,709.70"	"5,709.70"	"5,645.80"	"5,669.00"	663.90M	-0.72%
"Aug 28, 2017"	"5,743.90"	"5,746.30"	"5,699.60"	"5,709.90"	546.03M	-0.59%
"Aug 25, 2017"	"5,745.50"	"5,750.50"	"5,721.30"	"5,743.90"	810.39M	-0.03%
"Aug 24, 2017"	"5,737.20"	"5,753.70"	"5,716.90"	"5,745.50"	752.83M	0.14%
"Aug 23, 2017"	"5,750.10"	"5,781.40"	"5,723.50"	"5,737.20"	715.06M	-0.22%
"Aug 22, 2017"	"5,725.90"	"5,750.90"	"5,725.90"	"5,750.10"	621.98M	0.42%
"Aug 21, 2017"	"5,747.10"	"5,747.10"	"5,699.00"	"5,725.90"	547.15M	-0.37%
"Aug 18, 2017"	"5,779.20"	"5,779.20"	"5,711.00"	"5,747.10"	603.40M	-0.56%
"Aug 17, 2017"	"5,785.10"	"5,806.30"	"5,765.80"	"5,779.20"	795.45M	-0.10%
"Aug 16, 2017"	"5,757.50"	"5,785.10"	"5,728.80"	"5,785.10"	603.45M	0.48%
"Aug 15, 2017"	"5,730.40"	"5,777.20"	"5,730.40"	"5,757.50"	489.42M	0.47%
"Aug 14, 2017"	"5,693.10"	"5,735.70"	"5,693.10"	"5,730.40"	430.05M	0.66%
"Aug 11, 2017"	"5,760.90"	"5,760.90"	"5,674.00"	"5,693.10"	599.43M	-1.18%
"Aug 10, 2017"	"5,765.70"	"5,795.50"	"5,747.00"	"5,760.90"	533.65M	-0.08%
"Aug 09, 2017"	"5,743.80"	"5,777.20"	"5,742.80"	"5,765.70"	494.04M	0.38%
"Aug 08, 2017"	"5,773.60"	"5,792.00"	"5,722.10"	"5,743.80"	526.50M	-0.52%
"Aug 07, 2017"	"5,720.60"	"5,781.60"	"5,720.60"	"5,773.60"	400.62M	0.93%
"Aug 04, 2017"	"5,735.10"	"5,738.60"	"5,709.30"	"5,720.60"	527.12M	-0.25%
"Aug 03, 2017"	"5,744.20"	"5,744.60"	"5,706.20"	"5,735.10"	521.95M	-0.16%
"Aug 02, 2017"	"5,772.40"	"5,779.60"	"5,738.10"	"5,744.20"	546.23M	-0.49%
"Aug 01, 2017"	"5,720.60"	"5,774.50"	"5,720.60"	"5,772.40"	699.05M	0.91%
"Jul 31, 2017"	"5,702.80"	"5,745.20"	"5,701.80"	"5,720.60"	561.24M	0.31%
"Jul 28, 2017"	"5,785.00"	"5,785.00"	"5,692.80"	"5,702.80"	651.09M	-1.42%
"Jul 27, 2017"	"5,776.60"	"5,799.60"	"5,776.60"	"5,785.00"	510.32M	0.15%
"Jul 26, 2017"	"5,726.60"	"5,787.60"	"5,726.60"	"5,776.60"	595.28M	0.87%
"Jul 25, 2017"	"5,688.10"	"5,742.80"	"5,688.10"	"5,726.60"	550.87M	0.68%
"Jul 24, 2017"	"5,722.80"	"5,722.80"	"5,653.30"	"5,688.10"	483.58M	-0.61%
"Jul 21, 2017"	"5,761.50"	"5,761.50"	"5,709.50"	"5,722.80"	563.92M	-0.67%
"Jul 20, 2017"	"5,732.10"	"5,770.80"	"5,732.10"	"5,761.50"	631.57M	0.51%
"Jul 19, 2017"	"5,687.40"	"5,743.80"	"5,687.40"	"5,732.10"	587.46M	0.79%
"Jul 18, 2017"	"5,755.50"	"5,761.60"	"5,678.70"	"5,687.40"	577.54M	-1.18%
"Jul 17, 2017"	"5,765.10"	"5,773.70"	"5,735.50"	"5,755.50"	438.63M	-0.17%
"Jul 14, 2017"	"5,736.80"	"5,778.80"	"5,736.80"	"5,765.10"	655.37M	0.49%
"Jul 13, 2017"	"5,673.80"	"5,742.70"	"5,673.80"	"5,736.80"	558.36M	1.11%
"Jul 12, 2017"	"5,728.90"	"5,730.30"	"5,665.60"	"5,673.80"	562.51M	-0.96%
"Jul 11, 2017"	"5,724.40"	"5,744.50"	"5,700.70"	"5,728.90"	516.25M	0.08%
"Jul 10, 2017"	"5,703.60"	"5,747.50"	"5,703.60"	"5,724.40"	478.53M	0.36%
"Jul 07, 2017"	"5,758.80"	"5,758.80"	"5,676.00"	"5,703.60"	586.59M	-0.96%
"Jul 06, 2017"	"5,763.30"	"5,771.60"	"5,741.70"	"5,758.80"	582.36M	-0.08%
"Jul 05, 2017"	"5,783.80"	"5,790.40"	"5,755.20"	"5,763.30"	515.28M	-0.35%
"Jul 04, 2017"	"5,684.50"	"5,792.00"	"5,684.50"	"5,783.80"	623.94M	1.75%
"Jul 03, 2017"	"5,721.50"	"5,729.60"	"5,682.90"	"5,684.50"	574.06M	-0.65%
"Jun 30, 2017"	"5,818.10"	"5,818.10"	"5,718.10"	"5,721.50"	827.80M	-1.66%
"Jun 29, 2017"	"5,755.70"	"5,819.70"	"5,755.70"	"5,818.10"	676.07M	1.08%
"Jun 28, 2017"	"5,714.20"	"5,757.30"	"5,702.70"	"5,755.70"	678.77M	0.73%
"Jun 27, 2017"	"5,720.20"	"5,721.10"	"5,685.20"	"5,714.20"	577.73M	-0.10%
"Jun 26, 2017"	"5,715.90"	"5,749.00"	"5,711.00"	"5,720.20"	596.55M	0.08%
"Jun 23, 2017"	"5,706.00"	"5,723.30"	"5,692.90"	"5,715.90"	540.24M	0.17%
"Jun 22, 2017"	"5,665.70"	"5,723.90"	"5,665.70"	"5,706.00"	627.92M	0.71%
"Jun 21, 2017"	"5,757.30"	"5,757.30"	"5,665.30"	"5,665.70"	728.83M	-1.59%
"Jun 20, 2017"	"5,805.20"	"5,809.30"	"5,757.30"	"5,757.30"	633.83M	-0.83%
"Jun 19, 2017"	"5,774.00"	"5,806.40"	"5,769.40"	"5,805.20"	505.25M	0.54%
"Jun 16, 2017"	"5,760.80"	"5,794.50"	"5,760.80"	"5,774.00"	1.11B	0.19%
"Jun 15, 2017"	"5,833.90"	"5,833.90"	"5,752.20"	"5,763.20"	1.39B	-1.21%
"Jun 14, 2017"	"5,772.80"	"5,836.40"	"5,772.80"	"5,833.90"	778.20M	1.06%
"Jun 13, 2017"	"5,677.80"	"5,772.80"	"5,677.80"	"5,772.80"	705.36M	1.67%
"Jun 09, 2017"	"5,676.60"	"5,691.80"	"5,649.70"	"5,677.80"	612.80M	0.02%
"Jun 08, 2017"	"5,667.20"	"5,679.10"	"5,629.80"	"5,676.60"	613.54M	0.17%
"Jun 07, 2017"	"5,667.50"	"5,682.50"	"5,642.60"	"5,667.20"	680.29M	-0.01%
"Jun 06, 2017"	"5,754.90"	"5,754.90"	"5,667.50"	"5,667.50"	616.40M	-1.52%
"Jun 05, 2017"	"5,788.10"	"5,788.10"	"5,737.40"	"5,754.90"	600.92M	-0.57%
"Jun 02, 2017"	"5,738.10"	"5,793.70"	"5,738.10"	"5,788.10"	591.10M	0.87%
"Jun 01, 2017"	"5,724.60"	"5,738.60"	"5,709.40"	"5,738.10"	629.59M	0.24%
"May 31, 2017"	"5,717.90"	"5,740.10"	"5,708.50"	"5,724.60"	923.25M	0.12%
"May 30, 2017"	"5,707.00"	"5,726.60"	"5,679.80"	"5,717.90"	476.50M	0.19%
"May 29, 2017"	"5,751.20"	"5,758.20"	"5,707.10"	"5,707.10"	503.45M	-0.78%
"May 26, 2017"	"5,789.60"	"5,789.60"	"5,738.60"	"5,751.70"	589.73M	-0.65%
"May 25, 2017"	"5,769.00"	"5,790.50"	"5,749.30"	"5,789.60"	645.84M	0.36%
"May 24, 2017"	"5,760.20"	"5,776.00"	"5,754.40"	"5,769.00"	646.50M	0.15%
"May 23, 2017"	"5,771.20"	"5,795.70"	"5,753.10"	"5,760.20"	578.23M	-0.19%
"May 22, 2017"	"5,727.40"	"5,778.10"	"5,727.40"	"5,771.20"	571.63M	0.76%
"May 19, 2017"	"5,738.30"	"5,740.50"	"5,707.40"	"5,727.40"	522.49M	-0.19%
"May 18, 2017"	"5,786.00"	"5,786.00"	"5,697.60"	"5,738.30"	798.48M	-0.82%
"May 17, 2017"	"5,850.50"	"5,850.50"	"5,784.50"	"5,786.00"	683.75M	-1.10%
"May 16, 2017"	"5,838.40"	"5,871.60"	"5,835.70"	"5,850.50"	671.72M	0.21%
"May 15, 2017"	"5,836.90"	"5,847.00"	"5,805.90"	"5,838.40"	584.05M	0.03%
"May 12, 2017"	"5,878.30"	"5,878.70"	"5,815.60"	"5,836.90"	596.64M	-0.70%
"May 11, 2017"	"5,875.40"	"5,922.50"	"5,873.40"	"5,878.30"	684.61M	0.05%
"May 10, 2017"	"5,839.90"	"5,888.10"	"5,816.50"	"5,875.40"	766.72M	0.61%
"May 09, 2017"	"5,870.90"	"5,870.90"	"5,830.50"	"5,839.90"	690.67M	-0.53%
"May 08, 2017"	"5,836.60"	"5,885.40"	"5,836.60"	"5,870.90"	770.51M	0.59%
"May 05, 2017"	"5,876.40"	"5,885.80"	"5,827.20"	"5,836.60"	731.17M	-0.68%
"May 04, 2017"	"5,892.30"	"5,893.60"	"5,856.40"	"5,876.40"	654.09M	-0.27%
"May 03, 2017"	"5,950.40"	"5,950.40"	"5,882.20"	"5,892.30"	804.65M	-0.98%
"May 02, 2017"	"5,956.50"	"5,956.50"	"5,919.00"	"5,950.40"	721.43M	-0.10%
"May 01, 2017"	"5,924.10"	"5,956.50"	"5,916.70"	"5,956.50"	631.48M	0.55%
"Apr 28, 2017"	"5,921.50"	"5,924.10"	"5,894.80"	"5,924.10"	699.67M	0.04%
"Apr 27, 2017"	"5,912.00"	"5,924.20"	"5,906.40"	"5,921.50"	592.86M	0.16%
"Apr 26, 2017"	"5,871.80"	"5,923.90"	"5,871.80"	"5,912.00"	691.76M	0.68%
"Apr 24, 2017"	"5,854.10"	"5,894.70"	"5,853.80"	"5,871.80"	468.66M	0.30%
"Apr 21, 2017"	"5,821.40"	"5,870.40"	"5,821.40"	"5,854.10"	577.41M	0.56%
"Apr 20, 2017"	"5,804.00"	"5,826.10"	"5,801.20"	"5,821.40"	638.85M	0.30%
"Apr 19, 2017"	"5,836.70"	"5,836.70"	"5,790.60"	"5,804.00"	731.03M	-0.56%
"Apr 18, 2017"	"5,889.90"	"5,889.90"	"5,820.40"	"5,836.70"	799.92M	-0.90%
"Apr 13, 2017"	"5,934.00"	"5,934.00"	"5,881.30"	"5,890.00"	648.03M	-0.74%
