date,CHFEUR,CHFJPY,CHFSEK,CHFAUD,USDCHF,USDGBP,USDCAD,USDEUR,USDJPY,USDSEK,USDAUD,GBPCHF,GBPUSD,GBPCAD
2014-05-18,0,0,0,0,14,3,18,18,23,0,36,17,7,11
2014-05-25,0,36,0,0,12,13,22,6,19,0,38,9,5,11
2014-06-01,6,18,0,0,5,8,32,18,25,26,19,0,5,28
2014-06-08,0,18,0,0,10,5,11,31,23,0,0,18,5,11
2014-06-15,0,0,0,56,14,3,14,6,17,13,19,0,8,17
2014-06-22,6,0,48,0,6,8,8,31,20,13,38,0,7,34
2014-06-29,0,18,0,0,10,3,33,13,36,53,29,9,9,35
2014-07-06,0,0,0,56,10,3,16,19,30,40,39,45,5,28
2014-07-13,6,18,0,0,10,3,19,13,24,13,19,46,7,11
2014-07-20,0,18,0,0,8,11,8,44,11,0,19,9,6,17
2014-07-27,0,0,0,0,4,3,19,19,22,13,20,0,7,29
2014-08-03,7,0,0,0,11,0,17,7,32,14,20,19,8,18
2014-08-10,0,18,0,0,10,5,19,6,20,0,39,9,9,11
2014-08-17,0,18,48,0,11,3,25,37,23,13,19,36,6,23
2014-08-24,0,0,0,0,12,3,13,18,19,13,0,17,6,11
2014-08-31,0,17,0,0,11,5,21,18,25,25,37,9,10,11
2014-09-07,0,17,0,0,18,18,18,18,37,25,0,26,15,21
2014-09-14,6,17,0,0,15,0,23,23,44,12,18,60,19,32
2014-09-21,0,17,0,0,15,8,8,29,34,12,0,25,10,32
2014-09-28,0,17,0,0,6,0,18,41,38,25,46,17,7,11
2014-10-05,0,17,0,0,14,8,36,29,37,0,18,25,7,11
2014-10-12,0,17,0,0,11,15,22,52,37,24,35,16,6,10
2014-10-19,0,0,45,0,9,2,10,23,26,12,35,8,5,31
2014-10-26,6,33,0,0,7,2,25,29,46,0,18,0,6,0
2014-11-02,0,0,0,0,9,2,22,17,55,0,26,0,6,26
2014-11-09,0,24,0,0,12,10,32,17,48,0,26,0,6,20
2014-11-16,6,33,0,0,9,5,40,29,72,24,18,8,7,31
2014-11-23,6,0,43,0,12,5,5,33,48,0,17,8,4,20
2014-11-30,5,32,0,0,19,5,17,11,65,12,51,16,7,30
2014-12-07,0,24,44,0,11,5,22,39,60,35,26,8,6,15
2014-12-14,0,16,0,0,17,2,33,29,76,24,71,17,5,0
2014-12-21,0,0,50,0,5,3,27,26,51,26,29,18,5,17
2014-12-28,0,0,47,0,9,3,27,43,49,0,28,9,5,22
2015-01-04,0,16,42,0,13,12,21,43,46,11,51,39,8,30
2015-01-11,100,100,83,48,100,21,23,75,50,34,33,100,9,15
2015-01-18,42,46,41,47,49,7,49,80,36,33,41,84,9,29
2015-01-25,31,0,41,0,31,7,53,68,30,22,24,38,8,48
2015-02-01,42,31,0,0,22,2,65,32,36,11,74,46,6,68
2015-02-08,26,0,41,47,14,14,32,21,40,100,33,23,8,10
2015-02-15,11,16,42,0,14,2,43,38,41,0,50,0,10,15
2015-02-22,10,0,0,47,11,9,39,52,31,0,32,45,8,52
2015-03-01,5,15,82,0,10,9,37,26,21,22,32,15,8,33
2015-03-08,10,15,0,47,17,20,44,68,44,77,48,30,9,29
2015-03-15,20,15,0,0,18,11,25,78,20,33,65,30,11,28
2015-03-22,0,16,0,0,14,5,45,67,27,12,35,41,8,15
2015-03-29,11,0,42,0,12,12,47,33,22,11,17,0,11,25
2015-04-05,5,31,0,0,8,11,44,11,32,11,49,23,6,29
2015-04-12,16,15,41,0,10,11,48,31,29,44,65,15,8,33
2015-04-19,5,15,41,0,8,7,39,37,24,44,41,8,8,29
2015-04-26,5,0,0,0,16,14,26,16,24,34,57,15,8,24
2015-05-03,10,0,41,0,19,5,30,32,21,66,41,30,12,19
2015-05-10,5,30,41,0,18,9,23,11,26,11,25,0,11,19
2015-05-17,16,15,0,0,12,2,28,41,32,11,56,15,12,24
2015-05-24,10,15,0,0,13,2,39,37,39,11,24,15,6,33
2015-05-31,10,0,0,0,18,9,32,48,48,22,33,8,8,24
2015-06-07,10,0,0,0,8,7,25,26,48,44,49,0,8,43
2015-06-14,21,15,0,0,9,7,19,37,35,67,33,15,8,29
2015-06-21,0,0,0,0,8,14,14,32,29,45,33,23,8,19
2015-06-28,16,0,41,0,14,5,26,80,26,34,25,0,9,29
2015-07-05,10,15,0,0,5,5,46,100,41,11,49,15,7,38
2015-07-12,16,0,0,0,14,2,40,32,29,34,16,15,9,49
2015-07-19,0,15,0,0,15,9,42,22,28,11,67,8,7,29
2015-07-26,0,15,41,0,14,5,41,42,21,33,16,8,9,29
2015-08-02,0,31,0,0,14,9,54,26,24,45,99,54,11,34
2015-08-09,16,31,0,0,19,11,53,27,25,45,66,38,7,19
2015-08-16,0,15,0,0,21,11,57,21,33,22,40,23,7,24
2015-08-23,10,0,0,0,18,16,47,51,63,54,55,0,11,65
2015-08-30,5,0,40,0,18,9,31,20,35,11,47,7,7,37
2015-09-06,0,30,40,0,14,9,32,40,30,22,71,7,6,19
2015-09-13,15,0,39,0,10,11,32,35,33,10,46,21,8,27
2015-09-20,10,0,39,0,10,11,42,20,27,11,23,0,8,41
2015-09-27,5,0,0,0,17,6,26,29,27,10,61,7,9,22
2015-10-04,10,14,0,0,8,2,34,34,27,52,15,0,9,40
2015-10-11,5,14,0,0,9,4,24,30,24,31,15,7,6,22
2015-10-18,10,0,0,43,14,10,53,24,33,10,22,21,7,40
2015-10-25,10,21,0,0,13,2,45,24,27,31,53,28,7,13
2015-11-01,24,14,37,0,17,6,21,44,20,10,30,14,8,18
2015-11-08,5,14,0,0,18,8,30,24,27,20,38,14,8,18
2015-11-15,0,0,76,0,15,10,28,14,31,0,23,14,7,26
2015-11-22,0,14,0,0,17,2,43,20,24,31,38,14,7,18
2015-11-29,9,27,0,0,18,8,44,57,24,10,22,35,8,30
2015-12-06,14,28,38,0,19,6,75,49,25,21,45,21,8,35
2015-12-13,5,14,0,0,21,15,63,15,25,42,54,14,12,14
2015-12-20,0,32,0,0,14,14,65,16,24,23,17,24,6,0
2015-12-27,11,0,0,0,13,12,36,16,18,12,51,24,7,15
2016-01-03,0,22,0,0,22,7,63,15,47,0,64,22,11,33
2016-01-10,0,15,0,0,14,13,100,25,52,11,31,37,12,14
2016-01-17,5,15,0,0,11,9,81,36,37,11,16,7,13,47
2016-01-24,10,15,0,0,13,11,56,40,54,11,31,37,9,23
2016-01-31,0,0,0,46,14,13,71,25,58,0,47,15,8,32
2016-02-07,10,15,0,0,19,7,56,20,85,43,0,22,8,19
2016-02-14,10,22,39,45,9,9,57,30,60,21,70,22,9,23
2016-02-21,0,14,39,0,19,15,50,30,50,42,39,29,18,45
2016-02-28,10,14,0,0,9,8,56,30,49,41,46,21,12,27
2016-03-06,5,14,0,0,10,4,53,30,31,32,31,15,10,50
2016-03-13,0,15,0,0,15,7,60,25,38,21,62,15,9,28
2016-03-20,15,15,0,0,16,18,43,31,46,22,56,0,10,33
2016-03-27,5,22,0,0,13,4,54,31,41,21,39,7,11,42
2016-04-03,5,15,0,0,17,11,42,20,72,21,39,29,12,41
2016-04-10,0,15,0,0,14,7,58,20,68,0,47,22,11,51
2016-04-17,5,29,0,0,11,4,44,36,53,11,16,7,9,37
2016-04-24,5,14,0,0,12,7,33,10,69,21,47,7,11,27
2016-05-01,5,0,0,0,11,7,56,36,62,33,64,7,11,14
2016-05-08,0,29,0,0,5,2,40,15,51,11,47,22,8,32
2016-05-15,0,15,0,0,20,2,48,20,42,11,32,7,10,28
2016-05-22,10,15,0,0,13,13,56,21,43,22,32,7,12,33
2016-05-29,5,30,0,0,15,7,27,26,60,33,16,0,14,28
2016-06-05,5,15,0,0,9,9,34,5,62,54,32,37,15,37
2016-06-12,0,15,0,0,15,9,45,36,69,0,16,44,17,42
2016-06-19,16,15,82,0,20,100,76,94,93,22,24,61,100,100
2016-06-26,10,30,0,47,17,68,69,52,59,33,57,76,71,90
2016-07-03,5,24,43,0,12,26,46,28,56,12,17,40,42,85
2016-07-10,0,16,41,0,14,16,38,21,79,23,17,39,35,39
2016-07-17,0,16,43,0,7,19,62,32,66,0,51,55,20,54
2016-07-24,5,24,0,0,9,9,31,33,81,23,17,24,13,30
2016-07-31,0,32,0,100,11,22,29,16,63,12,26,8,20,30
2016-08-07,17,16,0,0,12,15,30,0,48,12,35,8,16,26
2016-08-14,6,34,0,0,8,15,36,6,76,0,36,8,15,32
2016-08-21,0,24,0,0,9,5,27,28,55,0,43,48,13,15
2016-08-28,5,15,0,0,18,11,54,27,60,56,0,38,16,19
2016-09-04,5,0,0,0,12,7,35,22,41,0,17,8,13,15
2016-09-11,21,0,0,0,11,7,58,21,38,34,49,15,15,34
2016-09-18,0,0,0,0,5,7,36,26,60,0,16,15,14,24
2016-09-25,0,15,0,0,11,14,43,5,45,0,16,23,11,38
2016-10-02,5,15,0,0,10,13,45,15,43,11,32,37,46,28
2016-10-09,0,15,0,0,10,9,47,15,50,43,63,22,32,28
2016-10-16,0,30,40,0,13,9,60,20,46,21,55,22,20,33
2016-10-23,5,59,0,0,17,4,50,20,44,54,16,7,16,33
2016-10-30,5,15,0,0,19,16,59,5,46,0,16,30,22,38
2016-11-06,10,14,39,0,28,17,81,40,100,32,46,29,27,9
2016-11-13,5,15,0,0,18,20,60,25,66,43,31,7,14,46
2016-11-20,0,14,39,0,13,2,41,40,81,21,15,36,14,54
2016-11-27,0,0,0,44,16,6,47,44,56,20,45,7,13,27
2016-12-04,5,14,0,0,10,12,38,38,58,20,22,14,12,13
2016-12-11,0,0,0,0,18,6,63,49,71,10,61,0,12,13
2016-12-18,0,15,41,0,17,9,27,26,48,33,16,30,11,14
2016-12-25,5,23,41,0,14,7,38,11,58,23,33,16,10,10
2017-01-01,0,15,0,0,13,9,40,35,69,11,23,0,12,9
2017-01-08,0,14,0,0,10,12,31,43,73,0,15,28,17,39
2017-01-15,5,14,0,0,11,26,50,28,68,30,15,48,32,34
2017-01-22,0,14,37,0,17,16,48,24,59,20,29,41,19,30
2017-01-29,5,14,0,42,17,18,51,42,50,30,36,41,14,26
2017-02-05,9,0,0,84,9,4,35,19,55,20,14,41,13,17
2017-02-12,0,13,36,0,12,6,39,23,61,39,29,20,14,13
2017-02-19,0,14,0,0,17,4,35,19,51,10,22,14,11,30
2017-02-26,9,20,0,0,14,10,62,23,58,19,42,26,15,8
2017-03-05,0,0,0,0,15,6,64,41,59,19,28,20,14,21
2017-03-12,0,39,0,0,9,6,34,18,58,10,35,33,15,41
2017-03-19,5,0,36,0,13,16,31,9,73,0,29,54,14,21
2017-03-26,0,14,0,0,18,14,52,42,67,10,44,27,20,21
2017-04-02,5,0,0,0,15,12,27,19,74,10,36,14,11,0
2017-04-09,10,21,0,43,15,13,23,19,79,41,52,14,12,26
2017-04-16,5,14,0,0,9,6,52,5,69,0,37,21,23,34
2017-04-23,0,0,0,0,9,2,61,32,62,20,22,7,11,59
2017-04-30,0,0,0,0,12,12,50,23,55,20,15,0,12,21
2017-05-07,0,14,36,0,13,4,59,28,59,10,44,7,12,17
2017-05-14,5,22,58,0,11,9,35,25,53,21,39,29,10,18
2017-05-21,5,14,0,0,17,11,45,30,45,11,47,37,13,23
2017-05-28,0,22,0,0,12,11,31,25,42,11,39,22,13,32
2017-06-04,0,14,39,0,20,19,39,30,54,10,15,29,28,54
2017-06-11,5,0,0,0,17,7,69,15,46,11,15,36,15,23
2017-06-18,0,14,0,0,17,11,43,19,50,10,23,28,13,35
2017-06-25,0,15,0,0,9,11,56,36,48,11,24,7,13,33
2017-07-02,10,15,0,0,6,4,61,15,37,11,24,0,8,28
2017-07-09,0,0,0,0,13,4,82,25,62,21,31,22,11,23
2017-07-16,10,0,40,0,12,18,80,15,51,21,39,0,11,46
2017-07-23,5,14,0,0,26,4,57,25,61,11,46,22,9,45
2017-07-30,14,28,38,0,12,4,68,15,49,20,45,21,14,62
2017-08-06,14,14,0,0,11,6,38,39,53,10,37,14,11,22
2017-08-13,0,14,0,0,14,2,35,10,52,42,31,29,9,27
2017-08-20,10,28,0,0,15,11,66,24,54,0,30,7,11,49
2017-08-27,5,42,38,0,13,8,49,44,55,20,30,21,10,36
2017-09-03,10,0,0,0,17,10,70,19,50,10,82,14,9,57
2017-09-10,9,41,37,0,13,16,56,24,69,20,30,14,16,43
2017-09-17,19,28,0,0,17,12,34,33,53,30,37,21,14,39
2017-09-24,5,34,0,0,13,10,52,14,64,30,22,28,11,35
2017-10-01,5,21,0,0,9,20,48,24,47,0,15,14,15,35
2017-10-08,0,14,37,0,15,8,39,29,42,20,44,34,13,22
2017-10-15,5,55,0,0,9,8,43,9,53,0,58,27,10,26
2017-10-22,14,14,0,0,19,6,39,23,50,39,22,7,11,26
2017-10-29,5,41,37,0,22,8,68,38,57,10,22,14,17,17
2017-11-05,0,20,0,0,16,4,35,23,57,20,57,13,11,29
2017-11-12,4,26,0,0,18,4,36,14,55,19,14,26,11,29
2017-11-19,0,13,0,0,6,10,36,18,51,19,29,7,10,13
2017-11-26,4,0,0,0,15,10,55,64,55,0,14,7,16,37
2017-12-03,5,0,0,0,14,10,78,83,55,19,50,26,19,17
2017-12-10,9,0,0,0,18,6,49,69,44,29,72,53,13,21
2017-12-17,13,0,0,0,18,8,55,85,57,69,81,57,13,60
