date,CHFEUR,CHFJPY,CHFSEK,CHFAUD,USDCHF,USDGBP,USDCAD,USDEUR,USDJPY,USDSEK,USDAUD,GBPCHF,GBPUSD,GBPCAD,GBPEUR,GBPJPY,GBPSEK,GBPAUD,CADCHF,CADUSD,CADGBP,CADEUR,CADJPY,CADSEK,CADAUD,EURCHF,EURUSD,EURGBP,EURCAD,EURJPY,EURSEK,EURAUD,JPYCHF,JPYUSD,JPYGBP,JPYCAD,JPYEUR,JPYSEK,JPYAUD,SEKCHF,SEKUSD
2013-04-28,6,0,0,0,14,3,17,26,49,27,0,9,8,12,7,5,32,14,33,7,0,20,0,0,0,5,28,5,21,61,48,45,0,0,0,0,0,0,0,0,0
2013-05-05,0,0,0,0,6,0,17,39,73,14,0,19,6,12,0,20,0,37,0,7,0,20,18,0,45,6,20,9,29,43,58,11,0,20,0,0,0,0,0,0,0
2013-05-12,12,27,0,0,8,3,11,0,60,0,78,0,7,11,5,24,0,27,0,22,0,38,0,0,0,6,40,4,21,53,37,11,0,20,0,0,50,0,0,0,0
2013-05-19,6,18,0,0,15,3,14,13,63,13,59,9,6,0,2,5,0,36,0,10,0,0,0,0,0,3,25,14,28,66,18,22,0,20,0,0,51,0,0,0,40
2013-05-26,6,0,0,0,17,3,17,32,53,13,69,18,5,23,5,15,0,18,0,39,35,19,18,0,0,11,25,16,14,12,38,33,0,40,61,0,51,97,0,0,0
2013-06-02,12,18,49,0,10,5,17,25,97,26,78,27,6,23,2,10,0,31,0,10,0,19,0,0,0,4,23,5,42,24,0,33,0,79,0,0,0,0,0,0,0
2013-06-09,6,36,0,0,12,3,28,31,84,27,29,9,4,0,0,24,31,27,32,6,0,0,18,0,0,5,27,4,28,41,19,33,0,0,0,86,0,0,0,0,0
2013-06-16,6,37,0,0,15,11,25,19,63,67,20,28,5,12,8,10,0,50,0,13,0,0,0,0,44,4,25,9,28,18,19,33,0,20,0,0,0,0,0,0,0
2013-06-23,0,0,0,0,11,8,28,45,53,27,30,9,5,0,6,10,0,27,32,19,35,19,18,61,0,6,29,7,35,18,28,33,0,100,0,0,0,0,0,0,0
2013-06-30,13,38,0,0,5,14,46,7,55,27,50,38,9,24,2,5,0,23,33,27,0,0,18,0,0,7,32,5,57,55,29,11,0,20,62,0,0,0,0,0,0
2013-07-07,0,19,0,0,14,6,14,20,38,14,61,19,10,12,6,5,0,23,0,20,0,20,0,0,0,5,34,15,43,25,38,23,0,62,0,0,0,0,0,0,0
2013-07-14,6,19,0,59,8,3,9,0,44,41,41,0,6,0,5,15,0,19,0,23,0,0,18,0,0,4,22,13,29,80,59,45,0,0,0,0,0,0,0,0,43
2013-07-21,0,19,0,0,5,3,17,13,43,0,40,28,7,12,7,30,32,46,0,13,0,0,18,0,0,4,20,0,21,24,19,23,0,41,62,0,0,0,0,0,0
2013-07-28,0,19,0,0,6,8,11,7,47,27,100,9,8,12,9,15,0,32,0,13,0,20,0,0,0,2,28,5,14,24,39,34,0,0,62,0,0,0,0,0,0
2013-08-04,6,38,0,0,8,8,23,20,39,14,51,19,7,24,6,25,0,42,0,13,0,40,0,0,0,6,35,13,43,55,19,34,0,0,0,0,0,0,60,0,0
2013-08-11,7,19,0,0,17,0,20,13,50,28,61,19,9,0,5,25,0,28,0,23,36,0,0,0,0,6,27,2,14,43,19,23,0,0,0,0,53,100,0,0,0
2013-08-18,0,37,99,0,11,6,14,13,30,27,50,18,7,23,4,10,31,63,0,13,0,20,0,0,0,3,30,18,35,30,0,22,0,40,0,0,0,0,0,0,0
2013-08-25,12,18,0,0,2,3,11,25,38,52,38,36,7,22,8,19,0,44,31,9,0,0,35,0,0,5,21,7,41,29,18,32,0,19,0,0,0,0,0,0,40
2013-09-01,0,18,0,0,15,3,19,37,49,0,19,18,6,11,7,33,31,18,0,19,0,0,0,0,43,4,30,7,34,29,18,32,0,0,60,0,49,0,0,0,0
2013-09-08,0,17,0,0,12,5,11,18,41,0,84,26,8,11,2,9,30,30,31,25,33,0,17,0,0,9,24,14,13,23,54,21,0,19,0,0,0,0,0,0,0
2013-09-15,0,35,0,0,6,3,8,24,39,13,47,9,8,22,7,14,0,39,0,9,0,0,17,0,0,5,24,7,27,57,36,21,0,19,0,0,0,0,56,0,39
2013-09-22,0,35,0,0,6,5,16,18,25,0,19,9,6,55,2,14,0,17,0,19,0,0,0,0,84,3,32,8,27,28,18,21,0,19,58,0,0,0,0,0,39
2013-09-29,6,26,47,0,13,0,8,24,47,13,28,0,8,11,3,14,29,13,30,25,0,0,0,0,0,7,27,12,13,39,27,41,0,19,0,0,0,0,0,0,0
2013-10-06,18,17,0,0,10,10,3,24,24,13,56,9,9,27,7,14,0,17,31,25,0,0,0,0,0,6,24,7,26,28,36,42,0,38,58,0,0,0,0,0,0
2013-10-13,6,35,0,55,21,5,5,12,28,0,0,0,7,17,8,9,30,26,0,19,0,0,0,0,42,7,25,7,13,34,72,42,0,38,0,0,0,0,0,0,0
2013-10-20,0,17,0,0,18,5,10,6,30,0,37,9,8,16,3,5,0,38,0,21,0,0,0,0,41,5,34,5,33,28,35,10,0,37,0,0,0,0,0,0,38
2013-10-27,12,17,0,0,20,13,18,18,26,38,19,9,8,22,3,5,29,34,0,21,0,0,17,0,41,4,29,7,46,28,0,10,0,19,0,0,0,0,0,0,39
2013-11-03,0,34,0,0,11,3,23,41,32,25,27,9,7,11,6,22,0,42,0,21,0,0,33,0,41,6,33,15,45,33,52,20,0,0,56,0,0,0,0,0,0
2013-11-10,0,17,46,0,9,3,18,0,41,12,0,0,5,22,6,4,29,29,0,15,0,0,17,0,0,2,31,3,33,27,53,0,0,0,0,0,0,0,0,0,0
2013-11-17,0,59,0,0,16,3,13,0,36,37,36,8,3,11,8,18,29,37,30,24,32,0,0,0,0,2,25,7,39,22,17,30,0,18,0,0,0,0,0,0,0
2013-11-24,0,33,0,0,8,10,20,6,36,37,18,8,10,32,7,36,0,41,59,12,0,0,0,0,0,4,32,16,26,33,17,40,0,18,56,0,46,0,0,0,0
2013-12-01,0,33,44,0,8,5,17,23,31,0,27,0,6,26,1,22,28,61,29,12,0,17,0,0,40,3,30,11,25,48,17,20,0,18,0,0,0,0,52,0,0
2013-12-08,6,0,0,52,15,15,36,6,42,25,36,17,6,11,6,9,0,54,0,12,0,18,0,0,0,2,29,7,26,76,17,71,0,0,0,79,93,0,0,0,0
2013-12-15,6,17,0,0,18,10,16,12,42,13,0,26,5,11,9,18,0,60,30,15,0,0,17,0,41,2,30,17,26,39,18,41,0,19,0,0,48,0,0,0,0
2013-12-22,0,76,0,0,11,0,18,7,29,14,21,0,5,30,1,0,0,52,0,7,0,20,0,0,46,4,26,9,29,31,0,23,0,21,0,0,0,0,0,0,0
2013-12-29,0,18,0,56,16,8,16,19,33,13,39,18,7,17,5,19,31,67,0,13,0,0,35,0,44,4,32,10,42,53,19,22,0,0,0,0,0,0,0,0,0
2014-01-05,0,25,0,0,18,7,20,28,35,0,53,17,9,42,5,13,0,32,0,12,0,0,16,0,39,6,21,10,19,32,34,20,0,0,54,0,0,0,0,0,36
2014-01-12,6,16,0,0,11,7,30,28,35,24,26,32,5,31,6,9,0,36,0,37,46,0,16,0,39,6,28,14,19,42,50,78,0,53,54,0,0,0,0,0,0
2014-01-19,11,16,0,0,20,5,29,39,54,12,34,24,8,10,9,8,0,43,0,40,31,0,16,0,39,5,22,3,43,31,17,48,0,0,0,0,0,0,0,0,0
2014-01-26,6,16,0,0,15,0,37,22,52,12,0,16,7,45,4,17,27,24,0,25,0,17,0,0,0,4,31,9,18,31,16,19,0,0,0,0,0,0,51,0,0
2014-02-02,17,17,0,0,9,5,21,12,59,0,18,8,7,43,2,13,0,37,30,24,32,0,17,0,81,3,24,15,32,39,34,20,0,18,56,0,47,0,0,0,0
2014-02-09,5,16,0,0,9,9,19,16,31,0,17,24,9,20,7,25,27,43,0,22,30,0,46,0,37,5,29,6,18,36,16,47,86,17,0,0,0,0,0,0,0
2014-02-16,0,16,0,0,12,9,31,11,44,34,34,16,11,20,3,4,0,31,28,22,30,0,0,0,0,1,27,12,30,26,24,28,0,34,0,0,0,0,0,0,0
2014-02-23,0,0,0,0,10,7,26,28,23,23,43,0,7,15,5,16,0,27,0,25,0,0,15,0,37,4,21,11,24,25,33,0,0,17,0,0,0,0,0,0,36
2014-03-02,5,0,0,0,18,5,34,39,35,0,26,0,7,10,7,21,0,28,28,11,0,0,0,0,0,8,40,12,12,42,25,10,0,52,53,0,0,0,0,0,0
2014-03-09,0,16,0,0,11,7,10,39,34,23,17,40,6,25,4,29,0,28,0,6,30,0,16,0,0,8,32,17,55,41,25,0,0,35,0,0,0,0,0,0,0
2014-03-16,5,16,0,49,11,2,24,27,27,0,17,24,7,30,3,17,0,8,0,25,0,0,15,0,0,2,31,14,79,31,33,29,0,0,0,0,0,0,0,0,0
2014-03-23,5,0,0,0,12,5,27,22,36,0,17,8,6,25,5,13,0,27,28,33,0,0,15,0,0,6,28,9,24,21,33,38,0,17,0,75,0,0,0,0,0
2014-03-30,5,16,43,49,17,2,14,17,35,12,0,16,7,15,4,33,81,31,84,37,30,17,15,0,0,5,30,6,61,46,16,57,0,0,53,0,0,0,0,0,36
2014-04-06,0,16,0,0,14,0,22,11,36,0,51,8,7,10,5,13,0,43,0,17,0,0,0,0,0,2,31,19,24,16,33,10,0,0,0,75,0,0,0,0,0
2014-04-13,6,0,0,52,13,15,18,17,33,12,36,34,7,16,8,13,29,29,0,15,0,0,16,0,0,2,27,16,32,44,34,20,0,0,0,0,0,0,0,0,37
2014-04-20,6,0,44,0,5,2,17,6,26,12,18,0,7,21,2,22,28,24,0,12,31,0,16,54,0,3,21,8,12,11,42,29,0,0,0,0,45,0,0,0,0
2014-04-27,11,0,0,0,12,10,20,17,31,0,52,0,8,20,6,13,0,12,28,17,0,0,0,0,0,7,18,6,18,21,25,39,0,18,0,0,0,0,0,0,0
2014-05-04,5,16,86,0,11,5,17,28,32,23,34,8,7,20,8,8,54,24,0,25,0,0,0,0,0,2,35,11,12,10,57,10,0,0,0,0,44,0,0,0,0
2014-05-11,11,32,0,0,7,12,22,22,28,0,17,8,8,15,6,12,0,35,0,14,0,17,15,0,0,3,30,5,24,36,24,9,0,0,0,0,0,0,0,0,0
2014-05-18,0,0,0,0,14,3,18,18,23,0,36,17,7,11,4,27,0,29,30,9,0,0,0,0,0,4,23,10,45,27,26,40,0,0,0,0,0,0,0,0,0
2014-05-25,0,36,0,0,12,13,22,6,19,0,38,9,5,11,5,14,0,30,0,16,0,0,0,0,42,4,21,17,27,40,36,11,0,19,0,0,48,0,0,57,39
2014-06-01,6,18,0,0,5,8,32,18,25,26,19,0,5,28,5,14,0,26,31,12,0,19,35,0,0,7,36,2,20,35,27,64,0,39,58,0,0,0,0,0,39
2014-06-08,0,18,0,0,10,5,11,31,23,0,0,18,5,11,1,24,31,27,0,19,0,19,35,0,43,2,32,14,34,52,37,11,0,20,0,0,0,0,0,0,0
2014-06-15,0,0,0,56,14,3,14,6,17,13,19,0,8,17,7,19,0,31,0,51,34,0,18,0,0,4,21,9,21,35,18,32,0,0,0,0,0,0,0,0,0
2014-06-22,6,0,48,0,6,8,8,31,20,13,38,0,7,34,8,19,30,26,0,6,0,19,0,0,0,5,26,12,27,29,37,32,0,19,0,0,0,0,0,0,0
2014-06-29,0,18,0,0,10,3,33,13,36,53,29,9,9,35,4,43,31,27,0,13,35,19,18,0,0,3,19,5,42,36,28,22,0,0,0,0,0,0,0,0,0
2014-07-06,0,0,0,56,10,3,16,19,30,40,39,45,5,28,5,19,0,35,0,19,0,0,0,0,0,2,19,10,27,12,18,11,0,20,0,0,100,0,0,58,0
2014-07-13,6,18,0,0,10,3,19,13,24,13,19,46,7,11,8,5,0,45,0,35,0,19,0,0,0,4,26,16,0,24,37,44,0,40,0,0,0,0,0,0,0
2014-07-20,0,18,0,0,8,11,8,44,11,0,19,9,6,17,4,10,62,27,0,22,0,0,18,0,43,4,30,9,28,41,47,0,0,39,0,0,0,0,0,0,40
2014-07-27,0,0,0,0,4,3,19,19,22,13,20,0,7,29,5,19,0,18,0,19,35,0,18,0,0,2,20,12,14,18,38,11,0,40,0,0,0,0,0,0,82
2014-08-03,7,0,0,0,11,0,17,7,32,14,20,19,8,18,6,15,0,37,0,10,0,0,19,0,0,3,23,13,36,43,29,11,0,21,0,0,0,0,0,0,0
2014-08-10,0,18,0,0,10,5,19,6,20,0,39,9,9,11,7,19,0,13,0,19,0,38,18,0,43,3,20,9,14,0,18,0,0,20,0,0,49,0,0,0,0
2014-08-17,0,18,48,0,11,3,25,37,23,13,19,36,6,23,8,19,0,18,0,16,0,19,0,0,43,5,27,9,34,23,18,32,0,0,0,0,49,0,0,0,0
2014-08-24,0,0,0,0,12,3,13,18,19,13,0,17,6,11,1,18,29,21,31,15,0,0,34,0,0,6,36,15,33,11,27,42,0,19,0,0,0,0,0,0,0
2014-08-31,0,17,0,0,11,5,21,18,25,25,37,9,10,11,9,9,0,21,30,6,32,0,0,0,0,7,34,23,20,6,35,31,0,0,0,0,0,0,0,0,0
2014-09-07,0,17,0,0,18,18,18,18,37,25,0,26,15,21,16,18,0,46,0,21,0,18,17,0,40,3,31,5,32,66,17,31,92,18,0,0,0,0,0,0,0
2014-09-14,6,17,0,0,15,0,23,23,44,12,18,60,19,32,10,36,0,33,30,18,0,0,0,0,0,4,38,10,26,33,70,41,0,37,56,0,0,0,54,0,37
2014-09-21,0,17,0,0,15,8,8,29,34,12,0,25,10,32,9,18,57,37,59,9,0,0,16,0,0,3,27,18,44,27,17,70,0,36,56,0,0,0,0,0,37
2014-09-28,0,17,0,0,6,0,18,41,38,25,46,17,7,11,15,13,29,38,0,24,0,0,0,0,0,6,36,15,45,11,26,20,0,0,0,0,0,0,0,0,0
2014-10-05,0,17,0,0,14,8,36,29,37,0,18,25,7,11,3,18,0,33,0,12,32,35,33,0,0,4,32,8,38,16,0,40,0,36,0,0,0,0,0,0,38
2014-10-12,0,17,0,0,11,15,22,52,37,24,35,16,6,10,3,35,28,37,0,23,31,0,0,0,0,3,32,6,25,48,51,10,0,18,0,0,0,0,52,0,37
2014-10-19,0,0,45,0,9,2,10,23,26,12,35,8,5,31,5,35,0,20,0,9,31,0,0,0,0,5,35,6,32,32,68,0,0,18,0,0,0,0,0,0,0
2014-10-26,6,33,0,0,7,2,25,29,46,0,18,0,6,0,2,0,0,33,29,6,0,0,0,0,0,2,34,10,19,59,34,0,0,18,0,78,0,0,0,0,0
2014-11-02,0,0,0,0,9,2,22,17,55,0,26,0,6,26,9,13,0,24,29,9,0,17,0,0,0,5,33,13,25,63,42,10,0,70,0,0,0,0,0,0,37
2014-11-09,0,24,0,0,12,10,32,17,48,0,26,0,6,20,7,26,27,40,0,26,0,17,0,0,0,7,30,17,37,21,0,29,0,18,0,0,45,0,0,0,0
2014-11-16,6,33,0,0,9,5,40,29,72,24,18,8,7,31,6,17,55,16,0,23,31,0,16,0,0,8,30,11,38,42,25,39,0,53,0,0,45,0,0,0,0
2014-11-23,6,0,43,0,12,5,5,33,48,0,17,8,4,20,2,26,28,40,29,23,0,17,47,0,38,4,29,13,25,21,25,10,0,35,0,0,44,0,0,52,0
2014-11-30,5,32,0,0,19,5,17,11,65,12,51,16,7,30,10,29,0,24,56,17,0,0,31,0,0,8,38,14,18,21,41,19,0,52,53,75,44,0,0,0,0
2014-12-07,0,24,44,0,11,5,22,39,60,35,26,8,6,15,4,17,0,44,28,37,0,0,0,0,39,6,34,8,37,16,33,19,0,35,0,0,0,85,0,0,72
2014-12-14,0,16,0,0,17,2,33,29,76,24,71,17,5,0,4,13,56,29,29,26,0,0,16,0,39,13,31,13,38,27,85,40,0,18,0,0,0,0,0,0,0
2014-12-21,0,0,50,0,5,3,27,26,51,26,29,18,5,17,5,10,0,36,0,13,0,0,18,0,0,6,27,5,14,35,19,32,0,39,0,0,0,0,0,0,0
2014-12-28,0,0,47,0,9,3,27,43,49,0,28,9,5,22,7,9,30,9,31,12,0,56,17,0,84,6,32,24,34,17,27,11,0,38,0,0,0,0,0,0,0
2015-01-04,0,16,42,0,13,12,21,43,46,11,51,39,8,30,11,25,27,27,0,19,30,0,15,0,0,3,43,15,54,36,32,19,0,0,0,0,0,0,0,0,0
2015-01-11,100,100,83,48,100,21,23,75,50,34,33,100,9,15,13,16,26,34,0,38,0,33,15,0,37,100,53,18,47,50,47,9,83,33,51,72,0,0,0,0,34
2015-01-18,42,46,41,47,49,7,49,80,36,33,41,84,9,29,18,32,0,23,54,49,87,0,30,0,36,71,70,21,41,40,63,18,0,0,51,0,0,0,48,0,0
2015-01-25,31,0,41,0,31,7,53,68,30,22,24,38,8,48,14,8,0,52,27,40,72,16,15,0,36,45,76,17,40,24,62,18,0,33,0,0,0,0,0,48,0
2015-02-01,42,31,0,0,22,2,65,32,36,11,74,46,6,68,9,28,0,26,27,46,29,0,45,0,0,24,50,12,29,15,31,37,0,33,0,0,42,0,0,0,34
2015-02-08,26,0,41,47,14,14,32,21,40,100,33,23,8,10,10,32,78,26,0,35,0,0,15,0,0,16,36,28,46,15,63,64,0,33,0,0,0,0,0,0,34
2015-02-15,11,16,42,0,14,2,43,38,41,0,50,0,10,15,11,21,0,42,0,49,0,0,0,0,37,18,51,15,30,30,24,28,0,34,0,0,0,0,0,0,0
2015-02-22,10,0,0,47,11,9,39,52,31,0,32,45,8,52,13,36,0,22,0,18,28,0,15,0,0,16,42,19,17,19,23,27,0,49,0,0,0,0,0,0,33
2015-03-01,5,15,82,0,10,9,37,26,21,22,32,15,8,33,13,16,0,30,27,43,0,0,0,0,36,15,57,10,17,25,47,18,0,0,100,0,0,0,0,0,0
2015-03-08,10,15,0,47,17,20,44,68,44,77,48,30,9,29,21,24,0,33,0,37,29,0,0,50,0,12,77,23,40,20,54,18,0,33,50,0,0,0,0,0,0
2015-03-15,20,15,0,0,18,11,25,78,20,33,65,30,11,28,17,20,51,22,0,69,0,0,0,0,0,13,72,14,29,39,100,18,0,0,0,0,0,0,47,0,0
2015-03-22,0,16,0,0,14,5,45,67,27,12,35,41,8,15,13,22,56,48,0,29,0,0,16,0,0,12,60,24,31,27,34,10,0,0,54,0,89,0,0,0,0
2015-03-29,11,0,42,0,12,12,47,33,22,11,17,0,11,25,17,8,27,39,0,25,30,0,0,0,37,17,50,15,30,35,40,65,0,17,52,0,43,0,0,100,0
2015-04-05,5,31,0,0,8,11,44,11,32,11,49,23,6,29,12,16,26,30,27,30,0,16,45,0,0,5,44,13,41,20,32,18,0,33,0,72,43,0,0,0,0
2015-04-12,16,15,41,0,10,11,48,31,29,44,65,15,8,33,12,16,51,34,0,40,0,0,15,100,0,7,47,34,29,5,31,63,0,33,0,0,0,0,0,0,0
2015-04-19,5,15,41,0,8,7,39,37,24,44,41,8,8,29,8,12,51,26,27,21,29,0,0,0,36,10,38,7,35,39,47,9,0,16,0,0,0,0,0,0,0
2015-04-26,5,0,0,0,16,14,26,16,24,34,57,15,8,24,10,12,0,38,0,46,29,0,0,51,0,9,44,13,23,20,23,28,0,17,0,0,0,0,0,0,0
2015-05-03,10,0,41,0,19,5,30,32,21,66,41,30,12,19,17,4,0,38,53,38,29,32,44,0,37,6,51,18,58,20,24,36,82,0,0,0,0,0,0,0,0
2015-05-10,5,30,41,0,18,9,23,11,26,11,25,0,11,19,14,4,0,26,27,16,29,0,30,0,0,4,47,15,35,10,16,9,0,16,0,0,0,0,0,0,34
2015-05-17,16,15,0,0,12,2,28,41,32,11,56,15,12,24,13,28,26,22,0,27,29,0,15,0,36,6,47,7,12,29,93,27,0,0,0,0,42,0,0,0,100
2015-05-24,10,15,0,0,13,2,39,37,39,11,24,15,6,33,11,20,0,41,0,37,58,32,0,0,0,1,43,20,64,20,23,9,0,0,0,0,42,0,0,0,0
2015-05-31,10,0,0,0,18,9,32,48,48,22,33,8,8,24,6,16,26,49,0,16,0,0,44,0,0,4,44,18,70,15,78,9,0,49,0,0,42,0,48,0,34
2015-06-07,10,0,0,0,8,7,25,26,48,44,49,0,8,43,9,20,0,26,27,29,29,32,0,50,0,4,48,13,35,24,15,9,0,0,0,0,0,0,0,0,0
2015-06-14,21,15,0,0,9,7,19,37,35,67,33,15,8,29,10,28,0,30,0,24,0,32,0,0,0,5,41,10,29,15,39,37,0,33,51,0,85,0,0,0,0
2015-06-21,0,0,0,0,8,14,14,32,29,45,33,23,8,19,18,12,0,45,27,27,0,16,15,0,0,6,51,12,70,45,31,64,0,33,0,0,42,0,0,0,34
2015-06-28,16,0,41,0,14,5,26,80,26,34,25,0,9,29,22,12,26,30,0,22,0,33,15,0,0,14,100,34,53,70,63,9,0,17,0,0,0,0,0,49,0
2015-07-05,10,15,0,0,5,5,46,100,41,11,49,15,7,38,29,40,26,41,0,38,0,48,15,0,0,16,76,29,52,30,47,27,0,17,0,0,0,0,0,0,34
2015-07-12,16,0,0,0,14,2,40,32,29,34,16,15,9,49,23,32,52,34,0,54,0,16,0,0,37,10,51,16,47,45,47,18,0,33,51,0,0,0,0,0,0
2015-07-19,0,15,0,0,15,9,42,22,28,11,67,8,7,29,16,25,26,65,27,41,0,33,0,0,0,6,39,27,30,10,32,37,0,17,0,0,43,0,0,0,0
2015-07-26,0,15,41,0,14,5,41,42,21,33,16,8,9,29,12,12,52,19,0,21,29,0,15,0,0,7,37,25,17,39,23,100,82,16,0,0,0,0,0,0,34
2015-08-02,0,31,0,0,14,9,54,26,24,45,99,54,11,34,5,36,26,45,0,32,29,16,0,51,0,6,41,21,41,15,24,28,0,17,0,0,0,0,0,0,34
2015-08-09,16,31,0,0,19,11,53,27,25,45,66,38,7,19,4,28,26,49,27,35,0,32,15,0,0,8,39,19,70,25,16,27,0,17,0,0,0,0,0,0,0
2015-08-16,0,15,0,0,21,11,57,21,33,22,40,23,7,24,4,16,26,33,80,34,29,64,0,50,0,6,44,16,28,34,23,36,0,33,0,0,0,0,0,0,0
2015-08-23,10,0,0,0,18,16,47,51,63,54,55,0,11,65,26,39,25,62,0,42,0,0,29,0,0,12,64,20,73,29,38,27,0,16,49,0,0,0,0,0,0
2015-08-30,5,0,40,0,18,9,31,20,35,11,47,7,7,37,10,27,0,72,26,23,28,15,14,0,0,8,51,8,34,28,0,53,0,0,0,69,0,0,0,47,0
2015-09-06,0,30,40,0,14,9,32,40,30,22,71,7,6,19,14,27,25,69,53,34,28,0,0,0,0,12,41,13,39,53,53,45,0,16,0,0,0,0,0,0,0
2015-09-13,15,0,39,0,10,11,32,35,33,10,46,21,8,27,12,11,48,39,0,33,0,0,0,0,34,5,50,10,44,14,30,34,0,31,95,0,0,0,0,0,32
2015-09-20,10,0,39,0,10,11,42,20,27,11,23,0,8,41,11,34,0,32,0,36,0,0,0,0,0,4,41,14,38,33,59,43,0,0,72,0,0,0,0,0,0
2015-09-27,5,0,0,0,17,6,26,29,27,10,61,7,9,22,3,26,0,39,0,18,0,15,14,0,0,4,38,22,44,23,15,17,0,16,0,0,0,0,0,46,0
2015-10-04,10,14,0,0,8,2,34,34,27,52,15,0,9,40,7,41,0,42,0,20,0,0,0,0,0,5,31,12,27,9,0,34,0,0,0,0,0,0,0,0,0
2015-10-11,5,14,0,0,9,4,24,30,24,31,15,7,6,22,10,26,0,24,0,28,0,15,14,0,0,5,34,12,43,41,15,42,0,0,0,0,0,0,0,0,0
2015-10-18,10,0,0,43,14,10,53,24,33,10,22,21,7,40,7,7,0,24,0,30,0,0,0,0,33,6,43,18,43,18,43,33,0,61,46,66,0,0,0,0,0
2015-10-25,10,21,0,0,13,2,45,24,27,31,53,28,7,13,5,11,0,24,25,32,27,0,41,0,0,4,49,7,32,18,36,8,0,15,0,0,0,0,0,0,31
2015-11-01,24,14,37,0,17,6,21,44,20,10,30,14,8,18,9,7,47,31,24,27,53,0,14,0,33,3,43,24,27,36,14,33,0,30,0,0,0,0,44,44,0
2015-11-08,5,14,0,0,18,8,30,24,27,20,38,14,8,18,13,18,24,31,0,32,27,0,14,0,34,3,42,7,22,23,43,50,0,0,47,0,0,0,0,0,0
2015-11-15,0,0,76,0,15,10,28,14,31,0,23,14,7,26,11,37,24,52,25,27,0,15,27,0,33,3,47,19,27,27,14,25,0,15,0,0,0,0,0,0,0
