date,CHFEUR,CHFJPY,CHFSEK,CHFAUD,USDCHF,USDGBP,USDCAD,USDEUR,USDJPY,USDSEK,USDAUD
2015-10-25,10,21,0,0,13,2,45,24,27,31,53
2015-11-01,24,14,37,0,17,6,21,44,20,10,30
2015-11-08,5,14,0,0,18,8,30,24,27,20,38
2015-11-15,0,0,76,0,15,10,28,14,31,0,23
2015-11-22,0,14,0,0,17,2,43,20,24,31,38
2015-11-29,9,27,0,0,18,8,44,57,24,10,22
2015-12-06,14,28,38,0,19,6,75,49,25,21,45
2015-12-13,5,14,0,0,21,15,63,15,25,42,54
2015-12-20,0,32,0,0,14,14,65,16,24,23,17
2015-12-27,11,0,0,0,13,12,36,16,18,12,51
2016-01-03,0,22,0,0,22,7,63,15,47,0,64
2016-01-10,0,15,0,0,14,13,100,25,52,11,31
2016-01-17,5,15,0,0,11,9,81,36,37,11,16
2016-01-24,10,15,0,0,13,11,56,40,54,11,31
2016-01-31,0,0,0,46,14,13,71,25,58,0,47
2016-02-07,10,15,0,0,19,7,56,20,85,43,0
2016-02-14,10,22,39,45,9,9,57,30,60,21,70
2016-02-21,0,14,39,0,19,15,50,30,50,42,39
2016-02-28,10,14,0,0,9,8,56,30,49,41,46
2016-03-06,5,14,0,0,10,4,53,30,31,32,31
2016-03-13,0,15,0,0,15,7,60,25,38,21,62
2016-03-20,15,15,0,0,16,18,43,31,46,22,56
2016-03-27,5,22,0,0,13,4,54,31,41,21,39
2016-04-03,5,15,0,0,17,11,42,20,72,21,39
2016-04-10,0,15,0,0,14,7,58,20,68,0,47
2016-04-17,5,29,0,0,11,4,44,36,53,11,16
2016-04-24,5,14,0,0,12,7,33,10,69,21,47
2016-05-01,5,0,0,0,11,7,56,36,62,33,64
2016-05-08,0,29,0,0,5,2,40,15,51,11,47
2016-05-15,0,15,0,0,20,2,48,20,42,11,32
2016-05-22,10,15,0,0,13,13,56,21,43,22,32
2016-05-29,5,30,0,0,15,7,27,26,60,33,16
2016-06-05,5,15,0,0,9,9,34,5,62,54,32
2016-06-12,0,15,0,0,15,9,45,36,69,0,16
2016-06-19,16,15,82,0,20,100,76,94,93,22,24
2016-06-26,10,30,0,47,17,68,69,52,59,33,57
2016-07-03,5,24,43,0,12,26,46,28,56,12,17
2016-07-10,0,16,41,0,14,16,38,21,79,23,17
2016-07-17,0,16,43,0,7,19,62,32,66,0,51
2016-07-24,5,24,0,0,9,9,31,33,81,23,17
2016-07-31,0,32,0,100,11,22,29,16,63,12,26
2016-08-07,17,16,0,0,12,15,30,0,48,12,35
2016-08-14,6,34,0,0,8,15,36,6,76,0,36
2016-08-21,0,24,0,0,9,5,27,28,55,0,43
2016-08-28,5,15,0,0,18,11,54,27,60,56,0
2016-09-04,5,0,0,0,12,7,35,22,41,0,17
