model,description,metric,metric_code,value,rating,link
SSE-AD-5308420,M3 - 2013 BMW M3 Pure E92 Auto,age,age,5,0.34,https://www.carsales.com.au/private/details/BMW-M3-2013/SSE-AD-5308420/?Cr=24
SSE-AD-5250997,M3 - 2002 BMW M3 E46 Auto,price,price,31800,0.32,https://www.carsales.com.au/private/details/BMW-M3-2002/SSE-AD-5250997/?Cr=60
SSE-AD-5250997,M3 - 2002 BMW M3 E46 Auto,milage,milage,112000,0.32,https://www.carsales.com.au/private/details/BMW-M3-2002/SSE-AD-5250997/?Cr=60
SSE-AD-5250997,M3 - 2002 BMW M3 E46 Auto,age,age,16,0.32,https://www.carsales.com.au/private/details/BMW-M3-2002/SSE-AD-5250997/?Cr=60
SSE-AD-5275852,M3 - 2008 BMW M3 E92 Manual,price,price,48000,0.23,https://www.carsales.com.au/private/details/BMW-M3-2008/SSE-AD-5275852/?Cr=20
SSE-AD-5275852,M3 - 2008 BMW M3 E92 Manual,milage,milage,108000,0.23,https://www.carsales.com.au/private/details/BMW-M3-2008/SSE-AD-5275852/?Cr=20
SSE-AD-5275852,M3 - 2008 BMW M3 E92 Manual,age,age,10,0.23,https://www.carsales.com.au/private/details/BMW-M3-2008/SSE-AD-5275852/?Cr=20
SSE-AD-4729597,M3 - 2009 BMW M3 E92 Auto,price,price,46500,0.23,https://www.carsales.com.au/private/details/BMW-M3-2009/SSE-AD-4729597/?Cr=31
SSE-AD-4729597,M3 - 2009 BMW M3 E92 Auto,milage,milage,117000,0.23,https://www.carsales.com.au/private/details/BMW-M3-2009/SSE-AD-4729597/?Cr=31
SSE-AD-4729597,M3 - 2009 BMW M3 E92 Auto,age,age,9,0.23,https://www.carsales.com.au/private/details/BMW-M3-2009/SSE-AD-4729597/?Cr=31
SSE-AD-5249219,M3 - 2013 BMW M3 E92 Auto,price,price,83500,0.21,https://www.carsales.com.au/private/details/BMW-M3-2013/SSE-AD-5249219/?Cr=22
SSE-AD-5249219,M3 - 2013 BMW M3 E92 Auto,milage,milage,51000,0.21,https://www.carsales.com.au/private/details/BMW-M3-2013/SSE-AD-5249219/?Cr=22
SSE-AD-5249219,M3 - 2013 BMW M3 E92 Auto,age,age,5,0.21,https://www.carsales.com.au/private/details/BMW-M3-2013/SSE-AD-5249219/?Cr=22
SSE-AD-5105151,M3 - 2010 BMW M3 E92 Auto,price,price,61000,0.20,https://www.carsales.com.au/private/details/BMW-M3-2010/SSE-AD-5105151/?Cr=21
SSE-AD-5105151,M3 - 2010 BMW M3 E92 Auto,milage,milage,88700,0.20,https://www.carsales.com.au/private/details/BMW-M3-2010/SSE-AD-5105151/?Cr=21
SSE-AD-5105151,M3 - 2010 BMW M3 E92 Auto,age,age,8,0.20,https://www.carsales.com.au/private/details/BMW-M3-2010/SSE-AD-5105151/?Cr=21
OAG-AD-15298129,M3 - 2010 BMW M3 E92 Auto,price,price,45000,0.18,https://www.carsales.com.au/dealer/details/BMW-M3-2010/OAG-AD-15298129/?Cr=61
OAG-AD-15298129,M3 - 2010 BMW M3 E92 Auto,milage,milage,127314,0.18,https://www.carsales.com.au/dealer/details/BMW-M3-2010/OAG-AD-15298129/?Cr=61
OAG-AD-15298129,M3 - 2010 BMW M3 E92 Auto,age,age,8,0.18,https://www.carsales.com.au/dealer/details/BMW-M3-2010/OAG-AD-15298129/?Cr=61
OAG-AD-15480297,M3 - 2010 BMW M3 E90 Auto,price,price,53880,0.08,https://www.carsales.com.au/dealer/details/BMW-M3-2010/OAG-AD-15480297/?Cr=51
OAG-AD-15480297,M3 - 2010 BMW M3 E90 Auto,milage,milage,108816,0.08,https://www.carsales.com.au/dealer/details/BMW-M3-2010/OAG-AD-15480297/?Cr=51
OAG-AD-15480297,M3 - 2010 BMW M3 E90 Auto,age,age,8,0.08,https://www.carsales.com.au/dealer/details/BMW-M3-2010/OAG-AD-15480297/?Cr=51
SSE-AD-5348367,M3 - 2015 BMW M3 F80 Auto,price,price,94500,0.04,https://www.carsales.com.au/private/details/BMW-M3-2015/SSE-AD-5348367/?Cr=17
SSE-AD-5348367,M3 - 2015 BMW M3 F80 Auto,milage,milage,40000,0.04,https://www.carsales.com.au/private/details/BMW-M3-2015/SSE-AD-5348367/?Cr=17
SSE-AD-5348367,M3 - 2015 BMW M3 F80 Auto,age,age,3,0.04,https://www.carsales.com.au/private/details/BMW-M3-2015/SSE-AD-5348367/?Cr=17
SSE-AD-5172480,M3 - 2016 BMW M3 F80 LCI Auto,price,price,98500,0.04,https://www.carsales.com.au/private/details/BMW-M3-2016/SSE-AD-5172480/?Cr=41
SSE-AD-5172480,M3 - 2016 BMW M3 F80 LCI Auto,milage,milage,36000,0.04,https://www.carsales.com.au/private/details/BMW-M3-2016/SSE-AD-5172480/?Cr=41
SSE-AD-5172480,M3 - 2016 BMW M3 F80 LCI Auto,age,age,2,0.04,https://www.carsales.com.au/private/details/BMW-M3-2016/SSE-AD-5172480/?Cr=41
OAG-AD-15712937,M3 - 2008 BMW M3 E92 Auto,price,price,45990,0.02,https://www.carsales.com.au/dealer/details/BMW-M3-2008/OAG-AD-15712937/?Cr=63
OAG-AD-15712937,M3 - 2008 BMW M3 E92 Auto,milage,milage,118525,0.02,https://www.carsales.com.au/dealer/details/BMW-M3-2008/OAG-AD-15712937/?Cr=63
OAG-AD-15712937,M3 - 2008 BMW M3 E92 Auto,age,age,10,0.02,https://www.carsales.com.au/dealer/details/BMW-M3-2008/OAG-AD-15712937/?Cr=63
SSE-AD-3874488,M3 - 2003 BMW M3 E46 Auto,price,price,42500,-0.04,https://www.carsales.com.au/private/details/BMW-M3-2003/SSE-AD-3874488/?Cr=43
SSE-AD-3874488,M3 - 2003 BMW M3 E46 Auto,milage,milage,101398,-0.04,https://www.carsales.com.au/private/details/BMW-M3-2003/SSE-AD-3874488/?Cr=43
SSE-AD-3874488,M3 - 2003 BMW M3 E46 Auto,age,age,15,-0.04,https://www.carsales.com.au/private/details/BMW-M3-2003/SSE-AD-3874488/?Cr=43
OAG-AD-15429425,M3 - 2012 BMW M3 E92 Auto,price,price,69990,-0.06,https://www.carsales.com.au/dealer/details/BMW-M3-2012/OAG-AD-15429425/?Cr=64
OAG-AD-15429425,M3 - 2012 BMW M3 E92 Auto,milage,milage,84935,-0.06,https://www.carsales.com.au/dealer/details/BMW-M3-2012/OAG-AD-15429425/?Cr=64
OAG-AD-15429425,M3 - 2012 BMW M3 E92 Auto,age,age,6,-0.06,https://www.carsales.com.au/dealer/details/BMW-M3-2012/OAG-AD-15429425/?Cr=64
SSE-AD-5309115,M3 - 2009 BMW M3 E92 Auto,price,price,44500,-0.16,https://www.carsales.com.au/private/details/BMW-M3-2009/SSE-AD-5309115/?gts=SSE-AD-5309115&gtssaleid=SSE-AD-5309115&rankingType=Spotlight
SSE-AD-5309115,M3 - 2009 BMW M3 E92 Auto,milage,milage,132000,-0.16,https://www.carsales.com.au/private/details/BMW-M3-2009/SSE-AD-5309115/?gts=SSE-AD-5309115&gtssaleid=SSE-AD-5309115&rankingType=Spotlight
SSE-AD-5309115,M3 - 2009 BMW M3 E92 Auto,age,age,9,-0.16,https://www.carsales.com.au/private/details/BMW-M3-2009/SSE-AD-5309115/?gts=SSE-AD-5309115&gtssaleid=SSE-AD-5309115&rankingType=Spotlight
OAG-AD-15813220,M3 - 2007 BMW M3 E92 Manual,price,price,39999,-0.16,https://www.carsales.com.au/dealer/details/BMW-M3-2007/OAG-AD-15813220/?Cr=66
OAG-AD-15813220,M3 - 2007 BMW M3 E92 Manual,milage,milage,132195,-0.16,https://www.carsales.com.au/dealer/details/BMW-M3-2007/OAG-AD-15813220/?Cr=66
OAG-AD-15813220,M3 - 2007 BMW M3 E92 Manual,age,age,11,-0.16,https://www.carsales.com.au/dealer/details/BMW-M3-2007/OAG-AD-15813220/?Cr=66
SSE-AD-4619348,M3 - 2010 BMW M3 E90 Auto,price,price,47980,-0.19,https://www.carsales.com.au/private/details/BMW-M3-2010/SSE-AD-4619348/?Cr=40
SSE-AD-4619348,M3 - 2010 BMW M3 E90 Auto,milage,milage,130000,-0.19,https://www.carsales.com.au/private/details/BMW-M3-2010/SSE-AD-4619348/?Cr=40
SSE-AD-4619348,M3 - 2010 BMW M3 E90 Auto,age,age,8,-0.19,https://www.carsales.com.au/private/details/BMW-M3-2010/SSE-AD-4619348/?Cr=40
SSE-AD-3967639,M3 - 2011 BMW M3 E90 Auto,price,price,62000,-0.22,https://www.carsales.com.au/private/details/BMW-M3-2011/SSE-AD-3967639/?Cr=16
SSE-AD-3967639,M3 - 2011 BMW M3 E90 Auto,milage,milage,102864,-0.22,https://www.carsales.com.au/private/details/BMW-M3-2011/SSE-AD-3967639/?Cr=16
SSE-AD-3967639,M3 - 2011 BMW M3 E90 Auto,age,age,7,-0.22,https://www.carsales.com.au/private/details/BMW-M3-2011/SSE-AD-3967639/?Cr=16
OAG-AD-15749806,M3 - 2015 BMW M3 F80 Auto,price,price,88800,-0.28,https://www.carsales.com.au/dealer/details/BMW-M3-2015/OAG-AD-15749806/?Cr=0
OAG-AD-15749806,M3 - 2015 BMW M3 F80 Auto,milage,milage,62139,-0.28,https://www.carsales.com.au/dealer/details/BMW-M3-2015/OAG-AD-15749806/?Cr=0
OAG-AD-15749806,M3 - 2015 BMW M3 F80 Auto,age,age,3,-0.28,https://www.carsales.com.au/dealer/details/BMW-M3-2015/OAG-AD-15749806/?Cr=0
OAG-AD-15675334,M3 - 2015 BMW M3 F80 Auto,price,price,104990,-0.43,https://www.carsales.com.au/dealer/details/BMW-M3-2015/OAG-AD-15675334/?Cr=49
OAG-AD-15675334,M3 - 2015 BMW M3 F80 Auto,milage,milage,27385,-0.43,https://www.carsales.com.au/dealer/details/BMW-M3-2015/OAG-AD-15675334/?Cr=49
OAG-AD-15675334,M3 - 2015 BMW M3 F80 Auto,age,age,3,-0.43,https://www.carsales.com.au/dealer/details/BMW-M3-2015/OAG-AD-15675334/?Cr=49
SSE-AD-5095114,M3 - 2010 BMW M3 E92 Auto,price,price,62000,-0.43,https://www.carsales.com.au/private/details/BMW-M3-2010/SSE-AD-5095114/?Cr=18
SSE-AD-5095114,M3 - 2010 BMW M3 E92 Auto,milage,milage,103000,-0.43,https://www.carsales.com.au/private/details/BMW-M3-2010/SSE-AD-5095114/?Cr=18
SSE-AD-5095114,M3 - 2010 BMW M3 E92 Auto,age,age,8,-0.43,https://www.carsales.com.au/private/details/BMW-M3-2010/SSE-AD-5095114/?Cr=18
OAG-AD-15772510,M3 - 2003 BMW M3 E46 Auto,price,price,28990,-0.70,https://www.carsales.com.au/dealer/details/BMW-M3-2003/OAG-AD-15772510/?Cr=54
OAG-AD-15772510,M3 - 2003 BMW M3 E46 Auto,milage,milage,151126,-0.70,https://www.carsales.com.au/dealer/details/BMW-M3-2003/OAG-AD-15772510/?Cr=54
OAG-AD-15772510,M3 - 2003 BMW M3 E46 Auto,age,age,15,-0.70,https://www.carsales.com.au/dealer/details/BMW-M3-2003/OAG-AD-15772510/?Cr=54
OAG-AD-15703547,M3 - 2016 BMW M3 Competition F80 LCI Auto,price,price,114880,-0.79,https://www.carsales.com.au/dealer/details/BMW-M3-2016/OAG-AD-15703547/?Cr=27
OAG-AD-15703547,M3 - 2016 BMW M3 Competition F80 LCI Auto,milage,milage,18890,-0.79,https://www.carsales.com.au/dealer/details/BMW-M3-2016/OAG-AD-15703547/?Cr=27
OAG-AD-15703547,M3 - 2016 BMW M3 Competition F80 LCI Auto,age,age,2,-0.79,https://www.carsales.com.au/dealer/details/BMW-M3-2016/OAG-AD-15703547/?Cr=27
OAG-AD-14178892,M3 - 2015 BMW M3 F80 Auto,price,price,109257,-0.79,https://www.carsales.com.au/dealer/details/BMW-M3-2015/OAG-AD-14178892/?Cr=8
OAG-AD-14178892,M3 - 2015 BMW M3 F80 Auto,milage,milage,26939,-0.79,https://www.carsales.com.au/dealer/details/BMW-M3-2015/OAG-AD-14178892/?Cr=8
OAG-AD-14178892,M3 - 2015 BMW M3 F80 Auto,age,age,3,-0.79,https://www.carsales.com.au/dealer/details/BMW-M3-2015/OAG-AD-14178892/?Cr=8
SSE-AD-5146684,M3 - 2003 BMW M3 E46 Auto,price,price,22500,-0.83,https://www.carsales.com.au/private/details/BMW-M3-2003/SSE-AD-5146684/?Cr=45
SSE-AD-5146684,M3 - 2003 BMW M3 E46 Auto,milage,milage,170000,-0.83,https://www.carsales.com.au/private/details/BMW-M3-2003/SSE-AD-5146684/?Cr=45
SSE-AD-5146684,M3 - 2003 BMW M3 E46 Auto,age,age,15,-0.83,https://www.carsales.com.au/private/details/BMW-M3-2003/SSE-AD-5146684/?Cr=45
