This file was downloaded on February 22 2018 5:44:46 AM UTC-08:00
Keywords,sofa bed
Date Range,2015-02-20 - 2018-02-20
Buyer Country: ,AU
Category: ,Sofas & Couches
Product Condition: ,New
Listing Format: ,StoresFixedPrice,FixedPrice
Seller Country: ,AU
Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-11-24,20,186.14 USD,3722.88 USD
2015-11-25,14,118.61 USD,1660.60 USD
2015-11-26,14,180.11 USD,2521.56 USD
2015-11-27,12,177.82 USD,2133.89 USD
2015-11-28,13,147.98 USD,1923.79 USD
2015-11-29,30,148.27 USD,4448.01 USD
2015-11-30,21,211.35 USD,4438.36 USD
2015-12-01,12,143.42 USD,1721.02 USD
2015-12-02,39,174.30 USD,6797.60 USD
2015-12-03,23,234.67 USD,5397.52 USD
2015-12-04,18,174.20 USD,3135.61 USD
2015-12-05,18,192.15 USD,3458.65 USD
2015-12-06,23,176.12 USD,4050.75 USD
2015-12-07,15,190.66 USD,2859.91 USD
2015-12-08,23,179.96 USD,4139.18 USD
2015-12-09,24,145.28 USD,3486.82 USD
2015-12-10,21,204.07 USD,4285.39 USD
2015-12-11,16,146.90 USD,2350.43 USD
2015-12-12,20,149.96 USD,2999.20 USD
2015-12-13,26,205.35 USD,5338.99 USD
2015-12-14,28,173.71 USD,4863.94 USD
2015-12-15,20,148.62 USD,2972.42 USD
2015-12-16,11,145.98 USD,1605.78 USD
2015-12-17,16,149.06 USD,2385.00 USD
2015-12-18,9,144.01 USD,1296.12 USD
2015-12-19,10,151.19 USD,1511.94 USD
2015-12-20,20,202.27 USD,4045.45 USD
2015-12-21,17,124.85 USD,2122.47 USD
2015-12-22,8,151.00 USD,1208.01 USD
2015-12-23,11,222.21 USD,2444.35 USD
2015-12-24,7,193.51 USD,1354.57 USD
2015-12-25,9,211.80 USD,1906.24 USD
2015-12-26,16,172.48 USD,2759.60 USD
2015-12-27,17,188.42 USD,3203.14 USD
2015-12-28,33,213.87 USD,7057.81 USD
2015-12-29,26,197.85 USD,5144.20 USD
2015-12-30,12,231.23 USD,2774.73 USD
2015-12-31,9,154.02 USD,1386.19 USD
2016-01-01,19,156.88 USD,2980.63 USD
2016-01-02,14,256.56 USD,3591.86 USD
2016-01-03,33,168.33 USD,5554.73 USD
2016-01-04,12,140.81 USD,1689.76 USD
2016-01-05,13,122.85 USD,1597.04 USD
2016-01-06,18,129.32 USD,2327.68 USD
2016-01-07,13,124.60 USD,1619.78 USD
2016-01-08,21,111.53 USD,2342.03 USD
2016-01-09,9,110.21 USD,991.92 USD
2016-01-10,17,197.39 USD,3355.60 USD
2016-01-11,10,142.81 USD,1428.09 USD
2016-01-12,15,121.36 USD,1820.46 USD
2016-01-13,22,160.64 USD,3534.04 USD
2016-01-14,18,136.96 USD,2465.35 USD
2016-01-15,15,170.45 USD,2556.77 USD
2016-01-16,15,176.74 USD,2651.16 USD
2016-01-17,11,112.32 USD,1235.48 USD
2016-01-18,16,136.55 USD,2184.79 USD
2016-01-19,14,171.20 USD,2396.82 USD
2016-01-20,16,158.26 USD,2532.21 USD
