,date,bed,bed_sales,bed_weighting,chairs,chairs_sales,chairs_weighting,wardrobe,wardrobe_sales,wardrobe_weighting,furniture,furniture_sales,furniture_weighting,hand tool,hand tool_sales,hand tool_weighting,light bulb,light bulb_sales,light bulb_weighting,kettle,kettle_sales,kettle_weighting,fan,fan_sales,fan_weighting,fridge,fridge_sales,fridge_weighting
12,2015-05-15,12.93,25.86,2.0,95.18,4759.08,50.0008405127,54.34,1141.24,21.001840265,378.69,4544.3,12.0000528136,59.1,413.69,6.99983079526,6.92,955.53,138.082369942,60.77,1397.61,22.9983544512,41.19,3254.19,79.0043699927,121.02,1089.22,9.00033052388
13,2015-05-19,12.67,25.34,2.0,113.39,3968.81,35.0014110592,70.38,1759.51,25.0001420858,257.43,2059.4,7.99984461795,62.17,62.17,1.0,5.56,583.31,104.911870504,62.17,1491.98,23.9983915072,77.0,6083.34,79.0044155844,729.26,23336.37,32.0000685627
14,2015-05-20,13.7,27.4,2.0,108.63,4562.42,41.9996317776,64.91,1557.82,23.9996918811,339.57,4074.81,11.999911653,20.43,102.13,4.99902104748,6.98,739.83,105.992836676,45.11,1488.74,33.0024384837,56.92,3415.39,60.0033380183,698.49,28637.9,40.9997279847
15,2015-05-21,13.29,13.29,1.0,70.55,2539.67,35.9981573352,77.08,1695.66,21.9987026466,403.14,4031.37,9.99992558416,24.23,290.74,11.999174577,6.72,537.76,80.0238095238,47.48,1329.31,27.9972620051,39.41,3113.1,78.9926414616,615.37,24614.94,40.0002275054
16,2015-05-25,31.3,31.3,1.0,126.43,2402.14,18.9997627145,34.26,753.66,21.9982486865,309.88,2479.01,7.99990318833,38.62,77.24,2.0,6.36,667.72,104.987421384,61.4,1903.34,30.9990228013,63.64,7127.69,112.000157134,803.59,48215.51,60.0001368857
17,2015-05-26,35.21,35.21,1.0,115.18,3340.31,29.0007813857,76.3,1144.53,15.0003931848,204.5,2453.99,11.9999511002,39.49,394.92,10.0005064573,6.18,654.64,105.928802589,57.72,1789.21,30.9980942481,57.22,4863.67,84.9994757078,820.17,38547.94,46.999939037
18,2015-05-27,61.89,61.89,1.0,121.91,6583.16,54.0001640555,47.67,1334.7,27.9987413468,312.17,3433.91,11.0001281353,33.39,267.09,7.9991015274,6.89,633.81,91.9898403483,46.15,923.06,20.0013001083,59.25,4740.0,80.0,97.06,1261.76,12.9997939419
19,2015-05-30,21.68,43.36,2.0,95.86,1917.1,19.998956812,105.38,1686.15,16.0006642627,417.66,7517.88,18.0,25.95,181.62,6.99884393064,7.63,771.02,101.051114024,55.15,937.56,17.0001813237,54.36,3913.64,71.9948491538,349.8,2098.78,5.99994282447
20,2015-05-31,34.45,34.45,1.0,130.37,3259.2,24.9996164762,46.54,1396.25,30.0010743446,410.98,4520.81,11.0000729963,38.6,231.57,5.99922279793,6.8,741.0,108.970588235,48.33,676.57,13.9989654459,42.98,3868.49,90.0067473243,26.65,293.2,11.0018761726
21,2015-06-01,11.48,11.48,1.0,72.87,2477.55,33.9995883079,29.57,561.82,18.9996618194,388.47,6992.38,17.9997940639,40.14,120.43,3.00024912805,6.51,813.84,125.013824885,51.41,1182.54,23.0021396615,41.44,2527.82,60.9995173745,244.67,1712.69,7.0
22,2015-06-02,57.84,57.84,1.0,151.27,4084.2,26.9994050374,44.88,807.88,18.0008912656,298.86,1195.43,3.99996653952,29.89,119.55,3.99966543995,6.27,538.86,85.9425837321,56.67,1246.71,21.9994706194,67.02,3752.99,55.9980602805,23.16,162.14,7.00086355786
23,2015-06-05,3.45,3.45,1.0,90.83,2997.34,32.9994495211,64.13,1218.49,19.0003118665,331.57,4310.42,13.0000301595,34.71,381.81,11.0,6.4,863.44,134.9125,52.26,1149.63,21.9982778416,53.19,4627.24,86.9945478473,193.87,1744.84,9.00005158096
24,2015-06-06,12.87,12.87,1.0,77.9,1713.78,21.9997432606,109.49,1423.34,12.9997260024,287.27,7181.78,25.0001044314,24.16,144.94,5.99917218543,7.15,1108.3,155.006993007,51.64,1136.06,21.9996127033,53.5,2889.15,54.0028037383,32.54,390.49,12.0003073141
25,2015-06-08,21.19,105.96,5.00047192072,137.95,4552.37,33.0001449801,71.66,2293.06,31.9991627128,316.21,4743.09,14.9998102527,20.55,20.55,1.0,6.81,891.64,130.930983847,51.25,1383.69,26.9988292683,57.01,5016.51,87.9935099105,19.09,190.87,9.9984284966
26,2015-06-09,12.7,12.7,1.0,116.99,5849.52,50.0001709548,35.48,1312.76,37.0,257.58,4121.24,15.9998447084,33.85,270.79,7.99970457903,7.14,1149.51,160.995798319,46.55,744.81,16.0002148228,60.84,4259.0,70.003287311,116.02,1276.21,10.999913808
27,2015-06-10,31.83,63.66,2.0,93.94,5072.55,53.9977645306,35.67,713.46,20.0016820858,180.95,2714.28,15.0001657917,28.38,113.52,4.0,7.14,1157.25,162.079831933,65.89,856.57,13.0,50.9,2901.49,57.0037328094,274.37,2194.97,8.00003644713
28,2015-06-11,13.78,27.55,1.9992743106,118.59,6522.62,55.0014335104,59.3,889.53,15.0005059022,314.86,3148.64,10.0001270406,25.17,150.99,5.99880810489,8.07,1000.18,123.938042131,60.09,1141.74,19.0004992511,43.57,2744.94,63.0006885472,227.48,1137.41,5.00004395991
29,2015-06-12,25.46,50.91,1.99960722702,132.19,3965.76,30.0004538921,29.26,497.37,16.9982911825,335.84,2350.85,6.99991067175,30.24,272.14,8.99933862434,7.0,888.58,126.94,67.08,1475.73,21.9995527728,52.42,3564.83,68.0051507058,95.06,855.52,8.99978960656
30,2015-06-14,13.06,13.06,1.0,104.67,3872.81,37.0001910767,34.85,348.47,9.99913916786,350.96,4211.57,12.0001424664,63.66,190.98,3.0,8.35,1244.8,149.077844311,46.46,1533.15,32.9993542833,45.44,3998.33,87.9914172535,133.5,1735.53,13.0002247191
31,2015-06-15,19.55,39.09,1.99948849105,69.24,1869.49,27.0001444252,39.8,437.78,10.9994974874,196.39,3142.17,15.9996435664,46.29,231.44,4.99978397062,7.3,1073.67,147.078082192,48.5,1018.41,20.9981443299,41.32,4339.08,105.011616651,157.85,2999.14,18.9999366487
32,2015-06-18,19.13,19.13,1.0,92.75,4637.57,50.000754717,89.85,898.48,9.99977740679,318.39,6367.8,20.0,40.11,441.22,11.0002493144,7.71,1109.85,143.949416342,51.16,1585.9,30.9988272088,47.27,3781.49,79.9976729427,252.96,2023.71,8.00011859583
33,2015-06-19,46.69,140.08,3.00021417862,145.09,4352.56,29.9990350817,68.7,1167.92,17.0002911208,209.89,3358.29,16.00023822,39.19,235.12,5.99948966573,7.59,1016.6,133.939393939,51.8,2072.16,40.0030888031,49.14,4127.85,84.0018315018,265.71,2657.14,10.0001505401
34,2015-06-20,12.38,12.38,1.0,104.84,4507.97,42.9985692484,46.19,1016.15,21.9993505088,234.26,4216.74,18.0002561257,61.66,246.64,4.0,7.37,1046.97,142.05834464,49.45,989.05,20.0010111223,44.29,3144.51,70.9981937232,27.89,111.54,3.9992828971
35,2015-06-21,9.31,9.31,1.0,119.09,5001.74,41.9996641196,167.12,2172.62,13.0003590235,285.65,4284.72,14.9998949764,34.77,139.09,4.00028760426,7.36,743.67,101.042119565,50.07,901.18,17.9984022369,57.51,4485.39,77.9932185707,566.92,7936.89,14.0000176392
36,2015-06-24,17.74,35.47,1.99943630214,130.33,2867.35,22.0006905547,127.79,1533.49,12.0000782534,407.7,4076.97,9.99992641648,19.31,115.85,5.99948213361,6.28,697.34,111.041401274,66.52,3193.1,48.0021046302,84.88,6196.35,73.0012959472,1038.54,94507.2,91.0000577734
37,2015-06-26,12.35,12.35,1.0,98.88,4746.0,47.9975728155,45.85,871.22,19.0015267176,354.56,2836.44,7.99988718412,54.12,162.36,3.0,8.08,1235.93,152.961633663,67.13,3222.07,47.9974676002,76.56,8268.63,108.001959248,983.12,60953.49,62.0000508585
38,2015-06-27,14.25,28.5,2.0,101.98,3569.26,34.9996077662,41.05,779.88,18.9982947625,289.98,4349.7,15.0,33.29,166.43,4.99939921898,6.92,802.89,116.024566474,63.21,2275.65,36.0014238253,68.08,5650.28,82.9947121034,956.83,52625.81,55.0001672188
39,2015-06-28,13.56,54.23,3.99926253687,106.29,5845.82,54.998776931,68.58,2125.87,30.9983960338,376.38,4516.56,12.0,29.91,149.53,4.99933132732,6.46,917.67,142.054179567,76.35,2824.84,36.9985592665,85.18,7495.5,87.9960084527,877.68,61437.75,70.0001709051
40,2015-06-29,14.25,14.25,1.0,89.77,5745.48,64.0022279158,66.38,1725.92,26.0006025911,354.42,7088.33,19.9998024942,14.22,127.96,8.99859353024,6.27,921.21,146.923444976,53.51,2354.57,44.0024294524,127.77,9710.31,75.9983564217,997.48,80796.0,81.0001203032
41,2015-07-01,12.3,12.3,1.0,123.87,3840.05,31.0006458384,50.23,552.51,10.9996018316,348.53,4879.44,14.0000573839,32.71,163.56,5.00030571691,7.82,774.36,99.0230179028,58.3,1807.25,30.9991423671,41.1,7315.56,177.994160584,1068.59,71595.59,67.0000561488
42,2015-07-02,14.13,42.4,3.00070771408,96.47,4823.73,50.0023841609,55.09,936.6,17.001270648,256.0,2303.98,8.999921875,23.3,116.52,5.0008583691,7.22,837.06,115.936288089,48.69,925.15,19.0008215239,24.95,7184.31,287.948296593,223.99,1791.91,7.99995535515
43,2015-07-05,12.77,12.77,1.0,110.82,3103.09,28.0011730735,56.15,1179.17,21.0003561888,285.74,3714.57,12.9998250157,9.52,19.03,1.99894957983,6.35,711.1,111.984251969,56.36,1070.83,18.9998225692,15.52,2514.17,161.995489691,200.21,1601.7,8.00009989511
44,2015-07-07,8.08,16.15,1.99876237624,97.87,1859.48,18.9994891182,25.33,354.57,13.9980260561,229.16,2291.6,10.0,53.23,372.63,7.00037572797,6.57,624.58,95.0654490107,55.63,945.74,17.0005392774,41.89,5110.71,122.003103366,78.42,392.09,4.99987248151
45,2015-07-09,14.58,14.58,1.0,96.24,5100.5,52.9977140482,43.53,1218.91,28.0016080864,327.76,4588.66,14.0000610203,93.64,468.2,5.0,6.62,953.09,143.971299094,36.66,623.16,16.9983633388,52.44,7656.47,146.004385965,79.27,634.19,8.00037845339
46,2015-07-10,10.07,10.07,1.0,111.07,2332.43,20.9996398668,24.61,492.21,20.0004063389,446.35,3570.81,8.00002240394,30.46,182.75,5.99967170059,7.79,911.02,116.947368421,51.39,1233.4,24.0007783615,42.52,5357.48,125.999059266,60.52,907.84,15.0006609385
47,2015-07-11,13.84,13.84,1.0,122.76,3437.29,28.0000814598,60.88,1948.29,32.0021353482,292.01,4088.17,14.0001027362,39.91,119.73,3.0,7.03,871.64,123.988620199,51.91,986.24,18.9990367945,59.43,5289.23,88.9993269393,161.99,1781.84,10.999691339
48,2015-07-12,24.97,74.91,3.0,69.97,2938.85,42.0015721023,31.45,975.09,31.0044515103,462.3,5547.58,11.999956738,31.56,252.46,7.99936628644,6.03,681.88,113.081260365,57.58,1209.25,21.0012156999,46.29,3888.22,83.9969755887,131.3,919.09,6.99992383854
49,2015-07-15,13.41,13.41,1.0,102.85,1645.59,15.999902771,61.99,1301.88,21.0014518471,271.8,4348.82,16.0000735835,58.34,233.35,3.99982859102,6.81,776.1,113.964757709,55.25,1160.21,20.9992760181,33.21,1926.18,58.0,180.39,541.16,2.99994456455
50,2015-07-16,14.5,14.5,1.0,105.88,4129.19,38.9987721949,48.41,726.08,14.9985540178,341.75,2050.51,6.00002926116,38.24,152.94,3.99947698745,7.07,855.36,120.984441301,60.43,1329.43,21.9995035578,53.91,3449.94,63.9944351697,127.26,763.55,5.99992142071
51,2015-07-17,14.67,29.34,2.0,151.37,3481.61,23.0006606329,40.5,607.44,14.9985185185,332.16,6643.18,19.9999397881,35.94,215.63,5.99972175849,6.78,738.5,108.923303835,57.36,1720.69,29.9980822873,52.17,6051.97,116.004792026,125.7,1382.66,10.999681782
52,2015-07-19,8.86,8.86,1.0,154.09,2927.73,19.0001297943,57.9,1679.16,29.0010362694,306.34,5207.86,17.0002611477,31.4,408.17,12.999044586,7.48,934.8,124.973262032,46.0,965.98,20.9995652174,63.35,5384.58,84.9973164957,427.73,2138.63,4.99995324153
53,2015-07-20,16.97,33.93,1.99941072481,132.98,5319.21,40.0000751993,91.29,2373.62,26.0008763282,404.01,4848.14,12.0000495037,33.34,166.7,5.0,7.09,1013.56,142.956276446,41.58,1579.92,37.9971139971,67.84,5495.2,81.0023584906,209.02,2926.34,14.0002870539
54,2015-07-21,11.06,11.06,1.0,131.68,3423.74,26.0004556501,39.68,753.9,18.9994959677,462.72,4627.17,9.99993516598,36.2,362.02,10.0005524862,6.36,959.85,150.919811321,51.89,1764.4,34.002698015,51.08,3218.06,63.0003915427,119.37,1074.3,8.99974868057
55,2015-07-22,33.48,33.48,1.0,90.0,2700.05,30.0005555556,39.86,518.13,12.9987456096,335.42,4695.9,14.0000596267,27.37,109.46,3.99926927293,6.61,726.93,109.974281392,58.62,1524.18,26.0010235415,79.32,4838.41,60.9986132123,228.16,3878.74,17.0000876578
56,2015-07-23,11.78,11.78,1.0,94.37,2453.7,26.000847727,75.94,987.17,12.9993415855,532.37,6920.82,13.0000187839,30.15,211.08,7.00099502488,6.81,906.14,133.06020558,50.04,750.67,15.0013988809,42.41,3053.85,72.0077811837,95.29,667.04,7.00010494281
57,2015-07-28,11.65,11.65,1.0,137.64,3440.95,24.9996367335,36.55,584.72,15.9978112175,349.34,2445.38,7.0,36.93,406.2,10.9991876523,7.22,1190.86,164.939058172,53.72,1181.83,21.9998138496,45.8,3526.6,77.0,166.81,1167.64,6.99982015467
58,2015-07-29,13.49,26.97,1.99925871016,99.22,2778.25,28.0009070752,53.67,1288.02,23.998882057,417.35,5008.18,11.9999520786,39.21,156.84,4.0,6.62,880.89,133.064954683,56.83,1647.96,28.9980644026,72.99,7153.27,98.0034251267,59.47,773.08,12.999495544
59,2015-07-31,11.61,11.61,1.0,105.74,4441.21,42.0012294307,63.77,1084.13,17.0006272542,372.88,5966.13,16.0001340914,45.29,271.74,6.0,7.87,998.98,126.93519695,69.06,2002.71,28.9995655951,40.44,4164.99,102.991839763,343.22,1372.89,4.00002913583
60,2015-08-02,21.27,63.8,2.99952985425,108.5,3797.45,34.9995391705,60.29,1386.7,23.000497595,192.7,2697.82,14.0001037883,35.21,457.74,13.0002840102,6.55,1133.6,173.06870229,62.11,1739.04,27.9993559813,48.4,4597.59,94.9915289256,93.83,1032.14,11.0001065757
61,2015-08-05,13.95,13.95,1.0,102.62,5130.8,49.9980510622,69.03,1587.73,23.0005794582,367.05,2936.4,8.0,37.87,227.24,6.00052812252,6.38,1065.4,166.990595611,53.44,1336.11,25.0020583832,43.78,3327.56,76.0063956144,263.43,2634.33,10.0001138822
62,2015-08-09,21.74,21.74,1.0,137.18,4389.82,32.0004373815,55.07,1321.7,24.0003631741,274.36,3292.37,12.0001822423,40.99,204.94,4.99975603806,6.25,961.8,153.888,45.58,911.53,19.9984642387,38.11,2095.95,54.9973760168,99.49,497.44,4.99989948739
63,2015-08-10,36.97,36.97,1.0,107.71,3015.82,27.9994429487,222.25,2000.26,9.00004499438,299.22,2992.17,9.99989973932,32.9,296.06,8.99878419453,7.18,833.39,116.071030641,53.98,1133.48,20.998147462,26.62,2262.99,85.0108940646,107.32,1287.8,11.9996272829
64,2015-08-17,13.75,13.75,1.0,125.61,2135.37,17.0,64.75,1165.57,18.0010810811,297.42,3271.63,11.0000336225,28.16,253.41,8.99893465909,7.05,973.05,138.021276596,62.89,1383.6,22.0003180156,49.62,4812.75,96.992140266,86.45,605.12,6.9996529786
65,2015-08-20,13.66,13.66,1.0,105.7,3805.08,35.9988647114,60.66,788.61,13.0004945598,333.25,6998.2,20.9998499625,40.58,405.77,9.99926071957,6.91,1353.42,195.863965268,59.8,2212.67,37.0011705686,49.67,4470.09,89.9957720958,21.26,361.46,17.0018814675
66,2015-08-23,11.71,11.71,1.0,80.15,4087.86,51.0026200873,53.5,1872.49,34.9998130841,398.36,6373.78,16.0000502058,15.3,107.1,7.0,6.45,916.23,142.051162791,60.74,1882.89,30.9991768192,38.99,3196.91,81.9930751475,148.98,2085.67,13.9996643845
67,2015-08-24,55.71,55.71,1.0,97.83,3326.12,33.9989778187,61.88,866.38,14.0009696186,485.28,7279.13,14.9998557534,52.39,261.97,5.00038175224,6.84,1203.76,175.988304094,52.42,1362.93,26.0001907669,61.24,4409.48,72.0032658393,100.69,1510.32,14.9997020558
68,2015-08-25,11.51,11.51,1.0,80.77,2665.27,32.9982666832,39.91,1037.68,26.0005011275,414.49,6217.35,15.0,32.41,259.24,7.99876581302,7.63,1136.86,148.998689384,60.23,1927.34,31.9996679396,50.56,3640.29,71.9994066456,114.08,1254.91,11.0002629734
69,2015-08-30,11.41,11.41,1.0,176.68,5123.76,29.000226398,26.97,701.09,25.9951798294,344.17,3441.72,10.0000581108,54.17,216.66,3.99963079195,6.83,1202.42,176.049780381,50.89,2137.35,41.9994104932,42.14,3455.29,81.9954912197,46.22,462.2,10.0
70,2015-08-31,11.41,11.41,1.0,135.24,4462.97,33.0003697131,27.38,191.66,7.0,341.88,4786.25,13.9997952498,35.21,105.62,2.99971598978,6.7,777.69,116.073134328,66.6,1931.26,28.9978978979,36.07,3102.36,86.0094261159,134.37,1478.03,10.9997023145
71,2015-09-04,28.1,28.1,1.0,79.69,1753.24,22.0007529176,27.52,302.71,10.9996366279,419.31,6708.97,16.0000238487,34.02,476.3,14.0005878895,5.29,656.27,124.058601134,56.44,2539.77,44.9994684621,29.24,3099.68,106.008207934,172.25,2411.48,13.9998838897
72,2015-09-07,12.45,12.45,1.0,148.88,3573.11,23.9999328318,50.19,451.7,8.99980075712,293.39,5867.83,20.000102253,25.46,203.67,7.99960722702,6.82,1364.52,200.076246334,36.24,1449.42,39.9950331126,39.95,3835.32,96.0030037547,114.38,1601.35,14.0002622836
73,2015-09-11,26.47,52.94,2.0,84.91,7302.38,86.0014132611,78.49,627.91,7.99987259524,308.66,6481.76,20.9996760189,21.8,239.85,11.002293578,6.04,1129.89,187.067880795,60.75,2429.9,39.9983539095,39.9,3072.46,77.0040100251,83.2,1663.99,19.9998798077
74,2015-09-12,31.77,31.77,1.0,106.42,7768.78,73.0011276076,48.04,912.81,19.0010407993,566.21,16419.97,28.9997880645,20.62,82.47,3.99951503395,6.56,1199.95,182.919207317,59.89,1677.04,28.0020036734,50.95,3871.96,75.9952894995,161.59,2262.27,14.000061885
75,2015-09-13,11.99,23.97,1.99916597164,107.43,6983.02,65.0006515871,62.77,878.71,13.9988848176,406.58,6911.92,17.0001475724,36.34,290.75,8.0008255366,7.38,1085.57,147.096205962,55.14,1378.41,24.9983677911,59.25,4087.95,68.9949367089,37.53,563.01,15.001598721
76,2015-10-09,11.49,11.49,1.0,99.4,5467.21,55.0021126761,25.25,404.0,16.0,328.23,4266.93,12.9998172014,25.91,103.63,3.99961404863,6.69,1277.66,190.980568012,66.0,3101.83,46.9974242424,59.67,3341.77,56.0041897101,44.21,309.47,7.0
77,2015-10-12,11.74,11.74,1.0,114.11,6047.86,53.0002629042,49.22,442.96,8.99959366111,416.28,6660.46,15.9999519554,45.83,320.83,7.00043639537,6.88,963.72,140.075581395,68.37,3965.72,58.0038028375,48.53,2280.87,46.9991757676,113.67,1477.75,13.0003518958
78,2015-10-13,8.85,8.85,1.0,89.97,1619.54,18.0008891853,40.82,612.29,14.999755022,469.23,20176.9,43.0000213115,63.45,507.6,8.0,6.73,1358.91,201.918276374,65.56,3081.18,46.9978645516,39.47,1854.86,46.9941727895,112.3,1010.66,8.99964381122
79,2015-10-17,12.69,38.06,2.99921197794,143.17,2863.36,19.9997206119,76.51,841.59,10.9997385963,504.23,7059.16,13.9998810067,30.02,240.17,8.00033311126,6.83,1208.86,176.992679356,61.73,3333.17,53.9959501053,37.28,3131.78,84.0069742489,124.47,1244.69,9.99991965936
80,2015-10-21,58.08,58.08,1.0,112.17,1906.86,16.9997325488,27.26,654.23,23.9996331621,284.23,8526.85,29.9998240861,39.06,234.34,5.99948796723,6.45,1232.66,191.110077519,61.04,3112.84,50.99672346,70.26,5901.63,83.9970111016,98.03,1176.3,11.9993879425
81,2015-10-23,11.55,11.55,1.0,147.92,3993.88,27.0002704164,97.42,1363.83,13.9994867584,350.98,7370.55,20.999914525,28.67,172.04,6.0006975933,6.29,1169.22,185.885532591,66.86,2741.16,40.9985043374,44.48,3869.95,87.0042715827,214.04,1498.31,7.00014016072
82,2015-10-26,10.84,10.84,1.0,124.43,4728.31,37.9997589006,86.93,2173.27,25.0002300702,369.81,7026.3,18.9997566318,30.47,457.1,15.0016409583,6.43,1343.27,208.906687403,53.69,1771.81,33.0007450177,46.15,4337.78,93.9930660888,47.67,190.66,3.99958044892
83,2015-10-27,10.89,10.89,1.0,129.07,6969.67,53.9991477493,54.89,768.51,14.0009109127,406.4,5689.53,13.9998277559,53.44,427.5,7.9996257485,6.4,1139.27,178.0109375,49.76,1641.92,32.9967845659,50.9,2952.15,57.9990176817,92.14,644.95,6.99967440851
84,2015-10-28,32.54,32.54,1.0,131.02,2358.43,18.0005342696,65.16,1759.35,27.0004604052,321.37,5141.98,16.0001867007,53.49,374.44,7.00018695083,7.15,972.43,136.004195804,47.59,1379.99,28.9974784619,75.43,3997.77,52.9997348535,112.64,1351.73,12.000443892
85,2015-10-30,10.62,10.62,1.0,111.25,3671.26,33.0000898876,58.71,469.68,8.0,295.49,4136.88,14.0000676842,53.92,323.51,5.99981454006,6.99,887.84,127.015736767,58.37,2159.53,36.9972588659,29.66,1750.23,59.0097774781,49.18,295.08,6.0
86,2015-10-31,12.49,12.49,1.0,84.03,4117.58,49.0013090563,61.13,1039.15,16.9990184852,190.57,1715.17,9.00020989663,44.58,222.9,5.0,6.74,1556.69,230.962908012,51.34,2464.51,48.0037008181,34.28,2845.08,82.9953325554,44.59,535.06,11.9995514689
87,2015-11-01,4.64,9.28,2.0,75.11,1952.93,26.0009319664,30.25,453.81,15.0019834711,337.84,6419.04,19.0002367985,38.86,272.02,7.0,7.03,1405.73,199.961593172,52.35,1779.85,33.9990448902,60.1,4447.15,73.9958402662,99.49,1094.36,10.9996984622
88,2015-11-08,12.0,24.0,2.0,118.58,4150.46,35.0013493001,39.65,872.25,21.998738966,373.45,6348.65,17.0,73.0,218.99,2.9998630137,5.83,1567.07,268.794168096,55.32,1880.79,33.998373102,41.74,8973.24,214.979396263,237.3,2847.58,11.9999157185
89,2015-11-09,20.32,162.54,7.99901574803,86.73,3989.69,46.0012683039,136.72,5058.51,36.9990491516,332.63,4324.13,12.9998196194,36.36,290.89,8.0002750275,7.07,1251.91,177.073550212,43.64,1178.39,27.0025206233,38.17,4732.49,123.984542835,336.43,7401.47,22.0000297239
90,2015-11-12,22.79,22.79,1.0,106.99,3102.75,29.0003738667,77.41,2012.53,25.9983206304,425.74,8089.09,19.0000704655,22.05,110.25,5.0,6.28,1330.92,211.929936306,61.1,1649.67,26.9995090016,43.48,3217.34,73.9958601656,145.85,1604.35,11.0
91,2015-11-17,18.04,36.07,1.99944567627,72.82,2694.29,36.9993133754,83.72,1423.31,17.0008361204,270.53,3246.41,12.0001848224,54.74,109.48,2.0,7.17,853.6,119.051603905,47.44,1470.57,30.9985244519,40.63,2681.46,65.9970465174,231.98,1855.81,7.99987067851
92,2015-11-19,6.02,12.03,1.99833887043,92.49,2497.35,27.0012974376,54.17,866.64,15.9985231678,249.69,2996.31,12.000120149,19.55,234.61,12.000511509,6.07,1013.61,166.986820428,53.92,1995.01,36.9994436202,52.59,3471.0,66.0011409013,98.15,1570.34,15.9993886908
93,2015-11-21,24.11,72.33,3.0,106.29,3507.43,32.9986828488,20.93,230.2,10.9985666507,315.82,2842.42,9.00012665442,34.02,476.23,13.9985302763,7.14,1392.83,195.074229692,44.88,1884.91,41.998885918,56.34,5859.46,104.001774938,121.36,1213.64,10.0003295979
