This file was downloaded on February 26 2018 4:12:17 AM UTC-08:00
Keywords,footwear
Date Range,2015-02-24 - 2018-02-24
Site: ,ebay.com.au
Listing Format: ,FixedPrice,StoresFixedPrice
Buyer Country: ,AU
Seller Country: ,AU
Category: ,Clothing, Shoes, Accessories

Date,Items Sold,Average Selling Price,Total Sales
2015-06-17,10,25.45 USD,254.48 USD
2015-06-18,9,21.01 USD,189.11 USD
2015-06-19,12,28.04 USD,336.42 USD
2015-06-20,9,33.20 USD,298.82 USD
2015-06-21,11,35.02 USD,385.19 USD
2015-06-22,14,31.40 USD,439.65 USD
2015-06-23,10,14.16 USD,141.55 USD
2015-06-24,9,26.69 USD,240.24 USD
2015-06-25,12,37.78 USD,453.38 USD
2015-06-26,11,26.26 USD,288.87 USD
2015-06-27,8,24.05 USD,192.43 USD
2015-06-28,7,30.33 USD,212.28 USD
2015-06-29,17,34.30 USD,583.13 USD
2015-06-30,11,40.14 USD,441.53 USD
2015-07-01,10,25.00 USD,250.01 USD
2015-07-02,8,21.14 USD,169.08 USD
2015-07-03,10,19.97 USD,199.71 USD
2015-07-04,6,19.90 USD,119.41 USD
2015-07-05,9,23.14 USD,208.24 USD
2015-07-06,11,23.40 USD,257.36 USD
2015-07-07,15,13.05 USD,195.82 USD
2015-07-08,7,16.78 USD,117.44 USD
2015-07-09,13,26.58 USD,345.52 USD
2015-07-10,14,46.80 USD,655.19 USD
2015-07-11,15,38.98 USD,584.65 USD
2015-07-12,22,48.81 USD,1073.77 USD
2015-07-13,26,22.54 USD,586.08 USD
2015-07-14,18,25.10 USD,451.82 USD
2015-07-15,28,28.72 USD,804.08 USD
2015-07-16,15,24.67 USD,370.08 USD
2015-07-17,18,29.74 USD,535.40 USD
2015-07-18,17,17.54 USD,298.20 USD
2015-07-19,25,26.13 USD,653.19 USD
2015-07-20,12,38.85 USD,466.16 USD
2015-07-21,6,38.63 USD,231.78 USD
2015-07-22,10,26.07 USD,260.74 USD
2015-07-23,9,32.35 USD,291.18 USD
2015-07-24,5,25.33 USD,126.67 USD
2015-07-25,12,29.95 USD,359.35 USD
2015-07-26,16,26.13 USD,418.13 USD
2015-07-27,13,34.44 USD,447.72 USD
2015-07-28,13,25.83 USD,335.81 USD
2015-07-29,12,35.26 USD,423.16 USD
2015-07-30,12,28.41 USD,340.88 USD
2015-07-31,19,27.61 USD,524.58 USD
