,date,beer,beer_sales,beer_weighting,scotch,scotch_sales,scotch_weighting,vodka,vodka_sales,vodka_weighting,whiskey,whiskey_sales,whiskey_weighting,wine,wine_sales,wine_weighting
64,2015-06-28,6.4,51.16,7.9937499999999995,193.88,387.76,2.0,78.63,314.53,4.000127177921913,89.19,445.95,5.0,61.25,2817.49,45.99983673469387
65,2015-06-29,10.69,32.07,3.0,144.75,723.75,5.0,54.07,324.44,6.000369890882189,122.16,977.26,7.999836280288147,54.65,1420.89,25.99981701738335
66,2015-06-30,14.79,44.37,3.0,114.21,685.24,5.9998248839856405,58.28,291.4,4.999999999999999,76.42,76.42,1.0,39.62,2298.12,58.004038364462396
67,2015-07-01,30.47,91.41,3.0,52.47,52.47,1.0,54.16,162.48,3.0,225.47,225.47,1.0,32.42,1945.4,60.00616903146206
68,2015-07-02,13.8,68.98,4.998550724637681,130.39,651.94,4.999923307002072,62.1,434.72,7.000322061191627,108.91,217.82,2.0,23.7,687.17,28.99451476793249
69,2015-07-03,12.17,24.34,2.0,85.22,170.44,2.0,51.84,311.02,5.999614197530864,63.13,126.25,1.9998415967052114,34.23,958.33,27.99678644463921
70,2015-07-04,6.76,20.27,2.9985207100591715,230.26,1151.32,5.000086858334057,60.19,240.75,3.999833859445091,134.5,403.5,3.0,61.82,2658.12,42.99773536072468
71,2015-07-05,10.52,10.52,1.0,226.89,226.89,1.0,64.63,387.78,6.0,162.92,325.83,1.9999386201816842,28.27,621.9,21.998585072515034
72,2015-07-06,7.51,15.02,2.0,86.25,258.75,3.0,48.57,194.27,3.9997941115915174,72.58,653.22,9.0,63.61,1781.16,28.001257663889326
73,2015-07-07,8.53,25.58,2.9988276670574443,131.56,131.56,1.0,81.95,163.9,2.0,49.97,299.8,5.999599759855914,63.2,1832.86,29.000949367088605
74,2015-07-08,11.48,68.89,6.0008710801393725,109.91,549.53,4.999818032936038,55.29,221.17,4.000180864532465,3.53,3.53,1.0,118.53,4029.99,33.99974689951911
75,2015-07-09,10.41,10.41,1.0,78.42,235.25,2.999872481509819,26.3,78.9,3.0,8.9,8.9,1.0,38.96,1480.56,38.002053388090346
76,2015-07-10,10.39,10.39,1.0,89.11,89.11,1.0,135.55,813.31,6.000073773515307,119.61,358.84,3.000083605049745,25.37,1522.23,60.00118249901458
77,2015-07-11,20.77,20.77,1.0,89.25,267.75,3.0,52.77,263.84,4.999810498389236,140.97,140.97,1.0,49.31,1972.43,40.000608395862905
78,2015-07-12,11.49,68.91,5.997389033942558,70.46,281.85,4.000141924496169,64.48,386.9,6.00031017369727,116.93,350.8,3.000085521252031,25.6,972.91,38.004296874999994
79,2015-07-13,10.38,20.76,2.0,204.04,204.04,1.0,91.93,459.65,4.999999999999999,61.44,122.87,1.9998372395833335,49.02,1715.55,34.9969400244798
80,2015-07-14,6.89,41.33,5.998548621190131,92.49,277.48,3.000108119796735,51.69,103.38,2.0,99.9,199.8,2.0,45.54,1776.1,39.00087834870443
81,2015-07-15,29.01,29.01,1.0,89.03,178.06,2.0,50.75,152.26,3.0001970443349752,48.23,48.23,1.0,31.13,2272.26,72.99261162865405
82,2015-07-16,15.04,90.23,5.999335106382979,93.33,746.63,7.99989285331619,40.81,40.81,1.0,6.17,12.34,2.0,29.63,1126.06,38.004049949375634
83,2015-07-17,7.42,7.42,1.0,175.77,878.83,4.999886214939979,108.77,326.3,2.999908062884987,83.67,251.01,3.0,47.25,1842.77,39.00042328042328
84,2015-07-18,5.65,16.96,3.0017699115044247,100.83,403.31,3.999900823167708,106.84,213.68,2.0,81.21,81.21,1.0,26.69,1601.28,59.995503934057695
85,2015-07-19,19.67,59.01,2.9999999999999996,91.27,91.27,1.0,86.72,607.04,7.0,60.83,121.65,1.9998356074305443,28.5,1453.36,50.99508771929824
86,2015-07-21,7.37,44.22,6.0,93.25,466.25,5.0,80.06,160.11,1.9998750936797403,103.77,207.54,2.0,34.37,1409.18,41.00029095141112
87,2015-07-22,7.81,62.46,7.997439180537772,71.99,143.97,1.9998610918183082,100.89,605.34,6.0,67.76,135.51,1.9998524203069654,37.6,2180.82,58.00053191489362
88,2015-07-23,9.56,9.56,1.0,145.06,290.11,1.9999310630084104,43.78,218.91,5.0002284148012786,505.14,1515.41,2.999980203507939,37.15,1820.17,48.995154777927326
89,2015-07-24,11.79,117.91,10.000848176420696,113.63,227.25,1.9999119950717241,67.18,268.73,4.000148853825543,184.41,922.05,5.0,28.91,838.41,29.000691802144587
90,2015-07-25,8.37,16.73,1.9988052568697732,103.19,103.19,1.0,68.74,618.63,8.999563572883329,248.64,745.93,3.0000402187902186,28.48,1281.8,45.00702247191011
91,2015-07-26,8.89,35.54,3.9977502812148478,128.56,385.69,3.0000777846919724,72.66,581.29,8.000137627305257,98.24,294.71,2.9998982084690553,46.77,2385.09,50.99615137908916
92,2015-07-27,21.38,213.77,9.998596819457438,101.88,101.88,1.0,45.47,545.62,11.999560149549154,72.96,72.96,1.0,54.84,1864.5,33.998905908096276
93,2015-07-28,9.49,37.94,3.9978925184404632,129.68,648.41,5.000077112893275,45.96,229.78,4.999564838990427,318.33,1273.31,3.999968586058493,19.77,1918.0,97.01568032372282
94,2015-07-29,8.99,26.96,2.9988876529477198,91.15,546.87,5.9996708721887,67.14,335.7,5.0,332.18,664.35,1.999969895839605,132.13,4756.51,35.998713388329676
95,2015-07-30,21.92,21.92,1.0,191.17,955.86,5.000052309462782,55.09,220.37,4.000181521147214,72.74,72.74,1.0,24.91,1569.16,62.993175431553595
96,2015-07-31,50.89,50.89,1.0,71.4,499.81,7.000140056022408,47.67,285.99,5.999370673379484,146.87,293.73,1.9999319125757473,31.07,994.24,32.0
97,2015-08-01,4.4,26.4,5.999999999999999,93.48,373.91,3.999893025246042,43.9,263.42,6.000455580865604,67.92,135.84,2.0,45.22,1492.3,33.000884564352056
98,2015-08-02,13.46,40.37,2.9992570579494795,45.51,136.54,3.000219731927049,54.58,491.22,9.0,106.66,426.65,4.000093755859742,33.48,1339.26,40.00179211469534
99,2015-08-03,11.15,55.76,5.000896860986547,88.12,176.23,1.9998865183840215,58.37,116.74,2.0,163.69,491.08,3.00006109108681,26.55,1433.9,54.0075329566855
100,2015-08-04,4.36,4.36,1.0,85.08,510.48,6.0,62.51,187.52,2.999840025595905,110.34,441.37,4.000090628965017,24.06,1876.32,77.9850374064838
101,2015-08-05,9.61,9.61,1.0,35.63,71.26,2.0,60.24,542.17,9.00016600265604,51.26,256.29,4.99980491611393,28.43,1535.31,54.00316567006683
102,2015-08-06,7.34,14.67,1.9986376021798364,89.95,179.89,1.999888827126181,45.83,229.14,4.999781802312896,98.2,294.61,3.00010183299389,35.84,2186.34,61.00279017857142
103,2015-08-07,9.48,104.26,10.99789029535865,181.41,725.64,4.0,54.34,108.68,2.0,68.93,965.04,14.000290149426952,30.71,1996.45,65.00976880494953
104,2015-08-08,7.39,14.78,2.0,231.24,924.97,4.000043245113302,37.63,150.52,4.0,65.14,521.09,7.999539453484802,23.51,1363.76,58.00765631646107
105,2015-08-09,12.89,115.98,8.99767261442979,137.87,827.23,6.000072532095452,51.81,466.29,9.0,51.75,362.23,6.999613526570049,41.41,2360.09,56.99323834822508
106,2015-08-10,16.8,117.57,6.998214285714285,92.45,832.01,8.999567333693888,50.33,301.95,5.999403934035366,14.56,43.68,3.0,51.34,2515.54,48.99766264121542
107,2015-08-11,4.43,4.43,1.0,85.05,255.15,3.0,40.39,201.94,4.9997524139638525,194.77,779.06,3.9998973147815367,35.67,1712.02,47.99607513316512
108,2015-08-12,10.21,30.63,2.9999999999999996,54.62,491.6,9.000366166239473,87.98,351.9,3.9997726756080922,66.44,199.32,3.0,35.92,2154.98,59.99387527839644
109,2015-08-13,4.98,44.84,9.004016064257028,39.48,1065.89,26.998226950354614,76.73,306.9,3.9997393457578516,53.16,478.45,9.000188111361927,38.35,2147.37,55.994002607561924
110,2015-08-14,10.29,10.29,1.0,88.44,265.32,3.0,102.61,410.45,4.000097456388266,133.94,401.83,3.0000746602956547,30.03,1111.15,37.001332001332
111,2015-08-15,10.32,20.64,2.0,40.46,40.46,1.0,47.15,188.59,3.9997879109225876,136.48,1364.76,9.999706916764362,48.12,2839.17,59.00187032418953
112,2015-08-16,7.18,28.71,3.9986072423398333,176.96,530.87,2.9999434900542497,112.75,676.49,5.999911308203991,162.33,1136.32,7.000061602907656,41.36,1199.41,28.999274661508707
