,date,beer,scotch,vodka,whiskey,wine,combined
58,2015-06-22,10.04,106.4,35.15,86.96,45.25,0
59,2015-06-23,7.76,302.39,79.73,141.53,27.19,0
60,2015-06-24,9.84,128.95,79.82,201.64,42.76,0
61,2015-06-25,11.15,176.07,52.77,128.93,33.82,0
62,2015-06-26,10.83,211.47,54.24,87.91,58.17,0
63,2015-06-27,10.69,75.62,48.75,193.15,99.39,0
64,2015-06-28,6.4,193.88,78.63,89.19,61.25,0
65,2015-06-29,10.69,144.75,54.07,122.16,54.65,0
66,2015-06-30,14.79,114.21,58.28,76.42,39.62,0
67,2015-07-01,30.47,52.47,54.16,225.47,32.42,0
68,2015-07-02,13.8,130.39,62.1,108.91,23.7,0
69,2015-07-03,12.17,85.22,51.84,63.13,34.23,0
70,2015-07-04,6.76,230.26,60.19,134.5,61.82,0
71,2015-07-05,10.52,226.89,64.63,162.92,28.27,0
72,2015-07-06,7.51,86.25,48.57,72.58,63.61,0
73,2015-07-07,8.53,131.56,81.95,49.97,63.2,0
74,2015-07-08,11.48,109.91,55.29,3.53,118.53,0
75,2015-07-09,10.41,78.42,26.3,8.9,38.96,0
76,2015-07-10,10.39,89.11,135.55,119.61,25.37,0
77,2015-07-11,20.77,89.25,52.77,140.97,49.31,0
78,2015-07-12,11.49,70.46,64.48,116.93,25.6,0
79,2015-07-13,10.38,204.04,91.93,61.44,49.02,0
80,2015-07-14,6.89,92.49,51.69,99.9,45.54,0
81,2015-07-15,29.01,89.03,50.75,48.23,31.13,0
82,2015-07-16,15.04,93.33,40.81,6.17,29.63,0
83,2015-07-17,7.42,175.77,108.77,83.67,47.25,0
84,2015-07-18,5.65,100.83,106.84,81.21,26.69,0
85,2015-07-19,19.67,91.27,86.72,60.83,28.5,0
86,2015-07-21,7.37,93.25,80.06,103.77,34.37,0
87,2015-07-22,7.81,71.99,100.89,67.76,37.6,0
88,2015-07-23,9.56,145.06,43.78,505.14,37.15,0
89,2015-07-24,11.79,113.63,67.18,184.41,28.91,0
90,2015-07-25,8.37,103.19,68.74,248.64,28.48,0
91,2015-07-26,8.89,128.56,72.66,98.24,46.77,0
92,2015-07-27,21.38,101.88,45.47,72.96,54.84,0
93,2015-07-28,9.49,129.68,45.96,318.33,19.77,0
94,2015-07-29,8.99,91.15,67.14,332.18,132.13,0
95,2015-07-30,21.92,191.17,55.09,72.74,24.91,0
96,2015-07-31,50.89,71.4,47.67,146.87,31.07,0
97,2015-08-01,4.4,93.48,43.9,67.92,45.22,0
98,2015-08-02,13.46,45.51,54.58,106.66,33.48,0
99,2015-08-03,11.15,88.12,58.37,163.69,26.55,0
100,2015-08-04,4.36,85.08,62.51,110.34,24.06,0
101,2015-08-05,9.61,35.63,60.24,51.26,28.43,0
102,2015-08-06,7.34,89.95,45.83,98.2,35.84,0
103,2015-08-07,9.48,181.41,54.34,68.93,30.71,0
104,2015-08-08,7.39,231.24,37.63,65.14,23.51,0
105,2015-08-09,12.89,137.87,51.81,51.75,41.41,0
106,2015-08-10,16.8,92.45,50.33,14.56,51.34,0
107,2015-08-11,4.43,85.05,40.39,194.77,35.67,0
108,2015-08-12,10.21,54.62,87.98,66.44,35.92,0
109,2015-08-13,4.98,39.48,76.73,53.16,38.35,0
110,2015-08-14,10.29,88.44,102.61,133.94,30.03,0
111,2015-08-15,10.32,40.46,47.15,136.48,48.12,0
112,2015-08-16,7.18,176.96,112.75,162.33,41.36,0
113,2015-08-17,10.06,201.28,72.41,168.62,28.45,0
114,2015-08-18,12.29,69.47,57.36,90.81,37.5,0
115,2015-08-19,10.9,78.13,40.46,129.16,27.52,0
116,2015-08-20,13.55,144.43,64.25,94.91,37.37,0
117,2015-08-21,13.21,487.53,25.8,97.55,25.15,0
118,2015-08-22,8.5,74.56,76.15,428.14,22.64,0
119,2015-08-24,10.26,1026.83,104.58,46.76,33.31,0
120,2015-08-25,18.08,179.69,101.62,63.14,24.93,0
121,2015-08-26,24.81,42.05,85.87,180.83,28.62,0
122,2015-08-27,11.85,59.17,43.11,39.33,79.37,0
123,2015-08-28,17.32,156.2,48.89,178.68,37.63,0
124,2015-08-29,34.33,99.47,94.1,55.52,25.68,0
125,2015-08-30,21.32,100.72,73.99,161.35,27.53,0
126,2015-08-31,15.01,98.34,59.11,60.71,27.97,0
127,2015-09-01,12.7,138.1,48.95,93.21,35.57,0
128,2015-09-02,3.86,85.82,56.81,53.54,48.62,0
129,2015-09-03,12.33,88.17,78.94,51.68,37.19,0
130,2015-09-04,10.52,93.22,126.95,85.54,75.13,0
131,2015-09-05,9.7,99.48,44.52,95.39,59.93,0
132,2015-09-06,7.62,98.36,107.15,115.12,31.49,0
133,2015-09-07,6.94,98.07,136.47,137.66,45.91,0
134,2015-09-08,3.47,29.26,62.08,129.89,60.24,0
135,2015-09-09,9.8,62.11,95.71,50.0,33.77,0
136,2015-09-10,28.68,94.52,42.86,234.78,34.75,0
137,2015-09-11,9.45,456.51,41.5,135.73,26.71,0
138,2015-09-12,9.88,137.14,39.53,57.96,24.2,0
139,2015-09-13,14.81,180.0,62.59,79.37,35.39,0
140,2015-10-09,30.23,133.77,41.38,116.71,37.77,0
141,2015-10-10,13.2,121.89,56.0,71.88,31.26,0
142,2015-10-11,12.25,67.5,56.24,110.96,26.75,0
143,2015-10-12,26.92,194.94,62.36,362.6,29.26,0
144,2015-10-13,10.31,293.47,48.35,67.57,31.27,0
145,2015-10-14,16.51,89.42,247.08,2.79,129.78,0
146,2015-10-16,13.53,167.87,57.61,89.1,53.46,0
147,2015-10-17,9.15,90.76,66.77,258.17,33.62,0
148,2015-10-18,25.62,29.27,49.16,184.11,42.37,0
149,2015-10-19,31.67,90.83,86.09,216.79,53.3,0
150,2015-10-20,9.14,200.73,49.39,72.97,38.72,0
151,2015-10-21,25.26,55.46,47.96,133.69,33.24,0
152,2015-10-22,15.0,162.87,110.08,55.17,44.04,0
153,2015-10-23,31.05,90.43,72.45,160.44,31.81,0
154,2015-10-24,8.58,65.59,56.92,210.44,29.24,0
155,2015-10-25,50.58,62.46,82.54,115.01,45.24,0
156,2015-10-26,8.06,153.2,49.05,204.5,61.23,0
157,2015-10-27,9.19,101.17,103.74,68.73,42.86,0
158,2015-10-28,15.76,104.04,137.29,58.95,41.71,0
159,2015-10-29,21.3,75.98,95.89,143.14,37.41,0
160,2015-10-30,10.96,99.77,101.1,93.93,65.57,0
161,2015-11-01,46.37,126.4,115.62,2.73,49.91,0
162,2015-11-03,85.49,162.83,72.26,108.72,58.88,0
163,2015-11-04,82.92,81.14,25.29,126.66,27.18,0
164,2015-11-05,83.03,72.05,88.33,128.42,45.75,0
165,2015-11-06,85.68,318.38,68.7,45.82,35.84,0
166,2015-11-07,79.16,85.72,108.98,104.41,43.18,0
167,2015-11-08,80.57,87.07,67.29,117.37,34.27,0
168,2015-11-09,82.58,87.04,61.17,63.31,35.17,0
169,2015-11-10,83.9,101.24,45.73,32.0,50.33,0
170,2015-11-12,12.63,81.75,75.52,70.13,32.31,0
171,2015-11-13,49.76,103.12,73.43,64.43,56.45,0
172,2015-11-14,30.83,83.06,62.75,113.22,36.41,0
173,2015-11-15,10.86,81.37,65.04,333.43,74.32,0
174,2015-11-17,38.96,69.01,93.74,119.4,30.78,0
175,2015-11-18,35.56,76.28,95.17,183.98,29.27,0
176,2015-11-19,41.95,99.27,52.63,86.75,58.37,0
177,2015-11-20,18.0,104.53,61.31,258.83,34.03,0
178,2015-11-21,7.24,76.22,67.14,106.59,30.34,0
179,2015-11-22,20.97,65.26,83.51,227.77,43.15,0
180,2015-11-23,31.11,85.01,58.25,11.2,31.0,0
181,2015-11-24,16.0,80.68,58.25,61.12,47.14,0
182,2015-11-25,21.85,77.95,70.89,179.43,51.96,0
183,2015-11-26,26.2,194.08,87.0,122.23,34.25,0
184,2015-11-27,14.46,130.08,77.09,47.78,35.6,0
185,2015-11-28,35.71,81.33,56.79,321.92,73.61,0
186,2015-11-29,55.4,113.77,78.36,185.86,36.89,0
187,2015-11-30,10.41,58.06,89.59,374.75,40.19,0
188,2015-12-01,42.55,78.12,64.4,362.6,35.77,0
189,2015-12-02,19.65,98.5,80.3,27.63,37.2,0
190,2015-12-03,36.04,93.44,84.79,109.61,46.75,0
191,2015-12-04,54.33,61.12,62.19,149.13,30.05,0
192,2015-12-05,14.24,110.15,69.86,174.54,31.12,0
193,2015-12-06,11.06,54.18,56.36,269.69,33.93,0
194,2015-12-07,16.47,59.76,74.66,80.1,31.6,0
195,2015-12-08,32.42,87.97,72.64,113.3,26.62,0
196,2015-12-09,37.74,113.14,55.72,103.41,20.05,0
197,2015-12-10,32.29,155.97,66.76,86.88,29.01,0
198,2015-12-11,15.87,50.74,76.25,63.7,28.41,0
199,2015-12-12,30.5,56.2,64.01,75.99,26.5,0
200,2015-12-13,17.05,64.91,67.45,93.03,26.37,0
201,2015-12-14,49.67,46.11,78.14,42.72,27.0,0
202,2015-12-15,14.47,75.55,65.0,159.01,25.0,0
203,2015-12-16,12.61,81.23,64.21,46.09,25.3,0
204,2015-12-17,13.06,86.34,73.0,25.15,60.02,0
205,2015-12-18,23.22,83.82,57.81,41.36,55.85,0
206,2015-12-19,29.44,68.64,64.45,134.41,35.94,0
207,2015-12-20,40.53,125.62,54.36,91.81,35.24,0
208,2015-12-21,21.53,85.67,55.56,105.44,28.26,0
209,2015-12-23,21.69,102.58,60.28,54.29,33.49,0
210,2015-12-26,3.64,139.43,55.26,46.84,34.6,0
211,2015-12-27,14.51,90.95,98.36,118.13,25.64,0
212,2015-12-28,9.09,87.58,56.5,51.04,24.06,0
213,2015-12-29,10.89,52.99,51.72,421.25,24.47,0
214,2015-12-31,10.91,106.25,61.4,38.92,30.64,0
215,2016-01-01,28.97,107.36,74.92,167.34,31.62,0
216,2016-01-04,21.82,43.35,73.69,38.52,32.98,0
217,2016-01-05,7.15,129.35,111.89,36.04,35.25,0
218,2016-01-06,6.78,151.71,82.47,114.66,35.55,0
219,2016-01-07,29.98,94.53,59.8,38.26,36.32,0
220,2016-01-09,32.54,118.89,74.93,50.22,49.65,0
221,2016-01-12,10.68,211.73,39.48,50.22,46.83,0
222,2016-01-15,58.47,285.49,101.58,43.59,38.6,0
223,2016-01-16,10.97,70.93,69.42,199.61,39.4,0
224,2016-01-18,10.99,95.16,49.78,78.42,37.36,0
225,2016-01-19,6.88,72.21,75.75,24.48,52.11,0
226,2016-01-20,31.1,212.31,62.73,113.48,72.83,0
227,2016-01-22,10.55,76.39,88.83,110.6,31.34,0
228,2016-01-27,8.03,122.61,57.51,73.72,30.66,0
229,2016-01-31,3.54,211.7,90.11,37.38,34.78,0
230,2016-02-01,12.96,111.5,99.97,36.78,38.08,0
231,2016-02-02,9.18,88.67,79.81,87.87,50.92,0
232,2016-02-05,7.23,70.2,86.58,25.5,50.33,0
233,2016-02-06,7.09,81.06,54.23,68.76,36.17,0
234,2016-02-09,61.87,155.34,129.08,52.34,49.09,0
235,2016-02-10,9.9,46.84,70.58,37.59,37.78,0
236,2016-02-12,11.65,129.58,56.86,30.21,30.43,0
237,2016-02-14,12.5,59.2,60.94,36.92,47.58,0
238,2016-02-15,7.08,113.18,29.12,24.65,57.35,0
239,2016-02-18,7.17,135.66,74.17,126.02,35.42,0
240,2016-02-19,11.4,61.31,84.0,95.84,39.47,0
241,2016-02-20,9.92,157.88,45.92,50.21,63.86,0
242,2016-02-23,10.12,171.29,114.27,15.57,35.44,0
243,2016-02-25,15.78,143.82,43.5,50.74,41.6,0
244,2016-02-26,10.8,60.29,48.15,126.04,68.75,0
245,2016-02-27,21.48,104.7,64.44,52.03,28.87,0
246,2016-02-29,2.15,117.22,50.56,51.01,41.24,0
247,2016-03-02,7.26,68.01,44.69,141.71,33.35,0
248,2016-03-03,7.78,135.81,12.8,93.66,61.66,0
249,2016-03-04,7.7,68.75,61.58,56.61,31.83,0
250,2016-03-06,57.4,93.92,70.26,24.81,36.37,0
251,2016-03-08,21.64,7.96,45.67,55.63,54.0,0
252,2016-03-09,16.74,79.66,49.06,83.78,58.35,0
253,2016-03-10,12.36,46.06,83.62,51.69,50.83,0
254,2016-03-12,26.67,38.87,72.79,54.48,47.84,0
255,2016-03-13,35.48,77.3,76.65,8.47,42.97,0
256,2016-03-17,14.43,39.72,77.73,25.09,43.51,0
257,2016-03-18,32.93,89.86,68.38,52.17,34.48,0
258,2016-03-19,31.02,80.35,129.13,769.96,25.56,0
259,2016-03-20,29.71,93.29,89.35,24.81,32.01,0
260,2016-03-21,33.64,59.38,49.51,64.34,48.24,0
261,2016-03-22,39.9,86.86,221.73,62.19,31.82,0
262,2016-03-23,26.36,41.24,69.04,187.1,39.89,0
263,2016-03-24,26.64,99.06,53.31,571.03,36.46,0
264,2016-03-25,22.04,185.69,66.86,276.94,25.02,0
265,2016-03-26,6.08,83.2,107.82,56.09,55.96,0
266,2016-03-27,27.04,132.17,66.02,117.07,25.62,0
267,2016-03-28,44.32,102.44,73.66,24.99,37.92,0
268,2016-03-29,17.82,87.79,96.89,221.08,36.81,0
269,2016-03-30,7.19,21.85,82.52,81.49,62.61,0
270,2016-03-31,10.77,67.99,82.44,38.52,29.19,0
271,2016-04-02,7.45,89.32,69.33,100.79,30.07,0
272,2016-04-03,12.32,97.38,46.01,38.69,26.0,0
273,2016-04-04,10.69,503.17,70.82,41.52,66.47,0
274,2016-04-05,71.52,136.5,57.62,55.85,40.28,0
275,2016-04-06,68.76,15.55,61.65,174.94,33.49,0
276,2016-04-07,65.79,169.47,69.39,57.66,31.57,0
277,2016-04-08,68.37,81.39,61.3,101.95,53.42,0
278,2016-04-09,56.13,188.74,55.02,187.85,51.26,0
279,2016-04-10,71.92,236.89,74.7,138.37,26.06,0
280,2016-04-11,63.64,172.65,77.19,72.86,41.21,0
281,2016-04-12,37.56,125.25,66.08,48.07,46.34,0
282,2016-04-13,23.65,101.18,78.49,51.0,42.16,0
283,2016-04-14,24.23,82.11,46.15,79.34,27.79,0
284,2016-04-15,34.28,99.05,48.73,47.72,34.29,0
285,2016-04-17,33.09,173.31,50.13,54.41,38.54,0
286,2016-04-18,17.38,133.99,48.55,60.95,37.49,0
287,2016-04-19,7.32,98.75,46.72,51.05,31.0,0
288,2016-04-20,16.41,189.34,42.85,57.11,32.72,0
289,2016-04-21,7.81,132.58,60.13,102.97,45.22,0
290,2016-04-22,26.41,79.51,45.01,55.61,26.88,0
291,2016-04-23,46.35,145.18,31.78,54.1,25.83,0
292,2016-04-24,21.78,111.59,67.11,104.95,31.29,0
293,2016-04-25,107.9,96.23,53.76,67.43,46.26,0
294,2016-04-26,9.97,67.34,88.3,73.87,30.35,0
295,2016-04-27,26.11,165.58,49.24,130.26,55.39,0
296,2016-04-28,93.58,193.68,94.05,91.67,29.7,0
297,2016-04-29,30.49,145.72,51.59,54.67,49.58,0
298,2016-04-30,22.28,108.95,42.82,245.54,51.58,0
299,2016-05-01,14.84,120.54,48.33,37.68,30.72,0
300,2016-05-02,19.27,118.65,66.62,39.97,79.47,0
301,2016-05-03,23.05,66.62,54.18,67.65,49.23,0
302,2016-05-04,19.58,67.31,46.64,97.65,50.27,0
303,2016-05-05,25.75,86.92,128.26,66.86,48.75,0
304,2016-05-06,11.65,102.06,52.74,81.75,60.76,0
305,2016-05-07,43.86,81.85,48.95,62.74,37.95,0
306,2016-05-08,34.18,87.28,38.72,87.1,42.15,0
307,2016-05-09,37.29,392.78,59.9,34.66,32.58,0
308,2016-05-10,50.88,208.02,26.68,137.64,33.88,0
309,2016-05-11,29.01,73.07,45.18,62.39,40.28,0
310,2016-05-13,7.97,111.61,57.58,32.32,38.63,0
311,2016-05-14,2.94,63.87,69.14,57.77,18.92,0
312,2016-05-15,20.03,183.29,59.09,147.05,14.3,0
313,2016-05-16,7.27,87.47,61.16,16.75,19.58,0
314,2016-05-17,24.82,88.69,79.8,48.49,16.86,0
315,2016-05-18,34.3,142.24,45.72,4.94,15.8,0
316,2016-05-19,6.77,120.32,40.32,27.04,20.02,0
317,2016-05-20,2.81,154.32,50.42,52.25,14.25,0
318,2016-05-21,15.91,5638.24,68.18,111.39,26.31,0
319,2016-05-22,10.78,103.45,37.43,126.21,36.21,0
320,2016-05-23,66.42,180.8,43.01,117.01,31.21,0
321,2016-05-24,10.91,164.47,68.48,41.97,29.97,0
322,2016-05-25,33.77,181.99,100.41,183.01,42.83,0
323,2016-05-28,8.34,119.2,56.76,107.29,42.98,0
324,2016-05-29,17.25,214.94,96.03,59.93,33.2,0
325,2016-05-30,17.93,133.96,35.19,71.94,36.97,0
326,2016-05-31,9.66,149.75,149.47,38.23,12.26,0
327,2016-06-01,32.33,152.92,34.22,60.75,20.96,0
328,2016-06-02,40.03,296.65,41.45,58.23,26.51,0
329,2016-06-03,42.34,180.8,53.48,233.81,31.23,0
330,2016-06-04,15.71,110.33,76.29,123.71,63.58,0
331,2016-06-05,11.61,300.46,65.48,10.74,54.74,0
332,2016-06-06,11.04,52.36,47.76,83.13,43.99,0
333,2016-06-07,23.22,130.2,53.54,174.78,35.56,0
334,2016-06-08,9.61,408.31,80.49,7.27,36.69,0
335,2016-06-09,23.82,261.58,60.47,4.37,56.61,0
336,2016-06-10,23.78,331.78,58.1,293.59,62.96,0
337,2016-06-11,38.88,33.43,110.24,216.85,30.44,0
338,2016-06-12,12.57,152.7,45.05,54.2,34.1,0
339,2016-06-13,16.28,40.37,65.67,108.3,26.12,0
340,2016-06-14,9.22,162.75,71.55,87.93,23.9,0
341,2016-06-15,21.45,132.09,60.15,128.24,15.59,0
342,2016-06-16,10.38,88.15,86.38,100.58,20.57,0
343,2016-06-18,47.26,42.73,63.3,54.33,25.82,0
344,2016-06-19,22.15,64.1,76.31,74.07,34.57,0
345,2016-06-22,21.01,69.7,52.78,107.85,31.5,0
346,2016-06-23,40.01,22.89,61.05,62.2,29.76,0
347,2016-06-24,19.55,92.25,40.16,4.6,47.5,0
348,2016-06-25,29.45,67.19,53.52,179.56,39.95,0
349,2016-06-27,20.16,85.51,77.19,34.04,42.48,0
350,2016-06-28,34.09,44.78,27.82,196.51,32.23,0
351,2016-06-29,39.99,192.53,42.39,4.33,34.65,0
352,2016-06-30,25.75,77.05,52.99,184.22,24.81,0
353,2016-07-01,17.1,74.73,82.97,197.71,29.6,0
354,2016-07-02,20.16,87.11,81.98,97.93,31.62,0
355,2016-07-03,33.14,138.25,91.02,112.99,41.11,0
356,2016-07-04,19.81,37.87,27.53,173.81,33.32,0
357,2016-07-05,31.68,73.32,44.7,208.25,19.62,0
358,2016-07-06,38.43,179.13,73.2,98.1,33.35,0
359,2016-07-07,25.3,109.78,80.47,162.9,25.47,0
360,2016-07-08,14.34,53.8,5.83,167.81,27.84,0
361,2016-07-09,21.97,43.74,57.49,114.37,51.34,0
362,2016-07-10,33.33,41.27,53.33,57.23,39.1,0
363,2016-07-11,32.37,106.43,44.63,99.36,42.4,0
364,2016-07-12,31.32,61.41,57.65,82.62,35.87,0
365,2016-07-13,34.58,686.19,75.39,75.69,19.79,0
366,2016-07-14,34.92,30.77,63.23,28.65,44.63,0
367,2016-07-15,32.65,110.93,73.99,12.72,46.16,0
368,2016-07-16,31.13,123.04,84.03,156.6,51.2,0
369,2016-07-17,35.26,21.55,54.13,50.21,46.17,0
370,2016-07-18,34.8,66.4,40.42,98.23,21.64,0
371,2016-07-19,26.44,49.58,71.89,146.11,25.86,0
372,2016-07-21,27.7,12615.54,95.62,34.44,30.97,0
373,2016-07-22,52.73,64.71,63.65,44.9,39.25,0
374,2016-07-23,17.37,87.08,78.96,33.66,40.6,0
375,2016-07-24,22.86,130.32,103.98,43.51,21.72,0
376,2016-07-25,27.9,77.76,28.9,85.03,26.77,0
377,2016-07-26,19.94,122.14,50.79,79.01,24.57,0
378,2016-07-27,24.29,99.17,41.03,179.57,27.56,0
379,2016-07-28,13.07,62.26,35.17,57.62,31.63,0
380,2016-07-29,10.51,88.89,126.79,94.46,32.13,0
381,2016-07-30,12.73,83.7,50.47,47.06,26.21,0
382,2016-07-31,30.3,68.35,42.75,25.47,37.89,0
383,2016-08-01,30.51,67.56,52.06,38.98,39.94,0
384,2016-08-02,31.92,41.48,81.17,83.81,33.65,0
385,2016-08-03,34.78,149.6,65.55,26.16,25.41,0
386,2016-08-04,35.55,29.61,37.76,32.35,15.44,0
387,2016-08-05,32.7,70.31,59.22,40.71,36.66,0
388,2016-08-06,53.65,153.56,50.63,55.22,18.58,0
389,2016-08-07,26.84,69.91,34.11,44.81,33.05,0
390,2016-08-08,33.16,165.37,62.29,39.58,23.04,0
391,2016-08-09,33.04,106.33,10.06,41.57,50.0,0
392,2016-08-10,32.78,85.66,78.76,41.04,25.88,0
393,2016-08-11,34.52,327.13,88.61,117.2,28.65,0
394,2016-08-12,22.33,117.41,53.0,104.23,37.84,0
395,2016-08-13,35.9,91.56,40.26,113.84,71.76,0
396,2016-08-14,40.43,187.84,52.95,35.54,34.19,0
397,2016-08-15,40.93,300.9,48.31,92.74,15.02,0
398,2016-08-16,38.83,235.26,74.77,38.61,44.14,0
399,2016-08-17,27.42,45.44,35.02,67.71,41.25,0
400,2016-08-18,30.4,162.89,52.45,99.55,27.91,0
401,2016-08-19,38.78,73.69,65.36,37.66,21.51,0
402,2016-08-20,29.47,70.1,69.65,32.66,17.59,0
403,2016-08-21,28.58,59.94,57.82,93.84,22.94,0
404,2016-08-22,34.1,71.11,34.98,198.09,40.73,0
405,2016-08-23,27.97,101.0,42.83,39.54,40.9,0
406,2016-08-24,43.22,71.25,95.62,38.21,38.94,0
407,2016-08-25,26.13,127.12,63.55,74.67,34.64,0
408,2016-08-26,32.0,401.62,27.15,63.65,45.47,0
409,2016-08-27,36.58,107.1,60.17,42.32,28.99,0
410,2016-08-28,32.62,96.68,106.97,45.71,34.55,0
411,2016-08-29,32.9,145.25,105.91,177.94,22.86,0
412,2016-08-30,32.48,47.37,72.48,37.29,38.24,0
413,2016-08-31,40.43,44.16,27.34,167.11,22.82,0
414,2016-09-01,23.97,39.88,30.54,112.73,34.38,0
415,2016-09-02,30.1,43.93,37.48,67.0,31.7,0
416,2016-09-03,28.03,41.19,29.49,161.13,51.49,0
417,2016-09-04,48.66,42.0,42.78,52.97,17.36,0
418,2016-09-05,13.63,41.32,37.19,46.19,24.93,0
419,2016-09-06,28.43,44.97,31.96,65.05,24.5,0
420,2016-09-07,31.45,42.02,36.05,84.12,23.68,0
421,2016-09-08,26.43,49.81,53.1,92.94,27.46,0
422,2016-09-09,72.21,74.67,77.34,56.51,34.4,0
423,2016-09-10,34.59,317.25,207.29,53.95,49.16,0
424,2016-09-11,12.29,223.33,198.94,147.98,39.75,0
425,2016-09-12,11.17,159.39,206.07,53.33,19.75,0
426,2016-09-13,152.72,176.14,157.82,80.79,26.67,0
427,2016-09-14,40.44,147.52,60.28,54.64,24.27,0
428,2016-09-15,30.95,55.83,78.18,50.52,22.37,0
429,2016-09-16,7.06,46.77,51.01,49.44,22.72,0
430,2016-09-17,23.68,60.86,51.35,53.02,23.12,0
431,2016-09-18,23.7,115.0,72.25,35.93,20.94,0
432,2016-09-19,30.42,64.1,37.55,50.9,24.29,0
433,2016-09-20,33.91,109.35,73.72,52.99,21.1,0
434,2016-09-21,30.29,49.27,45.33,44.43,20.87,0
435,2016-09-22,24.97,62.62,35.26,70.84,44.93,0
436,2016-09-23,27.45,53.35,35.88,44.92,23.52,0
437,2016-09-24,23.29,51.78,33.14,77.63,28.16,0
438,2016-09-25,24.48,49.39,40.8,26.4,33.71,0
439,2016-09-26,15.42,43.05,82.15,18.32,34.46,0
440,2016-09-27,26.54,53.68,53.59,59.31,19.99,0
441,2016-09-28,27.53,86.26,79.83,88.26,34.34,0
442,2016-09-29,27.19,83.48,55.0,146.67,29.3,0
443,2016-09-30,26.62,66.46,52.28,92.39,30.34,0
444,2016-10-01,24.46,65.81,52.69,122.5,21.6,0
445,2016-10-02,26.33,87.43,85.35,53.59,14.93,0
446,2016-10-03,42.85,78.36,35.91,98.03,43.61,0
447,2016-10-04,49.51,77.85,46.97,107.99,28.34,0
448,2016-10-05,20.86,82.51,103.17,75.22,20.27,0
