date,IOTA,Ripple,Dash,NEM,Monero,Bitcoin Gold,Cardano,Ethereum Classic,Stellar Lumens,NEO,BitConnect,Waves,Qtum,Stratis,Lisk,Zcash,MonaCoin,Nxt,Hshare,BitShares,Bytecoin,Steem,Ark,Decred,Vertcoin,Komodo,Einsteinium,Dogecoin,Siacoin,PIVX,Factom,Syscoin,RaiBlocks,Cryptonex,BitcoinDark,Byteball Bytes,ZCoin,VeChain,Pura,DigiByte,GameCredits,Verge,NAV Coin,Nexus,Blocknet,Skycoin,Metaverse ETP,BitBay,GXShares,Achain
2017-03-12,2,4,88,83,9,2,5,10,0,72,1,95,4,5,7,11,1,44,0,4,2,26,78,20,0,19,7,5,0,8,11,5,2,0,12,0,7,0,82,1,16,14,0,82,5,0,0,8,0,0
2017-03-19,2,4,84,86,8,1,3,12,0,72,1,93,1,11,7,12,0,47,0,2,3,24,73,23,0,20,8,7,1,61,23,13,3,0,0,0,8,1,87,1,8,15,6,86,5,0,0,9,0,31
2017-03-26,1,4,82,85,6,1,4,8,0,70,1,91,1,12,6,9,1,62,9,0,6,15,73,71,1,17,7,6,2,32,19,9,3,0,37,0,2,0,89,1,17,17,6,86,10,0,0,5,0,10
2017-04-02,2,6,77,84,6,1,4,9,1,73,1,90,1,16,6,7,1,92,8,6,3,20,79,19,0,19,5,7,2,28,12,5,3,0,37,0,6,0,89,2,4,15,1,85,5,13,0,5,0,0
2017-04-09,1,4,77,85,6,2,3,4,0,70,2,90,1,18,4,10,3,50,13,5,5,19,78,20,5,19,6,7,3,60,16,8,3,0,13,13,13,0,89,4,26,14,1,80,5,5,0,5,0,11
2017-04-16,1,4,74,84,5,2,3,7,0,67,2,93,1,17,7,9,3,43,4,7,5,25,70,17,1,19,3,5,1,51,28,11,4,0,12,0,3,0,90,8,37,15,3,78,25,0,0,4,0,51
2017-04-23,1,5,75,85,6,2,4,21,1,67,1,100,1,9,5,14,0,46,17,4,3,23,72,29,1,18,4,8,1,40,26,9,1,0,12,0,11,0,87,3,28,15,8,83,35,4,0,6,0,10
2017-04-30,2,6,77,86,8,2,4,29,4,68,1,95,1,19,7,13,1,48,4,4,4,18,69,26,2,28,5,10,4,34,27,29,5,0,25,0,10,0,86,4,17,16,9,81,15,0,0,6,0,0
2017-05-07,1,9,72,87,8,1,4,9,11,66,1,96,1,13,7,15,1,50,9,6,12,36,65,20,2,20,6,14,4,39,24,14,2,0,37,0,10,0,86,5,21,15,6,78,5,5,0,7,0,0
2017-05-14,1,11,73,85,11,2,4,13,10,63,2,92,0,12,5,12,3,59,0,11,21,34,61,25,2,18,7,11,15,21,22,10,3,0,65,0,6,0,82,29,100,16,7,77,11,5,0,7,0,11
2017-05-21,1,12,74,88,18,4,4,72,8,64,3,93,2,22,12,35,3,69,9,10,31,31,60,24,1,19,9,30,35,42,39,61,5,0,0,0,5,0,81,30,27,14,6,76,11,10,0,13,0,0
2017-05-28,1,10,72,100,15,2,4,46,7,65,3,89,5,100,11,32,2,47,14,13,19,32,66,35,1,19,6,17,24,41,25,29,4,0,40,0,15,0,83,55,44,15,4,74,11,5,0,9,0,11
2017-06-04,2,9,69,92,15,4,5,36,6,64,4,91,3,100,24,35,4,43,4,64,19,60,66,51,3,18,7,20,50,23,100,28,7,0,38,13,20,0,100,100,73,21,8,74,26,0,0,14,0,11
2017-06-11,5,10,71,99,17,3,5,79,3,64,5,91,2,81,23,53,4,99,5,56,16,52,75,37,4,17,6,19,42,27,83,28,10,0,39,0,24,0,89,49,62,16,6,72,21,10,0,19,0,11
2017-06-18,3,10,74,87,15,2,4,50,3,65,4,83,3,41,17,56,9,73,4,21,22,45,72,74,3,16,5,18,73,25,66,31,15,0,13,0,18,0,82,26,68,16,4,76,31,19,0,11,0,11
2017-06-25,3,8,71,87,15,2,4,52,7,68,3,86,4,45,12,60,8,60,5,23,16,45,71,66,2,15,5,17,41,44,55,34,16,0,27,0,20,0,83,23,41,16,3,75,22,30,0,11,0,11
2017-07-02,2,7,69,86,12,2,4,35,2,64,5,86,1,31,13,44,6,55,5,20,15,40,72,55,3,16,5,14,33,32,38,7,17,0,53,14,12,0,88,19,31,14,1,73,16,30,3,13,0,44
2017-07-09,2,7,71,80,13,3,3,39,4,64,8,84,1,40,13,38,2,53,5,18,14,31,68,61,4,16,2,13,28,30,33,13,16,0,26,0,23,0,90,16,18,16,1,73,21,14,0,10,51,44
2017-07-16,3,7,75,81,12,4,4,37,3,65,10,86,4,45,14,34,6,55,0,23,13,44,70,57,2,19,4,15,22,28,31,17,17,0,13,0,18,0,89,11,54,15,1,74,6,25,0,13,0,0
2017-07-23,3,7,71,81,13,3,4,28,3,67,10,81,3,40,9,27,3,69,14,21,11,39,65,47,2,18,10,13,23,23,35,8,24,0,52,0,15,0,90,24,26,16,0,71,53,24,0,10,0,22
2017-07-30,3,7,73,86,13,2,3,27,5,63,13,82,5,28,12,29,3,70,0,13,10,32,63,59,1,19,4,13,20,19,26,18,20,30,38,0,13,0,86,22,34,16,4,71,26,14,0,11,0,11
2017-08-06,4,8,73,88,14,4,3,21,3,78,15,78,10,52,10,33,2,75,4,21,13,32,65,36,4,20,4,13,26,23,32,13,23,0,25,13,16,0,86,15,77,17,5,71,37,9,0,16,50,11
2017-08-13,8,8,72,85,13,5,2,19,4,100,21,78,9,42,17,28,2,80,18,20,15,33,61,34,4,18,4,15,25,23,47,18,35,0,26,0,17,2,95,18,30,16,7,69,32,24,0,19,0,11
2017-08-20,5,14,74,84,41,4,3,39,5,79,27,82,11,32,46,31,2,99,18,18,18,45,60,49,12,19,4,15,21,31,38,28,31,0,64,0,9,3,93,15,47,17,9,77,47,5,0,21,0,11
2017-08-27,6,12,72,85,38,4,4,36,4,74,22,80,19,50,60,32,3,57,67,24,26,41,90,61,10,18,4,19,22,39,39,54,49,0,38,0,21,2,92,28,30,18,96,77,100,19,0,25,100,43
2017-09-03,5,10,68,83,24,5,5,23,3,74,20,82,22,29,41,28,2,61,100,24,19,41,86,38,7,23,7,16,21,36,26,80,61,0,100,13,13,2,92,17,25,18,53,71,56,5,0,26,98,21
2017-09-10,4,9,67,77,22,4,5,17,2,72,20,83,26,27,25,25,1,62,21,24,11,28,72,44,5,19,7,16,17,20,20,52,27,100,12,13,17,2,81,11,37,25,21,75,56,9,0,17,48,0
2017-09-17,4,8,78,93,26,4,4,14,2,72,22,87,8,30,23,25,2,75,22,22,12,30,67,56,10,18,9,16,12,25,15,19,33,58,0,13,31,0,85,9,42,17,10,74,26,0,24,22,49,0
2017-09-24,4,7,79,90,21,6,4,19,2,79,22,83,15,22,23,45,1,67,26,21,8,37,67,37,7,24,11,14,13,17,24,18,24,86,12,13,21,1,86,10,58,17,24,71,36,5,15,17,0,0
2017-10-01,4,9,74,80,20,9,8,19,5,75,28,85,16,26,27,35,3,67,39,29,9,38,64,38,9,19,12,13,13,28,11,19,30,58,37,0,26,9,87,16,42,21,12,74,36,14,6,16,0,10
2017-10-08,4,12,77,87,18,24,7,14,5,73,35,87,16,24,23,28,53,72,47,30,10,28,61,19,9,17,8,15,13,32,19,13,39,14,12,0,16,4,83,11,21,17,17,71,35,0,39,20,0,0
2017-10-15,4,14,75,87,20,30,7,13,27,70,43,88,18,23,22,25,28,77,21,22,13,34,60,25,24,17,8,17,13,45,18,28,20,29,12,0,18,9,82,8,21,17,34,69,10,18,100,20,0,10
2017-10-22,4,10,77,88,20,100,6,16,11,69,48,86,8,37,20,28,13,66,17,13,10,30,63,48,58,17,10,16,9,26,21,34,6,42,24,0,21,3,84,7,45,19,13,66,35,13,33,21,0,81
2017-10-29,4,11,78,87,21,48,7,21,10,70,68,85,7,33,20,28,10,63,13,16,11,33,66,42,55,16,5,18,13,22,21,33,6,28,49,13,33,3,85,10,37,20,18,68,20,9,15,22,0,0
2017-11-05,5,11,77,86,31,38,6,44,10,71,73,85,10,25,31,31,8,64,17,17,12,31,64,27,33,17,7,20,15,36,24,28,5,14,36,13,20,2,80,11,20,20,13,66,84,18,21,34,0,40
2017-11-12,8,13,85,91,29,75,7,52,10,73,77,93,9,22,66,36,10,67,79,18,11,37,62,36,26,17,14,19,10,23,28,40,5,14,48,0,35,2,83,13,44,17,23,68,15,13,20,45,93,40
2017-11-19,9,15,90,90,32,56,7,31,12,78,76,78,12,27,71,34,7,85,12,38,15,48,65,44,23,15,7,26,16,40,24,32,5,14,48,25,52,3,89,9,32,19,15,66,24,26,26,43,46,69
2017-11-26,19,23,91,88,50,51,32,100,47,71,88,88,9,31,43,43,26,70,21,40,24,49,65,53,40,16,50,34,23,44,24,42,6,14,95,25,57,6,93,20,44,19,41,64,19,61,20,50,0,59
2017-12-03,100,25,87,93,86,44,26,62,81,74,92,93,14,75,49,55,100,86,33,49,37,72,64,60,100,16,100,42,57,40,33,67,17,55,60,25,73,17,87,28,32,19,75,65,29,44,9,60,0,30
2017-12-10,71,96,88,97,87,43,50,98,84,76,100,95,30,53,50,73,64,90,33,71,57,77,79,83,89,16,59,72,52,63,45,66,69,56,48,100,100,25,84,41,89,30,56,63,20,88,35,63,0,100
2017-12-17,58,100,92,99,100,48,100,91,100,79,91,82,100,89,100,100,36,100,47,100,100,100,87,100,54,18,100,100,100,100,61,100,100,20,17,18,100,100,82,89,91,100,100,61,49,100,29,100,66,71
