date,IOTA,Ripple,Dash,NEM,Monero,Bitcoin Gold,Cardano,Ethereum Classic,Stellar Lumens,NEO,BitConnect,Waves,Qtum,Stratis,Lisk,Zcash,MonaCoin,Nxt,Hshare,BitShares,Bytecoin,Steem,Ark,Decred
2017-07-23,3,7,71,81,13,3,4,28,3,67,10,81,3,40,9,27,3,69,14,21,11,39,65,47
2017-07-30,3,7,73,86,13,2,3,27,5,63,13,82,5,28,12,29,3,70,0,13,10,32,63,59
2017-08-06,4,8,73,88,14,4,3,21,3,78,15,78,10,52,10,33,2,75,4,21,13,32,65,36
2017-08-13,8,8,72,85,13,5,2,19,4,100,21,78,9,42,17,28,2,80,18,20,15,33,61,34
2017-08-20,5,14,74,84,41,4,3,39,5,79,27,82,11,32,46,31,2,99,18,18,18,45,60,49
2017-08-27,6,12,72,85,38,4,4,36,4,74,22,80,19,50,60,32,3,57,67,24,26,41,90,61
2017-09-03,5,10,68,83,24,5,5,23,3,74,20,82,22,29,41,28,2,61,100,24,19,41,86,38
2017-09-10,4,9,67,77,22,4,5,17,2,72,20,83,26,27,25,25,1,62,21,24,11,28,72,44
2017-09-17,4,8,78,93,26,4,4,14,2,72,22,87,8,30,23,25,2,75,22,22,12,30,67,56
2017-09-24,4,7,79,90,21,6,4,19,2,79,22,83,15,22,23,45,1,67,26,21,8,37,67,37
2017-10-01,4,9,74,80,20,9,8,19,5,75,28,85,16,26,27,35,3,67,39,29,9,38,64,38
2017-10-08,4,12,77,87,18,24,7,14,5,73,35,87,16,24,23,28,53,72,47,30,10,28,61,19
2017-10-15,4,14,75,87,20,30,7,13,27,70,43,88,18,23,22,25,28,77,21,22,13,34,60,25
2017-10-22,4,10,77,88,20,100,6,16,11,69,48,86,8,37,20,28,13,66,17,13,10,30,63,48
2017-10-29,4,11,78,87,21,48,7,21,10,70,68,85,7,33,20,28,10,63,13,16,11,33,66,42
2017-11-05,5,11,77,86,31,38,6,44,10,71,73,85,10,25,31,31,8,64,17,17,12,31,64,27
2017-11-12,8,13,85,91,29,75,7,52,10,73,77,93,9,22,66,36,10,67,79,18,11,37,62,36
2017-11-19,9,15,90,90,32,56,7,31,12,78,76,78,12,27,71,34,7,85,12,38,15,48,65,44
2017-11-26,19,23,91,88,50,51,32,100,47,71,88,88,9,31,43,43,26,70,21,40,24,49,65,53
2017-12-03,100,25,87,93,86,44,26,62,81,74,92,93,14,75,49,55,100,86,33,49,37,72,64,60
2017-12-10,71,96,88,97,87,43,50,98,84,76,100,95,30,53,50,73,64,90,33,71,57,77,79,83
2017-12-17,58,100,92,99,100,48,100,91,100,79,91,82,100,89,100,100,36,100,47,100,100,100,87,100
