This file was downloaded on March 14 2018 12:46:15 AM UTC-07:00
Keywords,furniture
Date Range,2015-03-13 - 2018-03-11
Buyer Country: ,AU
Category: ,Home & Garden
Product Condition: ,New
Listing Format: ,FixedPrice,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-09-16,0,0.00 USD,0.00 USD
2015-09-17,0,0.00 USD,0.00 USD
2015-09-18,0,0.00 USD,0.00 USD
2015-09-19,0,0.00 USD,0.00 USD
2015-09-20,0,0.00 USD,0.00 USD
2015-09-21,0,0.00 USD,0.00 USD
2015-09-22,0,0.00 USD,0.00 USD
2015-09-23,0,0.00 USD,0.00 USD
2015-09-24,0,0.00 USD,0.00 USD
2015-09-25,0,0.00 USD,0.00 USD
2015-09-26,0,0.00 USD,0.00 USD
2015-09-27,0,0.00 USD,0.00 USD
2015-09-28,0,0.00 USD,0.00 USD
2015-09-29,0,0.00 USD,0.00 USD
2015-09-30,0,0.00 USD,0.00 USD
2015-10-01,0,0.00 USD,0.00 USD
2015-10-02,0,0.00 USD,0.00 USD
2015-10-03,0,0.00 USD,0.00 USD
2015-10-04,0,0.00 USD,0.00 USD
2015-10-05,0,0.00 USD,0.00 USD
2015-10-06,0,0.00 USD,0.00 USD
2015-10-07,0,0.00 USD,0.00 USD
2015-10-08,0,0.00 USD,0.00 USD
2015-10-09,138,123.61 USD,17057.66 USD
2015-10-10,167,96.54 USD,16122.85 USD
2015-10-11,211,121.09 USD,25550.58 USD
2015-10-12,110,152.70 USD,16796.86 USD
2015-10-13,157,79.58 USD,12493.47 USD
2015-10-14,177,104.99 USD,18582.79 USD
2015-10-15,139,114.67 USD,15939.43 USD
2015-10-16,188,90.71 USD,17053.06 USD
2015-10-17,152,134.17 USD,20394.11 USD
2015-10-18,235,109.32 USD,25689.54 USD
2015-10-19,172,98.28 USD,16904.81 USD
2015-10-20,337,89.48 USD,30154.43 USD
2015-10-21,187,126.80 USD,23711.65 USD
2015-10-22,175,94.12 USD,16470.94 USD
2015-10-23,166,99.96 USD,16592.70 USD
2015-10-24,266,75.42 USD,20061.06 USD
2015-10-25,217,107.63 USD,23356.14 USD
2015-10-26,215,91.78 USD,19733.20 USD
2015-10-27,149,121.17 USD,18053.95 USD
2015-10-28,152,118.42 USD,17999.39 USD
2015-10-29,147,131.91 USD,19390.30 USD
2015-10-30,140,94.59 USD,13243.25 USD
2015-10-31,163,86.55 USD,14107.39 USD
2015-11-01,204,99.90 USD,20378.68 USD
2015-11-02,189,97.17 USD,18366.06 USD
2015-11-03,160,130.33 USD,20852.79 USD
2015-11-04,206,101.31 USD,20870.42 USD
2015-11-05,165,99.28 USD,16380.92 USD
2015-11-06,161,117.91 USD,18982.88 USD
2015-11-07,209,121.35 USD,25362.51 USD
2015-11-08,249,99.06 USD,24665.76 USD
2015-11-09,250,112.65 USD,28163.45 USD
2015-11-10,208,135.58 USD,28200.89 USD
2015-11-11,232,98.92 USD,22949.51 USD
2015-11-12,242,121.41 USD,29380.87 USD
2015-11-13,181,145.75 USD,26380.49 USD
2015-11-14,263,81.44 USD,21419.07 USD
2015-11-15,351,83.35 USD,29255.93 USD
2015-11-16,254,89.84 USD,22819.57 USD
2015-11-17,217,121.77 USD,26423.71 USD
2015-11-18,243,91.31 USD,22187.70 USD
2015-11-19,259,81.77 USD,21178.51 USD
2015-11-20,151,120.18 USD,18147.80 USD
2015-11-21,193,107.31 USD,20710.31 USD
2015-11-22,251,124.36 USD,31214.65 USD
2015-11-23,210,106.22 USD,22306.72 USD
2015-11-24,260,100.38 USD,26099.08 USD
2015-11-25,215,111.84 USD,24045.80 USD
2015-11-26,169,110.31 USD,18642.20 USD
2015-11-27,152,153.12 USD,23274.29 USD
2015-11-28,229,115.15 USD,26369.50 USD
2015-11-29,320,129.92 USD,41573.79 USD
2015-11-30,261,93.60 USD,24429.60 USD
2015-12-01,173,167.30 USD,28942.47 USD
2015-12-02,234,120.81 USD,28270.17 USD
2015-12-03,251,87.16 USD,21877.37 USD
2015-12-04,184,120.35 USD,22145.20 USD
2015-12-05,274,98.91 USD,27102.23 USD
2015-12-06,258,160.61 USD,41436.36 USD
2015-12-07,227,151.05 USD,34289.43 USD
2015-12-08,255,114.73 USD,29256.62 USD
2015-12-09,196,195.80 USD,38376.02 USD
2015-12-10,235,132.33 USD,31097.91 USD
2015-12-11,234,145.83 USD,34123.22 USD
2015-12-12,247,156.82 USD,38734.76 USD
2015-12-13,268,145.98 USD,39121.55 USD
2015-12-14,279,120.05 USD,33494.22 USD
2015-12-15,229,146.98 USD,33658.84 USD
2015-12-16,198,121.79 USD,24115.11 USD
2015-12-17,136,130.66 USD,17769.99 USD
2015-12-18,152,116.57 USD,17718.48 USD
2015-12-19,170,131.46 USD,22347.89 USD
2015-12-20,147,158.63 USD,23318.44 USD
2015-12-21,120,152.11 USD,18253.46 USD
2015-12-22,124,124.84 USD,15480.31 USD
2015-12-23,76,110.84 USD,8423.59 USD
2015-12-24,68,75.53 USD,5136.07 USD
2015-12-25,100,138.72 USD,13872.31 USD
2015-12-26,115,114.37 USD,13152.14 USD
2015-12-27,199,156.52 USD,31147.28 USD
2015-12-28,190,158.49 USD,30113.92 USD
2015-12-29,194,144.44 USD,28020.96 USD
2015-12-30,176,109.07 USD,19196.08 USD
2015-12-31,171,82.60 USD,14123.76 USD
2016-01-01,194,99.92 USD,19384.71 USD
2016-01-02,144,139.80 USD,20131.64 USD
2016-01-03,203,112.23 USD,22783.19 USD
2016-01-04,213,119.40 USD,25432.68 USD
2016-01-05,190,110.34 USD,20964.28 USD
2016-01-06,170,86.07 USD,14632.36 USD
2016-01-07,133,92.87 USD,12351.50 USD
2016-01-08,146,116.67 USD,17034.11 USD
2016-01-09,171,92.51 USD,15818.90 USD
2016-01-10,225,108.69 USD,24456.13 USD
2016-01-11,189,101.57 USD,19197.48 USD
2016-01-12,160,82.04 USD,13126.16 USD
2016-01-13,126,97.17 USD,12243.54 USD
2016-01-14,155,88.32 USD,13688.90 USD
2016-01-15,175,66.94 USD,11714.84 USD
2016-01-16,196,82.42 USD,16155.00 USD
2016-01-17,239,65.95 USD,15762.14 USD
2016-01-18,179,84.35 USD,15099.49 USD
2016-01-19,150,121.85 USD,18277.90 USD
2016-01-20,164,90.48 USD,14839.26 USD
2016-01-21,157,69.26 USD,10873.11 USD
2016-01-22,131,83.65 USD,10958.34 USD
2016-01-23,156,106.91 USD,16678.57 USD
2016-01-24,180,64.75 USD,11655.76 USD
2016-01-25,267,39.93 USD,10661.76 USD
2016-01-26,213,71.10 USD,15144.25 USD
2016-01-27,182,101.85 USD,18536.52 USD
2016-01-28,176,84.69 USD,14905.22 USD
2016-01-29,130,83.88 USD,10903.90 USD
2016-01-30,176,108.31 USD,19061.85 USD
2016-01-31,191,65.92 USD,12590.03 USD
2016-02-01,202,86.04 USD,17380.14 USD
2016-02-02,152,78.92 USD,11996.47 USD
2016-02-03,134,104.57 USD,14011.73 USD
2016-02-04,119,145.94 USD,17366.39 USD
2016-02-05,138,102.77 USD,14182.40 USD
2016-02-06,162,57.29 USD,9280.83 USD
2016-02-07,216,73.37 USD,15847.29 USD
2016-02-08,157,115.16 USD,18079.84 USD
2016-02-09,152,124.81 USD,18971.32 USD
2016-02-10,174,85.34 USD,14848.42 USD
2016-02-11,208,113.44 USD,23596.54 USD
2016-02-12,139,118.30 USD,16444.17 USD
2016-02-13,114,75.81 USD,8642.32 USD
2016-02-14,189,78.14 USD,14769.20 USD
2016-02-15,131,85.77 USD,11236.25 USD
2016-02-16,171,84.32 USD,14419.55 USD
2016-02-17,201,89.59 USD,18006.89 USD
2016-02-18,168,60.52 USD,10167.31 USD
2016-02-19,126,92.60 USD,11667.36 USD
2016-02-20,146,91.10 USD,13300.81 USD
2016-02-21,196,78.81 USD,15447.10 USD
2016-02-22,169,90.71 USD,15329.67 USD
2016-02-23,123,106.11 USD,13051.34 USD
2016-02-24,210,65.76 USD,13808.63 USD
2016-02-25,134,81.82 USD,10963.67 USD
2016-02-26,144,75.31 USD,10844.49 USD
2016-02-27,172,101.46 USD,17451.38 USD
2016-02-28,183,85.34 USD,15617.57 USD
2016-02-29,176,103.79 USD,18267.66 USD
2016-03-01,132,82.49 USD,10888.44 USD
2016-03-02,138,98.11 USD,13539.32 USD
2016-03-03,105,72.81 USD,7644.96 USD
