This file was downloaded on March 20 2018 4:39:14 AM UTC-07:00
Keywords,leather shoes
Date Range,2015-03-19 - 2018-03-12
Buyer Country: ,AU
Category: ,Men's Shoes
Product Condition: ,Refurbished,New,Used
2015-09-19,0,0.00 USD,0.00 USD
2015-09-20,0,0.00 USD,0.00 USD
2015-09-21,0,0.00 USD,0.00 USD
2015-09-22,0,0.00 USD,0.00 USD
2015-09-23,0,0.00 USD,0.00 USD
2015-09-24,0,0.00 USD,0.00 USD
2015-09-25,0,0.00 USD,0.00 USD
2015-09-26,0,0.00 USD,0.00 USD
2015-09-27,0,0.00 USD,0.00 USD
2015-09-28,0,0.00 USD,0.00 USD
2015-09-29,0,0.00 USD,0.00 USD
2015-09-30,0,0.00 USD,0.00 USD
2015-10-01,0,0.00 USD,0.00 USD
2015-10-02,0,0.00 USD,0.00 USD
2015-10-03,0,0.00 USD,0.00 USD
2015-10-04,0,0.00 USD,0.00 USD
2015-10-05,0,0.00 USD,0.00 USD
2015-10-06,0,0.00 USD,0.00 USD
2015-10-07,0,0.00 USD,0.00 USD
2015-10-08,0,0.00 USD,0.00 USD
2015-10-09,7,19.72 USD,138.04 USD
2015-10-10,12,38.67 USD,464.02 USD
2015-10-11,16,35.79 USD,572.56 USD
2015-10-12,11,40.85 USD,449.37 USD
2015-10-13,11,23.20 USD,255.21 USD
2015-10-14,4,56.11 USD,224.45 USD
2015-10-15,11,48.11 USD,529.16 USD
2015-10-16,7,27.60 USD,193.21 USD
2015-10-17,8,30.33 USD,242.67 USD
2015-10-18,8,36.56 USD,292.49 USD
2015-10-19,6,38.76 USD,232.53 USD
2015-10-20,7,27.05 USD,189.37 USD
2015-10-21,9,15.30 USD,137.69 USD
2015-10-22,2,33.55 USD,67.10 USD
2015-10-23,2,19.50 USD,38.99 USD
2015-10-24,15,36.01 USD,540.16 USD
2015-10-25,8,22.30 USD,178.42 USD
2015-10-26,7,42.32 USD,296.27 USD
2015-10-27,6,10.68 USD,64.06 USD
2015-10-28,8,32.03 USD,256.27 USD
2015-10-29,3,35.71 USD,107.12 USD
2015-10-30,2,28.32 USD,56.64 USD
2015-10-31,7,19.57 USD,136.98 USD
2015-11-01,10,24.93 USD,249.34 USD
2015-11-02,3,12.01 USD,36.04 USD
2015-11-03,6,31.45 USD,188.67 USD
2015-11-04,10,34.70 USD,346.95 USD
2015-11-05,5,39.05 USD,195.25 USD
2015-11-06,6,39.38 USD,236.29 USD
2015-11-07,7,16.24 USD,113.71 USD
2015-11-08,8,22.34 USD,178.69 USD
2015-11-09,12,17.61 USD,211.27 USD
2015-11-10,10,34.97 USD,349.73 USD
2015-11-11,9,34.13 USD,307.18 USD
2015-11-12,6,28.52 USD,171.11 USD
2015-11-13,6,21.62 USD,129.71 USD
2015-11-14,5,12.31 USD,61.56 USD
2015-11-15,7,19.01 USD,133.09 USD
2015-11-16,10,44.17 USD,441.74 USD
2015-11-17,10,19.81 USD,198.08 USD
2015-11-18,6,37.18 USD,223.07 USD
2015-11-19,4,6.95 USD,27.79 USD
2015-11-20,7,20.47 USD,143.26 USD
2015-11-21,9,27.38 USD,246.40 USD
2015-11-22,6,26.95 USD,161.69 USD
2015-11-23,8,37.06 USD,296.50 USD
2015-11-24,14,23.07 USD,323.03 USD
2015-11-25,4,20.41 USD,81.65 USD
2015-11-26,7,24.48 USD,171.35 USD
2015-11-27,5,24.73 USD,123.63 USD
2015-11-28,6,12.34 USD,74.05 USD
2015-11-29,14,21.50 USD,301.05 USD
2015-11-30,10,19.06 USD,190.61 USD
2015-12-01,7,48.20 USD,337.41 USD
2015-12-02,11,30.88 USD,339.66 USD
2015-12-03,8,17.16 USD,137.28 USD
2015-12-04,4,18.31 USD,73.23 USD
2015-12-05,8,16.69 USD,133.51 USD
2015-12-06,11,39.12 USD,430.27 USD
2015-12-07,6,38.13 USD,228.80 USD
2015-12-08,9,38.31 USD,344.78 USD
2015-12-09,6,26.55 USD,159.29 USD
2015-12-10,9,37.87 USD,340.83 USD
2015-12-11,2,25.52 USD,51.04 USD
2015-12-12,8,20.34 USD,162.68 USD
2015-12-13,11,23.77 USD,261.50 USD
2015-12-14,2,25.26 USD,50.51 USD
2015-12-15,7,30.41 USD,212.84 USD
2015-12-16,2,22.23 USD,44.45 USD
2015-12-17,6,32.77 USD,196.60 USD
2015-12-18,9,23.19 USD,208.73 USD
2015-12-19,6,26.80 USD,160.82 USD
2015-12-20,10,20.08 USD,200.84 USD
2015-12-21,10,27.82 USD,278.16 USD
2015-12-22,4,33.78 USD,135.11 USD
2015-12-23,5,27.77 USD,138.86 USD
2015-12-24,1,14.45 USD,14.45 USD
2015-12-25,0,0.00 USD,0.00 USD
2015-12-26,5,24.65 USD,123.25 USD
2015-12-27,1,40.00 USD,40.00 USD
2015-12-28,2,22.16 USD,44.32 USD
2015-12-29,2,21.79 USD,43.57 USD
2015-12-30,3,70.74 USD,212.21 USD
2015-12-31,4,30.98 USD,123.90 USD
2016-01-01,5,32.09 USD,160.43 USD
2016-01-02,4,28.74 USD,114.96 USD
2016-01-03,4,21.09 USD,84.36 USD
2016-01-04,5,29.82 USD,149.12 USD
2016-01-05,5,33.12 USD,165.61 USD
2016-01-06,13,47.03 USD,611.35 USD
2016-01-07,7,22.95 USD,160.62 USD
2016-01-08,8,15.09 USD,120.69 USD
2016-01-09,5,40.32 USD,201.61 USD
2016-01-10,7,23.22 USD,162.57 USD
2016-01-11,9,17.38 USD,156.42 USD
2016-01-12,3,27.51 USD,82.53 USD
2016-01-13,2,13.96 USD,27.92 USD
2016-01-14,6,44.42 USD,266.52 USD
2016-01-15,2,26.78 USD,53.56 USD
2016-01-16,5,23.94 USD,119.71 USD
2016-01-17,7,66.28 USD,463.99 USD
2016-01-18,3,15.82 USD,47.47 USD
2016-01-19,10,25.70 USD,257.01 USD
2016-01-20,6,23.81 USD,142.87 USD
2016-01-21,9,23.53 USD,211.76 USD
2016-01-22,8,12.09 USD,96.71 USD
2016-01-23,7,33.88 USD,237.13 USD
2016-01-24,8,16.62 USD,132.98 USD
2016-01-25,8,36.99 USD,295.95 USD
2016-01-26,1,7.67 USD,7.67 USD
2016-01-27,7,18.60 USD,130.19 USD
2016-01-28,7,29.88 USD,209.17 USD
2016-01-29,5,36.77 USD,183.87 USD
2016-01-30,7,75.54 USD,528.81 USD
2016-01-31,9,14.30 USD,128.73 USD
2016-02-01,11,21.17 USD,232.86 USD
2016-02-02,5,24.02 USD,120.09 USD
2016-02-03,9,17.72 USD,159.49 USD
2016-02-04,8,47.98 USD,383.80 USD
2016-02-05,9,18.57 USD,167.13 USD
2016-02-06,5,21.75 USD,108.77 USD
2016-02-07,6,42.75 USD,256.49 USD
2016-02-08,9,26.26 USD,236.32 USD
2016-02-09,2,17.87 USD,35.73 USD
2016-02-10,6,13.32 USD,79.93 USD
2016-02-11,8,35.89 USD,287.11 USD
2016-02-12,5,26.59 USD,132.95 USD
2016-02-13,5,20.68 USD,103.38 USD
2016-02-14,8,18.97 USD,151.72 USD
2016-02-15,7,20.33 USD,142.31 USD
2016-02-16,9,32.34 USD,291.06 USD
2016-02-17,9,21.31 USD,191.78 USD
2016-02-18,7,35.85 USD,250.94 USD
2016-02-19,11,25.37 USD,279.07 USD
2016-02-20,5,18.72 USD,93.61 USD
2016-02-21,12,28.25 USD,338.97 USD
2016-02-22,10,27.66 USD,276.60 USD
2016-02-23,5,19.08 USD,95.39 USD
2016-02-24,9,22.51 USD,202.57 USD
2016-02-25,4,14.17 USD,56.67 USD
2016-02-26,6,16.32 USD,97.90 USD
2016-02-27,9,21.84 USD,196.56 USD
2016-02-28,9,19.09 USD,171.84 USD
2016-02-29,8,20.00 USD,160.01 USD
2016-03-01,10,27.10 USD,271.00 USD
2016-03-02,5,23.51 USD,117.55 USD
2016-03-03,6,14.61 USD,87.67 USD
2016-03-04,8,19.44 USD,155.48 USD
2016-03-05,4,39.45 USD,157.80 USD
2016-03-06,12,27.13 USD,325.61 USD
2016-03-07,11,32.69 USD,359.54 USD
2016-03-08,2,24.83 USD,49.65 USD
2016-03-09,7,29.01 USD,203.06 USD
2016-03-10,5,24.23 USD,121.13 USD
2016-03-11,7,19.68 USD,137.77 USD
2016-03-12,7,28.93 USD,202.50 USD
2016-03-13,10,19.73 USD,197.33 USD
2016-03-14,14,34.67 USD,485.37 USD
2016-03-15,7,21.29 USD,149.06 USD
2016-03-16,7,25.82 USD,180.75 USD
2016-03-17,4,25.19 USD,100.75 USD
2016-03-18,8,45.78 USD,366.27 USD
2016-03-19,10,28.98 USD,289.81 USD
2016-03-20,10,39.34 USD,393.42 USD
2016-03-21,6,22.21 USD,133.27 USD
2016-03-22,8,30.57 USD,244.52 USD
2016-03-23,4,40.20 USD,160.81 USD
2016-03-24,5,34.19 USD,170.95 USD
2016-03-25,4,44.04 USD,176.15 USD
2016-03-26,11,19.44 USD,213.87 USD
2016-03-27,7,34.46 USD,241.24 USD
2016-03-28,5,18.78 USD,93.89 USD
2016-03-29,3,32.71 USD,98.13 USD
2016-03-30,8,20.05 USD,160.41 USD
2016-03-31,3,49.64 USD,148.91 USD
2016-04-01,9,20.26 USD,182.30 USD
2016-04-02,4,48.52 USD,194.06 USD
2016-04-03,3,52.35 USD,157.04 USD
2016-04-04,9,26.06 USD,234.54 USD
2016-04-05,3,21.29 USD,63.88 USD
2016-04-06,3,13.78 USD,41.34 USD
2016-04-07,8,22.21 USD,177.68 USD
2016-04-08,5,35.26 USD,176.28 USD
2016-04-09,5,8.70 USD,43.50 USD
2016-04-10,5,46.40 USD,232.02 USD
2016-04-11,6,23.58 USD,141.48 USD
2016-04-12,6,21.04 USD,126.25 USD
2016-04-13,4,57.80 USD,231.20 USD
2016-04-14,3,25.72 USD,77.16 USD
2016-04-15,4,20.99 USD,83.96 USD
2016-04-16,7,24.10 USD,168.70 USD
2016-04-17,8,28.60 USD,228.79 USD
2016-04-18,6,34.05 USD,204.31 USD
2016-04-19,12,22.28 USD,267.32 USD
2016-04-20,4,51.81 USD,207.24 USD
2016-04-21,6,39.17 USD,235.04 USD
2016-04-22,5,30.65 USD,153.26 USD
2016-04-23,5,33.69 USD,168.43 USD
2016-04-24,11,23.15 USD,254.63 USD
2016-04-25,6,12.42 USD,74.53 USD
2016-04-26,8,24.14 USD,193.14 USD
2016-04-27,6,38.61 USD,231.65 USD
2016-04-28,11,22.26 USD,244.90 USD
2016-04-29,9,21.46 USD,193.10 USD
2016-04-30,5,59.82 USD,299.11 USD
2016-05-01,11,39.09 USD,430.01 USD
2016-05-02,9,18.82 USD,169.41 USD
2016-05-03,7,24.62 USD,172.32 USD
2016-05-04,9,43.22 USD,388.98 USD
2016-05-05,14,22.40 USD,313.62 USD
2016-05-06,4,16.24 USD,64.97 USD
2016-05-07,14,27.70 USD,387.81 USD
2016-05-08,17,29.26 USD,497.37 USD
2016-05-09,11,18.30 USD,201.26 USD
2016-05-10,7,61.34 USD,429.36 USD
2016-05-11,9,51.63 USD,464.66 USD
2016-05-12,7,36.24 USD,253.69 USD
2016-05-13,5,17.24 USD,86.22 USD
2016-05-14,8,16.62 USD,132.99 USD
2016-05-15,7,23.74 USD,166.16 USD
2016-05-16,7,22.06 USD,154.44 USD
2016-05-17,8,19.03 USD,152.23 USD
2016-05-18,5,23.41 USD,117.07 USD
2016-05-19,7,19.49 USD,136.45 USD
2016-05-20,6,22.78 USD,136.69 USD
2016-05-21,10,21.59 USD,215.89 USD
2016-05-22,11,17.95 USD,197.49 USD
2016-05-23,10,34.94 USD,349.42 USD
2016-05-24,7,28.17 USD,197.17 USD
2016-05-25,9,20.78 USD,186.99 USD
2016-05-26,9,34.37 USD,309.31 USD
2016-05-27,8,33.38 USD,267.06 USD
2016-05-28,8,24.27 USD,194.17 USD
2016-05-29,15,18.85 USD,282.78 USD
2016-05-30,9,33.31 USD,299.82 USD
2016-05-31,1,20.11 USD,20.11 USD
2016-06-01,6,17.50 USD,105.00 USD
2016-06-02,11,48.80 USD,536.85 USD
2016-06-03,7,15.02 USD,105.16 USD
2016-06-04,4,23.90 USD,95.60 USD
2016-06-05,14,33.31 USD,466.36 USD
2016-06-06,12,15.45 USD,185.37 USD
2016-06-07,8,30.32 USD,242.54 USD
2016-06-08,4,25.52 USD,102.07 USD
2016-06-09,13,19.80 USD,257.38 USD
2016-06-10,8,41.33 USD,330.66 USD
2016-06-11,7,24.26 USD,169.85 USD
2016-06-12,5,34.88 USD,174.38 USD
2016-06-13,14,31.56 USD,441.80 USD
2016-06-14,5,51.87 USD,259.37 USD
2016-06-15,11,26.71 USD,293.85 USD
2016-06-16,5,23.73 USD,118.63 USD
2016-06-17,7,32.20 USD,225.42 USD
2016-06-18,6,23.08 USD,138.45 USD
2016-06-19,10,25.87 USD,258.70 USD
2016-06-20,7,25.74 USD,180.19 USD
2016-06-21,9,15.59 USD,140.27 USD
2016-06-22,7,34.25 USD,239.75 USD
2016-06-23,6,23.09 USD,138.55 USD
2016-06-24,13,26.79 USD,348.28 USD
2016-06-25,7,22.53 USD,157.74 USD
2016-06-26,20,31.26 USD,625.13 USD
2016-06-27,11,24.05 USD,264.50 USD
2016-06-28,3,12.37 USD,37.10 USD
2016-06-29,8,16.93 USD,135.40 USD
2016-06-30,20,15.32 USD,306.49 USD
2016-07-01,8,30.39 USD,243.11 USD
2016-07-02,9,23.86 USD,214.72 USD
2016-07-03,10,22.88 USD,228.76 USD
2016-07-04,7,34.96 USD,244.72 USD
2016-07-05,7,30.69 USD,214.86 USD
2016-07-06,16,29.41 USD,470.49 USD
2016-07-07,9,14.05 USD,126.45 USD
2016-07-08,6,31.36 USD,188.17 USD
2016-07-09,8,36.05 USD,288.43 USD
2016-07-10,10,33.26 USD,332.64 USD
2016-07-11,5,21.29 USD,106.45 USD
2016-07-12,8,28.94 USD,231.49 USD
2016-07-13,11,20.68 USD,227.50 USD
2016-07-14,8,24.42 USD,195.35 USD
2016-07-15,11,31.28 USD,344.08 USD
2016-07-16,12,16.89 USD,202.69 USD
2016-07-17,12,24.89 USD,298.73 USD
2016-07-18,13,21.39 USD,278.02 USD
2016-07-19,3,13.02 USD,39.06 USD
2016-07-20,11,27.27 USD,299.97 USD
2016-07-21,7,17.38 USD,121.65 USD
2016-07-22,8,30.01 USD,240.04 USD
2016-07-23,13,24.15 USD,313.90 USD
2016-07-24,14,28.63 USD,400.77 USD
2016-07-25,7,21.27 USD,148.90 USD
2016-07-26,13,37.95 USD,493.40 USD
2016-07-27,8,31.21 USD,249.70 USD
2016-07-28,7,28.59 USD,200.15 USD
2016-07-29,6,46.85 USD,281.11 USD
2016-07-30,10,33.33 USD,333.34 USD
2016-07-31,10,18.12 USD,181.20 USD
2016-08-01,6,16.82 USD,100.89 USD
2016-08-02,8,29.94 USD,239.55 USD
2016-08-03,5,25.11 USD,125.55 USD
2016-08-04,6,45.92 USD,275.52 USD
2016-08-05,3,18.79 USD,56.37 USD
2016-08-06,6,27.40 USD,164.39 USD
2016-08-07,24,19.80 USD,475.27 USD
2016-08-08,11,22.61 USD,248.74 USD
2016-08-09,4,23.08 USD,92.33 USD
2016-08-10,3,23.30 USD,69.90 USD
2016-08-11,6,32.17 USD,193.01 USD
2016-08-12,8,16.87 USD,134.97 USD
2016-08-13,9,26.72 USD,240.46 USD
2016-08-14,20,19.21 USD,384.26 USD
2016-08-15,6,16.73 USD,100.38 USD
2016-08-16,10,23.78 USD,237.81 USD
2016-08-17,7,34.50 USD,241.47 USD
2016-08-18,7,27.53 USD,192.73 USD
2016-08-19,1,4.22 USD,4.22 USD
2016-08-20,8,39.06 USD,312.51 USD
2016-08-21,7,48.74 USD,341.19 USD
2016-08-22,1,8.77 USD,8.77 USD
2016-08-23,5,47.96 USD,239.80 USD
2016-08-24,3,35.69 USD,107.07 USD
2016-08-25,10,36.09 USD,360.94 USD
2016-08-26,7,47.85 USD,334.96 USD
2016-08-27,4,31.49 USD,125.95 USD
2016-08-28,14,27.20 USD,380.81 USD
2016-08-29,7,11.81 USD,82.68 USD
2016-08-30,4,44.17 USD,176.68 USD
2016-08-31,8,25.17 USD,201.35 USD
2016-09-01,4,20.95 USD,83.80 USD
2016-09-02,4,22.64 USD,90.56 USD
2016-09-03,3,11.33 USD,33.98 USD
2016-09-04,12,36.02 USD,432.23 USD
2016-09-05,13,21.63 USD,281.22 USD
2016-09-06,6,31.79 USD,190.72 USD
2016-09-07,4,50.94 USD,203.74 USD
2016-09-08,7,20.17 USD,141.18 USD
2016-09-09,4,23.65 USD,94.58 USD
2016-09-10,7,50.82 USD,355.72 USD
2016-09-11,11,31.62 USD,347.82 USD
2016-09-12,5,17.10 USD,85.52 USD
2016-09-13,9,28.32 USD,254.88 USD
2016-09-14,6,27.00 USD,162.00 USD
2016-09-15,6,14.38 USD,86.30 USD
2016-09-16,4,21.94 USD,87.77 USD
2016-09-17,15,19.52 USD,292.80 USD
2016-09-18,9,45.22 USD,406.94 USD
2016-09-19,12,29.15 USD,349.77 USD
2016-09-20,3,68.26 USD,204.79 USD
2016-09-21,9,26.91 USD,242.16 USD
2016-09-22,7,72.91 USD,510.35 USD
2016-09-23,7,23.54 USD,164.78 USD
2016-09-24,9,28.77 USD,258.97 USD
2016-09-25,5,23.10 USD,115.48 USD
2016-09-26,6,22.25 USD,133.48 USD
2016-09-27,10,21.27 USD,212.72 USD
2016-09-28,4,12.15 USD,48.60 USD
2016-09-29,10,22.57 USD,225.72 USD
2016-09-30,9,18.14 USD,163.29 USD
2016-10-01,5,17.51 USD,87.57 USD
2016-10-02,6,12.75 USD,76.51 USD
2016-10-03,5,29.77 USD,148.83 USD
2016-10-04,8,25.34 USD,202.75 USD
2016-10-05,3,25.22 USD,75.67 USD
2016-10-06,9,27.19 USD,244.72 USD
2016-10-07,7,17.79 USD,124.50 USD
2016-10-08,10,45.39 USD,453.86 USD
2016-10-09,7,25.46 USD,178.22 USD
2016-10-10,8,35.92 USD,287.33 USD
2016-10-11,6,30.27 USD,181.64 USD
2016-10-12,7,23.99 USD,167.95 USD
2016-10-13,7,28.07 USD,196.46 USD
2016-10-14,4,55.03 USD,220.11 USD
2016-10-15,7,18.14 USD,126.96 USD
2016-10-16,11,30.22 USD,332.47 USD
2016-10-17,6,18.68 USD,112.09 USD
2016-10-18,5,15.84 USD,79.20 USD
2016-10-19,7,24.62 USD,172.34 USD
2016-10-20,5,34.57 USD,172.87 USD
2016-10-21,4,28.91 USD,115.62 USD
2016-10-22,5,30.40 USD,152.00 USD
2016-10-23,10,34.66 USD,346.58 USD
2016-10-24,10,28.20 USD,281.96 USD
2016-10-25,7,27.13 USD,189.91 USD
2016-10-26,5,19.99 USD,99.94 USD
2016-10-27,3,26.83 USD,80.50 USD
2016-10-28,9,30.11 USD,270.96 USD
2016-10-29,6,27.48 USD,164.88 USD
2016-10-30,12,27.99 USD,335.82 USD
2016-10-31,8,20.04 USD,160.32 USD
2016-11-01,6,15.92 USD,95.49 USD
2016-11-02,10,28.07 USD,280.73 USD
