This file was downloaded on March 20 2018 4:10:21 AM UTC-07:00
Keywords,shoes
Date Range,2015-03-19 - 2018-03-12
Buyer Country: ,AU
Category: ,Men's Shoes
Product Condition: ,Refurbished,Used,New
2015-09-12,38,25.87 USD,982.92 USD
2015-09-13,63,28.77 USD,1812.22 USD
2015-09-14,0,0.00 USD,0.00 USD
2015-09-15,0,0.00 USD,0.00 USD
2015-09-16,0,0.00 USD,0.00 USD
2015-09-17,0,0.00 USD,0.00 USD
2015-09-18,0,0.00 USD,0.00 USD
2015-09-19,0,0.00 USD,0.00 USD
2015-09-20,0,0.00 USD,0.00 USD
2015-09-21,0,0.00 USD,0.00 USD
2015-09-22,0,0.00 USD,0.00 USD
2015-09-23,0,0.00 USD,0.00 USD
2015-09-24,0,0.00 USD,0.00 USD
2015-09-25,0,0.00 USD,0.00 USD
2015-09-26,0,0.00 USD,0.00 USD
2015-09-27,0,0.00 USD,0.00 USD
2015-09-28,0,0.00 USD,0.00 USD
2015-09-29,0,0.00 USD,0.00 USD
2015-09-30,0,0.00 USD,0.00 USD
2015-10-01,0,0.00 USD,0.00 USD
2015-10-02,0,0.00 USD,0.00 USD
2015-10-03,0,0.00 USD,0.00 USD
2015-10-04,0,0.00 USD,0.00 USD
2015-10-05,0,0.00 USD,0.00 USD
2015-10-06,0,0.00 USD,0.00 USD
2015-10-07,0,0.00 USD,0.00 USD
2015-10-08,0,0.00 USD,0.00 USD
2015-10-09,33,29.05 USD,958.74 USD
2015-10-10,50,30.63 USD,1531.59 USD
2015-10-11,61,33.35 USD,2034.07 USD
2015-10-12,60,40.20 USD,2411.93 USD
2015-10-13,54,28.13 USD,1519.13 USD
2015-10-14,41,27.32 USD,1120.08 USD
2015-10-15,50,41.90 USD,2094.91 USD
2015-10-16,48,27.52 USD,1320.95 USD
2015-10-17,55,29.21 USD,1606.61 USD
2015-10-18,63,29.83 USD,1879.44 USD
2015-10-19,58,25.76 USD,1494.24 USD
2015-10-20,47,26.56 USD,1248.12 USD
2015-10-21,55,36.19 USD,1990.26 USD
2015-10-22,30,31.80 USD,953.95 USD
2015-10-23,39,21.49 USD,837.96 USD
2015-10-24,66,30.35 USD,2003.35 USD
2015-10-25,59,27.17 USD,1603.02 USD
2015-10-26,58,29.71 USD,1723.09 USD
2015-10-27,48,29.12 USD,1397.66 USD
2015-10-28,42,26.34 USD,1106.22 USD
2015-10-29,43,40.53 USD,1742.65 USD
2015-10-30,36,28.94 USD,1041.87 USD
2015-10-31,54,31.92 USD,1723.88 USD
2015-11-01,60,35.50 USD,2130.09 USD
2015-11-02,54,29.19 USD,1576.00 USD
2015-11-03,54,34.36 USD,1855.70 USD
2015-11-04,41,27.44 USD,1125.06 USD
2015-11-05,40,35.13 USD,1405.08 USD
2015-11-06,53,30.67 USD,1625.60 USD
2015-11-07,57,31.00 USD,1766.85 USD
2015-11-08,54,31.28 USD,1688.86 USD
2015-11-09,59,38.97 USD,2299.11 USD
2015-11-10,42,28.92 USD,1214.79 USD
2015-11-11,38,36.61 USD,1391.01 USD
2015-11-12,47,27.27 USD,1281.53 USD
2015-11-13,55,26.64 USD,1465.45 USD
2015-11-14,46,25.80 USD,1186.91 USD
2015-11-15,69,23.64 USD,1631.10 USD
2015-11-16,61,34.56 USD,2108.15 USD
2015-11-17,49,36.71 USD,1798.55 USD
2015-11-18,42,25.18 USD,1057.40 USD
2015-11-19,44,38.01 USD,1672.32 USD
2015-11-20,37,18.97 USD,701.92 USD
2015-11-21,60,31.42 USD,1885.06 USD
2015-11-22,65,32.91 USD,2139.20 USD
2015-11-23,55,38.70 USD,2128.23 USD
2015-11-24,62,29.32 USD,1817.64 USD
2015-11-25,40,32.95 USD,1318.17 USD
2015-11-26,42,49.56 USD,2081.36 USD
2015-11-27,32,32.88 USD,1052.15 USD
2015-11-28,43,25.37 USD,1090.73 USD
2015-11-29,65,27.48 USD,1785.90 USD
2015-11-30,56,30.21 USD,1691.55 USD
2015-12-01,59,35.43 USD,2090.23 USD
2015-12-02,48,27.93 USD,1340.86 USD
2015-12-03,51,43.10 USD,2197.89 USD
2015-12-04,40,38.25 USD,1529.88 USD
2015-12-05,61,27.80 USD,1696.05 USD
2015-12-06,69,34.27 USD,2364.84 USD
2015-12-07,62,34.77 USD,2155.80 USD
2015-12-08,58,38.39 USD,2226.48 USD
2015-12-09,50,32.87 USD,1643.67 USD
2015-12-10,40,63.39 USD,2535.73 USD
2015-12-11,38,31.46 USD,1195.55 USD
2015-12-12,61,35.22 USD,2148.35 USD
2015-12-13,71,26.79 USD,1902.18 USD
2015-12-14,44,35.30 USD,1553.06 USD
2015-12-15,61,36.29 USD,2213.96 USD
2015-12-16,41,46.63 USD,1911.87 USD
2015-12-17,40,30.04 USD,1201.79 USD
2015-12-18,38,41.01 USD,1558.32 USD
2015-12-19,46,30.98 USD,1425.02 USD
2015-12-20,52,24.50 USD,1274.18 USD
2015-12-21,47,45.41 USD,2134.29 USD
2015-12-22,48,26.35 USD,1264.74 USD
2015-12-23,22,27.25 USD,599.42 USD
2015-12-24,24,31.63 USD,759.04 USD
2015-12-25,29,25.66 USD,744.18 USD
2015-12-26,33,25.18 USD,830.85 USD
2015-12-27,32,31.36 USD,1003.54 USD
2015-12-28,32,41.74 USD,1335.68 USD
2015-12-29,30,36.70 USD,1100.91 USD
2015-12-30,29,45.73 USD,1326.04 USD
2015-12-31,24,27.93 USD,670.33 USD
2016-01-01,25,29.78 USD,744.62 USD
2016-01-02,47,37.58 USD,1766.05 USD
2016-01-03,32,27.18 USD,869.65 USD
2016-01-04,39,35.58 USD,1387.79 USD
2016-01-05,45,28.52 USD,1283.52 USD
2016-01-06,49,35.80 USD,1754.07 USD
2016-01-07,30,24.12 USD,723.45 USD
2016-01-08,37,43.37 USD,1604.69 USD
2016-01-09,55,30.41 USD,1672.57 USD
2016-01-10,49,27.14 USD,1329.95 USD
2016-01-11,70,28.30 USD,1980.65 USD
2016-01-12,36,30.12 USD,1084.22 USD
2016-01-13,60,25.99 USD,1559.20 USD
2016-01-14,40,31.04 USD,1241.53 USD
2016-01-15,38,37.52 USD,1425.66 USD
2016-01-16,40,37.48 USD,1499.15 USD
2016-01-17,76,37.11 USD,2820.45 USD
2016-01-18,63,24.06 USD,1515.87 USD
2016-01-19,55,22.76 USD,1251.72 USD
2016-01-20,39,32.15 USD,1253.72 USD
2016-01-21,36,37.46 USD,1348.69 USD
2016-01-22,37,26.14 USD,967.17 USD
2016-01-23,46,24.54 USD,1128.75 USD
2016-01-24,60,20.81 USD,1248.54 USD
2016-01-25,60,26.31 USD,1578.56 USD
2016-01-26,46,32.67 USD,1502.97 USD
2016-01-27,52,37.37 USD,1943.03 USD
2016-01-28,61,33.11 USD,2019.80 USD
2016-01-29,50,31.09 USD,1554.54 USD
2016-01-30,61,37.72 USD,2300.84 USD
2016-01-31,73,27.05 USD,1974.97 USD
2016-02-01,81,27.13 USD,2197.52 USD
2016-02-02,46,32.23 USD,1482.60 USD
2016-02-03,53,38.18 USD,2023.42 USD
2016-02-04,44,34.38 USD,1512.82 USD
2016-02-05,53,33.13 USD,1755.71 USD
2016-02-06,45,29.06 USD,1307.78 USD
2016-02-07,64,30.98 USD,1982.73 USD
2016-02-08,54,31.84 USD,1719.59 USD
2016-02-09,50,32.06 USD,1603.22 USD
2016-02-10,53,35.36 USD,1874.00 USD
2016-02-11,43,21.09 USD,907.08 USD
2016-02-12,44,25.80 USD,1135.01 USD
2016-02-13,57,25.54 USD,1455.66 USD
2016-02-14,66,28.14 USD,1857.02 USD
2016-02-15,69,30.44 USD,2100.44 USD
2016-02-16,53,29.49 USD,1563.05 USD
2016-02-17,60,30.63 USD,1837.51 USD
2016-02-18,64,27.75 USD,1776.15 USD
2016-02-19,66,31.21 USD,2059.99 USD
2016-02-20,49,33.05 USD,1619.54 USD
2016-02-21,60,29.54 USD,1772.29 USD
2016-02-22,63,33.53 USD,2112.70 USD
2016-02-23,61,28.63 USD,1746.61 USD
2016-02-24,58,30.46 USD,1766.64 USD
2016-02-25,66,39.23 USD,2588.88 USD
2016-02-26,38,26.95 USD,1024.12 USD
2016-02-27,49,21.80 USD,1068.20 USD
2016-02-28,58,29.04 USD,1684.10 USD
2016-02-29,50,24.73 USD,1236.59 USD
2016-03-01,58,28.28 USD,1640.27 USD
2016-03-02,45,27.56 USD,1240.42 USD
2016-03-03,37,43.49 USD,1608.95 USD
2016-03-04,35,28.92 USD,1012.13 USD
2016-03-05,40,34.45 USD,1378.14 USD
2016-03-06,63,27.28 USD,1718.43 USD
2016-03-07,50,35.05 USD,1752.56 USD
2016-03-08,41,35.66 USD,1462.00 USD
2016-03-09,44,35.22 USD,1549.89 USD
2016-03-10,46,29.64 USD,1363.40 USD
2016-03-11,40,34.09 USD,1363.53 USD
2016-03-12,59,34.58 USD,2040.30 USD
2016-03-13,56,34.67 USD,1941.69 USD
2016-03-14,59,36.68 USD,2164.03 USD
2016-03-15,42,24.78 USD,1040.66 USD
2016-03-16,49,22.32 USD,1093.69 USD
2016-03-17,46,34.66 USD,1594.33 USD
2016-03-18,46,29.06 USD,1336.68 USD
2016-03-19,53,37.51 USD,1988.08 USD
2016-03-20,61,31.86 USD,1943.46 USD
2016-03-21,46,41.29 USD,1899.22 USD
2016-03-22,40,37.36 USD,1494.27 USD
2016-03-23,42,34.40 USD,1444.75 USD
2016-03-24,42,34.37 USD,1443.35 USD
2016-03-25,46,41.97 USD,1930.54 USD
2016-03-26,59,26.84 USD,1583.28 USD
2016-03-27,65,35.97 USD,2338.27 USD
2016-03-28,39,49.86 USD,1944.35 USD
2016-03-29,53,33.75 USD,1788.82 USD
2016-03-30,62,31.29 USD,1940.06 USD
2016-03-31,47,46.19 USD,2170.79 USD
2016-04-01,39,32.94 USD,1284.50 USD
2016-04-02,37,48.18 USD,1782.64 USD
2016-04-03,60,31.51 USD,1890.88 USD
2016-04-04,46,34.74 USD,1598.24 USD
2016-04-05,37,28.87 USD,1068.32 USD
2016-04-06,40,25.78 USD,1031.23 USD
2016-04-07,39,48.83 USD,1904.31 USD
2016-04-08,43,32.67 USD,1404.87 USD
2016-04-09,51,31.12 USD,1587.36 USD
2016-04-10,50,33.86 USD,1693.08 USD
2016-04-11,63,36.72 USD,2313.51 USD
2016-04-12,46,23.70 USD,1090.30 USD
2016-04-13,44,31.94 USD,1405.29 USD
2016-04-14,40,26.09 USD,1043.54 USD
2016-04-15,32,35.00 USD,1120.09 USD
2016-04-16,48,29.55 USD,1418.34 USD
2016-04-17,57,41.91 USD,2388.86 USD
2016-04-18,46,43.16 USD,1985.15 USD
2016-04-19,49,27.18 USD,1331.66 USD
2016-04-20,38,29.91 USD,1136.69 USD
2016-04-21,50,33.35 USD,1667.42 USD
2016-04-22,42,33.17 USD,1393.11 USD
2016-04-23,52,39.21 USD,2039.04 USD
2016-04-24,68,30.93 USD,2103.13 USD
2016-04-25,65,38.37 USD,2494.15 USD
2016-04-26,59,31.69 USD,1869.53 USD
2016-04-27,56,31.97 USD,1790.11 USD
2016-04-28,39,28.89 USD,1126.87 USD
2016-04-29,54,30.21 USD,1631.35 USD
2016-04-30,58,47.06 USD,2729.42 USD
2016-05-01,82,35.02 USD,2871.30 USD
2016-05-02,66,34.49 USD,2276.03 USD
2016-05-03,49,27.99 USD,1371.65 USD
2016-05-04,51,34.25 USD,1746.59 USD
2016-05-05,58,27.86 USD,1616.06 USD
2016-05-06,35,45.72 USD,1600.36 USD
2016-05-07,65,30.07 USD,1954.27 USD
2016-05-08,79,29.54 USD,2333.65 USD
2016-05-09,54,28.66 USD,1547.61 USD
2016-05-10,67,33.02 USD,2212.08 USD
2016-05-11,56,39.55 USD,2215.03 USD
2016-05-12,43,42.22 USD,1815.53 USD
2016-05-13,41,39.26 USD,1609.77 USD
2016-05-14,53,25.17 USD,1334.25 USD
2016-05-15,55,34.08 USD,1874.43 USD
2016-05-16,52,30.94 USD,1609.11 USD
2016-05-17,50,28.98 USD,1449.02 USD
2016-05-18,46,30.33 USD,1395.33 USD
2016-05-19,45,30.27 USD,1362.23 USD
2016-05-20,54,32.30 USD,1744.11 USD
2016-05-21,48,27.14 USD,1302.69 USD
2016-05-22,51,34.24 USD,1746.19 USD
2016-05-23,67,33.90 USD,2271.01 USD
2016-05-24,32,26.43 USD,845.91 USD
2016-05-25,52,27.29 USD,1419.30 USD
2016-05-26,53,28.62 USD,1517.07 USD
2016-05-27,55,37.56 USD,2065.69 USD
2016-05-28,47,27.25 USD,1280.52 USD
2016-05-29,62,24.22 USD,1501.61 USD
2016-05-30,52,35.71 USD,1857.06 USD
2016-05-31,31,27.83 USD,862.73 USD
2016-06-01,49,36.36 USD,1781.72 USD
2016-06-02,54,36.12 USD,1950.41 USD
2016-06-03,43,32.85 USD,1412.66 USD
2016-06-04,53,32.78 USD,1737.33 USD
2016-06-05,64,35.62 USD,2279.38 USD
2016-06-06,64,26.19 USD,1676.46 USD
2016-06-07,59,28.14 USD,1660.03 USD
2016-06-08,40,32.39 USD,1295.62 USD
2016-06-09,66,31.19 USD,2058.56 USD
2016-06-10,61,29.11 USD,1775.91 USD
2016-06-11,64,35.11 USD,2246.90 USD
2016-06-12,74,37.89 USD,2803.64 USD
2016-06-13,61,29.41 USD,1793.92 USD
2016-06-14,54,38.82 USD,2096.50 USD
2016-06-15,52,28.30 USD,1471.69 USD
2016-06-16,45,29.45 USD,1325.11 USD
2016-06-17,42,27.85 USD,1169.59 USD
2016-06-18,38,28.09 USD,1067.33 USD
2016-06-19,91,34.62 USD,3150.36 USD
2016-06-20,54,27.41 USD,1480.22 USD
2016-06-21,69,33.56 USD,2315.33 USD
2016-06-22,48,40.29 USD,1933.99 USD
2016-06-23,62,30.03 USD,1861.95 USD
2016-06-24,44,34.46 USD,1516.41 USD
2016-06-25,59,33.45 USD,1973.54 USD
2016-06-26,87,32.22 USD,2802.71 USD
2016-06-27,52,34.21 USD,1779.12 USD
2016-06-28,52,37.85 USD,1968.15 USD
2016-06-29,51,27.91 USD,1423.30 USD
2016-06-30,72,28.32 USD,2038.86 USD
2016-07-01,44,26.11 USD,1148.63 USD
2016-07-02,61,37.71 USD,2300.52 USD
2016-07-03,74,29.34 USD,2171.12 USD
2016-07-04,45,31.89 USD,1434.87 USD
2016-07-05,61,27.32 USD,1666.39 USD
2016-07-06,49,36.51 USD,1788.91 USD
2016-07-07,64,29.81 USD,1907.90 USD
2016-07-08,50,23.68 USD,1184.19 USD
2016-07-09,64,36.99 USD,2367.20 USD
2016-07-10,69,38.42 USD,2650.90 USD
2016-07-11,57,31.06 USD,1770.60 USD
2016-07-12,57,33.44 USD,1906.31 USD
2016-07-13,52,30.07 USD,1563.40 USD
2016-07-14,47,29.97 USD,1408.68 USD
2016-07-15,58,30.15 USD,1748.44 USD
2016-07-16,66,26.89 USD,1774.60 USD
2016-07-17,83,32.90 USD,2730.41 USD
2016-07-18,60,31.60 USD,1896.23 USD
2016-07-19,56,25.08 USD,1404.35 USD
2016-07-20,49,35.98 USD,1762.79 USD
2016-07-21,59,33.02 USD,1947.90 USD
2016-07-22,47,38.64 USD,1815.98 USD
2016-07-23,66,26.11 USD,1723.42 USD
2016-07-24,71,30.85 USD,2190.34 USD
2016-07-25,62,32.42 USD,2009.94 USD
2016-07-26,46,35.04 USD,1611.67 USD
2016-07-27,63,43.97 USD,2770.33 USD
2016-07-28,57,31.89 USD,1817.69 USD
2016-07-29,41,37.65 USD,1543.50 USD
2016-07-30,54,32.77 USD,1769.82 USD
2016-07-31,61,30.73 USD,1874.44 USD
2016-08-01,43,31.79 USD,1366.98 USD
2016-08-02,44,26.06 USD,1146.60 USD
2016-08-03,49,43.70 USD,2141.32 USD
2016-08-04,46,36.44 USD,1676.23 USD
2016-08-05,45,35.56 USD,1600.35 USD
2016-08-06,49,36.21 USD,1774.25 USD
2016-08-07,81,29.16 USD,2362.34 USD
2016-08-08,48,38.95 USD,1869.80 USD
2016-08-09,44,27.70 USD,1218.92 USD
2016-08-10,45,27.14 USD,1221.13 USD
2016-08-11,53,30.40 USD,1611.30 USD
2016-08-12,35,32.70 USD,1144.41 USD
2016-08-13,64,29.64 USD,1896.78 USD
2016-08-14,80,26.78 USD,2142.76 USD
2016-08-15,42,28.16 USD,1182.69 USD
2016-08-16,49,34.61 USD,1695.92 USD
2016-08-17,47,31.01 USD,1457.57 USD
2016-08-18,51,31.59 USD,1610.93 USD
2016-08-19,33,38.78 USD,1279.76 USD
2016-08-20,58,33.88 USD,1964.76 USD
2016-08-21,59,39.51 USD,2330.95 USD
2016-08-22,40,34.05 USD,1362.01 USD
2016-08-23,53,33.38 USD,1769.28 USD
2016-08-24,33,44.05 USD,1453.62 USD
2016-08-25,50,37.74 USD,1886.95 USD
2016-08-26,55,34.16 USD,1878.77 USD
2016-08-27,49,33.45 USD,1639.28 USD
2016-08-28,59,34.91 USD,2059.89 USD
2016-08-29,53,34.48 USD,1827.32 USD
2016-08-30,41,32.22 USD,1320.93 USD
2016-08-31,44,25.92 USD,1140.34 USD
2016-09-01,48,26.93 USD,1292.84 USD
2016-09-02,42,30.15 USD,1266.36 USD
2016-09-03,31,31.10 USD,964.04 USD
2016-09-04,62,34.39 USD,2131.96 USD
2016-09-05,47,33.40 USD,1569.72 USD
2016-09-06,38,28.32 USD,1076.13 USD
2016-09-07,40,37.12 USD,1484.60 USD
2016-09-08,51,33.19 USD,1692.50 USD
2016-09-09,43,32.41 USD,1393.44 USD
2016-09-10,50,29.52 USD,1475.93 USD
2016-09-11,57,29.32 USD,1671.52 USD
2016-09-12,38,35.94 USD,1365.69 USD
2016-09-13,36,26.82 USD,965.57 USD
2016-09-14,38,35.98 USD,1367.34 USD
2016-09-15,43,33.01 USD,1419.45 USD
2016-09-16,50,30.94 USD,1546.87 USD
2016-09-17,43,28.99 USD,1246.59 USD
2016-09-18,53,35.46 USD,1879.46 USD
2016-09-19,55,33.83 USD,1860.88 USD
2016-09-20,37,32.62 USD,1207.12 USD
2016-09-21,41,34.63 USD,1419.67 USD
2016-09-22,34,37.51 USD,1275.47 USD
2016-09-23,36,32.99 USD,1187.72 USD
2016-09-24,60,31.17 USD,1870.10 USD
2016-09-25,59,35.65 USD,2103.34 USD
2016-09-26,48,31.50 USD,1512.20 USD
2016-09-27,40,30.30 USD,1211.84 USD
2016-09-28,36,22.28 USD,802.14 USD
2016-09-29,44,33.76 USD,1485.38 USD
2016-09-30,31,31.11 USD,964.40 USD
2016-10-01,52,34.38 USD,1787.93 USD
2016-10-02,54,35.42 USD,1912.81 USD
2016-10-03,41,28.82 USD,1181.53 USD
2016-10-04,57,29.93 USD,1705.93 USD
2016-10-05,32,45.82 USD,1466.18 USD
2016-10-06,41,48.90 USD,2004.80 USD
2016-10-07,48,26.73 USD,1283.07 USD
2016-10-08,52,40.64 USD,2113.44 USD
2016-10-09,57,27.86 USD,1588.19 USD
2016-10-10,39,39.86 USD,1554.36 USD
2016-10-11,59,34.15 USD,2014.80 USD
