This file was downloaded on March 20 2018 4:30:20 AM UTC-07:00
Keywords,leather shoes
Date Range,2015-03-19 - 2018-03-12
Buyer Country: ,AU
Category: ,Men's Shoes
Product Condition: ,Refurbished,Used,New
2015-09-19,0,0.00 USD,0.00 USD
2015-09-20,0,0.00 USD,0.00 USD
2015-09-21,0,0.00 USD,0.00 USD
2015-09-22,0,0.00 USD,0.00 USD
2015-09-23,0,0.00 USD,0.00 USD
2015-09-24,0,0.00 USD,0.00 USD
2015-09-25,0,0.00 USD,0.00 USD
2015-09-26,0,0.00 USD,0.00 USD
2015-09-27,0,0.00 USD,0.00 USD
2015-09-28,0,0.00 USD,0.00 USD
2015-09-29,0,0.00 USD,0.00 USD
2015-09-30,0,0.00 USD,0.00 USD
2015-10-01,0,0.00 USD,0.00 USD
2015-10-02,0,0.00 USD,0.00 USD
2015-10-03,0,0.00 USD,0.00 USD
2015-10-04,0,0.00 USD,0.00 USD
2015-10-05,0,0.00 USD,0.00 USD
2015-10-06,0,0.00 USD,0.00 USD
2015-10-07,0,0.00 USD,0.00 USD
2015-10-08,0,0.00 USD,0.00 USD
2015-10-09,26,61.06 USD,1587.56 USD
2015-10-10,27,55.77 USD,1505.88 USD
2015-10-11,32,64.97 USD,2078.90 USD
2015-10-12,34,66.81 USD,2271.57 USD
2015-10-13,31,57.66 USD,1787.37 USD
2015-10-14,27,66.61 USD,1798.49 USD
2015-10-15,30,61.65 USD,1849.37 USD
2015-10-16,30,61.03 USD,1830.82 USD
2015-10-17,27,58.27 USD,1573.33 USD
2015-10-18,39,52.24 USD,2037.24 USD
2015-10-19,47,61.26 USD,2879.20 USD
2015-10-20,47,54.60 USD,2566.21 USD
2015-10-21,29,49.01 USD,1421.35 USD
2015-10-22,23,56.88 USD,1308.30 USD
2015-10-23,26,57.31 USD,1490.15 USD
2015-10-24,33,60.51 USD,1996.68 USD
2015-10-25,39,68.18 USD,2659.01 USD
2015-10-26,41,69.43 USD,2846.75 USD
2015-10-27,24,55.93 USD,1342.42 USD
2015-10-28,32,64.88 USD,2076.21 USD
2015-10-29,23,70.12 USD,1612.70 USD
2015-10-30,29,65.10 USD,1887.80 USD
2015-10-31,28,63.14 USD,1767.93 USD
2015-11-01,50,62.80 USD,3140.11 USD
2015-11-02,30,62.32 USD,1869.65 USD
2015-11-03,25,61.34 USD,1533.41 USD
2015-11-04,38,72.18 USD,2742.90 USD
2015-11-05,23,58.00 USD,1333.89 USD
2015-11-06,38,71.11 USD,2702.17 USD
2015-11-07,25,55.14 USD,1378.58 USD
2015-11-08,32,64.16 USD,2053.12 USD
2015-11-09,40,64.97 USD,2598.91 USD
2015-11-10,38,65.28 USD,2480.82 USD
2015-11-11,29,58.31 USD,1691.03 USD
2015-11-12,38,58.76 USD,2232.77 USD
2015-11-13,44,57.05 USD,2510.02 USD
2015-11-14,31,66.73 USD,2068.76 USD
2015-11-15,43,66.61 USD,2864.28 USD
2015-11-16,46,69.95 USD,3217.77 USD
2015-11-17,44,56.37 USD,2480.10 USD
2015-11-18,43,59.40 USD,2554.21 USD
2015-11-19,34,54.30 USD,1846.25 USD
2015-11-20,32,56.12 USD,1795.94 USD
2015-11-21,34,57.11 USD,1941.73 USD
2015-11-22,46,62.58 USD,2878.88 USD
2015-11-23,33,57.17 USD,1886.70 USD
2015-11-24,39,59.41 USD,2317.06 USD
2015-11-25,38,63.20 USD,2401.75 USD
2015-11-26,22,62.94 USD,1384.78 USD
2015-11-27,28,63.00 USD,1763.89 USD
2015-11-28,29,70.79 USD,2052.82 USD
2015-11-29,32,62.20 USD,1990.35 USD
2015-11-30,26,52.53 USD,1365.76 USD
2015-12-01,38,66.86 USD,2540.54 USD
2015-12-02,30,65.43 USD,1963.01 USD
2015-12-03,33,58.67 USD,1936.19 USD
2015-12-04,32,68.77 USD,2200.74 USD
2015-12-05,40,70.24 USD,2809.47 USD
2015-12-06,32,68.82 USD,2202.28 USD
2015-12-07,38,69.84 USD,2653.88 USD
2015-12-08,33,66.85 USD,2205.94 USD
2015-12-09,46,69.00 USD,3174.15 USD
2015-12-10,28,60.08 USD,1682.25 USD
2015-12-11,28,73.13 USD,2047.70 USD
2015-12-12,35,65.07 USD,2277.40 USD
2015-12-13,47,64.04 USD,3009.92 USD
2015-12-14,38,63.27 USD,2404.13 USD
2015-12-15,31,67.19 USD,2082.94 USD
2015-12-16,30,69.66 USD,2089.85 USD
2015-12-17,21,66.18 USD,1389.74 USD
2015-12-18,15,53.69 USD,805.40 USD
2015-12-19,13,68.03 USD,884.38 USD
2015-12-20,19,63.73 USD,1210.94 USD
2015-12-21,21,62.16 USD,1305.40 USD
2015-12-22,18,51.79 USD,932.30 USD
2015-12-23,18,61.27 USD,1102.79 USD
2015-12-24,8,74.11 USD,592.88 USD
2015-12-25,24,56.13 USD,1347.22 USD
2015-12-26,31,68.80 USD,2132.67 USD
2015-12-27,27,62.68 USD,1692.27 USD
2015-12-28,33,75.87 USD,2503.68 USD
2015-12-29,47,67.03 USD,3150.64 USD
2015-12-30,43,58.16 USD,2500.98 USD
2015-12-31,18,61.63 USD,1109.28 USD
2016-01-01,25,68.88 USD,1721.91 USD
2016-01-02,22,55.06 USD,1211.29 USD
2016-01-03,32,66.66 USD,2132.98 USD
2016-01-04,53,64.67 USD,3427.66 USD
2016-01-05,44,63.57 USD,2796.93 USD
2016-01-06,50,69.45 USD,3472.37 USD
2016-01-07,43,64.73 USD,2783.40 USD
2016-01-08,22,58.49 USD,1286.71 USD
2016-01-09,25,70.12 USD,1752.94 USD
2016-01-10,41,70.54 USD,2892.06 USD
2016-01-11,40,65.86 USD,2634.52 USD
2016-01-12,45,69.85 USD,3143.06 USD
2016-01-13,33,60.91 USD,2009.90 USD
2016-01-14,39,61.52 USD,2399.46 USD
2016-01-15,35,67.92 USD,2377.37 USD
2016-01-16,42,58.82 USD,2470.57 USD
2016-01-17,36,54.44 USD,1959.83 USD
2016-01-18,57,57.57 USD,3281.32 USD
2016-01-19,61,57.33 USD,3496.93 USD
2016-01-20,50,66.12 USD,3305.83 USD
2016-01-21,31,59.64 USD,1848.85 USD
2016-01-22,26,67.87 USD,1764.70 USD
2016-01-23,33,70.39 USD,2322.92 USD
2016-01-24,41,59.95 USD,2458.13 USD
2016-01-25,34,71.71 USD,2438.20 USD
2016-01-26,44,56.58 USD,2489.49 USD
2016-01-27,34,72.92 USD,2479.28 USD
2016-01-28,48,61.67 USD,2960.04 USD
2016-01-29,25,63.39 USD,1584.80 USD
2016-01-30,17,62.20 USD,1057.32 USD
2016-01-31,33,70.24 USD,2317.77 USD
2016-02-01,24,68.27 USD,1638.59 USD
2016-02-02,31,68.57 USD,2125.71 USD
2016-02-03,32,57.42 USD,1837.52 USD
2016-02-04,38,71.26 USD,2707.98 USD
2016-02-05,20,69.31 USD,1386.17 USD
2016-02-06,13,63.10 USD,820.24 USD
2016-02-07,27,72.20 USD,1949.37 USD
2016-02-08,30,71.05 USD,2131.41 USD
2016-02-09,30,64.17 USD,1925.21 USD
2016-02-10,28,57.45 USD,1608.56 USD
2016-02-11,31,60.75 USD,1883.34 USD
2016-02-12,24,61.16 USD,1467.72 USD
2016-02-13,18,54.17 USD,975.03 USD
2016-02-14,31,61.75 USD,1914.19 USD
2016-02-15,37,66.20 USD,2449.40 USD
2016-02-16,42,54.59 USD,2292.92 USD
2016-02-17,37,64.63 USD,2391.23 USD
2016-02-18,21,58.49 USD,1228.25 USD
2016-02-19,26,67.33 USD,1750.63 USD
2016-02-20,37,48.60 USD,1798.25 USD
2016-02-21,31,58.42 USD,1811.08 USD
2016-02-22,29,55.04 USD,1596.19 USD
2016-02-23,30,65.92 USD,1977.56 USD
2016-02-24,36,72.69 USD,2616.74 USD
2016-02-25,19,72.49 USD,1377.39 USD
2016-02-26,25,49.00 USD,1225.00 USD
2016-02-27,32,67.08 USD,2146.44 USD
2016-02-28,25,66.50 USD,1662.53 USD
2016-02-29,37,62.91 USD,2327.68 USD
2016-03-01,46,59.02 USD,2715.07 USD
2016-03-02,29,60.52 USD,1754.94 USD
2016-03-03,40,62.52 USD,2500.97 USD
2016-03-04,26,64.42 USD,1674.92 USD
2016-03-05,22,62.53 USD,1375.76 USD
2016-03-06,27,77.21 USD,2084.66 USD
2016-03-07,26,73.22 USD,1903.65 USD
2016-03-08,27,65.81 USD,1776.82 USD
2016-03-09,33,62.98 USD,2078.23 USD
2016-03-10,24,75.41 USD,1809.85 USD
2016-03-11,21,77.84 USD,1634.65 USD
2016-03-12,28,76.54 USD,2143.25 USD
2016-03-13,23,69.84 USD,1606.21 USD
2016-03-14,39,66.84 USD,2606.73 USD
2016-03-15,29,74.43 USD,2158.41 USD
2016-03-16,29,73.26 USD,2124.42 USD
2016-03-17,20,77.34 USD,1546.70 USD
2016-03-18,26,74.84 USD,1945.74 USD
2016-03-19,19,64.51 USD,1225.71 USD
2016-03-20,28,62.97 USD,1763.15 USD
2016-03-21,34,60.12 USD,2043.98 USD
2016-03-22,36,64.29 USD,2314.41 USD
2016-03-23,31,67.60 USD,2095.46 USD
2016-03-24,28,60.53 USD,1694.93 USD
2016-03-25,18,69.17 USD,1245.06 USD
2016-03-26,18,66.11 USD,1189.97 USD
2016-03-27,22,49.48 USD,1088.52 USD
2016-03-28,30,64.81 USD,1944.21 USD
2016-03-29,29,52.26 USD,1515.45 USD
2016-03-30,35,64.54 USD,2258.90 USD
2016-03-31,30,79.84 USD,2395.16 USD
2016-04-01,33,63.57 USD,2097.71 USD
2016-04-02,23,50.88 USD,1170.23 USD
2016-04-03,28,82.35 USD,2305.74 USD
2016-04-04,35,75.20 USD,2631.85 USD
2016-04-05,37,83.76 USD,3099.27 USD
2016-04-06,28,63.52 USD,1778.62 USD
2016-04-07,24,59.73 USD,1433.45 USD
2016-04-08,26,69.90 USD,1817.45 USD
2016-04-09,34,74.97 USD,2548.93 USD
2016-04-10,39,72.13 USD,2813.07 USD
2016-04-11,34,59.02 USD,2006.65 USD
2016-04-12,28,72.48 USD,2029.37 USD
2016-04-13,41,63.92 USD,2620.59 USD
2016-04-14,39,67.34 USD,2626.12 USD
2016-04-15,22,80.11 USD,1762.36 USD
2016-04-16,27,62.87 USD,1697.57 USD
2016-04-17,32,71.71 USD,2294.72 USD
2016-04-18,45,85.92 USD,3866.34 USD
2016-04-19,38,67.04 USD,2547.61 USD
2016-04-20,36,79.09 USD,2847.39 USD
2016-04-21,35,63.43 USD,2220.22 USD
2016-04-22,16,70.05 USD,1120.73 USD
2016-04-23,29,80.21 USD,2326.03 USD
2016-04-24,38,70.32 USD,2671.98 USD
2016-04-25,24,55.94 USD,1342.61 USD
2016-04-26,29,76.63 USD,2222.37 USD
2016-04-27,46,81.62 USD,3754.41 USD
2016-04-28,31,78.31 USD,2427.56 USD
2016-04-29,24,64.72 USD,1553.36 USD
2016-04-30,32,82.26 USD,2632.33 USD
2016-05-01,38,74.93 USD,2847.18 USD
2016-05-02,33,65.66 USD,2166.72 USD
2016-05-03,23,86.71 USD,1994.43 USD
2016-05-04,39,70.90 USD,2765.14 USD
2016-05-05,27,60.43 USD,1631.67 USD
2016-05-06,20,75.43 USD,1508.59 USD
2016-05-07,33,69.41 USD,2290.47 USD
2016-05-08,35,74.87 USD,2620.34 USD
2016-05-09,45,65.54 USD,2949.39 USD
2016-05-10,38,62.99 USD,2393.80 USD
2016-05-11,29,67.00 USD,1943.14 USD
2016-05-12,33,65.99 USD,2177.67 USD
2016-05-13,22,61.16 USD,1345.62 USD
2016-05-14,24,70.54 USD,1692.94 USD
2016-05-15,36,62.47 USD,2249.04 USD
2016-05-16,39,65.29 USD,2546.32 USD
2016-05-17,35,65.74 USD,2300.95 USD
2016-05-18,53,54.10 USD,2867.40 USD
2016-05-19,49,61.75 USD,3025.66 USD
2016-05-20,35,63.14 USD,2210.03 USD
2016-05-21,28,64.68 USD,1811.11 USD
2016-05-22,44,64.55 USD,2840.10 USD
2016-05-23,39,57.57 USD,2245.17 USD
2016-05-24,41,72.73 USD,2981.98 USD
2016-05-25,46,67.99 USD,3127.67 USD
2016-05-26,38,64.41 USD,2447.68 USD
2016-05-27,24,59.74 USD,1433.79 USD
2016-05-28,44,64.52 USD,2838.99 USD
2016-05-29,48,62.58 USD,3003.67 USD
2016-05-30,44,66.14 USD,2910.07 USD
2016-05-31,259,34.76 USD,9004.05 USD
2016-06-01,19,60.88 USD,1156.68 USD
2016-06-02,47,57.93 USD,2722.89 USD
2016-06-03,39,65.87 USD,2568.94 USD
2016-06-04,74,63.00 USD,4662.32 USD
2016-06-05,80,56.81 USD,4544.74 USD
2016-06-06,48,68.24 USD,3275.64 USD
2016-06-07,56,63.50 USD,3556.20 USD
2016-06-08,53,63.09 USD,3343.90 USD
2016-06-09,45,65.06 USD,2927.75 USD
2016-06-10,39,67.02 USD,2613.91 USD
2016-06-11,62,54.71 USD,3392.20 USD
2016-06-12,56,55.82 USD,3125.81 USD
2016-06-13,42,66.24 USD,2781.88 USD
2016-06-14,27,78.26 USD,2112.95 USD
2016-06-15,53,72.34 USD,3834.12 USD
2016-06-16,26,68.54 USD,1782.13 USD
2016-06-17,38,62.33 USD,2368.35 USD
2016-06-18,47,57.19 USD,2687.82 USD
2016-06-19,43,58.17 USD,2501.11 USD
2016-06-20,36,60.27 USD,2169.64 USD
2016-06-21,59,62.79 USD,3704.79 USD
2016-06-22,35,61.95 USD,2168.40 USD
2016-06-23,43,68.95 USD,2964.64 USD
2016-06-24,36,57.61 USD,2073.83 USD
2016-06-25,39,67.52 USD,2633.34 USD
2016-06-26,53,68.19 USD,3614.02 USD
2016-06-27,45,65.14 USD,2931.29 USD
2016-06-28,40,70.24 USD,2809.56 USD
2016-06-29,57,61.75 USD,3519.68 USD
2016-06-30,33,69.02 USD,2277.58 USD
2016-07-01,29,61.56 USD,1785.10 USD
2016-07-02,28,58.48 USD,1637.40 USD
2016-07-03,58,76.11 USD,4414.63 USD
2016-07-04,47,70.01 USD,3290.45 USD
2016-07-05,49,62.51 USD,3062.97 USD
2016-07-06,51,69.72 USD,3555.76 USD
2016-07-07,44,67.13 USD,2953.89 USD
2016-07-08,39,63.45 USD,2474.54 USD
2016-07-09,33,73.38 USD,2421.38 USD
2016-07-10,42,65.60 USD,2755.25 USD
2016-07-11,54,66.69 USD,3601.02 USD
2016-07-12,43,59.82 USD,2572.18 USD
2016-07-13,42,61.57 USD,2586.13 USD
2016-07-14,55,61.33 USD,3373.18 USD
2016-07-15,34,64.93 USD,2207.48 USD
2016-07-16,47,53.22 USD,2501.21 USD
2016-07-17,51,70.34 USD,3587.11 USD
2016-07-18,39,72.73 USD,2836.31 USD
2016-07-19,44,79.99 USD,3519.59 USD
2016-07-20,36,64.42 USD,2319.06 USD
2016-07-21,39,57.35 USD,2236.76 USD
2016-07-22,32,59.80 USD,1913.69 USD
2016-07-23,34,70.29 USD,2389.80 USD
2016-07-24,41,61.95 USD,2539.75 USD
2016-07-25,59,82.03 USD,4839.50 USD
2016-07-26,48,63.83 USD,3063.67 USD
2016-07-27,52,69.53 USD,3615.75 USD
2016-07-28,46,64.41 USD,2962.94 USD
2016-07-29,36,65.06 USD,2341.99 USD
2016-07-30,41,73.62 USD,3018.25 USD
2016-07-31,56,71.03 USD,3977.46 USD
2016-08-01,33,70.26 USD,2318.57 USD
2016-08-02,55,61.42 USD,3378.24 USD
2016-08-03,52,62.10 USD,3228.97 USD
2016-08-04,57,72.73 USD,4145.46 USD
2016-08-05,38,67.73 USD,2573.73 USD
2016-08-06,44,75.09 USD,3304.01 USD
2016-08-07,40,66.14 USD,2645.56 USD
2016-08-08,56,72.11 USD,4038.21 USD
2016-08-09,47,72.97 USD,3429.80 USD
2016-08-10,55,61.11 USD,3360.79 USD
2016-08-11,37,74.49 USD,2755.96 USD
2016-08-12,32,71.57 USD,2290.12 USD
2016-08-13,35,62.72 USD,2195.35 USD
2016-08-14,44,71.71 USD,3155.33 USD
2016-08-15,39,74.67 USD,2912.18 USD
2016-08-16,35,72.91 USD,2551.85 USD
2016-08-17,39,78.32 USD,3054.33 USD
2016-08-18,51,66.69 USD,3401.35 USD
2016-08-19,42,60.86 USD,2556.32 USD
2016-08-20,45,70.64 USD,3178.89 USD
2016-08-21,43,65.37 USD,2810.79 USD
2016-08-22,47,80.82 USD,3798.43 USD
2016-08-23,43,68.17 USD,2931.24 USD
2016-08-24,61,78.21 USD,4771.00 USD
2016-08-25,46,66.90 USD,3077.27 USD
2016-08-26,34,62.16 USD,2113.34 USD
2016-08-27,49,72.14 USD,3534.64 USD
2016-08-28,55,74.83 USD,4115.51 USD
2016-08-29,48,71.08 USD,3411.83 USD
2016-08-30,45,70.12 USD,3155.41 USD
2016-08-31,41,63.49 USD,2603.08 USD
2016-09-01,47,69.24 USD,3254.26 USD
2016-09-02,40,63.13 USD,2525.06 USD
2016-09-03,33,65.46 USD,2160.25 USD
2016-09-04,44,67.31 USD,2961.71 USD
2016-09-05,52,60.51 USD,3146.45 USD
2016-09-06,53,64.31 USD,3408.69 USD
2016-09-07,58,61.33 USD,3557.38 USD
2016-09-08,41,66.62 USD,2731.37 USD
2016-09-09,27,66.45 USD,1794.28 USD
2016-09-10,46,62.95 USD,2895.89 USD
2016-09-11,43,66.78 USD,2871.66 USD
2016-09-12,44,70.64 USD,3107.95 USD
2016-09-13,57,71.45 USD,4072.74 USD
2016-09-14,44,59.16 USD,2602.84 USD
2016-09-15,45,70.36 USD,3166.21 USD
2016-09-16,37,63.87 USD,2363.04 USD
2016-09-17,43,60.18 USD,2587.76 USD
2016-09-18,36,61.57 USD,2216.39 USD
2016-09-19,50,71.05 USD,3552.27 USD
2016-09-20,59,67.85 USD,4002.98 USD
2016-09-21,45,74.92 USD,3371.27 USD
2016-09-22,39,62.53 USD,2438.80 USD
2016-09-23,29,62.81 USD,1821.43 USD
2016-09-24,39,80.42 USD,3136.36 USD
2016-09-25,27,63.71 USD,1720.20 USD
2016-09-26,38,59.34 USD,2254.95 USD
2016-09-27,37,65.50 USD,2423.36 USD
2016-09-28,31,65.09 USD,2017.91 USD
2016-09-29,29,65.79 USD,1908.04 USD
2016-09-30,28,61.85 USD,1731.85 USD
2016-10-01,36,57.24 USD,2060.70 USD
2016-10-02,28,65.91 USD,1845.58 USD
2016-10-03,37,74.05 USD,2739.97 USD
2016-10-04,32,80.62 USD,2579.95 USD
2016-10-05,35,70.97 USD,2483.95 USD
2016-10-06,36,62.31 USD,2243.24 USD
2016-10-07,28,62.36 USD,1745.97 USD
2016-10-08,31,60.17 USD,1865.32 USD
2016-10-09,43,68.85 USD,2960.58 USD
2016-10-10,51,66.07 USD,3369.38 USD
