model,description,metric,metric_code,value,rating,link
OAG-AD-15739621,Rio - 2012 Kia Rio S Auto,price,price,10488,1.41,https://www.carsales.com.au/dealer/details/Kia-Rio-2012/OAG-AD-15739621/?Cr=14
OAG-AD-15739621,Rio - 2012 Kia Rio S Auto,milage,milage,32715,1.41,https://www.carsales.com.au/dealer/details/Kia-Rio-2012/OAG-AD-15739621/?Cr=14
OAG-AD-15739621,Rio - 2012 Kia Rio S Auto,age,age,6,1.41,https://www.carsales.com.au/dealer/details/Kia-Rio-2012/OAG-AD-15739621/?Cr=14
OAG-AD-15940293,Rio - 2018 Kia Rio S Auto,price,price,15950,1.38,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15940293/?Cr=242
OAG-AD-15940293,Rio - 2018 Kia Rio S Auto,milage,milage,5,1.38,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15940293/?Cr=242
OAG-AD-15940293,Rio - 2018 Kia Rio S Auto,age,age,0,1.38,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15940293/?Cr=242
OAG-AD-15840261,Rio - 2018 Kia Rio S Auto,price,price,15953,1.38,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15840261/?Cr=81
OAG-AD-15840261,Rio - 2018 Kia Rio S Auto,milage,milage,53,1.38,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15840261/?Cr=81
OAG-AD-15840261,Rio - 2018 Kia Rio S Auto,age,age,0,1.38,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15840261/?Cr=81
OAG-AD-15840280,Rio - 2018 Kia Rio S Auto,price,price,15971,1.37,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15840280/?Cr=23
OAG-AD-15840280,Rio - 2018 Kia Rio S Auto,milage,milage,53,1.37,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15840280/?Cr=23
OAG-AD-15840280,Rio - 2018 Kia Rio S Auto,age,age,0,1.37,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15840280/?Cr=23
OAG-AD-15704627,Rio - 2018 Kia Rio S Auto,price,price,15986,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15704627/?Cr=55
OAG-AD-15704627,Rio - 2018 Kia Rio S Auto,milage,milage,0,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15704627/?Cr=55
OAG-AD-15704627,Rio - 2018 Kia Rio S Auto,age,age,0,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15704627/?Cr=55
OAG-AD-15939494,Rio - 2018 Kia Rio S Auto,price,price,15990,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15939494/?Cr=117
OAG-AD-15939494,Rio - 2018 Kia Rio S Auto,milage,milage,0,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15939494/?Cr=117
OAG-AD-15939494,Rio - 2018 Kia Rio S Auto,age,age,0,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15939494/?Cr=117
OAG-AD-16029528,Rio - 2018 Kia Rio S Auto,price,price,15990,1.36,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-16029528/?Cr=347
OAG-AD-16029528,Rio - 2018 Kia Rio S Auto,milage,milage,4,1.36,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-16029528/?Cr=347
OAG-AD-16029528,Rio - 2018 Kia Rio S Auto,age,age,0,1.36,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-16029528/?Cr=347
OAG-AD-15802090,Rio - 2018 Kia Rio S Auto,price,price,15990,1.36,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15802090/?Cr=51
OAG-AD-15802090,Rio - 2018 Kia Rio S Auto,milage,milage,10,1.36,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15802090/?Cr=51
OAG-AD-15802090,Rio - 2018 Kia Rio S Auto,age,age,0,1.36,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15802090/?Cr=51
OAG-AD-15112438,Rio - 2018 Kia Rio S Auto,price,price,15990,1.36,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15112438/?Cr=25
OAG-AD-15112438,Rio - 2018 Kia Rio S Auto,milage,milage,10,1.36,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15112438/?Cr=25
OAG-AD-15112438,Rio - 2018 Kia Rio S Auto,age,age,0,1.36,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15112438/?Cr=25
OAG-AD-15939513,Rio - 2018 Kia Rio S Auto,price,price,15990,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15939513/?Cr=183
OAG-AD-15939513,Rio - 2018 Kia Rio S Auto,milage,milage,10,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15939513/?Cr=183
OAG-AD-15939513,Rio - 2018 Kia Rio S Auto,age,age,0,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15939513/?Cr=183
OAG-AD-15939493,Rio - 2018 Kia Rio S Auto,price,price,15990,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15939493/?Cr=129
OAG-AD-15939493,Rio - 2018 Kia Rio S Auto,milage,milage,10,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15939493/?Cr=129
OAG-AD-15939493,Rio - 2018 Kia Rio S Auto,age,age,0,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15939493/?Cr=129
OAG-AD-15939713,Rio - 2018 Kia Rio S Auto,price,price,15999,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15939713/?Cr=128
OAG-AD-15939713,Rio - 2018 Kia Rio S Auto,milage,milage,0,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15939713/?Cr=128
OAG-AD-15939713,Rio - 2018 Kia Rio S Auto,age,age,0,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15939713/?Cr=128
OAG-AD-15990038,Rio - 2018 Kia Rio S Auto,price,price,15999,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15990038/?Cr=93
OAG-AD-15990038,Rio - 2018 Kia Rio S Auto,milage,milage,0,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15990038/?Cr=93
OAG-AD-15990038,Rio - 2018 Kia Rio S Auto,age,age,0,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15990038/?Cr=93
OAG-AD-15990033,Rio - 2018 Kia Rio S Auto,price,price,15999,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15990033/?Cr=136
OAG-AD-15990033,Rio - 2018 Kia Rio S Auto,milage,milage,0,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15990033/?Cr=136
OAG-AD-15990033,Rio - 2018 Kia Rio S Auto,age,age,0,1.36,https://www.carsales.com.au/bncis/details/Kia-Rio-2018/OAG-AD-15990033/?Cr=136
OAG-AD-15629619,Rio - 2018 Kia Rio S Auto,price,price,15999,1.36,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15629619/?Cr=90
OAG-AD-15629619,Rio - 2018 Kia Rio S Auto,milage,milage,10,1.36,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15629619/?Cr=90
