date,bitcoin,XP,isPartial
2014-08-10,3,21,False
2014-08-17,3,21,False
2014-08-24,2,21,False
2014-08-31,3,21,False
2014-09-07,3,21,False
2014-09-14,3,20,False
2014-09-21,3,20,False
2014-09-28,3,20,False
2014-10-05,3,19,False
2014-10-12,2,19,False
2014-10-19,2,20,False
2014-10-26,2,20,False
2014-11-02,2,19,False
2014-11-09,3,19,False
2014-11-16,2,19,False
2014-11-23,2,19,False
2014-11-30,2,18,False
2014-12-07,3,18,False
2014-12-14,3,18,False
2014-12-21,3,18,False
2014-12-28,2,18,False
2015-01-04,3,18,False
2015-01-11,3,18,False
2015-01-18,3,18,False
2015-01-25,3,18,False
2015-02-01,2,18,False
2015-02-08,3,18,False
2015-02-15,3,17,False
2015-02-22,2,17,False
2015-03-01,2,17,False
2015-03-08,3,17,False
2015-03-15,2,16,False
2015-03-22,2,16,False
2015-03-29,2,16,False
2015-04-05,2,16,False
2015-04-12,2,16,False
2015-04-19,2,16,False
2015-04-26,2,15,False
2015-05-03,2,15,False
2015-05-10,2,15,False
2015-05-17,2,15,False
2015-05-24,2,15,False
2015-05-31,2,15,False
2015-06-07,2,14,False
2015-06-14,2,15,False
2015-06-21,2,15,False
2015-06-28,3,15,False
2015-07-05,3,15,False
2015-07-12,2,15,False
2015-07-19,2,15,False
2015-07-26,2,15,False
2015-08-02,2,15,False
2015-08-09,2,15,False
2015-08-16,3,15,False
2015-08-23,2,14,False
2015-08-30,2,14,False
2015-09-06,2,14,False
2015-09-13,2,14,False
2015-09-20,2,14,False
2015-09-27,2,14,False
2015-10-04,2,14,False
2015-10-11,2,14,False
2015-10-18,2,13,False
2015-10-25,3,13,False
2015-11-01,4,13,False
2015-11-08,3,13,False
2015-11-15,3,13,False
2015-11-22,3,13,False
2015-11-29,3,13,False
2015-12-06,4,13,False
2015-12-13,3,13,False
2015-12-20,3,13,False
2015-12-27,3,13,False
2016-01-03,3,12,False
2016-01-10,3,12,False
2016-01-17,3,12,False
2016-01-24,3,12,False
2016-01-31,2,12,False
2016-02-07,3,12,False
2016-02-14,3,12,False
2016-02-21,3,12,False
2016-02-28,3,11,False
2016-03-06,3,11,False
2016-03-13,2,11,False
2016-03-20,2,11,False
2016-03-27,2,11,False
2016-04-03,2,10,False
2016-04-10,2,10,False
2016-04-17,3,10,False
2016-04-24,3,10,False
2016-05-01,4,10,False
2016-05-08,3,10,False
2016-05-15,3,10,False
2016-05-22,3,10,False
2016-05-29,4,10,False
2016-06-05,3,9,False
2016-06-12,5,9,False
2016-06-19,5,9,False
2016-06-26,4,9,False
2016-07-03,4,10,False
2016-07-10,3,10,False
2016-07-17,3,10,False
2016-07-24,3,10,False
2016-07-31,4,10,False
2016-08-07,3,10,False
2016-08-14,3,10,False
2016-08-21,3,10,False
2016-08-28,3,10,False
2016-09-04,3,10,False
2016-09-11,3,9,False
2016-09-18,3,9,False
2016-09-25,3,9,False
2016-10-02,3,9,False
2016-10-09,3,9,False
2016-10-16,3,9,False
2016-10-23,3,9,False
2016-10-30,4,9,False
2016-11-06,4,9,False
2016-11-13,3,9,False
2016-11-20,3,9,False
2016-11-27,4,9,False
2016-12-04,3,8,False
2016-12-11,3,8,False
2016-12-18,4,9,False
2016-12-25,5,9,False
2017-01-01,8,9,False
2017-01-08,6,9,False
2017-01-15,5,9,False
2017-01-22,4,9,False
2017-01-29,5,9,False
2017-02-05,5,9,False
2017-02-12,4,9,False
2017-02-19,6,9,False
2017-02-26,6,8,False
2017-03-05,7,8,False
2017-03-12,6,8,False
2017-03-19,6,8,False
2017-03-26,5,8,False
2017-04-02,5,8,False
2017-04-09,5,8,False
2017-04-16,5,8,False
2017-04-23,5,8,False
2017-04-30,8,7,False
2017-05-07,10,8,False
2017-05-14,12,10,False
2017-05-21,21,8,False
2017-05-28,13,7,False
2017-06-04,13,7,False
2017-06-11,15,7,False
2017-06-18,12,7,False
2017-06-25,12,7,False
2017-07-02,10,7,False
2017-07-09,11,7,False
2017-07-16,13,7,False
2017-07-23,12,7,False
2017-07-30,17,7,False
2017-08-06,16,7,False
2017-08-13,22,7,False
2017-08-20,18,7,False
2017-08-27,19,7,False
2017-09-03,20,7,False
2017-09-10,23,7,False
2017-09-17,17,7,False
2017-09-24,14,7,False
2017-10-01,14,7,False
2017-10-08,21,7,False
2017-10-15,22,7,False
2017-10-22,23,7,False
2017-10-29,30,7,False
2017-11-05,32,7,False
2017-11-12,34,7,False
2017-11-19,30,7,False
2017-11-26,72,7,False
2017-12-03,100,7,False
2017-12-10,97,6,True
