date,bitcoin,VIVO,isPartial
2016-03-13,2,45,False
2016-03-20,2,44,False
2016-03-27,2,54,False
2016-04-03,2,49,False
2016-04-10,2,53,False
2016-04-17,3,53,False
2016-04-24,3,48,False
2016-05-01,4,49,False
2016-05-08,3,48,False
2016-05-15,3,49,False
2016-05-22,3,53,False
2016-05-29,4,49,False
2016-06-05,3,51,False
2016-06-12,5,52,False
2016-06-19,5,48,False
2016-06-26,4,49,False
2016-07-03,4,46,False
2016-07-10,3,47,False
2016-07-17,3,43,False
2016-07-24,3,42,False
2016-07-31,4,48,False
2016-08-07,3,55,False
2016-08-14,3,53,False
2016-08-21,3,44,False
2016-08-28,3,50,False
2016-09-04,3,46,False
2016-09-11,3,48,False
2016-09-18,3,44,False
2016-09-25,3,43,False
2016-10-02,3,47,False
2016-10-09,3,46,False
2016-10-16,3,42,False
2016-10-23,3,46,False
2016-10-30,4,43,False
2016-11-06,4,49,False
2016-11-13,3,47,False
2016-11-20,3,49,False
2016-11-27,4,56,False
2016-12-04,3,43,False
2016-12-11,3,43,False
2016-12-18,4,39,False
2016-12-25,5,41,False
2017-01-01,8,40,False
2017-01-08,6,41,False
2017-01-15,5,46,False
2017-01-22,4,50,False
2017-01-29,5,52,False
2017-02-05,5,51,False
2017-02-12,4,54,False
2017-02-19,6,55,False
2017-02-26,6,50,False
2017-03-05,7,55,False
2017-03-12,6,53,False
2017-03-19,6,55,False
2017-03-26,5,56,False
2017-04-02,5,59,False
2017-04-09,5,58,False
2017-04-16,5,63,False
2017-04-23,5,60,False
2017-04-30,8,54,False
2017-05-07,10,57,False
2017-05-14,12,55,False
2017-05-21,21,56,False
2017-05-28,13,55,False
2017-06-04,13,60,False
2017-06-11,15,54,False
2017-06-18,12,61,False
2017-06-25,12,58,False
2017-07-02,10,54,False
2017-07-09,11,54,False
2017-07-16,13,53,False
2017-07-23,12,52,False
2017-07-30,17,55,False
2017-08-06,16,52,False
2017-08-13,22,55,False
2017-08-20,18,58,False
2017-08-27,19,68,False
2017-09-03,20,67,False
2017-09-10,23,60,False
2017-09-17,17,68,False
2017-09-24,14,59,False
2017-10-01,14,58,False
2017-10-08,21,61,False
2017-10-15,22,57,False
2017-10-22,23,57,False
2017-10-29,30,54,False
2017-11-05,32,58,False
2017-11-12,34,53,False
2017-11-19,30,51,False
2017-11-26,72,55,False
2017-12-03,100,49,False
2017-12-10,97,46,True
