,row_count,id,title,link,make,model,series,transmission,price,milage,age,age_rating,milage_rating,price_rating,sum_rating,market_price,price_difference
47,56,SSE-AD-6167099,2015 Mercedes-Benz C200 BlueTEC Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2015/SSE-AD-6167099/?Cr=44,Mercedes-Benz,C200,BlueTEC,Auto,39000.0,55000.0,4,0.105228539436362,-0.16008138384087017,0.12729584229047708,0.1669532986260529,40030,1030
24,57,SSE-AD-6116057,2017 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2017/SSE-AD-6116057/?Cr=22,Mercedes-Benz,C200,,Auto,52000.0,25463.0,2,0.6425657620901255,0.5556860431768615,-0.5291437618691601,0.16650656283636822,52064,64
66,58,OAG-AD-17342101,2016 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/OAG-AD-17342101/?Cr=94,Mercedes-Benz,C200,,Auto,42900.0,49127.0,3,0.37389715076324376,-0.017761510499801753,-0.06963603895741408,0.129466012891398,43285,385
43,59,SSE-AD-6156275,2016 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/SSE-AD-6156275/?Cr=40,Mercedes-Benz,C200,,Auto,52750.0,18500.0,3,0.37389715076324376,0.724419787102259,-0.5670152774937546,0.12169089248649811,52795,45
11,60,SSE-AD-6109290,2015 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2015/SSE-AD-6109290/?Cr=5,Mercedes-Benz,C200,,Auto,39490.0,54500.0,4,0.105228539436362,-0.14796492944438897,0.10255311874907537,0.1169580367948102,40185,695
23,61,SSE-AD-6109290,2015 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2015/SSE-AD-6109290/?Cr=5,Mercedes-Benz,C200,,Auto,39490.0,54500.0,4,0.105228539436362,-0.14796492944438897,0.10255311874907537,0.1169580367948102,40185,695
48,62,OAG-AD-17329081,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-17329081/?Cr=77,Mercedes-Benz,C200,,Auto,59888.0,8275.0,1,0.9112343734170072,0.9722012795103,-0.9274511155315616,0.0732835858429226,58833,-1055
51,63,OAG-AD-17350699,2015 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2015/OAG-AD-17350699/?Cr=80,Mercedes-Benz,C200,,Auto,45800.0,36244.0,4,0.105228539436362,0.2944310534799334,-0.2160725660391793,0.04587294827869104,45854,54
16,64,OAG-AD-17247481,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-17247481/?gts=OAG-AD-17247481&gtssaleid=OAG-AD-17247481&rankingType=Showcase,Mercedes-Benz,C200,,Auto,59990.0,8793.0,1,0.9112343734170072,0.9596486327555455,-0.9326016416565064,0.03272671395857918,58672,-1318
8,65,OAG-AD-17247481,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-17247481/?Cr=2,Mercedes-Benz,C200,,Auto,59990.0,8793.0,1,0.9112343734170072,0.9596486327555455,-0.9326016416565064,0.03272671395857918,58672,-1318
25,66,SSE-AD-6104051,2012 Mercedes-Benz C200 BlueEFFICIENCY Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/SSE-AD-6104051/?Cr=23,Mercedes-Benz,C200,BlueEFFICIENCY,Auto,18500.0,106000.0,7,-0.7007772945442833,-1.3959597322819548,1.1624506026960588,-0.005344951020016531,19899,1399
84,67,OAG-AD-16991003,2012 Mercedes-Benz C200 BlueEFFICIENCY Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/OAG-AD-16991003/?Cr=110,Mercedes-Benz,C200,BlueEFFICIENCY,Auto,19990.0,101351.0,7,-0.7007772945442833,-1.2833009393034724,1.0872125249885312,-0.005741598185634356,21343,1353
83,68,OAG-AD-16991003,2012 Mercedes-Benz C200 BlueEFFICIENCY Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/OAG-AD-16991003/?Cr=110,Mercedes-Benz,C200,BlueEFFICIENCY,Auto,19990.0,101351.0,7,-0.7007772945442833,-1.2833009393034724,1.0872125249885312,-0.005741598185634356,21343,1353
72,69,SSE-AD-6080447,2011 Mercedes-Benz C200 BlueEFFICIENCY Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2011/SSE-AD-6080447/?Cr=99,Mercedes-Benz,C200,BlueEFFICIENCY,Auto,15800.0,109000.0,8,-0.969445905871165,-1.4686584586608422,1.2987880589445988,-0.010398646359052854,17536,1736
71,70,SSE-AD-6080447,2011 Mercedes-Benz C200 BlueEFFICIENCY Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2011/SSE-AD-6080447/?Cr=99,Mercedes-Benz,C200,BlueEFFICIENCY,Auto,15800.0,109000.0,8,-0.969445905871165,-1.4686584586608422,1.2987880589445988,-0.010398646359052854,17536,1736
36,71,SSE-AD-6033606,2012 Mercedes-Benz C200 BlueEFFICIENCY Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/SSE-AD-6033606/?Cr=33,Mercedes-Benz,C200,BlueEFFICIENCY,Auto,20750.0,99847.0,7,-0.7007772945442833,-1.2468546444788569,1.0488360558222756,-0.047978416035169946,21810,1060
35,72,SSE-AD-6033606,2012 Mercedes-Benz C200 BlueEFFICIENCY Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/SSE-AD-6033606/?Cr=33,Mercedes-Benz,C200,BlueEFFICIENCY,Auto,20750.0,99847.0,7,-0.7007772945442833,-1.2468546444788569,1.0488360558222756,-0.047978416035169946,21810,1060
97,73,SSE-AD-6010900,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/SSE-AD-6010900/?Cr=122,Mercedes-Benz,C200,,Auto,62900.0,1977.0,1,0.9112343734170072,1.1248201390883774,-1.0795431222799328,-0.07775471524603628,60789,-2111
6,74,OAG-AD-16707019,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-16707019/?Cr=0,Mercedes-Benz,C200,,Auto,62750.0,3200.0,1,0.9112343734170072,1.0951832916345845,-1.0719688191550139,-0.11430550077886537,60409,-2341
18,75,OAG-AD-16707019,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-16707019/?Cr=0,Mercedes-Benz,C200,,Auto,62750.0,3200.0,1,0.9112343734170072,1.0951832916345845,-1.0719688191550139,-0.11430550077886537,60409,-2341
81,76,OAG-AD-16909033,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-16909033/?Cr=108,Mercedes-Benz,C200,,Auto,62900.0,3900.0,1,0.9112343734170072,1.0782202554795106,-1.0795431222799328,-0.17095448246376943,60191,-2709
75,77,OAG-AD-17173470,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-17173470/?Cr=102,Mercedes-Benz,C200,,Auto,62900.0,4012.0,1,0.9112343734170072,1.0755061696946988,-1.0795431222799328,-0.17638265403339304,60157,-2743
